Orthogroup	MHP_KM014_proteins	MHP_98_proteins
OG0000103	WP_011206238.1	WP_179696017.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_094521691.1	WP_179696018.1
OG0000106	WP_011290218.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_014579827.1	WP_179696020.1
OG0000109	WP_094521692.1	WP_220200503.1
OG0000110	WP_094521705.1	WP_179696032.1
OG0000111	WP_094521704.1	WP_258556555.1
OG0000112	WP_094521703.1	WP_258556554.1
OG0000113	WP_094521701.1	WP_020835765.1
OG0000114	WP_094521777.1	WP_258556553.1
OG0000115	WP_094521698.1	WP_011284183.1
OG0000116	WP_094521621.1	WP_094521621.1
OG0000117	WP_094521622.1	WP_179696060.1
OG0000118	WP_094521624.1	WP_179696056.1
OG0000119	WP_094521625.1	WP_179696055.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011205959.1	WP_011284032.1
OG0000122	WP_094521627.1	WP_011205958.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011205953.1
OG0000125	WP_011205952.1	WP_179696050.1
OG0000126	WP_094521629.1	WP_011290120.1
OG0000127	WP_094521631.1	WP_011284040.1
OG0000128	WP_094521634.1	WP_160585095.1
OG0000129	WP_014579732.1	WP_179696048.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_094521635.1	WP_179696046.1
OG0000132	WP_094521636.1	WP_179696044.1
OG0000133	WP_094521764.1	WP_179695959.1
OG0000134	WP_094521765.1	WP_308705284.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_094521576.1	WP_179695961.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_011206106.1	WP_160584793.1
OG0000139	WP_011206102.1	WP_179221023.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_011290345.1	WP_146379698.1
OG0000142	WP_094521740.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_179695919.1
OG0000144	WP_094521739.1	WP_179695920.1
OG0000145	WP_011290337.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_094521737.1	WP_179695923.1
OG0000149	WP_011206379.1	WP_179695924.1
OG0000150	WP_011206376.1	WP_011206376.1
OG0000151	WP_094521732.1	WP_179696082.1
OG0000152	WP_094521731.1	WP_179696081.1
OG0000153	WP_011206347.1	WP_179696080.1
OG0000154	WP_094521730.1	WP_011206345.1
OG0000155	WP_020835820.1	WP_179695999.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_179695997.1
OG0000158	WP_094521727.1	WP_179695995.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_081430769.1	WP_011284209.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000163	WP_094521716.1	WP_094521716.1
OG0000164	WP_094521642.1	WP_179696123.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_094521676.1	WP_179696004.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_044284793.1	WP_135618848.1
OG0000169	WP_094521497.1	WP_179221201.1
OG0000171	WP_011206422.1	WP_050195447.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_094521499.1	WP_011206425.1
OG0000174	WP_094521500.1	WP_179695911.1
OG0000175	WP_094521754.1	WP_160585645.1
OG0000176	WP_094521505.1	WP_160585271.1
OG0000177	WP_094521506.1	WP_160585273.1
OG0000178	WP_020835878.1	WP_020835878.1
OG0000179	WP_014579979.1	WP_014579979.1
OG0000180	WP_011206445.1	WP_011206445.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011284337.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_135619119.1
OG0000185	WP_094521514.1	WP_020835897.1
OG0000186	WP_094521637.1	WP_179696043.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_094521695.1	WP_179696024.1
OG0000190	WP_011206256.1	WP_179696023.1
OG0000191	WP_011290223.1	WP_020835755.1
OG0000192	WP_011205992.1	WP_179696089.1
OG0000193	WP_094521610.1	WP_094521610.1
OG0000194	WP_094521582.1	WP_011283923.1
OG0000195	WP_094521583.1	WP_011283924.1
OG0000196	WP_094521584.1	WP_179695841.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_094521587.1	WP_179695842.1
OG0000201	WP_094521588.1	WP_011283934.1
OG0000202	WP_011283943.1	WP_011283943.1
OG0000203	WP_094521591.1	WP_011206072.1
OG0000204	WP_014579633.1	WP_011206071.1
OG0000205	WP_094521592.1	WP_179695848.1
OG0000206	WP_011290044.1	WP_011206066.1
OG0000207	WP_094521594.1	WP_179695850.1
OG0000208	WP_011290046.1	WP_179695851.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_094521596.1	WP_011206052.1
OG0000211	WP_011206050.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_011290055.1
OG0000216	WP_011283965.1	WP_014579616.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_094521597.1	WP_179695969.1
OG0000219	WP_051129924.1	WP_020835591.1
OG0000220	WP_011206040.1	WP_160606682.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000225	WP_094521598.1	WP_179695968.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011290064.1
OG0000228	WP_094521599.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_160585185.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_179696062.1
OG0000234	WP_044284822.1	WP_146379533.1
OG0000235	WP_094521605.1	WP_011290078.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_094521606.1	WP_179221055.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011206399.1	WP_011290347.1
OG0000240	WP_011206400.1	WP_020835851.1
OG0000241	WP_011206402.1	WP_044272588.1
OG0000242	WP_094521742.1	WP_146379702.1
OG0000243	WP_014579955.1	WP_146379703.1
OG0000244	WP_094521744.1	WP_160615603.1
OG0000245	WP_011206408.1	WP_179695916.1
OG0000246	WP_094521541.1	WP_050195463.1
OG0000247	WP_094521542.1	WP_179695932.1
OG0000248	WP_052259122.1	WP_052259122.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_094521546.1	WP_014579544.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_094521547.1	WP_179695938.1
OG0000254	WP_050195453.1	WP_020835510.1
OG0000255	WP_014579550.1	WP_044284572.1
OG0000256	WP_011205889.1	WP_011283865.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_094521759.1	WP_308705283.1
OG0000260	WP_094521550.1	WP_179695943.1
OG0000262	WP_041361531.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_160585532.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_044284579.1	WP_179695949.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_094521554.1	WP_044284773.1
OG0000268	WP_011283894.1	WP_179695950.1
OG0000269	WP_011206134.1	WP_179695953.1
OG0000270	WP_094521524.1	WP_179695859.1
OG0000271	WP_094521523.1	WP_179695858.1
OG0000272	WP_011284373.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_094521521.1	WP_179695856.1
OG0000275	WP_011290422.1	WP_011290422.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_179695854.1
OG0000280	WP_094521520.1	WP_011206490.1
OG0000281	WP_014580012.1	WP_011290416.1
OG0000283	WP_014580009.1	WP_179695881.1
OG0000284	WP_094521519.1	WP_011206484.1
OG0000285	WP_094521518.1	WP_179695882.1
OG0000286	WP_094521714.1	WP_044284668.1
OG0000287	WP_011206297.1	WP_011206297.1
OG0000288	WP_094521779.1	WP_160585009.1
OG0000289	WP_020835793.1	WP_179695979.1
OG0000290	WP_094521724.1	WP_014579908.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044284681.1	WP_044272553.1
OG0000293	WP_094521723.1	WP_160590129.1
OG0000294	WP_094521780.1	WP_146379669.1
OG0000295	WP_094521722.1	WP_011206315.1
OG0000296	WP_044272552.1	WP_041361673.1
OG0000297	WP_011284225.1	WP_146379664.1
OG0000298	WP_094521544.1	WP_179695935.1
OG0000299	WP_094521545.1	WP_160606529.1
OG0000300	WP_011205915.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_011205925.1
OG0000303	WP_011206118.1	WP_146379484.1
OG0000304	WP_094521601.1	WP_011283978.1
OG0000305	WP_094521738.1	WP_179695921.1
OG0000306	WP_094521734.1	WP_179696084.1
OG0000307	WP_011206346.1	WP_179696079.1
OG0000308	WP_157696721.1	WP_020835811.1
OG0000309	WP_011206313.1	WP_179695987.1
OG0000310	WP_094521718.1	WP_179695978.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_094521778.1	WP_011206290.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_094521675.1	WP_179696097.1
OG0000315	WP_011206209.1	WP_011290197.1
OG0000316	WP_094521679.1	WP_179696008.1
OG0000317	WP_094521685.1	WP_146379589.1
OG0000318	WP_094521775.1	WP_220200501.1
OG0000319	WP_094521690.1	WP_135618880.1
OG0000320	WP_094521702.1	WP_179696028.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_011205960.1	WP_020835642.1
OG0000323	WP_094521770.1	WP_179696045.1
OG0000324	WP_094521693.1	WP_094521693.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_094521590.1	WP_179695846.1
OG0000327	WP_011206076.1	WP_011206076.1
OG0000328	WP_011290047.1	WP_041361583.1
OG0000329	WP_044284742.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_160584670.1
OG0000331	WP_094521743.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_094521511.1	WP_179695900.1
OG0000335	WP_041361699.1	WP_179695899.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_094521528.1	WP_011284387.1
OG0000338	WP_094521531.1	WP_014580051.1
OG0000339	WP_094521699.1	WP_179696038.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_011284176.1	WP_011290226.1
OG0000342	WP_094521586.1	WP_050195494.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_094521577.1	WP_179695964.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_041361706.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_014579636.1	WP_179695847.1
OG0000349	WP_094521522.1	WP_179695857.1
OG0000350	WP_094521782.1	WP_258556579.1
OG0000351	WP_094521571.1	WP_160584739.1
OG0000352	WP_094521673.1	WP_179696100.1
OG0000353	WP_094521626.1	WP_044284615.1
OG0000354	WP_094521580.1	WP_258556592.1
OG0000355	WP_011284115.1	WP_220200538.1
OG0000356	WP_094521678.1	WP_308705286.1
OG0000357	WP_094521501.1	WP_011206427.1
OG0000358	WP_094521502.1	WP_179695910.1
OG0000359	WP_094521589.1	WP_179695843.1
OG0000360	WP_094521548.1	WP_225973008.1
OG0000361	WP_094521549.1	WP_011289979.1
OG0000362	WP_094521719.1	WP_011290282.1
OG0000363	WP_094521632.1	WP_308705292.1
OG0000364	WP_094521773.1	WP_258556584.1
OG0000369	WP_094521533.1	WP_160588112.1
OG0000370	WP_044272260.1	WP_011205843.1
OG0000378	WP_094521620.1	WP_011205977.1
OG0000380	WP_094521769.1	WP_179696051.1
OG0000381	WP_094521630.1	WP_179696049.1
OG0000385	WP_094521574.1	WP_179695957.1
OG0000389	WP_094521579.1	WP_146379493.1
OG0000396	WP_094521715.1	WP_160606819.1
OG0000403	WP_094521503.1	WP_179695908.1
OG0000404	WP_094521507.1	WP_179695906.1
OG0000405	WP_094521755.1	WP_179695905.1
OG0000409	WP_011206458.1	WP_179695897.1
OG0000412	WP_011290399.1	WP_179695893.1
OG0000417	WP_094521694.1	WP_179696022.1
OG0000428	WP_011283958.1	WP_179695853.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_094521600.1	WP_050195474.1
OG0000434	WP_157696710.1	WP_160584674.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_011206003.1	WP_179696067.1
OG0000441	WP_094521745.1	WP_011284299.1
OG0000451	WP_094521553.1	WP_179695947.1
OG0000453	WP_011283895.1	WP_179695951.1
OG0000457	WP_094521517.1	WP_179695883.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000463	WP_094521721.1	WP_179695985.1
OG0000464	WP_094521720.1	WP_179695984.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000468	WP_094521677.1	WP_160585598.1
OG0000471	WP_094521595.1	WP_044272348.1
OG0000473	WP_094521525.1	WP_014580023.1
OG0000474	WP_011284377.1	WP_011284377.1
OG0000475	WP_094521526.1	WP_179695860.1
OG0000482	WP_094521611.1	WP_220200531.1
OG0000485	WP_094521607.1	WP_179696066.1
OG0000486	WP_094521696.1	WP_160585249.1
OG0000487	WP_157696720.1	WP_220200502.1
OG0000488	WP_094521682.1	WP_179696012.1
OG0000489	WP_094521534.1	WP_011205849.1
OG0000491	WP_011205966.1	WP_179696054.1
OG0000492	WP_094521628.1	WP_020835646.1
OG0000495	WP_094521735.1	WP_179695926.1
OG0000502	WP_094521609.1	WP_179696088.1
OG0000504	WP_094521766.1	WP_179695852.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000508	WP_094521758.1	WP_179695939.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000519	WP_020835579.1	WP_160584803.1
OG0000520	WP_011283957.1	WP_011283957.1
OG0000523	WP_094521516.1	WP_179695884.1
OG0000526	WP_041361763.1	WP_258555394.1
OG0000527	WP_094521656.1	WP_258555658.1
OG0000529	WP_014579831.1	WP_179696019.1
OG0000530	WP_011284186.1	WP_179696026.1
OG0000531	WP_157696712.1	WP_020835645.1
OG0000537	WP_094521585.1	WP_011290028.1
OG0000538	WP_094521604.1	WP_179696065.1
OG0000543	WP_094521762.1	WP_160585706.1
OG0000544	WP_011284008.1	WP_308507042.1
OG0000545	WP_094521665.1	WP_160606457.1
OG0000546	WP_094521733.1	WP_179696083.1
OG0000553	WP_094521781.1	WP_020835815.1
OG0000554	WP_094521706.1	WP_179696033.1
OG0000556	WP_094521569.1	WP_094521569.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_094521614.1	WP_094521614.1
OG0000559	WP_014579758.1	WP_011290153.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_094521603.1	WP_179696064.1
OG0000562	WP_094521660.1	WP_146379618.1
OG0000563	WP_094521772.1	WP_011290172.1
OG0000564	WP_094521768.1	WP_258556567.1
OG0000565	WP_094521671.1	WP_011290181.1
OG0000566	WP_094521668.1	WP_258556588.1
OG0000568	WP_011206097.1	WP_179695840.1
OG0000569	WP_094521615.1	WP_094521615.1
OG0000570	WP_094521616.1	WP_179696091.1
OG0000571	WP_094521617.1	WP_179696092.1
OG0000572	WP_094521618.1	WP_179696093.1
OG0000573	WP_094521647.1	WP_020835676.1
OG0000574	WP_014579714.1	WP_014579714.1
OG0000575	WP_094521612.1	WP_179696090.1
OG0000576	WP_011290145.1	WP_011290145.1
OG0000577	WP_011206325.1	WP_011290300.1
OG0000579	WP_094521659.1	WP_179696112.1
OG0000581	WP_094521657.1	WP_179696111.1
OG0000584	WP_094521568.1	WP_179695832.1
OG0000585	WP_094521689.1	WP_160585768.1
OG0000588	WP_094521644.1	WP_179696076.1
OG0000590	WP_094521561.1	WP_258556509.1
OG0000592	WP_094521725.1	WP_258556545.1
OG0000594	WP_094521613.1	WP_179696096.1
OG0000595	WP_094521746.1	WP_179695915.1
OG0000597	WP_094521784.1	WP_044272591.1
OG0000600	WP_094521558.1, WP_094521490.1, WP_011206362.1	WP_179695833.1
OG0000601	WP_020835695.1	WP_179696108.1
OG0000603	WP_011206361.1	WP_011206361.1
OG0000608	WP_157696716.1, WP_157696715.1, WP_094521664.1, WP_094521661.1	WP_146379617.1
OG0000609	WP_157696717.1	WP_157696717.1
OG0000613	WP_094521672.1	WP_225972966.1
OG0000616	WP_011206358.1	WP_179695835.1
OG0000620	WP_143826160.1	WP_143826160.1
