Orthogroup	MHP_KM014_proteins	MHP_MHP696_proteins
OG0000234	WP_044284822.1	WP_160587977.1
OG0000235	WP_094521605.1	WP_160587980.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_094521606.1	WP_160587982.1
OG0000238	WP_011206006.1	WP_011283991.1
OG0000239	WP_011206399.1	WP_011290347.1
OG0000240	WP_011206400.1	WP_020835851.1
OG0000241	WP_011206402.1	WP_044272588.1
OG0000242	WP_094521742.1	WP_160588327.1
OG0000243	WP_014579955.1	WP_146379703.1
OG0000244	WP_094521744.1	WP_041361690.1
OG0000245	WP_011206408.1	WP_146379707.1
OG0000246	WP_094521541.1	WP_050195463.1
OG0000247	WP_094521542.1	WP_160617488.1
OG0000248	WP_052259122.1	WP_052259122.1
OG0000250	WP_011289957.1	WP_160588038.1
OG0000251	WP_094521546.1	WP_020835507.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_094521547.1	WP_160588034.1
OG0000254	WP_050195453.1	WP_160588032.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_160588029.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_094521759.1	WP_041361723.1
OG0000260	WP_094521550.1	WP_011289982.1
OG0000262	WP_041361531.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_160585532.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_044284579.1	WP_146379476.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_094521554.1	WP_014579577.1
OG0000268	WP_011283894.1	WP_160588019.1
OG0000269	WP_011206134.1	WP_160584741.1
OG0000270	WP_094521524.1	WP_160588154.1
OG0000271	WP_094521523.1	WP_160588152.1
OG0000272	WP_011284373.1	WP_160588150.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_094521521.1	WP_160588177.1
OG0000275	WP_011290422.1	WP_160588179.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_160588182.1
OG0000279	WP_011290418.1	WP_160588183.1
OG0000280	WP_094521520.1	WP_094521520.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000283	WP_014580009.1	WP_011206485.1
OG0000284	WP_094521519.1	WP_011206484.1
OG0000285	WP_094521518.1	WP_160584909.1
OG0000286	WP_094521714.1	WP_146379652.1
OG0000287	WP_011206297.1	WP_011284216.1
OG0000288	WP_094521779.1	WP_011206299.1
OG0000289	WP_020835793.1	WP_020835793.1
OG0000290	WP_094521724.1	WP_011284237.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044284681.1	WP_160587820.1
OG0000293	WP_094521723.1	WP_160587817.1
OG0000294	WP_094521780.1	WP_160587813.1
OG0000295	WP_094521722.1	WP_011206315.1
OG0000296	WP_044272552.1	WP_044272552.1
OG0000297	WP_011284225.1	WP_160588315.1
OG0000298	WP_094521544.1	WP_160588040.1
OG0000299	WP_094521545.1	WP_094521545.1
OG0000300	WP_011205915.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_014579576.1
OG0000303	WP_011206118.1	WP_146379484.1
OG0000304	WP_094521601.1	WP_011283978.1
OG0000305	WP_094521738.1	WP_160587859.1
OG0000306	WP_094521734.1	WP_044272563.1
OG0000307	WP_011206346.1	WP_160587844.1
OG0000308	WP_157696721.1	WP_044284683.1
OG0000309	WP_011206313.1	WP_011206313.1
OG0000310	WP_094521718.1	WP_160588319.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_094521778.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_094521675.1	WP_160587902.1
OG0000315	WP_011206209.1	WP_011290197.1
OG0000316	WP_094521679.1	WP_160587912.1
OG0000317	WP_094521685.1	WP_160585126.1
OG0000318	WP_094521775.1	WP_220191051.1
OG0000319	WP_094521690.1	WP_160588280.1
OG0000320	WP_094521702.1	WP_160588217.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_011205960.1	WP_020835642.1
OG0000323	WP_094521770.1	WP_160588227.1
OG0000324	WP_094521693.1	WP_160588283.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_094521590.1	WP_160588270.1
OG0000327	WP_011206076.1	WP_146379506.1
OG0000328	WP_011290047.1	WP_041361583.1
OG0000329	WP_044284742.1	WP_225973017.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_094521743.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_094521511.1	WP_044272637.1
OG0000335	WP_041361699.1	WP_160588128.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_094521528.1	WP_011290441.1
OG0000338	WP_094521531.1	WP_160584861.1
OG0000339	WP_094521699.1	WP_160585719.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_011284176.1	WP_160588289.1
OG0000342	WP_094521586.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_094521577.1	WP_160588307.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_041361706.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_014579636.1	WP_225973015.1
OG0000349	WP_094521522.1	WP_160588173.1
OG0000350	WP_094521782.1	WP_258555238.1
OG0000351	WP_094521571.1	WP_160588011.1
OG0000352	WP_094521673.1	WP_160587896.1
OG0000353	WP_094521626.1	WP_160588248.1
OG0000354	WP_094521580.1	WP_308507053.1
OG0000355	WP_011284115.1	WP_020835708.1
OG0000356	WP_094521678.1	WP_308507057.1
OG0000357	WP_094521501.1	WP_011206427.1
OG0000358	WP_094521502.1	WP_160588052.1
OG0000359	WP_094521589.1	WP_192894285.1
OG0000360	WP_094521548.1	WP_225973008.1
OG0000361	WP_094521549.1	WP_011289979.1
OG0000362	WP_094521719.1	WP_160588317.1
OG0000363	WP_094521632.1	WP_308507063.1
OG0000364	WP_094521773.1	WP_160587890.1
OG0000369	WP_094521533.1	WP_160588112.1
OG0000370	WP_044272260.1	WP_160588110.1
OG0000378	WP_094521620.1	WP_146379548.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_094521769.1	WP_160588252.1
OG0000381	WP_094521630.1	WP_160588219.1
OG0000385	WP_094521574.1	WP_044272311.1
OG0000389	WP_094521579.1	WP_160587959.1
OG0000394	WP_094521728.1	WP_011290313.1
OG0000396	WP_094521715.1	WP_160585153.1
OG0000403	WP_094521503.1	WP_020835873.1
OG0000404	WP_094521507.1	WP_160617499.1
OG0000405	WP_094521755.1	WP_160585278.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000412	WP_011290399.1	WP_011290399.1
OG0000428	WP_011283958.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011290062.1
OG0000430	WP_094521600.1	WP_014579604.1
OG0000434	WP_157696710.1	WP_160585569.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_011206003.1	WP_044272373.1
OG0000441	WP_094521745.1	WP_011284299.1
OG0000451	WP_094521553.1	WP_160585531.1
OG0000453	WP_011283895.1	WP_011206136.1
OG0000457	WP_094521517.1	WP_160588187.1
OG0000459	WP_014579890.1	WP_011206301.1
OG0000463	WP_094521721.1	WP_160587807.1
OG0000464	WP_094521720.1	WP_011206309.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000468	WP_094521677.1	WP_160587904.1
OG0000471	WP_094521595.1	WP_044272348.1
OG0000473	WP_094521525.1	WP_160588156.1
OG0000474	WP_011284377.1	WP_160588158.1
OG0000475	WP_094521526.1	WP_160588160.1
OG0000482	WP_094521611.1	WP_160587986.1
OG0000485	WP_094521607.1	WP_020835615.1
OG0000486	WP_094521696.1	WP_160588293.1
OG0000487	WP_157696720.1	WP_220191052.1
OG0000488	WP_094521682.1	WP_160587923.1
OG0000489	WP_094521534.1	WP_011205849.1
OG0000491	WP_011205966.1	WP_160588241.1
OG0000492	WP_094521628.1	WP_160617506.1
OG0000495	WP_094521735.1	WP_146379689.1
OG0000502	WP_094521609.1	WP_094521609.1
OG0000504	WP_094521766.1	WP_146379513.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000508	WP_094521758.1	WP_044272682.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000519	WP_020835579.1	WP_020835579.1
OG0000520	WP_011283957.1	WP_146379514.1
OG0000523	WP_094521516.1	WP_020835906.1
OG0000526	WP_041361763.1	WP_225972970.1
OG0000527	WP_094521656.1	WP_258555253.1
OG0000529	WP_014579831.1	WP_014579831.1
OG0000530	WP_011284186.1	WP_160585722.1
OG0000531	WP_157696712.1	WP_160588256.1
OG0000537	WP_094521585.1	WP_011290028.1
OG0000538	WP_094521604.1	WP_146379532.1
OG0000544	WP_011284008.1	WP_308507054.1
OG0000545	WP_094521665.1	WP_160587882.1
OG0000546	WP_094521733.1	WP_258555239.1
OG0000552	WP_094521504.1	WP_044284704.1
OG0000553	WP_094521781.1	WP_160587832.1
OG0000554	WP_094521706.1	WP_160585727.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_094521614.1	WP_160587995.1
OG0000559	WP_014579758.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_094521603.1	WP_160584672.1
OG0000562	WP_094521660.1	WP_146379618.1
OG0000563	WP_094521772.1	WP_160587877.1
OG0000564	WP_094521768.1	WP_308507055.1
OG0000565	WP_094521671.1	WP_011290181.1
OG0000566	WP_094521668.1	WP_258555256.1
OG0000568	WP_011206097.1	WP_044272325.1
OG0000569	WP_094521615.1	WP_160587997.1
OG0000570	WP_094521616.1	WP_160587999.1
OG0000571	WP_094521617.1	WP_135618664.1
OG0000572	WP_094521618.1	WP_160588001.1
OG0000573	WP_094521647.1	WP_135618777.1
OG0000574	WP_014579714.1	WP_011284018.1
OG0000575	WP_094521612.1	WP_014579697.1
OG0000576	WP_011290145.1	WP_160585066.1
OG0000577	WP_011206325.1	WP_011290300.1
OG0000579	WP_094521659.1	WP_160587875.1
OG0000580	WP_041361798.1	WP_258555240.1
OG0000581	WP_094521657.1	WP_094521657.1
OG0000585	WP_094521689.1	WP_160588364.1
OG0000588	WP_094521644.1	WP_243216079.1
OG0000589	WP_002557988.1	WP_220191121.1
OG0000592	WP_094521725.1	WP_160587824.1
OG0000594	WP_094521613.1	WP_160587992.1
OG0000595	WP_094521746.1	WP_160588352.1
OG0000597	WP_094521784.1	WP_220191129.1
OG0000601	WP_020835695.1	WP_160587878.1
OG0000606	WP_094521658.1	WP_160587871.1
OG0000608	WP_157696716.1, WP_157696715.1, WP_094521664.1, WP_094521661.1	WP_160587880.1
OG0000609	WP_157696717.1	WP_158520147.1
OG0000614	WP_094521688.1	WP_094521688.1
OG0000620	WP_143826160.1	WP_143826160.1
