Orthogroup	MHP_KM014_proteins	MHP_F72C_proteins
OG0000141	WP_011290345.1	WP_146379698.1
OG0000142	WP_094521740.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_094521739.1	WP_146379694.1
OG0000145	WP_011290337.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_146379692.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_094521737.1	WP_135619012.1
OG0000149	WP_011206379.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_135619006.1
OG0000151	WP_094521732.1	WP_020835828.1
OG0000152	WP_094521731.1	WP_020835827.1
OG0000153	WP_011206347.1	WP_146379685.1
OG0000154	WP_094521730.1	WP_011206345.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_011206334.1
OG0000158	WP_094521727.1	WP_146379680.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_081430769.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_146379654.1
OG0000163	WP_094521716.1	WP_044272529.1
OG0000164	WP_094521642.1	WP_146379571.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_094521676.1	WP_011290193.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_044284793.1	WP_146379604.1
OG0000169	WP_094521497.1	WP_094521497.1
OG0000171	WP_011206422.1	WP_146379717.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_094521499.1	WP_011284312.1
OG0000174	WP_094521500.1	WP_146379719.1
OG0000175	WP_094521754.1	WP_146379721.1
OG0000176	WP_094521505.1	WP_146379725.1
OG0000177	WP_094521506.1	WP_146379726.1
OG0000178	WP_020835878.1	WP_044272620.1
OG0000179	WP_014579979.1	WP_020835880.1
OG0000180	WP_011206445.1	WP_081642895.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_146379743.1
OG0000185	WP_094521514.1	WP_146379740.1
OG0000186	WP_094521637.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_094521695.1	WP_146379638.1
OG0000190	WP_011206256.1	WP_146379637.1
OG0000191	WP_011290223.1	WP_146379633.1
OG0000192	WP_011205992.1	WP_146379779.1
OG0000193	WP_094521610.1	WP_094521610.1
OG0000194	WP_094521582.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_094521584.1	WP_179695841.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_094521587.1	WP_146379501.1
OG0000201	WP_094521588.1	WP_011283934.1
OG0000202	WP_011283943.1	WP_146379507.1
OG0000203	WP_094521591.1	WP_011206072.1
OG0000204	WP_014579633.1	WP_146379508.1
OG0000205	WP_094521592.1	WP_146379509.1
OG0000206	WP_011290044.1	WP_135618589.1
OG0000207	WP_094521594.1	WP_094521594.1
OG0000208	WP_011290046.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_094521596.1	WP_146379515.1
OG0000211	WP_011206050.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_011290055.1
OG0000216	WP_011283965.1	WP_014579616.1
OG0000217	WP_011206044.1	WP_146379520.1
OG0000218	WP_094521597.1	WP_011290058.1
OG0000219	WP_051129924.1	WP_011206041.1
OG0000220	WP_011206040.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000225	WP_094521598.1	WP_146379522.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011290064.1
OG0000228	WP_094521599.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_146379528.1
OG0000234	WP_044284822.1	WP_146379533.1
OG0000235	WP_094521605.1	WP_146379535.1
OG0000236	WP_011283989.1	WP_146379536.1
OG0000237	WP_094521606.1	WP_146379537.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011206399.1	WP_146379700.1
OG0000240	WP_011206400.1	WP_020835851.1
OG0000241	WP_011206402.1	WP_044272588.1
OG0000242	WP_094521742.1	WP_146379702.1
OG0000243	WP_014579955.1	WP_146379703.1
OG0000244	WP_094521744.1	WP_146379705.1
OG0000245	WP_011206408.1	WP_146379707.1
OG0000246	WP_094521541.1	WP_050195463.1
OG0000247	WP_094521542.1	WP_146379457.1
OG0000248	WP_052259122.1	WP_146379774.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_094521546.1	WP_146379462.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_094521547.1	WP_146379464.1
OG0000254	WP_050195453.1	WP_146379465.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_094521759.1	WP_225973009.1
OG0000260	WP_094521550.1	WP_146379471.1
OG0000262	WP_041361531.1	WP_135618519.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_044284579.1	WP_146379476.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_094521554.1	WP_146379477.1
OG0000268	WP_011283894.1	WP_146379478.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_094521524.1	WP_146379759.1
OG0000271	WP_094521523.1	WP_020835915.1
OG0000272	WP_011284373.1	WP_146379758.1
OG0000273	WP_011206502.1	WP_146379757.1
OG0000274	WP_094521521.1	WP_011290423.1
OG0000275	WP_011290422.1	WP_225973001.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_146379752.1
OG0000279	WP_011290418.1	WP_011290418.1
OG0000280	WP_094521520.1	WP_094521520.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000283	WP_014580009.1	WP_014580009.1
OG0000284	WP_094521519.1	WP_011206484.1
OG0000285	WP_094521518.1	WP_011290413.1
OG0000286	WP_094521714.1	WP_146379652.1
OG0000287	WP_011206297.1	WP_146379659.1
OG0000288	WP_094521779.1	WP_146379661.1
OG0000289	WP_020835793.1	WP_020835793.1
OG0000290	WP_094521724.1	WP_146379672.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044284681.1	WP_146379670.1
OG0000293	WP_094521723.1	WP_020835805.1
OG0000294	WP_094521780.1	WP_146379669.1
OG0000295	WP_094521722.1	WP_011206315.1
OG0000296	WP_044272552.1	WP_041361673.1
OG0000297	WP_011284225.1	WP_146379664.1
OG0000298	WP_094521544.1	WP_146379460.1
OG0000299	WP_094521545.1	WP_011205878.1
OG0000300	WP_011205915.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_135618529.1
OG0000302	WP_014579576.1	WP_011205925.1
OG0000303	WP_011206118.1	WP_146379484.1
OG0000304	WP_094521601.1	WP_220190741.1
OG0000305	WP_094521738.1	WP_020835841.1
OG0000306	WP_094521734.1	WP_146379686.1
OG0000307	WP_011206346.1	WP_135618990.1
OG0000308	WP_157696721.1	WP_146379674.1
OG0000309	WP_011206313.1	WP_146379668.1
OG0000310	WP_094521718.1	WP_146379660.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_094521778.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_094521675.1	WP_146379607.1
OG0000315	WP_011206209.1	WP_011290197.1
OG0000316	WP_094521679.1	WP_014579818.1
OG0000317	WP_094521685.1	WP_146379589.1
OG0000318	WP_094521775.1	WP_220200854.1
OG0000319	WP_094521690.1	WP_146379629.1
OG0000320	WP_094521702.1	WP_146379643.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_011205960.1	WP_020835642.1
OG0000323	WP_094521770.1	WP_146379567.1
OG0000324	WP_094521693.1	WP_094521693.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_094521590.1	WP_146379505.1
OG0000327	WP_011206076.1	WP_146379506.1
OG0000328	WP_011290047.1	WP_225973016.1
OG0000329	WP_044284742.1	WP_225973017.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_094521743.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_094521511.1	WP_044272637.1
OG0000335	WP_041361699.1	WP_146379731.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_094521528.1	WP_011284387.1
OG0000338	WP_094521531.1	WP_011284394.1
OG0000339	WP_094521699.1	WP_146379639.1
OG0000340	WP_011205973.1	WP_146379551.1
OG0000341	WP_011284176.1	WP_146379636.1
OG0000342	WP_094521586.1	WP_146379499.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_094521577.1	WP_146379487.1
OG0000345	WP_014579611.1	WP_146379521.1
OG0000346	WP_041361706.1	WP_041361706.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_014579636.1	WP_225973015.1
OG0000349	WP_094521522.1	WP_146379756.1
OG0000350	WP_094521782.1	WP_146379684.1
OG0000351	WP_094521571.1	WP_146379480.1
OG0000352	WP_094521673.1	WP_146379609.1
OG0000353	WP_094521626.1	WP_146379556.1
OG0000354	WP_094521580.1	WP_225973014.1
OG0000355	WP_011284115.1	WP_011206194.1
OG0000356	WP_094521678.1	WP_225973042.1
OG0000357	WP_094521501.1	WP_011206427.1
OG0000358	WP_094521502.1	WP_146379720.1
OG0000359	WP_094521589.1	WP_192894285.1
OG0000360	WP_094521548.1	WP_225973008.1
OG0000361	WP_094521549.1	WP_011289979.1
OG0000362	WP_094521719.1	WP_011290282.1
OG0000363	WP_094521632.1	WP_233417364.1
OG0000369	WP_094521533.1	WP_146379444.1
OG0000370	WP_044272260.1	WP_044272260.1
OG0000378	WP_094521620.1	WP_146379548.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_094521769.1	WP_146379558.1
OG0000381	WP_094521630.1	WP_146379561.1
OG0000385	WP_094521574.1	WP_044272311.1
OG0000389	WP_094521579.1	WP_146379493.1
OG0000394	WP_094521728.1	WP_011290313.1
OG0000396	WP_094521715.1	WP_020835781.1
OG0000403	WP_094521503.1	WP_192894281.1
OG0000404	WP_094521507.1	WP_146379727.1
OG0000405	WP_094521755.1	WP_081642900.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000412	WP_011290399.1	WP_146379741.1
OG0000417	WP_094521694.1	WP_146379635.1
OG0000428	WP_011283958.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_094521600.1	WP_146379523.1
OG0000434	WP_157696710.1	WP_146379531.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_011206003.1	WP_044272373.1
OG0000441	WP_094521745.1	WP_011284299.1
OG0000451	WP_094521553.1	WP_011205913.1
OG0000453	WP_011283895.1	WP_011283895.1
OG0000457	WP_094521517.1	WP_146379749.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000463	WP_094521721.1	WP_146379666.1
OG0000464	WP_094521720.1	WP_011206309.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000468	WP_094521677.1	WP_146379606.1
OG0000471	WP_094521595.1	WP_044272348.1
OG0000473	WP_094521525.1	WP_020835917.1
OG0000474	WP_011284377.1	WP_041361711.1
OG0000475	WP_094521526.1	WP_146379760.1
OG0000482	WP_094521611.1	WP_146379541.1
OG0000485	WP_094521607.1	WP_146379538.1
OG0000486	WP_094521696.1	WP_011290228.1
OG0000487	WP_157696720.1	WP_225973041.1
OG0000488	WP_094521682.1	WP_146379596.1
OG0000489	WP_094521534.1	WP_011205849.1
OG0000491	WP_011205966.1	WP_020835639.1
OG0000492	WP_094521628.1	WP_146379559.1
OG0000495	WP_094521735.1	WP_146379689.1
OG0000502	WP_094521609.1	WP_146379540.1
OG0000504	WP_094521766.1	WP_146379513.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000508	WP_094521758.1	WP_020835512.1
OG0000517	WP_011283834.1	WP_146379446.1
OG0000519	WP_020835579.1	WP_135618573.1
OG0000520	WP_011283957.1	WP_146379514.1
OG0000523	WP_094521516.1	WP_146379748.1
OG0000526	WP_041361763.1	WP_225972970.1
OG0000527	WP_094521656.1	WP_225972972.1
OG0000529	WP_014579831.1	WP_014579831.1
OG0000530	WP_011284186.1	WP_146379640.1
OG0000531	WP_157696712.1	WP_020835645.1
OG0000537	WP_094521585.1	WP_011290028.1
OG0000538	WP_094521604.1	WP_146379532.1
OG0000544	WP_011284008.1	WP_014579703.1
OG0000545	WP_094521665.1	WP_146379616.1
OG0000546	WP_094521733.1	WP_225972993.1
OG0000552	WP_094521504.1	WP_146379724.1
OG0000553	WP_094521781.1	WP_146379678.1
OG0000554	WP_094521706.1	WP_146379649.1
OG0000557	WP_011205983.1	WP_146379545.1
OG0000558	WP_094521614.1	WP_020835624.1
OG0000559	WP_014579758.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_094521603.1	WP_146379530.1
OG0000562	WP_094521660.1	WP_146379618.1
OG0000563	WP_094521772.1	WP_146379619.1
OG0000564	WP_094521768.1	WP_014579710.1
OG0000565	WP_094521671.1	WP_146379612.1
OG0000566	WP_094521668.1	WP_225972969.1
OG0000568	WP_011206097.1	WP_146379498.1
OG0000569	WP_094521615.1	WP_146379543.1
OG0000570	WP_094521616.1	WP_146379544.1
OG0000571	WP_094521617.1	WP_135618664.1
OG0000572	WP_094521618.1	WP_146379546.1
OG0000573	WP_094521647.1	WP_135618777.1
OG0000574	WP_014579714.1	WP_014579714.1
OG0000575	WP_094521612.1	WP_146379542.1
OG0000576	WP_011290145.1	WP_011290145.1
OG0000577	WP_011206325.1	WP_011290300.1
OG0000579	WP_094521659.1	WP_146379623.1
OG0000580	WP_041361798.1	WP_225972994.1
OG0000581	WP_094521657.1	WP_146379624.1
OG0000585	WP_094521689.1	WP_146379626.1
OG0000588	WP_094521644.1	WP_192894289.1
OG0000589	WP_002557988.1	WP_146379516.1
OG0000592	WP_094521725.1	WP_094521725.1
OG0000594	WP_094521613.1	WP_146379780.1
OG0000595	WP_094521746.1	WP_146379708.1
OG0000597	WP_094521784.1	WP_044272591.1
OG0000601	WP_020835695.1	WP_020835695.1
OG0000606	WP_094521658.1	WP_014579783.1
OG0000608	WP_157696716.1, WP_157696715.1, WP_094521664.1, WP_094521661.1	WP_146379617.1
OG0000609	WP_157696717.1	WP_158520147.1
OG0000613	WP_094521672.1	WP_225972966.1
