MYF_RS00005 WP_002557479.1
MYF_RS01630 WP_002557529.1
MYF_RS01635 WP_002557530.1
MYF_RS01640 WP_039387775.1
MYF_RS01645 WP_002557532.1
MYF_RS01650 WP_002557533.1
MYF_RS01655 WP_002557534.1
MYF_RS01660 WP_002557535.1
MYF_RS01665 WP_039387777.1
MYF_RS01670 WP_002557537.1
MYF_RS01675 WP_002557538.1
MYF_RS01680 WP_051054268.1
MYF_RS01685 WP_039387610.1
MYF_RS01690 WP_002557540.1
MYF_RS01695 WP_002557541.1
MYF_RS01700 WP_002557542.1
MYF_RS01705 WP_002557543.1
MYF_RS01710 WP_002557544.1
MYF_RS01715 WP_002557545.1
MYF_RS01720 WP_002557546.1
MYF_RS01725 WP_002557547.1
MYF_RS01730 WP_039387613.1
MYF_RS01735 WP_002557548.1
MYF_RS01740 WP_002557549.1
MYF_RS01745 WP_002557550.1
MYF_RS01750 WP_002557551.1
MYF_RS01755 WP_081605280.1
MYF_RS01760 WP_002557553.1
MYF_RS01765 WP_002557554.1
MYF_RS01770 WP_002557555.1
MYF_RS01775 WP_002557556.1
MYF_RS01780 WP_002557557.1
MYF_RS01785 WP_002557558.1
MYF_RS01790 WP_002557559.1
MYF_RS01795 WP_323749062.1
MYF_RS01800 WP_002557561.1
MYF_RS01805 WP_002557562.1
MYF_RS01810 WP_002557563.1
MYF_RS01815 WP_002557564.1
MYF_RS01820 WP_002557565.1
MYF_RS01850 WP_002557566.1
MYF_RS01855 WP_002557567.1
MYF_RS01860 WP_039387619.1
MYF_RS01865 WP_002557569.1
MYF_RS01870 WP_236681772.1
MYF_RS01875 WP_236681789.1
MYF_RS01880 WP_002557747.1
MYF_RS01885 WP_002557748.1
MYF_RS01890 WP_002557749.1
MYF_RS01895 WP_002557750.1
MYF_RS01900 WP_002557751.1
MYF_RS01905 WP_002557752.1
MYF_RS01910 WP_002557753.1
MYF_RS01915 WP_002557754.1
MYF_RS01920 WP_002557755.1
MYF_RS01925 WP_236681773.1
MYF_RS01930 WP_039387623.1
MYF_RS01935 WP_002557757.1
MYF_RS01940 WP_039387782.1
MYF_RS01945 WP_002557759.1
MYF_RS01950 WP_002557760.1
MYF_RS01955 WP_002557761.1
MYF_RS01960 WP_039387626.1
MYF_RS01965 WP_002557763.1
MYF_RS01970 WP_002557764.1
MYF_RS01975 WP_201771017.1
MYF_RS01980 WP_002557766.1
MYF_RS01985 WP_002557767.1
MYF_RS01990 WP_002557768.1
MYF_RS01995 WP_002557769.1
MYF_RS02000 WP_039387628.1
MYF_RS02005 WP_039387630.1
MYF_RS02010 WP_002557773.1
MYF_RS02015 WP_002557774.1
MYF_RS02020 WP_002557775.1
MYF_RS02025 WP_002557776.1
MYF_RS02030 WP_039387785.1
MYF_RS02035 WP_002557778.1
MYF_RS02040 WP_002557779.1
MYF_RS02045 WP_002557780.1
MYF_RS02050 WP_002557781.1
MYF_RS02055 WP_002557782.1
MYF_RS02060 WP_002557783.1
MYF_RS02070 WP_236681774.1
MYF_RS02075 WP_002557784.1
MYF_RS02080 WP_002557785.1
MYF_RS02085 WP_002557786.1
MYF_RS02090 WP_039387636.1
MYF_RS02095 WP_039387638.1
MYF_RS02100 WP_081605285.1
MYF_RS02110 WP_002557790.1
MYF_RS02115 WP_002557791.1
MYF_RS02120 WP_002557792.1
MYF_RS02125 WP_002557793.1
MYF_RS02130 WP_002557794.1
MYF_RS02135 WP_039387641.1
MYF_RS02140 WP_002557796.1
MYF_RS02145 WP_002557797.1
MYF_RS02150 WP_002557798.1
MYF_RS02155 WP_002557799.1
MYF_RS02160 WP_002557800.1
MYF_RS02165 WP_002557801.1
MYF_RS02170 WP_002557802.1
MYF_RS02175 WP_002557803.1
MYF_RS02180 WP_039387644.1
MYF_RS02185 WP_002557805.1
MYF_RS02190 WP_002557806.1
MYF_RS02195 WP_236681775.1
MYF_RS02200 WP_039387648.1
MYF_RS02205 WP_002557809.1
MYF_RS02210 WP_002557810.1
MYF_RS02215 WP_039387651.1
MYF_RS02220 WP_002557811.1
MYF_RS02225 WP_002557812.1
MYF_RS02230 WP_002557813.1
MYF_RS02235 WP_002557814.1
MYF_RS02240 WP_002557815.1
MYF_RS02245 WP_002557816.1
MYF_RS02250 WP_002557817.1
MYF_RS02255 WP_002557818.1
MYF_RS02260 WP_002557819.1
MYF_RS02265 WP_002557820.1
MYF_RS02270 WP_002557821.1
MYF_RS02275 WP_002557822.1
MYF_RS02280 WP_002557823.1
MYF_RS02285 WP_002557824.1
MYF_RS02290 WP_002557825.1
MYF_RS03240 WP_002557826.1
MYF_RS02295 WP_002557827.1
MYF_RS02300 WP_002557828.1
MYF_RS02305 WP_002557829.1
MYF_RS02310 WP_051054304.1
MYF_RS02315 WP_002557831.1
MYF_RS02320 WP_002557832.1
MYF_RS02325 WP_002557833.1
MYF_RS03530 WP_002557834.1
MYF_RS02335 WP_002557835.1
MYF_RS02340 WP_002557836.1
MYF_RS02345 WP_002557837.1
MYF_RS02350 WP_002557838.1
MYF_RS02355 WP_002557839.1
MYF_RS02360 WP_002557840.1
MYF_RS02365 WP_002557841.1
MYF_RS02370 WP_002557842.1
MYF_RS02375 WP_002557843.1
MYF_RS02380 WP_039387658.1
MYF_RS02385 WP_002557845.1
MYF_RS02390 WP_002557846.1
MYF_RS02395 WP_002557847.1
MYF_RS02400 WP_002557848.1
MYF_RS02405 WP_002557849.1
MYF_RS02410 WP_002557850.1
MYF_RS02415 WP_002557851.1
MYF_RS02420 WP_002557852.1
MYF_RS03340 WP_155897262.1
MYF_RS03175 WP_155897263.1
MYF_RS03180 WP_002557854.1
MYF_RS02430 WP_002557855.1
MYF_RS02435 WP_002557856.1
MYF_RS02440 WP_002557857.1
MYF_RS02445 WP_039387661.1
MYF_RS02450 WP_002557860.1
MYF_RS02455 WP_002557861.1
MYF_RS02460 WP_002557862.1
MYF_RS02465 WP_002557863.1
MYF_RS02470 WP_002557864.1
MYF_RS02475 WP_002557865.1
MYF_RS02480 WP_002557866.1
MYF_RS02485 WP_002557867.1
MYF_RS02490 WP_002557868.1
MYF_RS02495 WP_039387665.1
MYF_RS02500 WP_002557870.1
MYF_RS02505 WP_231237875.1
MYF_RS02510 WP_002557872.1
MYF_RS02515 WP_236681776.1
MYF_RS02520 WP_236681777.1
MYF_RS03440 WP_039387667.1
MYF_RS02535 WP_236681778.1
MYF_RS03445 WP_039387670.1
MYF_RS02545 WP_236681779.1
MYF_RS03450 WP_039387671.1
MYF_RS02560 WP_002557698.1
MYF_RS03265 WP_231237870.1
MYF_RS02565 WP_051054290.1
MYF_RS02570 WP_002557700.1
MYF_RS03455 WP_318023899.1
MYF_RS03460 WP_002557702.1
MYF_RS02580 WP_002557703.1
MYF_RS02585 WP_002557704.1
MYF_RS02590 WP_002557705.1
MYF_RS02595 WP_002557706.1
MYF_RS02600 WP_002557707.1
MYF_RS02605 WP_002557708.1
MYF_RS02610 WP_002557709.1
MYF_RS02615 WP_002557710.1
MYF_RS02620 WP_231237872.1
MYF_RS02625 WP_002557712.1
MYF_RS02630 WP_002557713.1
MYF_RS02635 WP_039387681.1
MYF_RS02640 WP_002557714.1
MYF_RS02645 WP_039387683.1
MYF_RS02650 WP_002557715.1
MYF_RS02655 WP_039387808.1
MYF_RS02660 WP_002557717.1
MYF_RS02670 WP_002557719.1
MYF_RS02675 WP_039387687.1
MYF_RS02680 WP_002557721.1
MYF_RS02685 WP_039387689.1
MYF_RS02690 WP_002557724.1
MYF_RS02695 WP_002557725.1
MYF_RS02700 WP_002557726.1
MYF_RS03510 WP_255454503.1
MYF_RS03515 WP_269076341.1
MYF_RS02710 WP_039387691.1
MYF_RS02715 WP_039387693.1
MYF_RS02720 WP_002557729.1
MYF_RS02725 WP_039387695.1
MYF_RS02730 WP_002557731.1
MYF_RS02735 WP_039387697.1
MYF_RS02740 WP_002557733.1
MYF_RS02745 WP_002557734.1
MYF_RS02755 WP_002557735.1
MYF_RS02760 WP_002557736.1
MYF_RS02765 WP_002557737.1
MYF_RS02770 WP_002557738.1
MYF_RS02780 WP_002557739.1
MYF_RS02785 WP_002557740.1
MYF_RS02790 WP_002557741.1
MYF_RS02795 WP_002557742.1
MYF_RS02800 WP_002557743.1
MYF_RS02805 WP_002557744.1
MYF_RS02810 WP_039387700.1
MYF_RS03535 WP_039387700.1
MYF_RS02815 WP_231237886.1
MYF_RS02820 WP_002557971.1
MYF_RS02825 WP_002557970.1
MYF_RS02830 WP_002557969.1
MYF_RS02835 WP_002557968.1
MYF_RS02840 WP_002557967.1
MYF_RS02845 WP_002557966.1
MYF_RS02850 WP_002557965.1
MYF_RS02855 WP_002557964.1
MYF_RS02860 WP_002557963.1
MYF_RS02870 WP_039387704.1
MYF_RS02875 WP_051054328.1
MYF_RS03275 WP_002557961.1
MYF_RS02880 WP_002557960.1
MYF_RS02885 WP_002557959.1
MYF_RS02890 WP_039387707.1
MYF_RS02895 WP_002557957.1
MYF_RS02900 WP_002557956.1
MYF_RS02905 WP_039387817.1
MYF_RS02910 WP_002557954.1
MYF_RS02915 WP_039387710.1
MYF_RS02920 WP_002557951.1
MYF_RS02925 WP_002557950.1
MYF_RS02930 WP_155897264.1
MYF_RS02940 WP_002557948.1
MYF_RS02945 WP_002557947.1
MYF_RS02950 WP_002557946.1
MYF_RS02955 WP_002557945.1
MYF_RS02960 WP_039387713.1
MYF_RS02965 WP_039387714.1
MYF_RS02970 WP_039387715.1
MYF_RS02975 WP_002557941.1
MYF_RS03470 WP_039387716.1
MYF_RS03475 WP_231237884.1
MYF_RS03480 WP_051054325.1
MYF_RS03485 WP_002557940.1
MYF_RS02990 WP_002557939.1
MYF_RS03490 WP_002557939.1
MYF_RS03495 WP_082019631.1
MYF_RS03005 WP_231237860.1
MYF_RS03010 WP_002557503.1
MYF_RS03295 WP_318023901.1
MYF_RS03330 WP_039387718.1
MYF_RS03025 WP_002557501.1
MYF_RS03030 WP_002557500.1
MYF_RS03035 WP_002557499.1
MYF_RS03040 WP_039387719.1
MYF_RS03045 WP_002557497.1
MYF_RS03050 WP_002557496.1
MYF_RS03060 WP_081605276.1
MYF_RS03065 WP_002557494.1
MYF_RS03070 WP_002557493.1
MYF_RS03075 WP_040538372.1
MYF_RS03080 WP_002557491.1
MYF_RS03085 WP_002557490.1
MYF_RS03100 WP_002557489.1
MYF_RS03105 WP_039387722.1
MYF_RS03110 WP_002557487.1
MYF_RS03115 WP_002557486.1
MYF_RS03120 WP_002557485.1
MYF_RS03125 WP_002557484.1
MYF_RS03130 WP_002557483.1
MYF_RS03135 WP_002557482.1
MYF_RS03140 WP_002557481.1
MYF_RS03145 WP_039387723.1
MYF_RS03150 WP_002557480.1
