Orthogroup	MFC_MF33_genes	MHP_Ue273_genes
OG0000139	DR085_RS00465	VQY17_RS00650
OG0000140	DR085_RS00470	VQY17_RS00655
OG0000141	DR085_RS00510	VQY17_RS02915
OG0000142	DR085_RS03655	VQY17_RS02910
OG0000143	DR085_RS00540	VQY17_RS02885
OG0000144	DR085_RS00550	VQY17_RS02875
OG0000145	DR085_RS00560	VQY17_RS02865
OG0000146	DR085_RS00570	VQY17_RS02855
OG0000147	DR085_RS00575	VQY17_RS02850
OG0000148	DR085_RS00590	VQY17_RS02835
OG0000149	DR085_RS00600	VQY17_RS02825
OG0000150	DR085_RS00615	VQY17_RS02810
OG0000151	DR085_RS00670	VQY17_RS02760
OG0000152	DR085_RS00675	VQY17_RS02755
OG0000153	DR085_RS00680	VQY17_RS02750
OG0000154	DR085_RS00690	VQY17_RS02740
OG0000155	DR085_RS00710	VQY17_RS02705
OG0000156	DR085_RS00730	VQY17_RS02695
OG0000157	DR085_RS03660	VQY17_RS02690
OG0000158	DR085_RS03665	VQY17_RS02680
OG0000159	DR085_RS00970	VQY17_RS02460
OG0000160	DR085_RS00975	VQY17_RS02455
OG0000161	DR085_RS00985	VQY17_RS02450
OG0000162	DR085_RS02725	VQY17_RS02440
OG0000163	DR085_RS02720	VQY17_RS02435
OG0000164	DR085_RS03860	VQY17_RS01640
OG0000165	DR085_RS02810	VQY17_RS02015
OG0000166	DR085_RS02780	VQY17_RS02035
OG0000167	DR085_RS02765	VQY17_RS02050
OG0000168	DR085_RS02760	VQY17_RS02055
OG0000169	DR085_RS01405	VQY17_RS03035
OG0000170	DR085_RS01420	VQY17_RS03050
OG0000171	DR085_RS01430	VQY17_RS03060
OG0000172	DR085_RS01435	VQY17_RS03065
OG0000173	DR085_RS01440	VQY17_RS03070
OG0000174	DR085_RS01445	VQY17_RS03075
OG0000175	DR085_RS01460	VQY17_RS03090
OG0000176	DR085_RS01500	VQY17_RS03135
OG0000177	DR085_RS01505	VQY17_RS03140
OG0000178	DR085_RS01510	VQY17_RS03145
OG0000179	DR085_RS01520	VQY17_RS03155
OG0000180	DR085_RS01525	VQY17_RS03160
OG0000181	DR085_RS03715	VQY17_RS03210
OG0000182	DR085_RS01550	VQY17_RS03220
OG0000183	DR085_RS01585	VQY17_RS03255
OG0000184	DR085_RS02950	VQY17_RS03305
OG0000185	DR085_RS02935	VQY17_RS03290
OG0000186	DR085_RS02180	VQY17_RS01545
OG0000187	DR085_RS02165	VQY17_RS01560
OG0000188	DR085_RS02155	VQY17_RS01570
OG0000189	DR085_RS03775	VQY17_RS02305
OG0000190	DR085_RS02140	VQY17_RS02300
OG0000191	DR085_RS02120	VQY17_RS02280
OG0000192	DR085_RS02110	VQY17_RS01240
OG0000193	DR085_RS02095	VQY17_RS01230
OG0000194	DR085_RS02085	VQY17_RS00690
OG0000195	DR085_RS02080	VQY17_RS00695
OG0000196	DR085_RS03770	VQY17_RS00715
OG0000197	DR085_RS02055	VQY17_RS00720
OG0000198	DR085_RS02040	VQY17_RS00735
OG0000199	DR085_RS02035	VQY17_RS00740
OG0000200	DR085_RS02020	VQY17_RS00755
OG0000201	DR085_RS02010	VQY17_RS00765
OG0000202	DR085_RS01955	VQY17_RS00825
OG0000203	DR085_RS01950	VQY17_RS00830
OG0000204	DR085_RS03675	VQY17_RS00835
OG0000205	DR085_RS00995	VQY17_RS00840
OG0000206	DR085_RS01015	VQY17_RS00860
OG0000207	DR085_RS01030	VQY17_RS00875
OG0000208	DR085_RS01035	VQY17_RS00880
OG0000209	DR085_RS01040	VQY17_RS00885
OG0000210	DR085_RS01085	VQY17_RS00935
OG0000211	DR085_RS01095	VQY17_RS00970
OG0000212	DR085_RS01105	VQY17_RS00980
OG0000213	DR085_RS01110	VQY17_RS00985
OG0000214	DR085_RS01115	VQY17_RS00990
OG0000215	DR085_RS01120	VQY17_RS00995
OG0000216	DR085_RS01125	VQY17_RS01000
OG0000217	DR085_RS01130	VQY17_RS01005
OG0000218	DR085_RS03695	VQY17_RS01015
OG0000219	DR085_RS01145	VQY17_RS01020
OG0000220	DR085_RS01150	VQY17_RS01025
OG0000221	DR085_RS01155	VQY17_RS01030
OG0000222	DR085_RS01160	VQY17_RS01035
OG0000223	DR085_RS01165	VQY17_RS01040
OG0000224	DR085_RS01175	VQY17_RS01050
OG0000225	DR085_RS01185	VQY17_RS01060
OG0000226	DR085_RS01190	VQY17_RS01065
OG0000227	DR085_RS01195	VQY17_RS01070
OG0000228	DR085_RS03930	VQY17_RS01075
OG0000229	DR085_RS01205	VQY17_RS01080
OG0000230	DR085_RS01210	VQY17_RS01085
OG0000231	DR085_RS01220	VQY17_RS01095
OG0000232	DR085_RS01230	VQY17_RS01105
OG0000233	DR085_RS01240	VQY17_RS01125
OG0000234	DR085_RS01270	VQY17_RS01165
OG0000235	DR085_RS01280	VQY17_RS01175
OG0000236	DR085_RS01285	VQY17_RS01180
OG0000237	DR085_RS01305	VQY17_RS01185
OG0000238	DR085_RS01310	VQY17_RS01190
OG0000239	DR085_RS01340	VQY17_RS02930
OG0000240	DR085_RS01345	VQY17_RS02935
OG0000241	DR085_RS01355	VQY17_RS02945
OG0000242	DR085_RS01360	VQY17_RS02950
OG0000243	DR085_RS01365	VQY17_RS02955
OG0000244	DR085_RS01375	VQY17_RS02965
OG0000245	DR085_RS01385	VQY17_RS02970
OG0000246	DR085_RS02350	VQY17_RS00140
OG0000247	DR085_RS02360	VQY17_RS00150
OG0000248	DR085_RS02385	VQY17_RS00160
OG0000249	DR085_RS02390	VQY17_RS00165
OG0000250	DR085_RS00015	VQY17_RS00180
OG0000251	DR085_RS00045	VQY17_RS00210
OG0000252	DR085_RS00055	VQY17_RS00220
OG0000253	DR085_RS00060	VQY17_RS00225
OG0000254	DR085_RS00070	VQY17_RS00235
OG0000255	DR085_RS00075	VQY17_RS00245
OG0000256	DR085_RS00080	VQY17_RS00250
OG0000257	DR085_RS00105	VQY17_RS00275
OG0000258	DR085_RS00115	VQY17_RS00285
OG0000259	DR085_RS00145	VQY17_RS00315
OG0000260	DR085_RS00155	VQY17_RS00325
OG0000261	DR085_RS03635	VQY17_RS00335
OG0000262	DR085_RS00180	VQY17_RS00350
OG0000263	DR085_RS00195	VQY17_RS00365
OG0000264	DR085_RS00210	VQY17_RS00380
OG0000265	DR085_RS00220	VQY17_RS00390
OG0000266	DR085_RS00235	VQY17_RS00405
OG0000267	DR085_RS00250	VQY17_RS00420
OG0000268	DR085_RS00255	VQY17_RS00425
OG0000269	DR085_RS00270	VQY17_RS00440
OG0000270	DR085_RS03815	VQY17_RS03495
OG0000271	DR085_RS02505	VQY17_RS03490
OG0000272	DR085_RS02510	VQY17_RS03485
OG0000273	DR085_RS02515	VQY17_RS03480
OG0000274	DR085_RS02530	VQY17_RS03460
OG0000275	DR085_RS03820	VQY17_RS03455
OG0000276	DR085_RS02540	VQY17_RS03450
OG0000277	DR085_RS03825	VQY17_RS03435
OG0000278	DR085_RS02555	VQY17_RS03430
OG0000279	DR085_RS02565	VQY17_RS03420
OG0000280	DR085_RS02570	VQY17_RS03415
OG0000281	DR085_RS02575	VQY17_RS03410
OG0000282	DR085_RS02600	VQY17_RS03380
OG0000283	DR085_RS02605	VQY17_RS03375
OG0000284	DR085_RS02610	VQY17_RS03370
OG0000285	DR085_RS03840	VQY17_RS03365
OG0000286	DR085_RS00925	VQY17_RS02420
OG0000287	DR085_RS00900	VQY17_RS02510
OG0000288	DR085_RS00890	VQY17_RS02520
OG0000289	DR085_RS00885	VQY17_RS02525
OG0000290	DR085_RS03270	VQY17_RS02635
OG0000291	DR085_RS00785	VQY17_RS02625
OG0000292	DR085_RS00790	VQY17_RS02620
OG0000293	DR085_RS00795	VQY17_RS02615
OG0000294	DR085_RS00805	VQY17_RS02605
OG0000295	DR085_RS00810	VQY17_RS02600
OG0000296	DR085_RS00850	VQY17_RS02560
OG0000297	DR085_RS00855	VQY17_RS02555
OG0000298	DR085_RS00010	VQY17_RS00175
OG0000299	DR085_RS00030	VQY17_RS00195
OG0000300	DR085_RS00205	VQY17_RS00375
OG0000301	DR085_RS00240	VQY17_RS00410
OG0000302	DR085_RS00245	VQY17_RS00415
OG0000303	DR085_RS00380	VQY17_RS00560
OG0000304	DR085_RS00415	VQY17_RS01110
OG0000305	DR085_RS00565	VQY17_RS02860
OG0000306	DR085_RS00650	VQY17_RS02785
OG0000307	DR085_RS00685	VQY17_RS02745
OG0000308	DR085_RS00765	VQY17_RS02655
OG0000309	DR085_RS00820	VQY17_RS02590
OG0000310	DR085_RS00895	VQY17_RS02515
OG0000311	DR085_RS00945	VQY17_RS02480
OG0000312	DR085_RS00965	VQY17_RS02465
OG0000313	DR085_RS02700	VQY17_RS01630
OG0000314	DR085_RS02785	VQY17_RS02030
OG0000315	DR085_RS02755	VQY17_RS02060
OG0000316	DR085_RS02745	VQY17_RS02070
OG0000317	DR085_RS02870	VQY17_RS02170
OG0000318	DR085_RS03900	VQY17_RS02075
OG0000319	DR085_RS01915	VQY17_RS02235
OG0000320	DR085_RS01850	VQY17_RS02365
OG0000321	DR085_RS01785	VQY17_RS01350
OG0000322	DR085_RS01740	VQY17_RS01400
OG0000323	DR085_RS01610	VQY17_RS01530
OG0000324	DR085_RS02115	VQY17_RS02275
OG0000325	DR085_RS02075	VQY17_RS00700
OG0000326	DR085_RS01980	VQY17_RS00800
OG0000327	DR085_RS01975	VQY17_RS00805
OG0000328	DR085_RS01045	VQY17_RS00890
OG0000329	DR085_RS01065	VQY17_RS00915
OG0000330	DR085_RS01250	VQY17_RS01135
OG0000331	DR085_RS01370	VQY17_RS02960
OG0000332	DR085_RS01470	VQY17_RS03100
OG0000333	DR085_RS01480	VQY17_RS03110
OG0000334	DR085_RS01545	VQY17_RS03215
OG0000335	DR085_RS03720	VQY17_RS03225
OG0000336	DR085_RS03835	VQY17_RS03400
OG0000337	DR085_RS02220	VQY17_RS03575
OG0000338	DR085_RS02260	VQY17_RS03615
OG0000339	DR085_RS01830	VQY17_RS02340
OG0000340	DR085_RS01805	VQY17_RS01330
OG0000341	DR085_RS02135	VQY17_RS02295
OG0000342	DR085_RS02045	VQY17_RS00730
OG0000343	DR085_RS01490	VQY17_RS03120
OG0000344	DR085_RS00395	VQY17_RS00575
OG0000345	DR085_RS01180	VQY17_RS01055
OG0000346	DR085_RS03830	VQY17_RS03405
OG0000347	DR085_RS01715	VQY17_RS01425
OG0000348	DR085_RS03760	VQY17_RS00810
OG0000349	DR085_RS02520	VQY17_RS03470
OG0000350	DR085_RS00655	VQY17_RS02735
OG0000351	DR085_RS00330	VQY17_RS00495
OG0000352	DR085_RS02815	VQY17_RS02010
OG0000353	DR085_RS01745	VQY17_RS01390
OG0000354	DR085_RS00450	VQY17_RS00635
OG0000355	DR085_RS03855	VQY17_RS01985
OG0000356	DR085_RS03870	VQY17_RS02065
OG0000357	DR085_RS03705	VQY17_RS03080
OG0000358	DR085_RS01455	VQY17_RS03085
OG0000359	DR085_RS03765	VQY17_RS00780
OG0000360	DR085_RS00110	VQY17_RS00280
OG0000361	DR085_RS00140	VQY17_RS00310
OG0000362	DR085_RS00875	VQY17_RS02535
OG0000363	DR085_RS03935	VQY17_RS01465
OG0000365	DR085_RS03915	VQY17_RS02110
OG0000366	DR085_RS02840	VQY17_RS02140
OG0000367	DR085_RS02850	VQY17_RS02150
OG0000368	DR085_RS02325	VQY17_RS00060
OG0000369	DR085_RS03780	VQY17_RS00025
OG0000370	DR085_RS02285	VQY17_RS00020
OG0000371	DR085_RS02280	VQY17_RS00015
OG0000372	DR085_RS02275	VQY17_RS00010
OG0000373	DR085_RS02250	VQY17_RS03605
OG0000374	DR085_RS02240	VQY17_RS03595
OG0000375	DR085_RS01920	VQY17_RS02230
OG0000376	DR085_RS01865	VQY17_RS02380
OG0000377	DR085_RS01855	VQY17_RS02370
OG0000378	DR085_RS01820	VQY17_RS01310
OG0000379	DR085_RS01750	VQY17_RS01385
OG0000380	DR085_RS01725	VQY17_RS01415
OG0000382	DR085_RS01655	VQY17_RS01485
OG0000383	DR085_RS01615	VQY17_RS01525
OG0000384	DR085_RS00335	VQY17_RS00515
OG0000385	DR085_RS00340	VQY17_RS00520
OG0000386	DR085_RS00360	VQY17_RS00540
OG0000387	DR085_RS00385	VQY17_RS00565
OG0000388	DR085_RS03645	VQY17_RS00570
OG0000389	DR085_RS00430	VQY17_RS00615
OG0000390	DR085_RS00545	VQY17_RS02880
OG0000391	DR085_RS00555	VQY17_RS02870
OG0000392	DR085_RS00580	VQY17_RS02845
OG0000393	DR085_RS00635	VQY17_RS02790
OG0000394	DR085_RS00700	VQY17_RS02715
OG0000395	DR085_RS00705	VQY17_RS02710
OG0000396	DR085_RS02710	VQY17_RS02425
OG0000397	DR085_RS02665	VQY17_RS01995
OG0000398	DR085_RS02660	VQY17_RS02000
OG0000399	DR085_RS02770	VQY17_RS02045
OG0000400	DR085_RS01415	VQY17_RS03045
OG0000401	DR085_RS01475	VQY17_RS03105
OG0000402	DR085_RS01485	VQY17_RS03115
OG0000403	DR085_RS01495	VQY17_RS03125
OG0000404	DR085_RS03710	VQY17_RS03150
OG0000405	DR085_RS01530	VQY17_RS03165
OG0000406	DR085_RS01560	VQY17_RS03230
OG0000407	DR085_RS03725	VQY17_RS03235
OG0000408	DR085_RS01570	VQY17_RS03240
OG0000409	DR085_RS01575	VQY17_RS03245
OG0000410	DR085_RS02955	VQY17_RS03310
OG0000411	DR085_RS02945	VQY17_RS03300
OG0000412	DR085_RS02940	VQY17_RS03295
OG0000413	DR085_RS02185	VQY17_RS01540
OG0000414	DR085_RS02175	VQY17_RS01550
OG0000415	DR085_RS02170	VQY17_RS01555
OG0000416	DR085_RS02160	VQY17_RS01565
OG0000417	DR085_RS02130	VQY17_RS02290
OG0000418	DR085_RS02125	VQY17_RS02285
OG0000419	DR085_RS02065	VQY17_RS00710
OG0000420	DR085_RS02030	VQY17_RS00745
OG0000421	DR085_RS01995	VQY17_RS00785
OG0000422	DR085_RS01985	VQY17_RS00795
OG0000423	DR085_RS01005	VQY17_RS00850
OG0000424	DR085_RS01010	VQY17_RS00855
OG0000425	DR085_RS01020	VQY17_RS00865
OG0000426	DR085_RS03680	VQY17_RS00870
OG0000427	DR085_RS03685	VQY17_RS00900
OG0000428	DR085_RS01075	VQY17_RS00925
OG0000429	DR085_RS01170	VQY17_RS01045
OG0000430	DR085_RS01215	VQY17_RS01090
OG0000431	DR085_RS01225	VQY17_RS01100
OG0000432	DR085_RS01245	VQY17_RS01130
OG0000433	DR085_RS01255	VQY17_RS01145
OG0000434	DR085_RS01260	VQY17_RS01150
OG0000435	DR085_RS01275	VQY17_RS01170
OG0000436	DR085_RS01315	VQY17_RS01195
OG0000438	DR085_RS03700	VQY17_RS01210
OG0000439	DR085_RS01335	VQY17_RS01215
OG0000440	DR085_RS01350	VQY17_RS02940
OG0000441	DR085_RS01390	VQY17_RS02975
OG0000442	DR085_RS02355	VQY17_RS00145
OG0000443	DR085_RS00025	VQY17_RS00190
OG0000444	DR085_RS00040	VQY17_RS00205
OG0000445	DR085_RS00065	VQY17_RS00230
OG0000446	DR085_RS00090	VQY17_RS00260
OG0000447	DR085_RS00095	VQY17_RS00265
OG0000448	DR085_RS00125	VQY17_RS00295
OG0000449	DR085_RS00150	VQY17_RS00320
OG0000450	DR085_RS00160	VQY17_RS00330
OG0000451	DR085_RS00200	VQY17_RS00370
OG0000452	DR085_RS00225	VQY17_RS00395
OG0000453	DR085_RS00260	VQY17_RS00430
OG0000455	DR085_RS03810	VQY17_RS03515
OG0000456	DR085_RS02595	VQY17_RS03390
OG0000458	DR085_RS00905	VQY17_RS02505
OG0000459	DR085_RS00880	VQY17_RS02530
OG0000460	DR085_RS00870	VQY17_RS02540
OG0000461	DR085_RS00825	VQY17_RS02585
OG0000462	DR085_RS00830	VQY17_RS02580
OG0000463	DR085_RS00835	VQY17_RS02575
OG0000464	DR085_RS00840	VQY17_RS02570
OG0000465	DR085_RS00845	VQY17_RS02565
OG0000466	DR085_RS00230	VQY17_RS00400
OG0000467	DR085_RS03670	VQY17_RS02665
OG0000468	DR085_RS02775	VQY17_RS02040
OG0000469	DR085_RS02995	VQY17_RS02100
OG0000470	DR085_RS01000	VQY17_RS00845
OG0000471	DR085_RS01080	VQY17_RS00930
OG0000472	DR085_RS02645	VQY17_RS03320
OG0000473	DR085_RS02495	VQY17_RS03500
OG0000474	DR085_RS02490	VQY17_RS03505
OG0000475	DR085_RS02485	VQY17_RS03510
OG0000476	DR085_RS02450	VQY17_RS01575
OG0000477	DR085_RS00800	VQY17_RS02610
OG0000478	DR085_RS02545	VQY17_RS03445
OG0000479	DR085_RS01790	VQY17_RS01345
OG0000480	DR085_RS03170	VQY17_RS02105
OG0000481	DR085_RS01960	VQY17_RS00820
OG0000482	DR085_RS02100	VQY17_RS01235
OG0000483	DR085_RS02855	VQY17_RS02155
OG0000484	DR085_RS03630	VQY17_RS00200
OG0000485	DR085_RS01320	VQY17_RS01205
OG0000486	DR085_RS02150	VQY17_RS02310
OG0000487	DR085_RS03905	VQY17_RS02080
OG0000488	DR085_RS02825	VQY17_RS02120
OG0000489	DR085_RS02315	VQY17_RS00050
OG0000490	DR085_RS02255	VQY17_RS03610
OG0000491	DR085_RS01770	VQY17_RS01365
OG0000492	DR085_RS01695	VQY17_RS01445
OG0000493	DR085_RS00400	VQY17_RS00580
OG0000494	DR085_RS00455	VQY17_RS00640
OG0000495	DR085_RS00610	VQY17_RS02815
OG0000496	DR085_RS00620	VQY17_RS02805
OG0000497	DR085_RS00625	VQY17_RS02800
OG0000498	DR085_RS00695	VQY17_RS02720
OG0000499	DR085_RS00740	VQY17_RS02685
OG0000500	DR085_RS02655	VQY17_RS02005
OG0000501	DR085_RS01425	VQY17_RS03055
OG0000502	DR085_RS02090	VQY17_RS01225
OG0000503	DR085_RS02015	VQY17_RS00760
OG0000504	DR085_RS01055	VQY17_RS00905
OG0000505	DR085_RS01090	VQY17_RS00965
OG0000506	DR085_RS01100	VQY17_RS00975
OG0000507	DR085_RS01135	VQY17_RS01010
OG0000508	DR085_RS00085	VQY17_RS00255
OG0000509	DR085_RS00120	VQY17_RS00290
OG0000510	DR085_RS00130	VQY17_RS00305
OG0000511	DR085_RS00265	VQY17_RS00435
OG0000512	DR085_RS00865	VQY17_RS02545
OG0000513	DR085_RS02560	VQY17_RS03425
OG0000514	DR085_RS00585	VQY17_RS02840
OG0000516	DR085_RS02970	VQY17_RS02085
OG0000517	DR085_RS02330	VQY17_RS00065
OG0000518	DR085_RS01465	VQY17_RS03095
OG0000519	DR085_RS01990	VQY17_RS00790
OG0000520	DR085_RS01070	VQY17_RS00920
OG0000521	DR085_RS00100	VQY17_RS00270
OG0000523	DR085_RS02625	VQY17_RS03360
OG0000524	DR085_RS00760	VQY17_RS02660
OG0000528	DR085_RS02980	VQY17_RS02090
OG0000529	DR085_RS01905	VQY17_RS02245
OG0000530	DR085_RS01840	VQY17_RS02350
OG0000531	DR085_RS01720	VQY17_RS01420
OG0000532	DR085_RS00490	VQY17_RS01660
OG0000533	DR085_RS01235	VQY17_RS00600
OG0000534	DR085_RS00215	VQY17_RS00385
OG0000535	DR085_RS02310	VQY17_RS00045
OG0000536	DR085_RS02425	VQY17_RS03545
OG0000537	DR085_RS02050	VQY17_RS00725
OG0000538	DR085_RS01265	VQY17_RS01160
OG0000539	DR085_RS00050	VQY17_RS00215
OG0000541	DR085_RS00725	VQY17_RS02700
OG0000542	DR085_RS00185	VQY17_RS00355
OG0000547	DR085_RS00535	VQY17_RS02895
OG0000548	DR085_RS02705	VQY17_RS01625
OG0000549	DR085_RS02650	VQY17_RS03315
OG0000550	DR085_RS02525	VQY17_RS03465
OG0000596	DR085_RS02375	VQY17_RS01785
OG0000598	DR085_RS02370	VQY17_RS01790
OG0000599	DR085_RS02365	VQY17_RS01795
OG0000602	DR085_RS02820	VQY17_RS02115
