Orthogroup	MFC_MF33_genes	MFC_MF30_genes
OG0000063	DR085_RS02225	DR084_RS03590
OG0000064	DR085_RS02215	DR084_RS02250
OG0000065	DR085_RS01895	DR084_RS01815
OG0000066	DR085_RS01765	DR084_RS01945
OG0000067	DR085_RS00345	DR084_RS00345
OG0000068	DR085_RS00460	DR084_RS00455
OG0000069	DR085_RS00630	DR084_RS00610
OG0000070	DR085_RS00940	DR084_RS00920
OG0000071	DR085_RS01590	DR084_RS01120, DR084_RS02230
OG0000072	DR085_RS03730	DR084_RS03585
OG0000073	DR085_RS02070	DR084_RS01245
OG0000074	DR085_RS03690	DR084_RS03540
OG0000075	DR085_RS00175	DR084_RS00175
OG0000076	DR085_RS00190	DR084_RS00190
OG0000077	DR085_RS00275	DR084_RS00275
OG0000078	DR085_RS00755	DR084_RS00725
OG0000079	DR085_RS00860	DR084_RS00835
OG0000080	DR085_RS03275	DR084_RS03130
OG0000081	DR085_RS00170	DR084_RS00170
OG0000082	DR085_RS00920	DR084_RS00895
OG0000083	DR085_RS03000	DR084_RS02845
OG0000084	DR085_RS02830	DR084_RS02690
OG0000085	DR085_RS02835	DR084_RS02695
OG0000086	DR085_RS03880	DR084_RS03665
OG0000087	DR085_RS02860	DR084_RS02720
OG0000088	DR085_RS02865	DR084_RS02725
OG0000089	DR085_RS02875	DR084_RS02735
OG0000090	DR085_RS02335	DR084_RS02370
OG0000091	DR085_RS02320	DR084_RS02355
OG0000092	DR085_RS02305	DR084_RS02340
OG0000093	DR085_RS02300	DR084_RS02335
OG0000094	DR085_RS02295	DR084_RS02330
OG0000095	DR085_RS02270	DR084_RS02305
OG0000096	DR085_RS02265	DR084_RS02300
OG0000097	DR085_RS02245	DR084_RS02280
OG0000098	DR085_RS02235	DR084_RS02270
OG0000099	DR085_RS02430	DR084_RS02520
OG0000100	DR085_RS02440	DR084_RS02510
OG0000101	DR085_RS02445	DR084_RS02505
OG0000102	DR085_RS02455	DR084_RS02495
OG0000103	DR085_RS01930	DR084_RS01780
OG0000104	DR085_RS01925	DR084_RS01785
OG0000105	DR085_RS01910	DR084_RS01800
OG0000106	DR085_RS01900	DR084_RS01810
OG0000107	DR085_RS01890	DR084_RS01820
OG0000108	DR085_RS01885	DR084_RS01825
OG0000109	DR085_RS01880	DR084_RS01830
OG0000110	DR085_RS01875	DR084_RS01835
OG0000111	DR085_RS01870	DR084_RS01840
OG0000112	DR085_RS01860	DR084_RS01850
OG0000113	DR085_RS03750	DR084_RS03550
OG0000114	DR085_RS01835	DR084_RS01875
OG0000115	DR085_RS01825	DR084_RS01885
OG0000116	DR085_RS01815	DR084_RS01895
OG0000117	DR085_RS01810	DR084_RS01900
OG0000118	DR085_RS01780	DR084_RS01930
OG0000119	DR085_RS01775	DR084_RS01935
OG0000120	DR085_RS01760	DR084_RS01950
OG0000121	DR085_RS01735	DR084_RS01975
OG0000122	DR085_RS01730	DR084_RS01980
OG0000123	DR085_RS01710	DR084_RS02000
OG0000124	DR085_RS01705	DR084_RS02005
OG0000125	DR085_RS01700	DR084_RS02010
OG0000126	DR085_RS01690	DR084_RS02020
OG0000127	DR085_RS01680	DR084_RS02030
OG0000128	DR085_RS01665	DR084_RS02760
OG0000129	DR085_RS01660	DR084_RS02765
OG0000130	DR085_RS01650	DR084_RS02775
OG0000131	DR085_RS01620	DR084_RS02805
OG0000132	DR085_RS03735	DR084_RS03675
OG0000133	DR085_RS00350	DR084_RS00350
OG0000134	DR085_RS03640	DR084_RS03455
OG0000135	DR085_RS00370	DR084_RS00370
OG0000136	DR085_RS00375	DR084_RS00375
OG0000137	DR085_RS00405	DR084_RS00405
OG0000138	DR085_RS00435	DR084_RS00430
OG0000139	DR085_RS00465	DR084_RS00460
OG0000140	DR085_RS00470	DR084_RS00465
OG0000141	DR085_RS00510	DR084_RS00490
OG0000142	DR085_RS03655	DR084_RS03470
OG0000143	DR085_RS00540	DR084_RS00520
OG0000144	DR085_RS00550	DR084_RS00530
OG0000145	DR085_RS00560	DR084_RS00540
OG0000146	DR085_RS00570	DR084_RS00550
OG0000147	DR085_RS00575	DR084_RS00555
OG0000148	DR085_RS00590	DR084_RS00570
OG0000149	DR085_RS00600	DR084_RS00580
OG0000150	DR085_RS00615	DR084_RS00595
OG0000151	DR085_RS00670	DR084_RS00645
OG0000152	DR085_RS00675	DR084_RS00650
OG0000153	DR085_RS00680	DR084_RS00655
OG0000154	DR085_RS00690	DR084_RS00665
OG0000155	DR085_RS00710	DR084_RS00685
OG0000156	DR085_RS00730	DR084_RS00700
OG0000157	DR085_RS03660	DR084_RS03475
OG0000158	DR085_RS03665	DR084_RS03480
OG0000159	DR085_RS00970	DR084_RS00950
OG0000160	DR085_RS00975	DR084_RS00955
OG0000161	DR085_RS00985	DR084_RS00960
OG0000162	DR085_RS02725	DR084_RS02975, DR084_RS00970
OG0000163	DR085_RS02720	DR084_RS00975
OG0000164	DR085_RS03860	DR084_RS03490
OG0000165	DR085_RS02810	DR084_RS01050
OG0000166	DR085_RS02780	DR084_RS01070
OG0000167	DR085_RS02765	DR084_RS01085
OG0000168	DR085_RS02760	DR084_RS01090
OG0000169	DR085_RS01405	DR084_RS02045
OG0000170	DR085_RS01420	DR084_RS02060
OG0000171	DR085_RS01430	DR084_RS02070
OG0000172	DR085_RS01435	DR084_RS02075
OG0000173	DR085_RS01440	DR084_RS02080
OG0000174	DR085_RS01445	DR084_RS02085
OG0000175	DR085_RS01460	DR084_RS02100
OG0000176	DR085_RS01500	DR084_RS02140
OG0000177	DR085_RS01505	DR084_RS02145
OG0000178	DR085_RS01510	DR084_RS02150
OG0000179	DR085_RS01520	DR084_RS02160
OG0000180	DR085_RS01525	DR084_RS02165
OG0000181	DR085_RS03715	DR084_RS03570
OG0000182	DR085_RS01550	DR084_RS02190
OG0000183	DR085_RS01585	DR084_RS02225
OG0000184	DR085_RS02950	DR084_RS02865
OG0000185	DR085_RS02935	DR084_RS02880
OG0000186	DR085_RS02180	DR084_RS01135
OG0000187	DR085_RS02165	DR084_RS01150
OG0000188	DR085_RS02155	DR084_RS01160
OG0000189	DR085_RS03775	DR084_RS03510
OG0000190	DR085_RS02140	DR084_RS01175
OG0000191	DR085_RS02120	DR084_RS01195
OG0000192	DR085_RS02110	DR084_RS01205
OG0000193	DR085_RS02095	DR084_RS01220
OG0000194	DR085_RS02085	DR084_RS01230
OG0000195	DR085_RS02080	DR084_RS01235
OG0000196	DR085_RS03770	DR084_RS03515
OG0000197	DR085_RS02055	DR084_RS01260
OG0000198	DR085_RS02040	DR084_RS01275
OG0000199	DR085_RS02035	DR084_RS01280
OG0000200	DR085_RS02020	DR084_RS01295
OG0000201	DR085_RS02010	DR084_RS01305
OG0000202	DR085_RS01955	DR084_RS01360
OG0000203	DR085_RS01950	DR084_RS01365
OG0000204	DR085_RS03675	DR084_RS01370
OG0000205	DR085_RS00995	DR084_RS01375
OG0000206	DR085_RS01015	DR084_RS01395
OG0000207	DR085_RS01030	DR084_RS01410
OG0000208	DR085_RS01035	DR084_RS01415
OG0000209	DR085_RS01040	DR084_RS01420
OG0000210	DR085_RS01085	DR084_RS01465
OG0000211	DR085_RS01095	DR084_RS01475
OG0000212	DR085_RS01105	DR084_RS01485
OG0000213	DR085_RS01110	DR084_RS01490
OG0000214	DR085_RS01115	DR084_RS01495
OG0000215	DR085_RS01120	DR084_RS01500
OG0000216	DR085_RS01125	DR084_RS01505
OG0000217	DR085_RS01130	DR084_RS01510
OG0000218	DR085_RS03695	DR084_RS01520
OG0000219	DR085_RS01145	DR084_RS01525
OG0000220	DR085_RS01150	DR084_RS01530
OG0000221	DR085_RS01155	DR084_RS01535
OG0000222	DR085_RS01160	DR084_RS01540
OG0000223	DR085_RS01165	DR084_RS01545
OG0000224	DR085_RS01175	DR084_RS01555
OG0000225	DR085_RS01185	DR084_RS01565
OG0000226	DR085_RS01190	DR084_RS01570
OG0000227	DR085_RS01195	DR084_RS01575
OG0000228	DR085_RS03930	DR084_RS03705
OG0000229	DR085_RS01205	DR084_RS01585
OG0000230	DR085_RS01210	DR084_RS01590
OG0000231	DR085_RS01220	DR084_RS01600
OG0000232	DR085_RS01230	DR084_RS01610
OG0000233	DR085_RS01240	DR084_RS01620
OG0000234	DR085_RS01270	DR084_RS01650
OG0000235	DR085_RS01280	DR084_RS01660
OG0000236	DR085_RS01285	DR084_RS01665
OG0000237	DR085_RS01305	DR084_RS01680
OG0000238	DR085_RS01310	DR084_RS01685
OG0000239	DR085_RS01340	DR084_RS01715
OG0000240	DR085_RS01345	DR084_RS01720
OG0000241	DR085_RS01355	DR084_RS01730
OG0000242	DR085_RS01360	DR084_RS01735
OG0000243	DR085_RS01365	DR084_RS01740
OG0000244	DR085_RS01375	DR084_RS01750
OG0000245	DR085_RS01385	DR084_RS01760
OG0000246	DR085_RS02350	DR084_RS02385
OG0000247	DR085_RS02360	DR084_RS02395
OG0000248	DR085_RS02385	DR084_RS02420
OG0000249	DR085_RS02390	DR084_RS02425
OG0000250	DR085_RS00015	DR084_RS00015
OG0000251	DR085_RS00045	DR084_RS00045
OG0000252	DR085_RS00055	DR084_RS00055
OG0000253	DR085_RS00060	DR084_RS00060
OG0000254	DR085_RS00070	DR084_RS00070
OG0000255	DR085_RS00075	DR084_RS00075
OG0000256	DR085_RS00080	DR084_RS00080
OG0000257	DR085_RS00105	DR084_RS00105
OG0000258	DR085_RS00115	DR084_RS00115
OG0000259	DR085_RS00145	DR084_RS00145
OG0000260	DR085_RS00155	DR084_RS00155
OG0000261	DR085_RS03635	DR084_RS03450
OG0000262	DR085_RS00180	DR084_RS00180
OG0000263	DR085_RS00195	DR084_RS00195
OG0000264	DR085_RS00210	DR084_RS00210
OG0000265	DR085_RS00220	DR084_RS00220
OG0000266	DR085_RS00235	DR084_RS00235
OG0000267	DR085_RS00250	DR084_RS00250
OG0000268	DR085_RS00255	DR084_RS00255
OG0000269	DR085_RS00270	DR084_RS00270
OG0000270	DR085_RS03815	DR084_RS03610
OG0000271	DR085_RS02505	DR084_RS02445
OG0000272	DR085_RS02510	DR084_RS02440
OG0000273	DR085_RS02515	DR084_RS02435
OG0000274	DR085_RS02530	DR084_RS02555
OG0000275	DR085_RS03820	DR084_RS03630
OG0000276	DR085_RS02540	DR084_RS02565
OG0000277	DR085_RS03825	DR084_RS03635
OG0000278	DR085_RS02555	DR084_RS02580
OG0000279	DR085_RS02565	DR084_RS02590
OG0000280	DR085_RS02570	DR084_RS02595
OG0000281	DR085_RS02575	DR084_RS02600
OG0000282	DR085_RS02600	DR084_RS02625
OG0000283	DR085_RS02605	DR084_RS02630
OG0000284	DR085_RS02610	DR084_RS02635
OG0000285	DR085_RS03840	DR084_RS03650
OG0000286	DR085_RS00925	DR084_RS00900
OG0000287	DR085_RS00900	DR084_RS00875
OG0000288	DR085_RS00890	DR084_RS00865
OG0000289	DR085_RS00885	DR084_RS00860
OG0000290	DR085_RS03270	DR084_RS00750
OG0000291	DR085_RS00785	DR084_RS00760
OG0000292	DR085_RS00790	DR084_RS00765
OG0000293	DR085_RS00795	DR084_RS00770
OG0000294	DR085_RS00805	DR084_RS00780
OG0000295	DR085_RS00810	DR084_RS00785
OG0000296	DR085_RS00850	DR084_RS00825
OG0000297	DR085_RS00855	DR084_RS00830
OG0000298	DR085_RS00010	DR084_RS00010
OG0000299	DR085_RS00030	DR084_RS00030
OG0000300	DR085_RS00205	DR084_RS00205
OG0000301	DR085_RS00240	DR084_RS00240
OG0000302	DR085_RS00245	DR084_RS00245
OG0000303	DR085_RS00380	DR084_RS00380
OG0000304	DR085_RS00415	DR084_RS00415
OG0000305	DR085_RS00565	DR084_RS00545
OG0000306	DR085_RS00650	DR084_RS00625
OG0000307	DR085_RS00685	DR084_RS00660
OG0000308	DR085_RS00765	DR084_RS00740
OG0000309	DR085_RS00820	DR084_RS00795
OG0000310	DR085_RS00895	DR084_RS00870
OG0000311	DR085_RS00945	DR084_RS00925
OG0000312	DR085_RS00965	DR084_RS00945
OG0000313	DR085_RS02700	DR084_RS00995
OG0000314	DR085_RS02785	DR084_RS01065
OG0000315	DR085_RS02755	DR084_RS01095
OG0000316	DR085_RS02745	DR084_RS01105
OG0000317	DR085_RS02870	DR084_RS02730
OG0000318	DR085_RS03900	DR084_RS03680
OG0000319	DR085_RS01915	DR084_RS01795
OG0000320	DR085_RS01850	DR084_RS01860
OG0000321	DR085_RS01785	DR084_RS01925
OG0000322	DR085_RS01740	DR084_RS01970
OG0000323	DR085_RS01610	DR084_RS02815
OG0000324	DR085_RS02115	DR084_RS01200
OG0000325	DR085_RS02075	DR084_RS01240
OG0000326	DR085_RS01980	DR084_RS01335
OG0000327	DR085_RS01975	DR084_RS01340
OG0000328	DR085_RS01045	DR084_RS01425
OG0000329	DR085_RS01065	DR084_RS01445
OG0000330	DR085_RS01250	DR084_RS01630
OG0000331	DR085_RS01370	DR084_RS01745
OG0000332	DR085_RS01470	DR084_RS02110
OG0000333	DR085_RS01480	DR084_RS02120
OG0000334	DR085_RS01545	DR084_RS02185
OG0000335	DR085_RS03720	DR084_RS03575
OG0000336	DR085_RS03835	DR084_RS03645
OG0000337	DR085_RS02220	DR084_RS02255
OG0000338	DR085_RS02260	DR084_RS02295
OG0000339	DR085_RS01830	DR084_RS01880
OG0000340	DR085_RS01805	DR084_RS01905
OG0000341	DR085_RS02135	DR084_RS01180
OG0000342	DR085_RS02045	DR084_RS01270
OG0000343	DR085_RS01490	DR084_RS02130
OG0000344	DR085_RS00395	DR084_RS00395
OG0000345	DR085_RS01180	DR084_RS01560
OG0000346	DR085_RS03830	DR084_RS03640
OG0000347	DR085_RS01715	DR084_RS01995
OG0000348	DR085_RS03760	DR084_RS03525
OG0000349	DR085_RS02520	DR084_RS02545
OG0000350	DR085_RS00655	DR084_RS02995
OG0000351	DR085_RS00330	DR084_RS00330
OG0000352	DR085_RS02815	DR084_RS01045
OG0000353	DR085_RS01745	DR084_RS01965
OG0000354	DR085_RS00450	DR084_RS00445
OG0000355	DR085_RS03855	DR084_RS03495
OG0000356	DR085_RS03870	DR084_RS03500
OG0000357	DR085_RS03705	DR084_RS03560
OG0000358	DR085_RS01455	DR084_RS02095
OG0000359	DR085_RS03765	DR084_RS03520
OG0000360	DR085_RS00110	DR084_RS00110
OG0000361	DR085_RS00140	DR084_RS00140
OG0000362	DR085_RS00875	DR084_RS00850
OG0000363	DR085_RS03935	DR084_RS02040
OG0000365	DR085_RS03915	DR084_RS03695
OG0000366	DR085_RS02840	DR084_RS02700
OG0000367	DR085_RS02850	DR084_RS02710
OG0000368	DR085_RS02325	DR084_RS02360
OG0000369	DR085_RS03780	DR084_RS03595
OG0000370	DR085_RS02285	DR084_RS02320
OG0000371	DR085_RS02280	DR084_RS02315
OG0000372	DR085_RS02275	DR084_RS02310
OG0000373	DR085_RS02250	DR084_RS02285
OG0000374	DR085_RS02240	DR084_RS02275
OG0000375	DR085_RS01920	DR084_RS01790
OG0000376	DR085_RS01865	DR084_RS01845
OG0000377	DR085_RS01855	DR084_RS01855
OG0000378	DR085_RS01820	DR084_RS01890
OG0000379	DR085_RS01750	DR084_RS01960
OG0000380	DR085_RS01725	DR084_RS01985
OG0000381	DR085_RS01685	DR084_RS02025
OG0000382	DR085_RS01655	DR084_RS02770
OG0000383	DR085_RS01615	DR084_RS02810
OG0000384	DR085_RS00335	DR084_RS00335
OG0000385	DR085_RS00340	DR084_RS00340
OG0000386	DR085_RS00360	DR084_RS00360
OG0000387	DR085_RS00385	DR084_RS00385
OG0000388	DR085_RS03645	DR084_RS03460
OG0000389	DR085_RS00430	DR084_RS00425
OG0000390	DR085_RS00545	DR084_RS00525
OG0000391	DR085_RS00555	DR084_RS00535
OG0000392	DR085_RS00580	DR084_RS00560
OG0000393	DR085_RS00635	DR084_RS00615
OG0000394	DR085_RS00700	DR084_RS00675
OG0000395	DR085_RS00705	DR084_RS00680
OG0000396	DR085_RS02710	DR084_RS00985
OG0000397	DR085_RS02665	DR084_RS01030
OG0000398	DR085_RS02660	DR084_RS01035
OG0000399	DR085_RS02770	DR084_RS01080
OG0000400	DR085_RS01415	DR084_RS02055
OG0000401	DR085_RS01475	DR084_RS02115
OG0000402	DR085_RS01485	DR084_RS02125
OG0000403	DR085_RS01495	DR084_RS02135
OG0000404	DR085_RS03710	DR084_RS03565
OG0000405	DR085_RS01530	DR084_RS02170
OG0000406	DR085_RS01560	DR084_RS02200
OG0000407	DR085_RS03725	DR084_RS03580
OG0000408	DR085_RS01570	DR084_RS02210
OG0000409	DR085_RS01575	DR084_RS02215
OG0000410	DR085_RS02955	DR084_RS02860
OG0000411	DR085_RS02945	DR084_RS02870
OG0000412	DR085_RS02940	DR084_RS02875
OG0000413	DR085_RS02185	DR084_RS01130
OG0000414	DR085_RS02175	DR084_RS01140
OG0000415	DR085_RS02170	DR084_RS01145
OG0000416	DR085_RS02160	DR084_RS01155
OG0000417	DR085_RS02130	DR084_RS01185
OG0000418	DR085_RS02125	DR084_RS01190
OG0000419	DR085_RS02065	DR084_RS01250
OG0000420	DR085_RS02030	DR084_RS01285
OG0000421	DR085_RS01995	DR084_RS01320
OG0000422	DR085_RS01985	DR084_RS01330
OG0000423	DR085_RS01005	DR084_RS01385
OG0000424	DR085_RS01010	DR084_RS01390
OG0000425	DR085_RS01020	DR084_RS01400
OG0000426	DR085_RS03680	DR084_RS03530
OG0000427	DR085_RS03685	DR084_RS03535
OG0000428	DR085_RS01075	DR084_RS01455
OG0000429	DR085_RS01170	DR084_RS01550
OG0000430	DR085_RS01215	DR084_RS01595
OG0000431	DR085_RS01225	DR084_RS01605
OG0000432	DR085_RS01245	DR084_RS01625
OG0000433	DR085_RS01255	DR084_RS01635
OG0000434	DR085_RS01260	DR084_RS01640
OG0000435	DR085_RS01275	DR084_RS01655
OG0000436	DR085_RS01315	DR084_RS01690
OG0000437	DR085_RS01325	DR084_RS01700
OG0000438	DR085_RS03700	DR084_RS03545
OG0000439	DR085_RS01335	DR084_RS01710
OG0000440	DR085_RS01350	DR084_RS01725
OG0000441	DR085_RS01390	DR084_RS01765
OG0000442	DR085_RS02355	DR084_RS02390
OG0000443	DR085_RS00025	DR084_RS00025
OG0000444	DR085_RS00040	DR084_RS00040
OG0000445	DR085_RS00065	DR084_RS00065
OG0000446	DR085_RS00090	DR084_RS00090
OG0000447	DR085_RS00095	DR084_RS00095
OG0000448	DR085_RS00125	DR084_RS00125
OG0000449	DR085_RS00150	DR084_RS00150
OG0000450	DR085_RS00160	DR084_RS00160
OG0000451	DR085_RS00200	DR084_RS00200
OG0000452	DR085_RS00225	DR084_RS00225
OG0000453	DR085_RS00260	DR084_RS00260
OG0000455	DR085_RS03810	DR084_RS03615
OG0000456	DR085_RS02595	DR084_RS02620
OG0000457	DR085_RS02620	DR084_RS02645
OG0000458	DR085_RS00905	DR084_RS00880
OG0000459	DR085_RS00880	DR084_RS00855
OG0000460	DR085_RS00870	DR084_RS00845
OG0000461	DR085_RS00825	DR084_RS00800
OG0000462	DR085_RS00830	DR084_RS00805
OG0000463	DR085_RS00835	DR084_RS00810
OG0000464	DR085_RS00840	DR084_RS00815
OG0000465	DR085_RS00845	DR084_RS00820
OG0000466	DR085_RS00230	DR084_RS00230
OG0000467	DR085_RS03670	DR084_RS03485
OG0000468	DR085_RS02775	DR084_RS01075
OG0000469	DR085_RS02995	DR084_RS02850
OG0000470	DR085_RS01000	DR084_RS01380
OG0000471	DR085_RS01080	DR084_RS01460
OG0000472	DR085_RS02645	DR084_RS02670
OG0000473	DR085_RS02495	DR084_RS02455
OG0000474	DR085_RS02490	DR084_RS02460
OG0000475	DR085_RS02485	DR084_RS02465
OG0000476	DR085_RS02450	DR084_RS02500
OG0000477	DR085_RS00800	DR084_RS00775
OG0000478	DR085_RS02545	DR084_RS02570
OG0000479	DR085_RS01790	DR084_RS01920
OG0000480	DR085_RS03170	DR084_RS03020
OG0000481	DR085_RS01960	DR084_RS01355
OG0000482	DR085_RS02100	DR084_RS01215
OG0000483	DR085_RS02855	DR084_RS02715
OG0000484	DR085_RS03630	DR084_RS03445
OG0000485	DR085_RS01320	DR084_RS01695
OG0000486	DR085_RS02150	DR084_RS01165
OG0000487	DR085_RS03905	DR084_RS03685
OG0000488	DR085_RS02825	DR084_RS02685
OG0000489	DR085_RS02315	DR084_RS02350
OG0000490	DR085_RS02255	DR084_RS02290
OG0000491	DR085_RS01770	DR084_RS01940
OG0000492	DR085_RS01695	DR084_RS02015
OG0000493	DR085_RS00400	DR084_RS00400
OG0000494	DR085_RS00455	DR084_RS00450
OG0000495	DR085_RS00610	DR084_RS00590
OG0000496	DR085_RS00620	DR084_RS00600
OG0000497	DR085_RS00625	DR084_RS00605
OG0000498	DR085_RS00695	DR084_RS00670
OG0000499	DR085_RS00740	DR084_RS00710
OG0000500	DR085_RS02655	DR084_RS01040
OG0000501	DR085_RS01425	DR084_RS02065
OG0000502	DR085_RS02090	DR084_RS01225
OG0000503	DR085_RS02015	DR084_RS01300
OG0000504	DR085_RS01055	DR084_RS01435
OG0000505	DR085_RS01090	DR084_RS01470
OG0000506	DR085_RS01100	DR084_RS01480
OG0000507	DR085_RS01135	DR084_RS01515
OG0000508	DR085_RS00085	DR084_RS00085
OG0000509	DR085_RS00120	DR084_RS00120
OG0000510	DR085_RS00130	DR084_RS00130
OG0000511	DR085_RS00265	DR084_RS00265
OG0000512	DR085_RS00865	DR084_RS00840
OG0000513	DR085_RS02560	DR084_RS02585
OG0000514	DR085_RS00585	DR084_RS00565
OG0000516	DR085_RS02970	DR084_RS03410
OG0000517	DR085_RS02330	DR084_RS02365
OG0000518	DR085_RS01465	DR084_RS02105
OG0000519	DR085_RS01990	DR084_RS01325
OG0000520	DR085_RS01070	DR084_RS01450
OG0000521	DR085_RS00100	DR084_RS00100
OG0000522	DR085_RS00135	DR084_RS00135
OG0000523	DR085_RS02625	DR084_RS02650
OG0000524	DR085_RS00760	DR084_RS00735
OG0000528	DR085_RS02980	DR084_RS03690
OG0000529	DR085_RS01905	DR084_RS01805
OG0000530	DR085_RS01840	DR084_RS01870
OG0000531	DR085_RS01720	DR084_RS01990
OG0000533	DR085_RS01235	DR084_RS01615
OG0000534	DR085_RS00215	DR084_RS00215
OG0000535	DR085_RS02310	DR084_RS02345
OG0000536	DR085_RS02425	DR084_RS02525
OG0000537	DR085_RS02050	DR084_RS01265
OG0000538	DR085_RS01265	DR084_RS01645
OG0000539	DR085_RS00050	DR084_RS00050
OG0000541	DR085_RS00725	DR084_RS00695
OG0000542	DR085_RS00185	DR084_RS00185
OG0000547	DR085_RS00535	DR084_RS00515
OG0000548	DR085_RS02705	DR084_RS00990
OG0000549	DR085_RS02650	DR084_RS02675
OG0000550	DR085_RS02525	DR084_RS02550
OG0000551	DR085_RS01380	DR084_RS01755
OG0000555	DR085_RS03230	DR084_RS03090
OG0000596	DR085_RS02375	DR084_RS02410
OG0000598	DR085_RS02370	DR084_RS02405
OG0000599	DR085_RS02365	DR084_RS02400
OG0000602	DR085_RS02820	DR084_RS02680
OG0000634	DR085_RS01935	DR084_RS01775
OG0000635	DR085_RS00750	DR084_RS00720
OG0000636	DR085_RS03325	DR084_RS03225
OG0000637	DR085_RS02105	DR084_RS01210
OG0000638	DR085_RS00280	DR084_RS00280
OG0000639	DR085_RS01295	DR084_RS01675
OG0000640	DR085_RS03215	DR084_RS03075
OG0000643	DR085_RS01300	DR084_RS03205
