Orthogroup	MHP_LH_proteins	MHP_116_proteins
OG0000026	WP_233688735.1	WP_348602812.1
OG0000027	WP_011206475.1	WP_348602636.1
OG0000029	WP_233688669.1	WP_348602714.1
OG0000029	WP_233688642.1	WP_348602752.1
OG0000030	WP_232039555.1	WP_348602635.1
OG0000031	WP_233688725.1	WP_348602800.1
OG0000032	WP_233688723.1	WP_348602799.1
OG0000033	WP_233688459.1	WP_348602537.1
OG0000035	WP_233688543.1	WP_044284714.1
OG0000036	WP_233688601.1	WP_348602677.1
OG0000037	WP_233688763.1	WP_348602858.1
OG0000039	WP_011290139.1	WP_348602802.1
OG0000040	WP_233688550.1	WP_348602629.1
OG0000042	WP_233688512.1	WP_348602593.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000045	WP_020835667.1	WP_160606615.1
OG0000046	WP_233688551.1	WP_348602631.1
OG0000048	WP_146379588.1	WP_011284150.1
OG0000049	WP_233688524.1	WP_348602606.1
OG0000050	WP_233688465.1	WP_348602539.1
OG0000051	WP_233688485.1	WP_348602565.1
OG0000052	WP_011283836.1	WP_011283836.1
OG0000053	WP_233688713.1	WP_348602794.1
OG0000054	WP_044272538.1	WP_348602541.1
OG0000055	WP_135618462.1	WP_348602678.1
OG0000056	WP_233688574.1, WP_233688573.1	WP_348571887.1
OG0000057	WP_233688511.1	WP_348602591.1
OG0000060	WP_233688593.1	WP_348602670.1
OG0000061	WP_135618818.1	WP_348602835.1
OG0000062	WP_094521530.1	WP_348602661.1, WP_011206522.1
OG0000063	WP_233688580.1	WP_348602663.1, WP_348602660.1
OG0000064	WP_233688579.1	WP_348602658.1
OG0000065	WP_011290219.1	WP_225972975.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_233688634.1	WP_348602706.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_348602542.1
OG0000071	WP_233688548.1	WP_348571847.1
OG0000072	WP_233688549.1	WP_348602628.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_233688661.1	WP_348602722.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_011289987.1	WP_146379475.1
OG0000077	WP_233688625.1	WP_348602701.1
OG0000078	WP_233688734.1	WP_348602810.1
OG0000079	WP_233688475.1	WP_348602553.1
OG0000080	WP_233688480.1	WP_348602560.1
OG0000081	WP_233688621.1	WP_011289985.1
OG0000082	WP_233688453.1	WP_348602535.1
OG0000083	WP_011206216.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_233688415.1	WP_348602498.1
OG0000086	WP_233688416.1	WP_348602499.1
OG0000087	WP_011206228.1	WP_348602502.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_233688592.1	WP_094521535.1
OG0000091	WP_233688590.1	WP_348602669.1
OG0000092	WP_011205847.1	WP_348602668.1
OG0000093	WP_020835484.1	WP_020835484.1
OG0000094	WP_233688588.1	WP_348602667.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_233688583.1	WP_348602664.1
OG0000098	WP_233688581.1	WP_348602662.1
OG0000099	WP_233688575.1	WP_348602654.1
OG0000100	WP_233688571.1	WP_160585575.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_233688736.1	WP_348602859.1
OG0000103	WP_233688430.1	WP_348571656.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_135618882.1	WP_094521691.1
OG0000106	WP_135618884.1	WP_348602514.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_192894278.1
OG0000109	WP_233688434.1	WP_348602515.1
OG0000110	WP_233688451.1	WP_243216208.1
OG0000111	WP_233688450.1	WP_348602533.1
OG0000112	WP_233688448.1	WP_348602531.1
OG0000113	WP_233688444.1	WP_348602528.1
OG0000114	WP_233688443.1	WP_348602527.1
OG0000115	WP_011206264.1	WP_011290245.1
OG0000116	WP_233688702.1	WP_348602777.1
OG0000117	WP_233688703.1	WP_348602778.1
OG0000118	WP_233688707.1	WP_348572057.1
OG0000119	WP_179696055.1	WP_348602783.1
OG0000120	WP_160600844.1	WP_348602785.1
OG0000121	WP_011284032.1	WP_348602788.1
OG0000122	WP_011205958.1	WP_348602789.1
OG0000123	WP_233688711.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_348602791.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_011205950.1
OG0000127	WP_011284040.1	WP_011205948.1
OG0000128	WP_233688714.1	WP_348602795.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_233688716.1	WP_094521635.1
OG0000132	WP_233688719.1	WP_135618714.1
OG0000133	WP_014579589.1	WP_011206123.1
OG0000134	WP_233688635.1	WP_348602707.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_233688636.1	WP_348602708.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_011206106.1	WP_160584793.1
OG0000139	WP_179221023.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_146379496.1
OG0000141	WP_011284290.1	WP_160584965.1
OG0000142	WP_011284289.1	WP_348602592.1
OG0000143	WP_233688509.1	WP_011206391.1
OG0000144	WP_233688507.1	WP_348602590.1
OG0000145	WP_228365394.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_233688504.1	WP_011206384.1
OG0000148	WP_233688502.1	WP_348602586.1
OG0000149	WP_011206379.1	WP_348602585.1
OG0000150	WP_135619006.1	WP_011206376.1
OG0000151	WP_179696082.1	WP_348602580.1
OG0000152	WP_160606405.1	WP_348602579.1
OG0000153	WP_233688497.1	WP_233688497.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_233688493.1	WP_348602573.1
OG0000156	WP_011206335.1	WP_348602572.1
OG0000157	WP_011206334.1	WP_348602571.1
OG0000158	WP_275092455.1	WP_348602570.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_233688466.1	WP_011284209.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000162	WP_135619210.1	WP_135619210.1
OG0000163	WP_233688464.1	WP_348571730.1
OG0000164	WP_233688726.1	WP_233688726.1
OG0000165	WP_011206200.1	WP_348602846.1
OG0000166	WP_233688759.1	WP_348602850.1
OG0000167	WP_011206207.1	WP_348602852.1
OG0000168	WP_233688406.1	WP_348602853.1
OG0000169	WP_094521497.1	WP_179221201.1
OG0000170	WP_233688526.1	WP_020835862.1
OG0000171	WP_011206422.1	WP_348602609.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_094521499.1	WP_160588049.1
OG0000174	WP_233688528.1	WP_348602610.1
OG0000175	WP_233688530.1	WP_160585645.1
OG0000176	WP_233688535.1	WP_348602616.1
OG0000177	WP_233688536.1	WP_160606697.1
OG0000178	WP_011206441.1	WP_348602617.1
OG0000179	WP_233688538.1	WP_014579979.1
OG0000180	WP_160600945.1	WP_011206445.1
OG0000181	WP_020835888.1	WP_348602622.1
OG0000182	WP_011206453.1	WP_014579987.1
OG0000183	WP_011206459.1	WP_348571845.1
OG0000184	WP_011206468.1	WP_160585238.1
OG0000185	WP_011206465.1	WP_146379740.1
OG0000186	WP_135618718.1	WP_135618718.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_233688438.1	WP_348602521.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_011206251.1	WP_348602517.1
OG0000192	WP_011284001.1	WP_348602857.1
OG0000193	WP_011283999.1	WP_094521610.1
OG0000194	WP_011283923.1	WP_011290023.1
OG0000195	WP_011283924.1	WP_011283924.1
OG0000196	WP_014579648.1	WP_228729168.1
OG0000197	WP_041361572.1	WP_348602746.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_233688647.1	WP_146379501.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_233688653.1	WP_348602735.1
OG0000203	WP_233688654.1	WP_348602734.1
OG0000204	WP_014579633.1	WP_348602733.1
OG0000205	WP_233688655.1	WP_348602732.1
OG0000206	WP_135618589.1	WP_135618589.1
OG0000207	WP_011283951.1	WP_011283951.1
OG0000208	WP_011283952.1	WP_348602727.1
OG0000209	WP_011206061.1	WP_348602726.1
OG0000210	WP_233688662.1	WP_135618604.1
OG0000211	WP_233688663.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_020835589.1
OG0000216	WP_233688664.1	WP_348602720.1
OG0000217	WP_011206044.1	WP_348602719.1
OG0000218	WP_233688666.1	WP_011290058.1
OG0000219	WP_020835591.1	WP_011206041.1
OG0000220	WP_011283968.1	WP_160590391.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_011206037.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_233688667.1	WP_160585734.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_348602718.1
OG0000228	WP_233688668.1	WP_348602717.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_348602716.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_233688672.1	WP_233688672.1
OG0000234	WP_044284822.1	WP_348602756.1
OG0000235	WP_233688676.1	WP_348602758.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_233688687.1	WP_348572018.1
OG0000238	WP_233688688.1	WP_348572020.1
OG0000239	WP_011206399.1	WP_011290347.1
OG0000240	WP_011206400.1	WP_020835851.1
OG0000241	WP_011206402.1	WP_160585231.1
OG0000242	WP_233688513.1	WP_348602595.1
OG0000243	WP_011206404.1	WP_348602596.1
OG0000244	WP_160615603.1	WP_348602597.1
OG0000245	WP_146379707.1	WP_348602599.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_233688602.1	WP_348602680.1
OG0000248	WP_014579535.1	WP_348602866.1
OG0000249	WP_233688604.1	WP_348602681.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_014579544.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_233688610.1	WP_160606527.1
OG0000254	WP_020835510.1	WP_348602687.1
OG0000255	WP_044284572.1	WP_014579550.1
OG0000256	WP_011283865.1	WP_011205889.1
OG0000257	WP_233688613.1	WP_348602690.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_233688617.1	WP_020835520.1
OG0000260	WP_011283879.1	WP_348602694.1
OG0000261	WP_233688620.1	WP_348602696.1
OG0000262	WP_014579569.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_348602697.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_233688622.1	WP_348602699.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_233688623.1	WP_044284773.1
OG0000268	WP_011283894.1	WP_179695950.1
OG0000269	WP_179695953.1	WP_011206134.1
OG0000270	WP_233688568.1	WP_348602648.1
OG0000271	WP_233688567.1	WP_348602647.1
OG0000272	WP_011284373.1	WP_348602646.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_233688565.1	WP_348602643.1
OG0000275	WP_011206497.1	WP_228366117.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_233688563.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_233688561.1	WP_011290418.1
OG0000280	WP_011206490.1	WP_011206490.1
OG0000281	WP_011290416.1	WP_011290416.1
OG0000282	WP_011206486.1	WP_348602640.1
OG0000283	WP_044272663.1	WP_160584907.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_011290413.1	WP_348602639.1
OG0000286	WP_334301383.1	WP_044272526.1
OG0000287	WP_011206297.1	WP_348602546.1
OG0000288	WP_233688472.1	WP_348602548.1
OG0000289	WP_233688473.1	WP_348602549.1
OG0000290	WP_014579908.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_348602563.1
OG0000292	WP_044272553.1	WP_044284681.1
OG0000293	WP_233688482.1	WP_348602562.1
OG0000294	WP_233688481.1	WP_348602561.1
OG0000295	WP_011206315.1	WP_160590135.1
OG0000296	WP_233688476.1	WP_348602554.1
OG0000297	WP_011206306.1	WP_011206306.1
OG0000298	WP_233688606.1	WP_348602683.1
OG0000299	WP_011205878.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_011205925.1
OG0000303	WP_146379484.1	WP_348602709.1
OG0000304	WP_011283978.1	WP_011283978.1
OG0000305	WP_233688505.1	WP_348602589.1
OG0000306	WP_233688499.1	WP_044272563.1
OG0000307	WP_044272560.1	WP_348602578.1
OG0000308	WP_233688487.1	WP_020835811.1
OG0000309	WP_160600978.1	WP_348602559.1
OG0000310	WP_233688471.1	WP_348602547.1
OG0000311	WP_011206293.1	WP_014579885.1
OG0000312	WP_233688467.1	WP_348602540.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_233688758.1	WP_348602849.1
OG0000315	WP_233688407.1	WP_011290197.1
OG0000316	WP_014579818.1	WP_348571614.1
OG0000317	WP_233688419.1	WP_160585126.1
OG0000318	WP_233688408.1	WP_348602854.1
OG0000319	WP_233688431.1	WP_135618880.1
OG0000320	WP_233688446.1	WP_348602530.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_233688709.1	WP_020835642.1
OG0000323	WP_233688718.1	WP_179696045.1
OG0000324	WP_011206250.1	WP_348602516.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_233688651.1	WP_348602739.1
OG0000327	WP_011206076.1	WP_348602738.1
OG0000328	WP_233688658.1	WP_348602725.1
OG0000329	WP_044284742.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160601134.1	WP_348602623.1
OG0000335	WP_233688545.1	WP_348602624.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011206520.1	WP_011284387.1
OG0000338	WP_011284394.1	WP_014580051.1
OG0000339	WP_233688442.1	WP_348602526.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_233688437.1	WP_348602520.1
OG0000342	WP_233688646.1	WP_348602744.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_233688639.1	WP_348602712.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_160600882.1	WP_348602737.1
OG0000349	WP_094521522.1	WP_348602645.1
OG0000350	WP_233688496.1	WP_348602577.1
OG0000351	WP_233688626.1	WP_308704698.1
OG0000352	WP_233688755.1	WP_348602845.1
OG0000353	WP_233688708.1	WP_348602787.1
OG0000354	WP_011283917.1	WP_348602750.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_232039529.1	WP_308507057.1
OG0000357	WP_011206427.1	WP_228366113.1
OG0000358	WP_233688529.1	WP_348602611.1
OG0000359	WP_233688649.1	WP_348602741.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_233688616.1	WP_348602692.1
OG0000362	WP_094521719.1	WP_348602551.1
OG0000363	WP_233688761.1	WP_348572138.1
OG0000365	WP_233688412.1	WP_160606601.1
OG0000366	WP_011206224.1	WP_011206224.1
OG0000367	WP_233688417.1	WP_348602500.1
OG0000368	WP_233688591.1	WP_011289935.1
OG0000369	WP_233688587.1	WP_160588112.1
OG0000370	WP_135618444.1	WP_044272260.1
OG0000371	WP_233688586.1	WP_348602666.1
OG0000372	WP_233688585.1	WP_348571907.1
OG0000373	WP_233688584.1	WP_348602665.1
OG0000374	WP_233688582.1	WP_348571901.1
OG0000375	WP_011284163.1	WP_135618878.1
OG0000376	WP_233688449.1	WP_348602532.1
OG0000377	WP_233688447.1	WP_011206271.1
OG0000378	WP_233688701.1	WP_348602776.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_233688710.1	WP_348602790.1
OG0000381	WP_233688712.1	WP_348602793.1
OG0000382	WP_233688715.1	WP_348602796.1
OG0000383	WP_233688717.1	WP_014579735.1
OG0000384	WP_334301384.1	WP_041361727.1
OG0000385	WP_233688633.1	WP_348602705.1
OG0000386	WP_011206121.1	WP_011206121.1
OG0000387	WP_233688637.1	WP_348602710.1
OG0000388	WP_233688638.1	WP_348602711.1
OG0000389	WP_233688643.1	WP_348602751.1
OG0000390	WP_233688508.1	WP_011284284.1
OG0000391	WP_233688506.1	WP_020835843.1
OG0000392	WP_135619016.1	WP_348602588.1
OG0000393	WP_233688500.1	WP_348602583.1
OG0000394	WP_014579921.1	WP_160585688.1
OG0000395	WP_233688494.1	WP_348602574.1
OG0000396	WP_233688463.1	WP_348571728.1
OG0000397	WP_044284644.1	WP_348602842.1
OG0000398	WP_011206197.1	WP_348602843.1
OG0000399	WP_233688760.1	WP_348602851.1
OG0000400	WP_233688525.1	WP_348602607.1
OG0000401	WP_135619070.1	WP_135619070.1
OG0000402	WP_233688532.1	WP_348602613.1
OG0000403	WP_233688533.1	WP_348602614.1
OG0000404	WP_233688537.1	WP_348602618.1
OG0000405	WP_233688539.1	WP_011290381.1
OG0000406	WP_233688546.1	WP_348602625.1
OG0000407	WP_233688547.1	WP_348602626.1
OG0000408	WP_011206457.1	WP_348602627.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_146379742.1
OG0000412	WP_233688552.1	WP_011290399.1
OG0000413	WP_011284051.1	WP_146379568.1
OG0000414	WP_011284053.1	WP_348602797.1
OG0000415	WP_233688720.1	WP_348602798.1
OG0000416	WP_233688721.1	WP_011284056.1
OG0000417	WP_233688436.1	WP_348602519.1
OG0000418	WP_233688435.1	WP_348602518.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_160600868.1	WP_348602743.1
OG0000421	WP_011290034.1	WP_011290034.1
OG0000422	WP_233688650.1	WP_348602740.1
OG0000423	WP_233688656.1	WP_348602731.1
OG0000424	WP_233688657.1	WP_348602730.1
OG0000425	WP_011283949.1	WP_348602729.1
OG0000426	WP_011283950.1	WP_348602728.1
OG0000427	WP_233688659.1	WP_348602724.1
OG0000428	WP_011206054.1	WP_348602721.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_014579604.1	WP_050195474.1
OG0000431	WP_011283976.1	WP_348602715.1
OG0000432	WP_233688673.1	WP_348602755.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_233688674.1	WP_020835607.1
OG0000435	WP_020835610.1	WP_348602757.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_233688689.1	WP_014579672.1
OG0000438	WP_233688690.1	WP_348602759.1
OG0000439	WP_020835619.1	WP_044272377.1
OG0000440	WP_014579953.1	WP_348602594.1
OG0000441	WP_233688514.1	WP_348602600.1
OG0000442	WP_179220985.1	WP_348602679.1
OG0000443	WP_233688608.1	WP_348602685.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_044284571.1
OG0000446	WP_233688612.1	WP_348602689.1
OG0000447	WP_160600671.1	WP_014579553.1
OG0000448	WP_233688615.1	WP_011289976.1
OG0000449	WP_233688618.1	WP_348602693.1
OG0000450	WP_233688619.1	WP_348602695.1
OG0000451	WP_160606509.1	WP_094521553.1
OG0000452	WP_160584747.1	WP_011205921.1
OG0000453	WP_233688624.1	WP_348602700.1
OG0000454	WP_016340205.1	WP_225973031.1
OG0000455	WP_233688570.1	WP_348602652.1
OG0000456	WP_233688560.1	WP_348602641.1
OG0000457	WP_233688559.1	WP_348602638.1
OG0000458	WP_020835790.1	WP_348602545.1
OG0000459	WP_014579890.1	WP_348602550.1
OG0000460	WP_011206303.1	WP_348602552.1
OG0000461	WP_233688479.1	WP_348602558.1
OG0000462	WP_011206311.1	WP_348602557.1
OG0000463	WP_011206310.1	WP_348602556.1
OG0000464	WP_011206309.1	WP_094521720.1
OG0000465	WP_233688477.1	WP_348602555.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_233688489.1	WP_348602567.1
OG0000468	WP_014579812.1	WP_160585598.1
OG0000469	WP_233688411.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_014579622.1	WP_348571977.1
OG0000472	WP_233688554.1	WP_348602633.1
OG0000473	WP_011206506.1	WP_348602649.1
OG0000474	WP_011284377.1	WP_348602650.1
OG0000475	WP_233688569.1	WP_348602651.1
OG0000476	WP_011205931.1	WP_014579742.1
OG0000477	WP_011206317.1	WP_348571773.1
OG0000478	WP_233688564.1	WP_146379753.1
OG0000479	WP_233688706.1	WP_348602782.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_160600884.1	WP_348602736.1
OG0000482	WP_020835622.1	WP_348572032.1
OG0000483	WP_011206227.1	WP_348602501.1
OG0000484	WP_233688609.1	WP_348602686.1
OG0000485	WP_011206004.1	WP_011206004.1
OG0000486	WP_160585249.1	WP_348602522.1
OG0000487	WP_233688409.1	WP_348602855.1
OG0000488	WP_233688414.1	WP_348571630.1
OG0000489	WP_233688589.1	WP_011205849.1
OG0000490	WP_160606487.1	WP_011206527.1
OG0000491	WP_011205966.1	WP_348602784.1
OG0000492	WP_160607802.1	WP_348602792.1
OG0000493	WP_011206114.1	WP_348571965.1
OG0000494	WP_233688644.1	WP_052269169.1
OG0000495	WP_135619008.1	WP_011284272.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_044272567.1	WP_160585682.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011284249.1	WP_011206333.1
OG0000500	WP_233688754.1	WP_348602844.1
OG0000501	WP_233688527.1	WP_348602608.1
OG0000502	WP_233688692.1	WP_348602764.1
OG0000503	WP_233688648.1	WP_348602742.1
OG0000504	WP_233688660.1	WP_348602723.1
OG0000505	WP_146379519.1	WP_011290053.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_233688665.1	WP_160585191.1
OG0000508	WP_233688611.1	WP_348602688.1
OG0000509	WP_233688614.1	WP_020835518.1
OG0000510	WP_050195448.1	WP_011289977.1
OG0000511	WP_179695952.1	WP_011206135.1
OG0000512	WP_160585006.1	WP_011206304.1
OG0000513	WP_233688562.1	WP_348602642.1
OG0000514	WP_233688503.1	WP_348602587.1
OG0000516	WP_011206214.1	WP_011206214.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_233688531.1	WP_348602612.1
OG0000519	WP_135618573.1	WP_160584803.1
OG0000520	WP_011283957.1	WP_011283957.1
OG0000521	WP_160600673.1	WP_020835515.1
OG0000522	WP_135618505.1	WP_348602691.1
OG0000523	WP_233688558.1	WP_348602637.1
OG0000524	WP_233688488.1	WP_348602566.1
OG0000525	WP_233688555.1	WP_348602634.1
OG0000526	WP_233688749.1	WP_348602829.1, WP_348602831.1
OG0000527	WP_233688743.1	WP_348602820.1
OG0000528	WP_233688410.1	WP_348602497.1
OG0000529	WP_233688432.1	WP_348602513.1
OG0000530	WP_011284186.1	WP_011290248.1
OG0000531	WP_011205956.1	WP_020835645.1
OG0000532	WP_011290141.1	WP_348602803.1
OG0000533	WP_011206110.1	WP_011206110.1
OG0000534	WP_011289989.1	WP_348602698.1
OG0000535	WP_160588116.1	WP_011205848.1
OG0000536	WP_233688576.1	WP_348602655.1
OG0000537	WP_233688645.1	WP_011206089.1
OG0000538	WP_233688675.1	WP_020835608.1
OG0000539	WP_160600661.1	WP_160585545.1
OG0000540	WP_233688483.1	WP_348602564.1
OG0000542	WP_044284771.1	WP_011289986.1
OG0000544	WP_014579703.1	WP_348602770.1
OG0000545	WP_011290175.1	WP_348602827.1
OG0000546	WP_179696083.1	WP_011206350.1
OG0000547	WP_233688510.1	WP_233688510.1
OG0000548	WP_233688724.1	WP_160606621.1
OG0000549	WP_233688553.1	WP_348602632.1
OG0000550	WP_233688566.1	WP_348602644.1
OG0000552	WP_233688534.1	WP_348602615.1
OG0000553	WP_233688491.1	WP_348602569.1
OG0000554	WP_233688452.1	WP_348602534.1
OG0000555	WP_228366107.1	WP_179221196.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_014579699.1	WP_348602767.1
OG0000559	WP_011206161.1	WP_014579758.1
OG0000560	WP_011284100.1	WP_348602826.1
OG0000561	WP_011206015.1	WP_094521603.1
