Orthogroup	MHP_LH_proteins	MHP_7422_proteins
OG0000162	WP_135619210.1	WP_081430781.1
OG0000163	WP_233688464.1	WP_020835782.1
OG0000164	WP_233688726.1	WP_020835663.1
OG0000165	WP_011206200.1	WP_020835712.1
OG0000166	WP_233688759.1	WP_020835717.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_233688406.1	WP_236607945.1
OG0000169	WP_094521497.1	WP_002557698.1
OG0000170	WP_233688526.1	WP_020835862.1
OG0000171	WP_011206422.1	WP_020835864.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_094521499.1	WP_020835865.1
OG0000174	WP_233688528.1	WP_020835866.1
OG0000175	WP_233688530.1	WP_020835868.1
OG0000176	WP_233688535.1	WP_020835876.1
OG0000177	WP_233688536.1	WP_020835877.1
OG0000178	WP_011206441.1	WP_020835878.1
OG0000179	WP_233688538.1	WP_020835880.1
OG0000180	WP_160600945.1	WP_081642895.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_011290401.1
OG0000185	WP_011206465.1	WP_020835897.1
OG0000186	WP_135618718.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_233688438.1	WP_020835758.1
OG0000190	WP_011206256.1	WP_020835757.1
OG0000191	WP_011206251.1	WP_020835755.1
OG0000192	WP_011284001.1	WP_011290088.1
OG0000193	WP_011283999.1	WP_011283999.1
OG0000194	WP_011283923.1	WP_011290023.1
OG0000195	WP_011283924.1	WP_011290024.1
OG0000196	WP_014579648.1	WP_020835573.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_233688647.1	WP_020835575.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_233688653.1	WP_011290039.1
OG0000203	WP_233688654.1	WP_011206072.1
OG0000204	WP_014579633.1	WP_011206071.1
OG0000205	WP_233688655.1	WP_020835584.1
OG0000206	WP_135618589.1	WP_011290044.1
OG0000207	WP_011283951.1	WP_011206063.1
OG0000208	WP_011283952.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_233688662.1	WP_011206052.1
OG0000211	WP_233688663.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_020835589.1
OG0000216	WP_233688664.1	WP_011290056.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_233688666.1	WP_011290058.1
OG0000219	WP_020835591.1	WP_020835591.1
OG0000220	WP_011283968.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_233688667.1	WP_020835596.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011290064.1
OG0000228	WP_233688668.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_233688672.1	WP_020835604.1
OG0000234	WP_044284822.1	WP_041361598.1
OG0000235	WP_233688676.1	WP_020835611.1
OG0000236	WP_011283989.1	WP_020835612.1
OG0000237	WP_233688687.1	WP_020835613.1
OG0000238	WP_233688688.1	WP_011283991.1
OG0000239	WP_011206399.1	WP_011290347.1
OG0000240	WP_011206400.1	WP_020835851.1
OG0000241	WP_011206402.1	WP_020835853.1
OG0000242	WP_233688513.1	WP_020835854.1
OG0000243	WP_011206404.1	WP_041361686.1
OG0000244	WP_160615603.1	WP_041361690.1
OG0000245	WP_146379707.1	WP_020835856.1
OG0000246	WP_050195463.1	WP_041361522.1
OG0000247	WP_233688602.1	WP_011289951.1
OG0000248	WP_014579535.1	WP_014579535.1
OG0000249	WP_233688604.1	WP_020835502.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_014579544.1	WP_020835507.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_233688610.1	WP_011289964.1
OG0000254	WP_020835510.1	WP_020835510.1
OG0000255	WP_044284572.1	WP_020835511.1
OG0000256	WP_011283865.1	WP_011205889.1
OG0000257	WP_233688613.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_233688617.1	WP_020835520.1
OG0000260	WP_011283879.1	WP_011289982.1
OG0000261	WP_233688620.1	WP_020835521.1
OG0000262	WP_014579569.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_233688622.1	WP_020835529.1
OG0000266	WP_011205923.1	WP_041361536.1
OG0000267	WP_233688623.1	WP_020835532.1
OG0000268	WP_011283894.1	WP_011289993.1
OG0000269	WP_179695953.1	WP_011206134.1
OG0000270	WP_233688568.1	WP_020835916.1
OG0000271	WP_233688567.1	WP_020835915.1
OG0000272	WP_011284373.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_233688565.1	WP_011290423.1
OG0000275	WP_011206497.1	WP_020835912.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_233688563.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_233688561.1	WP_011290418.1
OG0000280	WP_011206490.1	WP_011206490.1
OG0000281	WP_011290416.1	WP_011290416.1
OG0000282	WP_011206486.1	WP_020835909.1
OG0000283	WP_044272663.1	WP_011206485.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_011290413.1	WP_020835908.1
OG0000286	WP_334301383.1	WP_020835780.1
OG0000287	WP_011206297.1	WP_020835791.1
OG0000288	WP_233688472.1	WP_041361791.1
OG0000289	WP_233688473.1	WP_020835793.1
OG0000290	WP_014579908.1	WP_020835808.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044272553.1	WP_020835806.1
OG0000293	WP_233688482.1	WP_020835805.1
OG0000294	WP_233688481.1	WP_041361676.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_233688476.1	WP_041361673.1
OG0000297	WP_011206306.1	WP_020835798.1
OG0000298	WP_233688606.1	WP_011289956.1
OG0000299	WP_011205878.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_011205925.1
OG0000303	WP_146379484.1	WP_011206118.1
OG0000304	WP_011283978.1	WP_220190741.1
OG0000305	WP_233688505.1	WP_020835841.1
OG0000306	WP_233688499.1	WP_020835832.1
OG0000307	WP_044272560.1	WP_020835826.1
OG0000308	WP_233688487.1	WP_020835811.1
OG0000309	WP_160600978.1	WP_011206313.1
OG0000310	WP_233688471.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_233688467.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_233688758.1	WP_020835716.1
OG0000315	WP_233688407.1	WP_011290197.1
OG0000316	WP_014579818.1	WP_014579818.1
OG0000317	WP_233688419.1	WP_020835734.1
OG0000318	WP_233688408.1	WP_020835722.1
OG0000319	WP_233688431.1	WP_020835750.1
OG0000320	WP_233688446.1	WP_020835767.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_233688709.1	WP_020835642.1
OG0000323	WP_233688718.1	WP_041361746.1
OG0000324	WP_011206250.1	WP_011290222.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_233688651.1	WP_041361576.1
OG0000327	WP_011206076.1	WP_011206076.1
OG0000328	WP_233688658.1	WP_041361583.1
OG0000329	WP_044284742.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_041361688.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160601134.1	WP_020835889.1
OG0000335	WP_233688545.1	WP_041361699.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011206520.1	WP_011290441.1
OG0000338	WP_011284394.1	WP_011284394.1
OG0000339	WP_233688442.1	WP_020835763.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_233688437.1	WP_011290226.1
OG0000342	WP_233688646.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_233688639.1	WP_041361546.1
OG0000345	WP_014579611.1	WP_051129925.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_160600882.1	WP_020835582.1
OG0000349	WP_094521522.1	WP_236607960.1
OG0000350	WP_233688496.1	WP_041361796.1
OG0000351	WP_233688626.1	WP_011289997.1
OG0000352	WP_233688755.1	WP_020835711.1
OG0000353	WP_233688708.1	WP_020835641.1
OG0000354	WP_011283917.1	WP_220200712.1
OG0000355	WP_011206194.1	WP_020835708.1
OG0000356	WP_232039529.1	WP_236607946.1
OG0000357	WP_011206427.1	WP_011206427.1
OG0000358	WP_233688529.1	WP_020835867.1
OG0000359	WP_233688649.1	WP_051129934.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_233688616.1	WP_011289979.1
OG0000362	WP_094521719.1	WP_020835794.1
OG0000363	WP_233688761.1	WP_269076336.1
OG0000364	WP_233688752.1	WP_020835705.1
OG0000365	WP_233688412.1	WP_020835726.1
OG0000366	WP_011206224.1	WP_011206224.1
OG0000367	WP_233688417.1	WP_020835730.1
OG0000368	WP_233688591.1	WP_011289935.1
OG0000369	WP_233688587.1	WP_011289930.1
OG0000370	WP_135618444.1	WP_041361514.1
OG0000371	WP_233688586.1	WP_020835481.1
OG0000372	WP_233688585.1	WP_011289927.1
OG0000373	WP_233688584.1	WP_020835935.1
OG0000374	WP_233688582.1	WP_020835933.1
OG0000375	WP_011284163.1	WP_011284163.1
OG0000376	WP_233688449.1	WP_020835770.1
OG0000377	WP_233688447.1	WP_041361661.1
OG0000378	WP_233688701.1	WP_020835632.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_233688710.1	WP_020835644.1
OG0000381	WP_233688712.1	WP_020835647.1
OG0000382	WP_233688715.1	WP_020835652.1
OG0000383	WP_233688717.1	WP_014579735.1
OG0000384	WP_334301384.1	WP_041361727.1
OG0000386	WP_011206121.1	WP_011290004.1
OG0000387	WP_233688637.1	WP_020835543.1
OG0000388	WP_233688638.1	WP_020835544.1
OG0000389	WP_233688643.1	WP_020835565.1
OG0000390	WP_233688508.1	WP_011284284.1
OG0000391	WP_233688506.1	WP_020835843.1
OG0000392	WP_135619016.1	WP_020835840.1
OG0000393	WP_233688500.1	WP_020835833.1
OG0000394	WP_014579921.1	WP_011290313.1
OG0000395	WP_233688494.1	WP_020835821.1
OG0000396	WP_233688463.1	WP_020835781.1
OG0000397	WP_044284644.1	WP_011206196.1
OG0000398	WP_011206197.1	WP_020835709.1
OG0000399	WP_233688760.1	WP_011290195.1
OG0000400	WP_233688525.1	WP_020835861.1
OG0000401	WP_135619070.1	WP_020835871.1
OG0000402	WP_233688532.1	WP_020835872.1
OG0000403	WP_233688533.1	WP_020835873.1
OG0000404	WP_233688537.1	WP_020835879.1
OG0000405	WP_233688539.1	WP_081642900.1
OG0000406	WP_233688546.1	WP_020835892.1
OG0000407	WP_233688547.1	WP_011290391.1
OG0000408	WP_011206457.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_011290400.1
OG0000412	WP_233688552.1	WP_011290399.1
OG0000413	WP_011284051.1	WP_020835655.1
OG0000414	WP_011284053.1	WP_011290131.1
OG0000415	WP_233688720.1	WP_020835657.1
OG0000416	WP_233688721.1	WP_011284056.1
OG0000417	WP_233688436.1	WP_011290225.1
OG0000418	WP_233688435.1	WP_020835756.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_160600868.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_011206080.1
OG0000422	WP_233688650.1	WP_020835580.1
OG0000423	WP_233688656.1	WP_020835585.1
OG0000424	WP_233688657.1	WP_011290043.1
OG0000425	WP_011283949.1	WP_041361580.1
OG0000426	WP_011283950.1	WP_011206064.1
OG0000427	WP_233688659.1	WP_011290048.1
OG0000428	WP_011206054.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_014579604.1	WP_020835599.1
OG0000431	WP_011283976.1	WP_020835600.1
OG0000432	WP_233688673.1	WP_020835605.1
OG0000433	WP_011206014.1	WP_011290074.1
OG0000434	WP_233688674.1	WP_020835607.1
OG0000435	WP_020835610.1	WP_020835610.1
OG0000436	WP_011206005.1	WP_020835614.1
OG0000437	WP_233688689.1	WP_020835616.1
OG0000438	WP_233688690.1	WP_020835617.1
OG0000439	WP_020835619.1	WP_020835619.1
OG0000440	WP_014579953.1	WP_020835852.1
OG0000441	WP_233688514.1	WP_020835857.1
OG0000442	WP_179220985.1	WP_020835499.1
OG0000443	WP_233688608.1	WP_020835505.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_020835509.1
OG0000446	WP_233688612.1	WP_020835513.1
OG0000447	WP_160600671.1	WP_014579553.1
OG0000448	WP_233688615.1	WP_011289976.1
OG0000449	WP_233688618.1	WP_011289981.1
OG0000450	WP_233688619.1	WP_011289983.1
OG0000452	WP_160584747.1	WP_011205921.1
OG0000453	WP_233688624.1	WP_011289994.1
OG0000455	WP_233688570.1	WP_041361713.1
OG0000456	WP_233688560.1	WP_011206487.1
OG0000457	WP_233688559.1	WP_020835907.1
OG0000458	WP_020835790.1	WP_020835790.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_011206303.1	WP_020835795.1
OG0000461	WP_233688479.1	WP_041361674.1
OG0000462	WP_011206311.1	WP_020835802.1
OG0000463	WP_011206310.1	WP_020835801.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_233688477.1	WP_020835800.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_233688489.1	WP_020835813.1
OG0000468	WP_014579812.1	WP_011290194.1
OG0000469	WP_233688411.1	WP_011290203.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_014579622.1	WP_041361586.1
OG0000472	WP_233688554.1	WP_020835900.1
OG0000473	WP_011206506.1	WP_020835917.1
OG0000474	WP_011284377.1	WP_041361711.1
OG0000475	WP_233688569.1	WP_020835919.1
OG0000476	WP_011205931.1	WP_011205931.1
OG0000477	WP_011206317.1	WP_011290293.1
OG0000478	WP_233688564.1	WP_011284367.1
OG0000479	WP_233688706.1	WP_020835636.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_160600884.1	WP_020835583.1
OG0000482	WP_020835622.1	WP_020835622.1
OG0000483	WP_011206227.1	WP_051129930.1
OG0000484	WP_233688609.1	WP_228366121.1
OG0000485	WP_011206004.1	WP_020835615.1
OG0000486	WP_160585249.1	WP_020835759.1
OG0000487	WP_233688409.1	WP_044272470.1
OG0000488	WP_233688414.1	WP_020835728.1
OG0000489	WP_233688589.1	WP_011205849.1
OG0000491	WP_011205966.1	WP_020835639.1
OG0000492	WP_160607802.1	WP_020835646.1
OG0000494	WP_233688644.1	WP_020835567.1
OG0000495	WP_135619008.1	WP_011284272.1
OG0000496	WP_011206375.1	WP_020835835.1
OG0000497	WP_044272567.1	WP_011206374.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011284249.1	WP_020835817.1
OG0000500	WP_233688754.1	WP_020835710.1
OG0000501	WP_233688527.1	WP_020835863.1
OG0000502	WP_233688692.1	WP_020835621.1
OG0000503	WP_233688648.1	WP_020835576.1
OG0000504	WP_233688660.1	WP_011283955.1
OG0000505	WP_146379519.1	WP_011290053.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_233688665.1	WP_020835590.1
OG0000508	WP_233688611.1	WP_020835512.1
OG0000509	WP_233688614.1	WP_020835518.1
OG0000510	WP_050195448.1	WP_011289977.1
OG0000511	WP_179695952.1	WP_011206135.1
OG0000512	WP_160585006.1	WP_020835796.1
OG0000513	WP_233688562.1	WP_041361708.1
OG0000514	WP_233688503.1	WP_020835839.1
OG0000516	WP_011206214.1	WP_020835724.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_233688531.1	WP_318023954.1
OG0000519	WP_135618573.1	WP_020835579.1
OG0000520	WP_011283957.1	WP_011290050.1
OG0000521	WP_160600673.1	WP_020835515.1
OG0000522	WP_135618505.1	WP_020835519.1
OG0000523	WP_233688558.1	WP_020835906.1
OG0000524	WP_233688488.1	WP_020835812.1
OG0000525	WP_233688555.1	WP_011290405.1
OG0000526	WP_233688749.1	WP_236607970.1
OG0000527	WP_233688743.1	WP_020835689.1
OG0000528	WP_233688410.1	WP_011290201.1
OG0000529	WP_233688432.1	WP_014579831.1
OG0000530	WP_011284186.1	WP_011284186.1
OG0000531	WP_011205956.1	WP_020835645.1
OG0000532	WP_011290141.1	WP_236607969.1
OG0000533	WP_011206110.1	WP_236607965.1, WP_236607964.1
OG0000534	WP_011289989.1	WP_020835528.1
OG0000535	WP_160588116.1	WP_020835486.1
OG0000536	WP_233688576.1	WP_020835926.1
OG0000537	WP_233688645.1	WP_011290028.1
OG0000538	WP_233688675.1	WP_020835608.1
OG0000539	WP_160600661.1	WP_020835508.1
OG0000540	WP_233688483.1	WP_020835807.1
OG0000541	WP_233688492.1	WP_020835819.1
OG0000542	WP_044284771.1	WP_020835525.1
OG0000543	WP_167513696.1, WP_233688685.1	WP_041361748.1
OG0000544	WP_014579703.1	WP_020835626.1
OG0000545	WP_011290175.1	WP_020835698.1
OG0000546	WP_179696083.1	WP_020835829.1
OG0000547	WP_233688510.1	WP_020835845.1
OG0000548	WP_233688724.1	WP_020835662.1
OG0000549	WP_233688553.1	WP_020835899.1
OG0000550	WP_233688566.1	WP_020835913.1
OG0000553	WP_233688491.1	WP_020835815.1
OG0000554	WP_233688452.1	WP_236607950.1
OG0000556	WP_094521569.1	WP_041361557.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_014579699.1	WP_020835624.1
OG0000559	WP_011206161.1	WP_020835677.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_011206015.1	WP_011290073.1
OG0000562	WP_146379618.1	WP_020835696.1
OG0000563	WP_011284098.1	WP_011290172.1
OG0000564	WP_233688700.1	WP_041361605.1
OG0000565	WP_160606463.1	WP_011290181.1
OG0000566	WP_233688751.1	WP_236607971.1
OG0000567	WP_233688748.1	WP_020835699.1
OG0000568	WP_160585617.1	WP_020835571.1
OG0000569	WP_160585559.1	WP_020835625.1
