Orthogroup	MHP_ES2_genes	MHP_ES2L_genes
OG0000027	E5E95_RS03575	HZK19_RS03405
OG0000028	E5E95_RS02625	HZK19_RS02385
OG0000028	E5E95_RS02620	HZK19_RS02380
OG0000029	E5E95_RS01100	HZK19_RS01065
OG0000029	E5E95_RS00610	HZK19_RS00600
OG0000030	E5E95_RS03550	HZK19_RS03380
OG0000030	E5E95_RS03570	HZK19_RS03400
OG0000032	E5E95_RS03995	HZK19_RS01545
OG0000032	E5E95_RS03565	HZK19_RS03395
OG0000034	E5E95_RS04045	HZK19_RS03770
OG0000034	E5E95_RS04050	HZK19_RS03775
OG0000035	E5E95_RS03405	HZK19_RS03235
OG0000035	E5E95_RS03395	HZK19_RS03225
OG0000036	E5E95_RS00105	HZK19_RS00100
OG0000036	E5E95_RS00120	HZK19_RS03705, HZK19_RS03710
OG0000037	E5E95_RS04000	HZK19_RS01555
OG0000038	E5E95_RS01910, E5E95_RS00500, E5E95_RS01865	HZK19_RS01710
OG0000039	E5E95_RS01650, E5E95_RS01645	HZK19_RS01580
OG0000040	E5E95_RS03495	HZK19_RS03325
OG0000042	E5E95_RS03140	HZK19_RS02900
OG0000043	E5E95_RS02030	HZK19_RS01875
OG0000044	E5E95_RS04290	HZK19_RS03955
OG0000045	E5E95_RS01655	HZK19_RS01585
OG0000046	E5E95_RS03505	HZK19_RS03335
OG0000047	E5E95_RS04090	HZK19_RS03090
OG0000048	E5E95_RS02215	HZK19_RS02065
OG0000049	E5E95_RS03260	HZK19_RS02995
OG0000050	E5E95_RS02655	HZK19_RS02415
OG0000051	E5E95_RS02855	HZK19_RS02620
OG0000052	E5E95_RS00075	HZK19_RS00075
OG0000053	E5E95_RS01465	HZK19_RS01415
OG0000054	E5E95_RS02680	HZK19_RS02440
OG0000055	E5E95_RS00125	HZK19_RS00120
OG0000056	E5E95_RS03750	HZK19_RS03580
OG0000057	E5E95_RS03125	HZK19_RS02885
OG0000058	E5E95_RS01660	HZK19_RS03015
OG0000060	E5E95_RS01215, E5E95_RS00080	HZK19_RS00080
OG0000061	E5E95_RS01980	HZK19_RS01820
OG0000062	E5E95_RS03805	HZK19_RS03630
OG0000063	E5E95_RS03800	HZK19_RS03625
OG0000064	E5E95_RS03790	HZK19_RS03615
OG0000065	E5E95_RS02365	HZK19_RS02220
OG0000066	E5E95_RS01370	HZK19_RS01320
OG0000067	E5E95_RS00525	HZK19_RS00515
OG0000068	E5E95_RS00645	HZK19_RS00635
OG0000069	E5E95_RS03015	HZK19_RS02780
OG0000070	E5E95_RS02685	HZK19_RS02445
OG0000071	E5E95_RS03485	HZK19_RS03315
OG0000072	E5E95_RS03490	HZK19_RS03320
OG0000073	E5E95_RS00705	HZK19_RS00680
OG0000074	E5E95_RS00900	HZK19_RS00875
OG0000076	E5E95_RS00355	HZK19_RS00340
OG0000077	E5E95_RS00445	HZK19_RS00425
OG0000078	E5E95_RS01790	HZK19_RS01645
OG0000079	E5E95_RS02760	HZK19_RS02525
OG0000080	E5E95_RS03935	HZK19_RS02570
OG0000081	E5E95_RS00335	HZK19_RS00320
OG0000082	E5E95_RS02605	HZK19_RS02365
OG0000083	E5E95_RS02140	HZK19_RS01985
OG0000084	E5E95_RS02165	HZK19_RS02015
OG0000085	E5E95_RS02170	HZK19_RS02020
OG0000086	E5E95_RS02180	HZK19_RS02030
OG0000087	E5E95_RS02195	HZK19_RS02045
OG0000088	E5E95_RS02200	HZK19_RS02050
OG0000089	E5E95_RS02210	HZK19_RS02060
OG0000090	E5E95_RS00070	HZK19_RS00070
OG0000091	E5E95_RS00055	HZK19_RS00055
OG0000092	E5E95_RS00040	HZK19_RS00040
OG0000093	E5E95_RS00035	HZK19_RS00035
OG0000094	E5E95_RS00030	HZK19_RS00030
OG0000095	E5E95_RS00005	HZK19_RS00005
OG0000096	E5E95_RS03840	HZK19_RS03665
OG0000097	E5E95_RS03820	HZK19_RS03645
OG0000098	E5E95_RS03810	HZK19_RS03635
OG0000099	E5E95_RS03760	HZK19_RS03585
OG0000100	E5E95_RS03740	HZK19_RS03570
OG0000101	E5E95_RS03735	HZK19_RS03565
OG0000102	E5E95_RS01815	HZK19_RS01675
OG0000103	E5E95_RS02330	HZK19_RS02185
OG0000104	E5E95_RS02335	HZK19_RS02190
OG0000105	E5E95_RS02350	HZK19_RS02205
OG0000106	E5E95_RS02360	HZK19_RS02215
OG0000107	E5E95_RS02370	HZK19_RS02225
OG0000108	E5E95_RS02375	HZK19_RS02230
OG0000109	E5E95_RS02380	HZK19_RS02235
OG0000110	E5E95_RS02595	HZK19_RS02355
OG0000111	E5E95_RS02590	HZK19_RS02350
OG0000112	E5E95_RS02580	HZK19_RS02340
OG0000113	E5E95_RS02560	HZK19_RS02320
OG0000114	E5E95_RS04300	HZK19_RS02310
OG0000115	E5E95_RS02535	HZK19_RS02300
OG0000116	E5E95_RS01315	HZK19_RS01265
OG0000117	E5E95_RS01320	HZK19_RS01270
OG0000118	E5E95_RS01355	HZK19_RS01305
OG0000119	E5E95_RS01360	HZK19_RS01310
OG0000120	E5E95_RS01375	HZK19_RS01325
OG0000121	E5E95_RS01400	HZK19_RS01350
OG0000122	E5E95_RS01405	HZK19_RS01355
OG0000123	E5E95_RS01425	HZK19_RS01375
OG0000124	E5E95_RS01430	HZK19_RS01380
OG0000125	E5E95_RS01435	HZK19_RS01385
OG0000126	E5E95_RS01445	HZK19_RS01395
OG0000127	E5E95_RS01455	HZK19_RS01405
OG0000128	E5E95_RS01470	HZK19_RS01420
OG0000129	E5E95_RS01475	HZK19_RS01425
OG0000130	E5E95_RS01485	HZK19_RS01435
OG0000131	E5E95_RS01515	HZK19_RS01465
OG0000132	E5E95_RS01530	HZK19_RS01480
OG0000133	E5E95_RS00530	HZK19_RS00520
OG0000134	E5E95_RS00535	HZK19_RS00525
OG0000135	E5E95_RS00550	HZK19_RS00540
OG0000136	E5E95_RS00555	HZK19_RS00545
OG0000137	E5E95_RS00585	HZK19_RS00575
OG0000138	E5E95_RS00620	HZK19_RS00610
OG0000139	E5E95_RS00650	HZK19_RS00640
OG0000140	E5E95_RS00655	HZK19_RS00645
OG0000141	E5E95_RS03135	HZK19_RS02895
OG0000142	E5E95_RS03130	HZK19_RS02890
OG0000143	E5E95_RS03105	HZK19_RS02870
OG0000144	E5E95_RS03095	HZK19_RS02860
OG0000145	E5E95_RS03085	HZK19_RS02850
OG0000146	E5E95_RS03075	HZK19_RS02840
OG0000147	E5E95_RS03070	HZK19_RS02835
OG0000148	E5E95_RS03055	HZK19_RS02820
OG0000149	E5E95_RS03045	HZK19_RS02810
OG0000150	E5E95_RS03030	HZK19_RS02795
OG0000151	E5E95_RS02985	HZK19_RS02750
OG0000152	E5E95_RS02980	HZK19_RS02745
OG0000153	E5E95_RS02975	HZK19_RS02740
OG0000154	E5E95_RS02965	HZK19_RS02730
OG0000155	E5E95_RS02925	HZK19_RS02690
OG0000156	E5E95_RS02915	HZK19_RS02680
OG0000157	E5E95_RS02910	HZK19_RS02675
OG0000158	E5E95_RS02905	HZK19_RS03895
OG0000159	E5E95_RS04310	HZK19_RS03970
OG0000160	E5E95_RS02665	HZK19_RS02425
OG0000161	E5E95_RS02660	HZK19_RS02420
OG0000162	E5E95_RS02650	HZK19_RS02410
OG0000163	E5E95_RS02645	HZK19_RS02405
OG0000164	E5E95_RS01630	HZK19_RS01575
OG0000165	E5E95_RS02055	HZK19_RS01905
OG0000166	E5E95_RS02080	HZK19_RS01925
OG0000167	E5E95_RS02095	HZK19_RS01940
OG0000168	E5E95_RS02100	HZK19_RS01945
OG0000169	E5E95_RS03255	HZK19_RS02990
OG0000170	E5E95_RS03270	HZK19_RS03005
OG0000171	E5E95_RS03280	HZK19_RS03110
OG0000172	E5E95_RS03285	HZK19_RS03115
OG0000173	E5E95_RS03290	HZK19_RS03120
OG0000174	E5E95_RS03295	HZK19_RS03125
OG0000175	E5E95_RS03310	HZK19_RS03140
OG0000176	E5E95_RS03360	HZK19_RS03190
OG0000177	E5E95_RS03365	HZK19_RS03195
OG0000178	E5E95_RS03370	HZK19_RS03200
OG0000179	E5E95_RS03380	HZK19_RS03210
OG0000180	E5E95_RS03385	HZK19_RS03215
OG0000181	E5E95_RS03435	HZK19_RS03265
OG0000182	E5E95_RS03445	HZK19_RS03275
OG0000183	E5E95_RS03480	HZK19_RS03310
OG0000184	E5E95_RS03525	HZK19_RS03355
OG0000185	E5E95_RS03510	HZK19_RS03340
OG0000186	E5E95_RS01540	HZK19_RS01490
OG0000187	E5E95_RS01555	HZK19_RS01505
OG0000188	E5E95_RS01565	HZK19_RS01515
OG0000189	E5E95_RS02415	HZK19_RS02270
OG0000190	E5E95_RS02410	HZK19_RS02265
OG0000191	E5E95_RS02390	HZK19_RS02245
OG0000192	E5E95_RS01235	HZK19_RS01180
OG0000193	E5E95_RS01225	HZK19_RS01175
OG0000194	E5E95_RS00690	HZK19_RS00665
OG0000195	E5E95_RS00695	HZK19_RS00670
OG0000196	E5E95_RS00715	HZK19_RS00690
OG0000197	E5E95_RS00720	HZK19_RS00695
OG0000198	E5E95_RS00735	HZK19_RS00710
OG0000199	E5E95_RS00740	HZK19_RS00715
OG0000200	E5E95_RS00755	HZK19_RS00730
OG0000201	E5E95_RS00765	HZK19_RS00740
OG0000202	E5E95_RS00820	HZK19_RS00795
OG0000203	E5E95_RS00825	HZK19_RS00800
OG0000204	E5E95_RS00830	HZK19_RS00805
OG0000205	E5E95_RS00835	HZK19_RS00810
OG0000206	E5E95_RS00855	HZK19_RS00830
OG0000207	E5E95_RS00870	HZK19_RS00845
OG0000208	E5E95_RS00875	HZK19_RS00850
OG0000209	E5E95_RS00880	HZK19_RS00855
OG0000210	E5E95_RS00925	HZK19_RS00900
OG0000211	E5E95_RS00955	HZK19_RS00910
OG0000212	E5E95_RS00965	HZK19_RS00920
OG0000213	E5E95_RS00970	HZK19_RS00925
OG0000214	E5E95_RS00975	HZK19_RS00930
OG0000215	E5E95_RS00980	HZK19_RS00935
OG0000216	E5E95_RS00985	HZK19_RS00940
OG0000217	E5E95_RS00995	HZK19_RS00945
OG0000218	E5E95_RS01000	HZK19_RS00955
OG0000219	E5E95_RS01005	HZK19_RS00960
OG0000220	E5E95_RS01010	HZK19_RS00965
OG0000221	E5E95_RS01015	HZK19_RS00970
OG0000222	E5E95_RS01020	HZK19_RS00975
OG0000223	E5E95_RS01025	HZK19_RS00980
OG0000224	E5E95_RS01035	HZK19_RS00990
OG0000225	E5E95_RS01045	HZK19_RS01000
OG0000226	E5E95_RS01050	HZK19_RS01005
OG0000227	E5E95_RS01055	HZK19_RS01010
OG0000228	E5E95_RS04285	HZK19_RS03950
OG0000229	E5E95_RS01065	HZK19_RS01020
OG0000230	E5E95_RS01070	HZK19_RS01025
OG0000231	E5E95_RS01080	HZK19_RS01035
OG0000232	E5E95_RS01090	HZK19_RS01045
OG0000233	E5E95_RS01110	HZK19_RS01070
OG0000234	E5E95_RS01145	HZK19_RS01105
OG0000235	E5E95_RS01155	HZK19_RS01115
OG0000236	E5E95_RS01160	HZK19_RS01120
OG0000237	E5E95_RS01165	HZK19_RS01125
OG0000238	E5E95_RS01175	HZK19_RS01130
OG0000239	E5E95_RS03145	HZK19_RS02905
OG0000240	E5E95_RS03150	HZK19_RS02910
OG0000241	E5E95_RS03160	HZK19_RS02920
OG0000242	E5E95_RS03165	HZK19_RS02925
OG0000243	E5E95_RS03170	HZK19_RS02930
OG0000244	E5E95_RS03180	HZK19_RS02940
OG0000245	E5E95_RS03190	HZK19_RS02950
OG0000246	E5E95_RS00130	HZK19_RS00125
OG0000247	E5E95_RS00140	HZK19_RS00135
OG0000248	E5E95_RS00150	HZK19_RS00145
OG0000249	E5E95_RS00155	HZK19_RS00150
OG0000250	E5E95_RS00170	HZK19_RS00165
OG0000251	E5E95_RS00205	HZK19_RS00195
OG0000252	E5E95_RS00215	HZK19_RS00205
OG0000253	E5E95_RS00220	HZK19_RS00210
OG0000254	E5E95_RS00230	HZK19_RS00220
OG0000255	E5E95_RS00240	HZK19_RS00225
OG0000256	E5E95_RS00245	HZK19_RS00230
OG0000257	E5E95_RS00270	HZK19_RS00255
OG0000258	E5E95_RS00280	HZK19_RS00265
OG0000259	E5E95_RS00310	HZK19_RS00295
OG0000260	E5E95_RS00320	HZK19_RS00305
OG0000261	E5E95_RS00330	HZK19_RS00315
OG0000262	E5E95_RS00350	HZK19_RS00330
OG0000263	E5E95_RS00360	HZK19_RS00345
OG0000264	E5E95_RS00375	HZK19_RS00360
OG0000265	E5E95_RS00385	HZK19_RS00370
OG0000266	E5E95_RS00400	HZK19_RS00385
OG0000267	E5E95_RS00415	HZK19_RS00400
OG0000268	E5E95_RS00420	HZK19_RS00405
OG0000269	E5E95_RS00435	HZK19_RS00420
OG0000270	E5E95_RS03710	HZK19_RS03540
OG0000271	E5E95_RS03705	HZK19_RS03535
OG0000272	E5E95_RS03700	HZK19_RS03530
OG0000273	E5E95_RS03695	HZK19_RS03525
OG0000274	E5E95_RS03675	HZK19_RS03505
OG0000275	E5E95_RS03670	HZK19_RS03500
OG0000276	E5E95_RS03665	HZK19_RS03495
OG0000277	E5E95_RS03655	HZK19_RS03485
OG0000278	E5E95_RS03650	HZK19_RS03480
OG0000279	E5E95_RS03640	HZK19_RS03470
OG0000280	E5E95_RS03635	HZK19_RS03465
OG0000281	E5E95_RS03630	HZK19_RS03460
OG0000282	E5E95_RS03605	HZK19_RS03435
OG0000283	E5E95_RS03600	HZK19_RS03430
OG0000284	E5E95_RS03595	HZK19_RS03425
OG0000285	E5E95_RS03590	HZK19_RS03420
OG0000286	E5E95_RS04305	HZK19_RS02390
OG0000287	E5E95_RS02720	HZK19_RS02485
OG0000288	E5E95_RS02730	HZK19_RS02495
OG0000289	E5E95_RS02735	HZK19_RS02500
OG0000290	E5E95_RS02845	HZK19_RS02610
OG0000291	E5E95_RS02835	HZK19_RS02600
OG0000292	E5E95_RS02830	HZK19_RS02595
OG0000293	E5E95_RS02825	HZK19_RS02590
OG0000294	E5E95_RS02815	HZK19_RS02580
OG0000295	E5E95_RS02810	HZK19_RS02575
OG0000296	E5E95_RS02770	HZK19_RS02535
OG0000297	E5E95_RS02765	HZK19_RS02530
OG0000298	E5E95_RS00165	HZK19_RS00160
OG0000299	E5E95_RS00190	HZK19_RS00180
OG0000300	E5E95_RS00370	HZK19_RS00355
OG0000301	E5E95_RS00405	HZK19_RS00390
OG0000302	E5E95_RS00410	HZK19_RS00395
OG0000303	E5E95_RS00560	HZK19_RS00550
OG0000304	E5E95_RS01095	HZK19_RS01055
OG0000305	E5E95_RS03080	HZK19_RS02845
OG0000306	E5E95_RS03005	HZK19_RS02770
OG0000307	E5E95_RS02970	HZK19_RS02735
OG0000308	E5E95_RS02875	HZK19_RS02635
OG0000309	E5E95_RS02800	HZK19_RS02565
OG0000310	E5E95_RS02725	HZK19_RS02490
OG0000311	E5E95_RS02690	HZK19_RS02450
OG0000312	E5E95_RS02675	HZK19_RS02435
OG0000313	E5E95_RS01620	HZK19_RS01565
OG0000314	E5E95_RS02075	HZK19_RS01920
OG0000315	E5E95_RS02105	HZK19_RS01950
OG0000316	E5E95_RS02115	HZK19_RS01960
OG0000317	E5E95_RS02205	HZK19_RS02055
OG0000318	E5E95_RS02120	HZK19_RS01965
OG0000319	E5E95_RS02345	HZK19_RS02200
OG0000320	E5E95_RS02570	HZK19_RS02330
OG0000321	E5E95_RS01350	HZK19_RS01300
OG0000322	E5E95_RS01395	HZK19_RS01345
OG0000323	E5E95_RS01525	HZK19_RS01475
OG0000324	E5E95_RS02385	HZK19_RS02240
OG0000325	E5E95_RS00700	HZK19_RS00675
OG0000326	E5E95_RS00795	HZK19_RS00770
OG0000327	E5E95_RS00800	HZK19_RS00775
OG0000328	E5E95_RS00885	HZK19_RS00860
OG0000329	E5E95_RS00905	HZK19_RS00880
OG0000330	E5E95_RS01120	HZK19_RS01080
OG0000331	E5E95_RS03175	HZK19_RS02935
OG0000332	E5E95_RS03320	HZK19_RS03150
OG0000333	E5E95_RS03330	HZK19_RS03160
OG0000334	E5E95_RS03440	HZK19_RS03270
OG0000335	E5E95_RS03450	HZK19_RS03280
OG0000336	E5E95_RS03620	HZK19_RS03450
OG0000337	E5E95_RS03795	HZK19_RS03620
OG0000338	E5E95_RS03835	HZK19_RS03660
OG0000339	E5E95_RS02540	HZK19_RS02305
OG0000340	E5E95_RS01330	HZK19_RS01280
OG0000341	E5E95_RS02405	HZK19_RS02260
OG0000342	E5E95_RS00730	HZK19_RS00705
OG0000343	E5E95_RS03340	HZK19_RS03170
OG0000344	E5E95_RS00575	HZK19_RS00565
OG0000345	E5E95_RS01040	HZK19_RS00995
OG0000346	E5E95_RS03625	HZK19_RS03455
OG0000347	E5E95_RS01420	HZK19_RS01370
OG0000348	E5E95_RS00805	HZK19_RS00780
OG0000349	E5E95_RS03685	HZK19_RS03515
OG0000350	E5E95_RS02960	HZK19_RS02725
OG0000351	E5E95_RS00495	HZK19_RS00480
OG0000352	E5E95_RS02050	HZK19_RS01895
OG0000353	E5E95_RS01390	HZK19_RS01340
OG0000354	E5E95_RS00635	HZK19_RS00625
OG0000355	E5E95_RS02020	HZK19_RS01870
OG0000356	E5E95_RS02110	HZK19_RS01955
OG0000357	E5E95_RS03300	HZK19_RS03130
OG0000358	E5E95_RS03305	HZK19_RS03135
OG0000359	E5E95_RS00775	HZK19_RS00750
OG0000360	E5E95_RS00275	HZK19_RS00260
OG0000361	E5E95_RS00305	HZK19_RS00290
OG0000362	E5E95_RS02745	HZK19_RS02510
OG0000363	E5E95_RS03985	HZK19_RS03730
OG0000364	E5E95_RS01995	HZK19_RS03760, HZK19_RS01855
OG0000365	E5E95_RS02150	HZK19_RS02000
OG0000366	E5E95_RS02175	HZK19_RS02025
OG0000367	E5E95_RS02185	HZK19_RS02035
OG0000368	E5E95_RS00060	HZK19_RS00060
OG0000369	E5E95_RS00025	HZK19_RS00025
OG0000370	E5E95_RS00020	HZK19_RS00020
OG0000371	E5E95_RS00015	HZK19_RS00015
OG0000372	E5E95_RS00010	HZK19_RS00010
OG0000373	E5E95_RS03825	HZK19_RS03650
OG0000374	E5E95_RS03815	HZK19_RS03640
OG0000375	E5E95_RS02340	HZK19_RS02195
OG0000376	E5E95_RS02585	HZK19_RS02345
OG0000377	E5E95_RS02575	HZK19_RS02335
OG0000378	E5E95_RS01310	HZK19_RS01260
OG0000379	E5E95_RS01385	HZK19_RS01335
OG0000380	E5E95_RS01410	HZK19_RS01360
OG0000381	E5E95_RS01450	HZK19_RS01400
OG0000382	E5E95_RS01480	HZK19_RS01430
OG0000383	E5E95_RS01520	HZK19_RS01470
OG0000384	E5E95_RS00515	HZK19_RS00505
OG0000385	E5E95_RS00520	HZK19_RS00510
OG0000386	E5E95_RS00540	HZK19_RS00530
OG0000387	E5E95_RS00565	HZK19_RS00555
OG0000388	E5E95_RS00570	HZK19_RS00560
OG0000389	E5E95_RS00615	HZK19_RS00605
OG0000390	E5E95_RS03100	HZK19_RS02865
OG0000391	E5E95_RS03090	HZK19_RS02855
OG0000392	E5E95_RS03065	HZK19_RS02830
OG0000393	E5E95_RS03010	HZK19_RS02775
OG0000394	E5E95_RS02940	HZK19_RS02700
OG0000395	E5E95_RS02930	HZK19_RS02695
OG0000397	E5E95_RS02035	HZK19_RS01880
OG0000398	E5E95_RS02040	HZK19_RS01885
OG0000399	E5E95_RS02090	HZK19_RS01935
OG0000400	E5E95_RS03265	HZK19_RS03000
OG0000401	E5E95_RS03325	HZK19_RS03155
OG0000402	E5E95_RS03335	HZK19_RS03165
OG0000403	E5E95_RS03345	HZK19_RS03175
OG0000404	E5E95_RS03375	HZK19_RS03205
OG0000405	E5E95_RS03390	HZK19_RS03220
OG0000406	E5E95_RS03455	HZK19_RS03285
OG0000407	E5E95_RS03460	HZK19_RS03290
OG0000408	E5E95_RS03465	HZK19_RS03295
OG0000409	E5E95_RS03470	HZK19_RS03300
OG0000410	E5E95_RS03530	HZK19_RS03360
OG0000411	E5E95_RS03520	HZK19_RS03350
OG0000412	E5E95_RS03515	HZK19_RS03345
OG0000413	E5E95_RS01535	HZK19_RS01485
OG0000414	E5E95_RS01545	HZK19_RS01495
OG0000415	E5E95_RS01550	HZK19_RS01500
OG0000416	E5E95_RS01560	HZK19_RS01510
OG0000417	E5E95_RS02400	HZK19_RS02255
OG0000418	E5E95_RS02395	HZK19_RS02250
OG0000419	E5E95_RS00710	HZK19_RS00685
OG0000420	E5E95_RS00745	HZK19_RS00720
OG0000421	E5E95_RS00780	HZK19_RS00755
OG0000422	E5E95_RS00790	HZK19_RS00765
OG0000423	E5E95_RS00845	HZK19_RS00820
OG0000424	E5E95_RS00850	HZK19_RS00825
OG0000425	E5E95_RS00860	HZK19_RS00835
OG0000426	E5E95_RS00865	HZK19_RS00840
OG0000427	E5E95_RS00890	HZK19_RS00865
OG0000428	E5E95_RS00915	HZK19_RS00890
OG0000429	E5E95_RS01030	HZK19_RS00985
OG0000430	E5E95_RS01075	HZK19_RS01030
OG0000431	E5E95_RS01085	HZK19_RS01040
OG0000432	E5E95_RS01115	HZK19_RS01075
OG0000433	E5E95_RS01130	HZK19_RS01090
OG0000434	E5E95_RS01135	HZK19_RS01095
OG0000435	E5E95_RS01150	HZK19_RS01110
OG0000436	E5E95_RS01180	HZK19_RS01135
OG0000437	E5E95_RS01190	HZK19_RS01145
OG0000438	E5E95_RS01195	HZK19_RS01150
OG0000439	E5E95_RS01200	HZK19_RS01155
OG0000440	E5E95_RS03155	HZK19_RS02915
OG0000441	E5E95_RS03195	HZK19_RS02955
OG0000442	E5E95_RS00135	HZK19_RS00130
OG0000443	E5E95_RS00185	HZK19_RS00175
OG0000444	E5E95_RS00200	HZK19_RS00190
OG0000445	E5E95_RS00225	HZK19_RS00215
OG0000446	E5E95_RS00255	HZK19_RS00240
OG0000447	E5E95_RS00260	HZK19_RS00245
OG0000448	E5E95_RS00290	HZK19_RS00275
OG0000449	E5E95_RS00315	HZK19_RS00300
OG0000450	E5E95_RS00325	HZK19_RS00310
OG0000451	E5E95_RS00365	HZK19_RS00350
OG0000452	E5E95_RS00390	HZK19_RS00375
OG0000453	E5E95_RS00425	HZK19_RS00410
OG0000454	E5E95_RS02455	HZK19_RS03100
OG0000455	E5E95_RS03730	HZK19_RS03560
OG0000456	E5E95_RS03610	HZK19_RS03440
OG0000457	E5E95_RS03585	HZK19_RS03415
OG0000458	E5E95_RS02715	HZK19_RS02480
OG0000459	E5E95_RS02740	HZK19_RS02505
OG0000460	E5E95_RS02750	HZK19_RS02520
OG0000461	E5E95_RS02795	HZK19_RS02560
OG0000462	E5E95_RS02790	HZK19_RS02555
OG0000463	E5E95_RS02785	HZK19_RS02550
OG0000465	E5E95_RS02775	HZK19_RS02545
OG0000466	E5E95_RS00395	HZK19_RS00380
OG0000467	E5E95_RS02880	HZK19_RS02645
OG0000468	E5E95_RS02085	HZK19_RS01930
OG0000469	E5E95_RS02145	HZK19_RS01990
OG0000470	E5E95_RS03895	HZK19_RS00815
OG0000471	E5E95_RS00920	HZK19_RS00895
OG0000472	E5E95_RS03540	HZK19_RS03370
OG0000473	E5E95_RS03715	HZK19_RS03545
OG0000474	E5E95_RS03720	HZK19_RS03550
OG0000475	E5E95_RS03725	HZK19_RS03555
OG0000476	E5E95_RS01570	HZK19_RS01520
OG0000477	E5E95_RS02820	HZK19_RS02585
OG0000478	E5E95_RS03660	HZK19_RS03490
OG0000479	E5E95_RS01345	HZK19_RS01295
OG0000480	E5E95_RS03865	HZK19_RS01995
OG0000481	E5E95_RS00815	HZK19_RS00790
OG0000483	E5E95_RS02190	HZK19_RS02040
OG0000484	E5E95_RS00195	HZK19_RS00185
OG0000485	E5E95_RS01185	HZK19_RS01140
OG0000486	E5E95_RS02420	HZK19_RS02275
OG0000487	E5E95_RS02125	HZK19_RS01970
OG0000488	E5E95_RS02160	HZK19_RS02010
OG0000489	E5E95_RS00050	HZK19_RS00050
OG0000490	E5E95_RS03830	HZK19_RS03655
OG0000491	E5E95_RS01365	HZK19_RS01315
