Orthogroup	MHP_ES2_genes	MFC_Ms42_genes
OG0000080	E5E95_RS03935	MYF_RS01000, MYF_RS03365
OG0000081	E5E95_RS00335	MYF_RS00300
OG0000082	E5E95_RS02605	MYF_RS01110
OG0000083	E5E95_RS02140	MYF_RS01430
OG0000084	E5E95_RS02165	MYF_RS01400
OG0000085	E5E95_RS02170	MYF_RS01395
OG0000086	E5E95_RS02180	MYF_RS01385
OG0000087	E5E95_RS02195	MYF_RS01370
OG0000088	E5E95_RS02200	MYF_RS01365
OG0000089	E5E95_RS02210	MYF_RS01355
OG0000090	E5E95_RS00070	MYF_RS00070
OG0000091	E5E95_RS00055	MYF_RS00055
OG0000092	E5E95_RS00040	MYF_RS00040
OG0000093	E5E95_RS00035	MYF_RS00035
OG0000094	E5E95_RS00030	MYF_RS00030
OG0000095	E5E95_RS00005	MYF_RS00005
OG0000096	E5E95_RS03840	MYF_RS03150
OG0000097	E5E95_RS03820	MYF_RS03130
OG0000098	E5E95_RS03810	MYF_RS03120
OG0000099	E5E95_RS03760	MYF_RS03065
OG0000100	E5E95_RS03740	MYF_RS03050
OG0000101	E5E95_RS03735	MYF_RS03045
OG0000102	E5E95_RS01815	MYF_RS03035
OG0000103	E5E95_RS02330	MYF_RS01540
OG0000104	E5E95_RS02335	MYF_RS01545
OG0000105	E5E95_RS02350	MYF_RS01560
OG0000106	E5E95_RS02360	MYF_RS01570
OG0000107	E5E95_RS02370	MYF_RS01580
OG0000108	E5E95_RS02375	MYF_RS01585
OG0000109	E5E95_RS02380	MYF_RS01590
OG0000110	E5E95_RS02595	MYF_RS01595
OG0000111	E5E95_RS02590	MYF_RS01600
OG0000112	E5E95_RS02580	MYF_RS01610
OG0000113	E5E95_RS02560	MYF_RS01625
OG0000114	E5E95_RS04300	MYF_RS01635
OG0000115	E5E95_RS02535	MYF_RS01645
OG0000116	E5E95_RS01315	MYF_RS01655
OG0000117	E5E95_RS01320	MYF_RS01660
OG0000118	E5E95_RS01355	MYF_RS01690
OG0000119	E5E95_RS01360	MYF_RS01695
OG0000120	E5E95_RS01375	MYF_RS01710
OG0000121	E5E95_RS01400	MYF_RS01735
OG0000122	E5E95_RS01405	MYF_RS01740
OG0000123	E5E95_RS01425	MYF_RS01760
OG0000124	E5E95_RS01430	MYF_RS01765
OG0000125	E5E95_RS01435	MYF_RS01770
OG0000126	E5E95_RS01445	MYF_RS01780
OG0000127	E5E95_RS01455	MYF_RS01790
OG0000128	E5E95_RS01470	MYF_RS01805
OG0000129	E5E95_RS01475	MYF_RS01810
OG0000130	E5E95_RS01485	MYF_RS01820
OG0000131	E5E95_RS01515	MYF_RS01850
OG0000132	E5E95_RS01530	MYF_RS01865
OG0000133	E5E95_RS00530	MYF_RS00485
OG0000134	E5E95_RS00535	MYF_RS00490
OG0000135	E5E95_RS00550	MYF_RS00505
OG0000136	E5E95_RS00555	MYF_RS00510
OG0000137	E5E95_RS00585	MYF_RS00540
OG0000138	E5E95_RS00620	MYF_RS00565
OG0000139	E5E95_RS00650	MYF_RS00595
OG0000140	E5E95_RS00655	MYF_RS00600
OG0000141	E5E95_RS03135	MYF_RS00635
OG0000142	E5E95_RS03130	MYF_RS00640
OG0000143	E5E95_RS03105	MYF_RS00665
OG0000144	E5E95_RS03095	MYF_RS00675
OG0000145	E5E95_RS03085	MYF_RS00685
OG0000146	E5E95_RS03075	MYF_RS00695
OG0000147	E5E95_RS03070	MYF_RS00700
OG0000148	E5E95_RS03055	MYF_RS00715
OG0000149	E5E95_RS03045	MYF_RS00725
OG0000150	E5E95_RS03030	MYF_RS00740
OG0000151	E5E95_RS02985	MYF_RS00795
OG0000152	E5E95_RS02980	MYF_RS00800
OG0000153	E5E95_RS02975	MYF_RS00805
OG0000154	E5E95_RS02965	MYF_RS00815
OG0000155	E5E95_RS02925	MYF_RS00835
OG0000156	E5E95_RS02915	MYF_RS00855
OG0000157	E5E95_RS02910	MYF_RS00860
OG0000158	E5E95_RS02905	MYF_RS00870
OG0000159	E5E95_RS04310	MYF_RS01165
OG0000160	E5E95_RS02665	MYF_RS01170
OG0000161	E5E95_RS02660	MYF_RS01175
OG0000162	E5E95_RS02650	MYF_RS01185
OG0000163	E5E95_RS02645	MYF_RS01190
OG0000164	E5E95_RS01630	MYF_RS01220
OG0000165	E5E95_RS02055	MYF_RS01265
OG0000166	E5E95_RS02080	MYF_RS01285
OG0000167	E5E95_RS02095	MYF_RS01300
OG0000168	E5E95_RS02100	MYF_RS01305
OG0000169	E5E95_RS03255	MYF_RS02560
OG0000170	E5E95_RS03270	MYF_RS02585
OG0000171	E5E95_RS03280	MYF_RS02595
OG0000172	E5E95_RS03285	MYF_RS02600
OG0000173	E5E95_RS03290	MYF_RS02605
OG0000174	E5E95_RS03295	MYF_RS02610
OG0000175	E5E95_RS03310	MYF_RS02625
OG0000176	E5E95_RS03360	MYF_RS02670
OG0000177	E5E95_RS03365	MYF_RS02675
OG0000178	E5E95_RS03370	MYF_RS02680
OG0000179	E5E95_RS03380	MYF_RS02690
OG0000180	E5E95_RS03385	MYF_RS02695
OG0000181	E5E95_RS03435	MYF_RS02710
OG0000182	E5E95_RS03445	MYF_RS02720
OG0000183	E5E95_RS03480	MYF_RS02755
OG0000184	E5E95_RS03525	MYF_RS02785
OG0000185	E5E95_RS03510	MYF_RS02800
OG0000186	E5E95_RS01540	MYF_RS01895
OG0000187	E5E95_RS01555	MYF_RS01910
OG0000188	E5E95_RS01565	MYF_RS01920
OG0000189	E5E95_RS02415	MYF_RS01930
OG0000190	E5E95_RS02410	MYF_RS01935
OG0000191	E5E95_RS02390	MYF_RS01955
OG0000192	E5E95_RS01235	MYF_RS01965
OG0000193	E5E95_RS01225	MYF_RS01980
OG0000194	E5E95_RS00690	MYF_RS01990
OG0000195	E5E95_RS00695	MYF_RS01995
OG0000196	E5E95_RS00715	MYF_RS02015
OG0000197	E5E95_RS00720	MYF_RS02020
OG0000198	E5E95_RS00735	MYF_RS02035
OG0000199	E5E95_RS00740	MYF_RS02040
OG0000200	E5E95_RS00755	MYF_RS02050
OG0000201	E5E95_RS00765	MYF_RS02060
OG0000202	E5E95_RS00820	MYF_RS02115
OG0000203	E5E95_RS00825	MYF_RS02120
OG0000204	E5E95_RS00830	MYF_RS02125
OG0000205	E5E95_RS00835	MYF_RS02130
OG0000206	E5E95_RS00855	MYF_RS02150
OG0000207	E5E95_RS00870	MYF_RS02165
OG0000208	E5E95_RS00875	MYF_RS02170
OG0000209	E5E95_RS00880	MYF_RS02175
OG0000210	E5E95_RS00925	MYF_RS02220
OG0000211	E5E95_RS00955	MYF_RS02230
OG0000212	E5E95_RS00965	MYF_RS02240
OG0000213	E5E95_RS00970	MYF_RS02245
OG0000214	E5E95_RS00975	MYF_RS02250
OG0000215	E5E95_RS00980	MYF_RS02255
OG0000216	E5E95_RS00985	MYF_RS02260
OG0000217	E5E95_RS00995	MYF_RS02265
OG0000218	E5E95_RS01000	MYF_RS02275
OG0000219	E5E95_RS01005	MYF_RS02280
OG0000220	E5E95_RS01010	MYF_RS02285
OG0000221	E5E95_RS01015	MYF_RS02290
OG0000222	E5E95_RS01020	MYF_RS03240
OG0000223	E5E95_RS01025	MYF_RS02295
OG0000224	E5E95_RS01035	MYF_RS02305
OG0000225	E5E95_RS01045	MYF_RS02315
OG0000226	E5E95_RS01050	MYF_RS02320
OG0000227	E5E95_RS01055	MYF_RS02325
OG0000228	E5E95_RS04285	MYF_RS03530
OG0000229	E5E95_RS01065	MYF_RS02335
OG0000230	E5E95_RS01070	MYF_RS02340
OG0000231	E5E95_RS01080	MYF_RS02350
OG0000232	E5E95_RS01090	MYF_RS02360
OG0000233	E5E95_RS01110	MYF_RS02370
OG0000234	E5E95_RS01145	MYF_RS02400
OG0000235	E5E95_RS01155	MYF_RS02410
OG0000236	E5E95_RS01160	MYF_RS02415
OG0000237	E5E95_RS01165	MYF_RS02430
OG0000238	E5E95_RS01175	MYF_RS02435
OG0000239	E5E95_RS03145	MYF_RS02465
OG0000240	E5E95_RS03150	MYF_RS02470
OG0000241	E5E95_RS03160	MYF_RS02480
OG0000242	E5E95_RS03165	MYF_RS02485
OG0000243	E5E95_RS03170	MYF_RS02490
OG0000244	E5E95_RS03180	MYF_RS02500
OG0000245	E5E95_RS03190	MYF_RS02510
OG0000246	E5E95_RS00130	MYF_RS00085
OG0000247	E5E95_RS00140	MYF_RS00095
OG0000248	E5E95_RS00150	MYF_RS00120
OG0000249	E5E95_RS00155	MYF_RS00125
OG0000250	E5E95_RS00170	MYF_RS00140
OG0000251	E5E95_RS00205	MYF_RS00170
OG0000252	E5E95_RS00215	MYF_RS00180
OG0000253	E5E95_RS00220	MYF_RS00185
OG0000254	E5E95_RS00230	MYF_RS00195
OG0000255	E5E95_RS00240	MYF_RS00205
OG0000256	E5E95_RS00245	MYF_RS00210
OG0000257	E5E95_RS00270	MYF_RS00235
OG0000258	E5E95_RS00280	MYF_RS00245
OG0000259	E5E95_RS00310	MYF_RS00275
OG0000260	E5E95_RS00320	MYF_RS00285
OG0000261	E5E95_RS00330	MYF_RS00295
OG0000262	E5E95_RS00350	MYF_RS00310
OG0000263	E5E95_RS00360	MYF_RS00325
OG0000264	E5E95_RS00375	MYF_RS00340
OG0000265	E5E95_RS00385	MYF_RS00350
OG0000266	E5E95_RS00400	MYF_RS00365
OG0000267	E5E95_RS00415	MYF_RS00380
OG0000268	E5E95_RS00420	MYF_RS00385
OG0000269	E5E95_RS00435	MYF_RS00400
OG0000270	E5E95_RS03710	MYF_RS02955
OG0000271	E5E95_RS03705	MYF_RS02950
OG0000272	E5E95_RS03700	MYF_RS02945
OG0000273	E5E95_RS03695	MYF_RS02940
OG0000274	E5E95_RS03675	MYF_RS02920
OG0000275	E5E95_RS03670	MYF_RS02915
OG0000276	E5E95_RS03665	MYF_RS02910
OG0000277	E5E95_RS03655	MYF_RS02900
OG0000278	E5E95_RS03650	MYF_RS02895
OG0000279	E5E95_RS03640	MYF_RS02885
OG0000280	E5E95_RS03635	MYF_RS02880
OG0000281	E5E95_RS03630	MYF_RS03275
OG0000282	E5E95_RS03605	MYF_RS02855
OG0000283	E5E95_RS03600	MYF_RS02850
OG0000284	E5E95_RS03595	MYF_RS02845
OG0000285	E5E95_RS03590	MYF_RS02840
OG0000286	E5E95_RS04305	MYF_RS01115
OG0000287	E5E95_RS02720	MYF_RS01090
OG0000288	E5E95_RS02730	MYF_RS01080
OG0000289	E5E95_RS02735	MYF_RS01075
OG0000290	E5E95_RS02845	MYF_RS00905
OG0000291	E5E95_RS02835	MYF_RS00915
OG0000292	E5E95_RS02830	MYF_RS00920
OG0000293	E5E95_RS02825	MYF_RS00925
OG0000294	E5E95_RS02815	MYF_RS00935
OG0000295	E5E95_RS02810	MYF_RS00940
OG0000296	E5E95_RS02770	MYF_RS01040
OG0000297	E5E95_RS02765	MYF_RS01045
OG0000298	E5E95_RS00165	MYF_RS00135
OG0000299	E5E95_RS00190	MYF_RS00155
OG0000300	E5E95_RS00370	MYF_RS00335
OG0000301	E5E95_RS00405	MYF_RS00370
OG0000302	E5E95_RS00410	MYF_RS00375
OG0000303	E5E95_RS00560	MYF_RS00515
OG0000304	E5E95_RS01095	MYF_RS00545
OG0000305	E5E95_RS03080	MYF_RS00690
OG0000306	E5E95_RS03005	MYF_RS00770
OG0000307	E5E95_RS02970	MYF_RS00810
OG0000308	E5E95_RS02875	MYF_RS00895
OG0000309	E5E95_RS02800	MYF_RS01005
OG0000310	E5E95_RS02725	MYF_RS01085
OG0000311	E5E95_RS02690	MYF_RS01140
OG0000312	E5E95_RS02675	MYF_RS01160
OG0000313	E5E95_RS01620	MYF_RS01210
OG0000314	E5E95_RS02075	MYF_RS01280
OG0000315	E5E95_RS02105	MYF_RS01310
OG0000316	E5E95_RS02115	MYF_RS01320
OG0000317	E5E95_RS02205	MYF_RS01360
OG0000318	E5E95_RS02120	MYF_RS01450
OG0000319	E5E95_RS02345	MYF_RS01555
OG0000320	E5E95_RS02570	MYF_RS01620
OG0000321	E5E95_RS01350	MYF_RS01685
OG0000322	E5E95_RS01395	MYF_RS01730
OG0000323	E5E95_RS01525	MYF_RS01860
OG0000324	E5E95_RS02385	MYF_RS01960
OG0000325	E5E95_RS00700	MYF_RS02000
OG0000326	E5E95_RS00795	MYF_RS02090
OG0000327	E5E95_RS00800	MYF_RS02095
OG0000328	E5E95_RS00885	MYF_RS02180
OG0000329	E5E95_RS00905	MYF_RS02200
OG0000330	E5E95_RS01120	MYF_RS02380
OG0000331	E5E95_RS03175	MYF_RS02495
OG0000332	E5E95_RS03320	MYF_RS02635
OG0000333	E5E95_RS03330	MYF_RS02645
OG0000334	E5E95_RS03440	MYF_RS02715
OG0000335	E5E95_RS03450	MYF_RS02725
OG0000336	E5E95_RS03620	MYF_RS02870
OG0000337	E5E95_RS03795	MYF_RS03105
OG0000338	E5E95_RS03835	MYF_RS03145
OG0000339	E5E95_RS02540	MYF_RS01640
OG0000340	E5E95_RS01330	MYF_RS01665
OG0000341	E5E95_RS02405	MYF_RS01940
OG0000342	E5E95_RS00730	MYF_RS02030
OG0000343	E5E95_RS03340	MYF_RS02655
OG0000344	E5E95_RS00575	MYF_RS00530
OG0000345	E5E95_RS01040	MYF_RS02310
OG0000346	E5E95_RS03625	MYF_RS02875
OG0000347	E5E95_RS01420	MYF_RS01755
OG0000348	E5E95_RS00805	MYF_RS02100
OG0000349	E5E95_RS03685	MYF_RS02930
OG0000350	E5E95_RS02960	MYF_RS03360
OG0000351	E5E95_RS00495	MYF_RS00465
OG0000352	E5E95_RS02050	MYF_RS01260
OG0000353	E5E95_RS01390	MYF_RS01725
OG0000354	E5E95_RS00635	MYF_RS00580
OG0000355	E5E95_RS02020	MYF_RS01235
OG0000356	E5E95_RS02110	MYF_RS01315
OG0000357	E5E95_RS03300	MYF_RS02615
OG0000358	E5E95_RS03305	MYF_RS02620
OG0000359	E5E95_RS00775	MYF_RS02070
OG0000360	E5E95_RS00275	MYF_RS00240
OG0000361	E5E95_RS00305	MYF_RS00270
OG0000362	E5E95_RS02745	MYF_RS01065
OG0000363	E5E95_RS03985	MYF_RS01795
OG0000365	E5E95_RS02150	MYF_RS01420
OG0000366	E5E95_RS02175	MYF_RS01390
OG0000367	E5E95_RS02185	MYF_RS01380
OG0000368	E5E95_RS00060	MYF_RS00060
OG0000369	E5E95_RS00025	MYF_RS00025
OG0000370	E5E95_RS00020	MYF_RS00020
OG0000371	E5E95_RS00015	MYF_RS00015
OG0000372	E5E95_RS00010	MYF_RS00010
OG0000373	E5E95_RS03825	MYF_RS03135
OG0000374	E5E95_RS03815	MYF_RS03125
OG0000375	E5E95_RS02340	MYF_RS01550
OG0000376	E5E95_RS02585	MYF_RS01605
OG0000377	E5E95_RS02575	MYF_RS01615
OG0000378	E5E95_RS01310	MYF_RS01650
OG0000379	E5E95_RS01385	MYF_RS01720
OG0000380	E5E95_RS01410	MYF_RS01745
OG0000381	E5E95_RS01450	MYF_RS01785
OG0000382	E5E95_RS01480	MYF_RS01815
OG0000383	E5E95_RS01520	MYF_RS01855
OG0000384	E5E95_RS00515	MYF_RS00470
OG0000385	E5E95_RS00520	MYF_RS00475
OG0000386	E5E95_RS00540	MYF_RS00495
OG0000387	E5E95_RS00565	MYF_RS00520
OG0000388	E5E95_RS00570	MYF_RS00525
OG0000389	E5E95_RS00615	MYF_RS00560
OG0000390	E5E95_RS03100	MYF_RS00670
OG0000391	E5E95_RS03090	MYF_RS00680
OG0000392	E5E95_RS03065	MYF_RS00705
OG0000393	E5E95_RS03010	MYF_RS00760
OG0000394	E5E95_RS02940	MYF_RS00825
OG0000395	E5E95_RS02930	MYF_RS00830
OG0000397	E5E95_RS02035	MYF_RS01245
OG0000398	E5E95_RS02040	MYF_RS01250
OG0000399	E5E95_RS02090	MYF_RS01295
OG0000400	E5E95_RS03265	MYF_RS02580
OG0000401	E5E95_RS03325	MYF_RS02640
OG0000402	E5E95_RS03335	MYF_RS02650
OG0000403	E5E95_RS03345	MYF_RS02660
OG0000404	E5E95_RS03375	MYF_RS02685
OG0000405	E5E95_RS03390	MYF_RS02700
OG0000406	E5E95_RS03455	MYF_RS02730
OG0000407	E5E95_RS03460	MYF_RS02735
OG0000408	E5E95_RS03465	MYF_RS02740
OG0000409	E5E95_RS03470	MYF_RS02745
OG0000410	E5E95_RS03530	MYF_RS02780
OG0000411	E5E95_RS03520	MYF_RS02790
OG0000412	E5E95_RS03515	MYF_RS02795
OG0000413	E5E95_RS01535	MYF_RS01890
OG0000414	E5E95_RS01545	MYF_RS01900
OG0000415	E5E95_RS01550	MYF_RS01905
OG0000416	E5E95_RS01560	MYF_RS01915
OG0000417	E5E95_RS02400	MYF_RS01945
OG0000418	E5E95_RS02395	MYF_RS01950
OG0000419	E5E95_RS00710	MYF_RS02010
OG0000420	E5E95_RS00745	MYF_RS02045
OG0000421	E5E95_RS00780	MYF_RS02075
OG0000422	E5E95_RS00790	MYF_RS02085
OG0000423	E5E95_RS00845	MYF_RS02140
OG0000424	E5E95_RS00850	MYF_RS02145
OG0000425	E5E95_RS00860	MYF_RS02155
OG0000426	E5E95_RS00865	MYF_RS02160
OG0000427	E5E95_RS00890	MYF_RS02185
OG0000428	E5E95_RS00915	MYF_RS02210
OG0000429	E5E95_RS01030	MYF_RS02300
OG0000430	E5E95_RS01075	MYF_RS02345
OG0000431	E5E95_RS01085	MYF_RS02355
OG0000432	E5E95_RS01115	MYF_RS02375
OG0000433	E5E95_RS01130	MYF_RS02385
OG0000434	E5E95_RS01135	MYF_RS02390
OG0000435	E5E95_RS01150	MYF_RS02405
OG0000436	E5E95_RS01180	MYF_RS02440
OG0000437	E5E95_RS01190	MYF_RS02450
OG0000438	E5E95_RS01195	MYF_RS02455
OG0000439	E5E95_RS01200	MYF_RS02460
OG0000440	E5E95_RS03155	MYF_RS02475
OG0000441	E5E95_RS03195	MYF_RS02515
OG0000442	E5E95_RS00135	MYF_RS00090
OG0000443	E5E95_RS00185	MYF_RS00150
OG0000444	E5E95_RS00200	MYF_RS00165
OG0000445	E5E95_RS00225	MYF_RS00190
OG0000446	E5E95_RS00255	MYF_RS00220
OG0000447	E5E95_RS00260	MYF_RS00225
OG0000448	E5E95_RS00290	MYF_RS00255
OG0000449	E5E95_RS00315	MYF_RS00280
OG0000450	E5E95_RS00325	MYF_RS00290
OG0000451	E5E95_RS00365	MYF_RS00330
OG0000452	E5E95_RS00390	MYF_RS00355
OG0000453	E5E95_RS00425	MYF_RS00390
OG0000454	E5E95_RS01735, E5E95_RS02455	MYF_RS03480, MYF_RS03485
OG0000455	E5E95_RS03730	MYF_RS02975
OG0000456	E5E95_RS03610	MYF_RS02860
OG0000457	E5E95_RS03585	MYF_RS02835
OG0000458	E5E95_RS02715	MYF_RS01095
OG0000459	E5E95_RS02740	MYF_RS01070
OG0000460	E5E95_RS02750	MYF_RS01060
OG0000461	E5E95_RS02795	MYF_RS01010
OG0000462	E5E95_RS02790	MYF_RS01015
OG0000463	E5E95_RS02785	MYF_RS01020
OG0000464	E5E95_RS02780	MYF_RS01030
OG0000465	E5E95_RS02775	MYF_RS01035
OG0000466	E5E95_RS00395	MYF_RS00360
OG0000467	E5E95_RS02880	MYF_RS03505
OG0000468	E5E95_RS02085	MYF_RS01290
OG0000469	E5E95_RS02145	MYF_RS01425
OG0000470	E5E95_RS03895	MYF_RS02135
OG0000471	E5E95_RS00920	MYF_RS02215
OG0000472	E5E95_RS03540	MYF_RS03535
OG0000473	E5E95_RS03715	MYF_RS02960
OG0000474	E5E95_RS03720	MYF_RS02965
OG0000475	E5E95_RS03725	MYF_RS02970
OG0000476	E5E95_RS01570	MYF_RS03040
OG0000477	E5E95_RS02820	MYF_RS00930
OG0000478	E5E95_RS03660	MYF_RS02905
OG0000479	E5E95_RS01345	MYF_RS01680
OG0000480	E5E95_RS03865	MYF_RS03350
OG0000481	E5E95_RS00815	MYF_RS02110
OG0000482	E5E95_RS01230	MYF_RS01975
OG0000483	E5E95_RS02190	MYF_RS01375
OG0000484	E5E95_RS00195	MYF_RS00160
OG0000485	E5E95_RS01185	MYF_RS02445
OG0000486	E5E95_RS02420	MYF_RS01925
OG0000487	E5E95_RS02125	MYF_RS01445
OG0000488	E5E95_RS02160	MYF_RS01405
OG0000489	E5E95_RS00050	MYF_RS00050
OG0000490	E5E95_RS03830	MYF_RS03140
OG0000491	E5E95_RS01365	MYF_RS01700
OG0000492	E5E95_RS01440	MYF_RS01775
OG0000493	E5E95_RS00580	MYF_RS00535
OG0000494	E5E95_RS00640	MYF_RS00585
OG0000495	E5E95_RS03035	MYF_RS00735
OG0000496	E5E95_RS03025	MYF_RS00745
OG0000497	E5E95_RS03020	MYF_RS00750
OG0000500	E5E95_RS02045	MYF_RS01255
OG0000501	E5E95_RS04280, E5E95_RS04275	MYF_RS02590
OG0000502	E5E95_RS01220	MYF_RS01985
OG0000503	E5E95_RS00760	MYF_RS02055
OG0000504	E5E95_RS00895	MYF_RS02190
OG0000506	E5E95_RS00960	MYF_RS02235
OG0000508	E5E95_RS00250	MYF_RS00215
OG0000509	E5E95_RS00285	MYF_RS00250
OG0000510	E5E95_RS00295	MYF_RS00260
OG0000511	E5E95_RS00430	MYF_RS00395
OG0000512	E5E95_RS02755	MYF_RS01055
OG0000513	E5E95_RS03645	MYF_RS02890
OG0000514	E5E95_RS03060	MYF_RS00710
OG0000516	E5E95_RS02130	MYF_RS01440
OG0000517	E5E95_RS00065	MYF_RS00065
OG0000518	E5E95_RS03315	MYF_RS02630
OG0000519	E5E95_RS00785	MYF_RS02080
OG0000520	E5E95_RS00910	MYF_RS02205
OG0000521	E5E95_RS00265	MYF_RS00230
OG0000522	E5E95_RS00300	MYF_RS00265
OG0000523	E5E95_RS03580	MYF_RS02830
OG0000528	E5E95_RS02135	MYF_RS01435
OG0000529	E5E95_RS02355	MYF_RS01565
OG0000531	E5E95_RS01415	MYF_RS01750
OG0000532	E5E95_RS01740	MYF_RS00620
OG0000533	E5E95_RS00600	MYF_RS02365
OG0000534	E5E95_RS00380	MYF_RS00345
OG0000535	E5E95_RS00045	MYF_RS00045
OG0000536	E5E95_RS03765	MYF_RS03070
OG0000537	E5E95_RS00725	MYF_RS02025
OG0000538	E5E95_RS01140	MYF_RS02395
OG0000539	E5E95_RS00210	MYF_RS00175
OG0000540	E5E95_RS02840	MYF_RS00910
OG0000541	E5E95_RS02920	MYF_RS00850
OG0000547	E5E95_RS03110	MYF_RS00660
OG0000548	E5E95_RS01615	MYF_RS01205
OG0000549	E5E95_RS03535	MYF_RS02805
OG0000550	E5E95_RS03680	MYF_RS02925
OG0000555	E5E95_RS04170	MYF_RS03410
OG0000589	E5E95_RS02260	MYF_RS03220
OG0000595	E5E95_RS03205	MYF_RS02570
OG0000596	E5E95_RS01845	MYF_RS00110
OG0000597	E5E95_RS03200	MYF_RS02565
OG0000598	E5E95_RS01850	MYF_RS00105
OG0000599	E5E95_RS01855	MYF_RS00100
OG0000602	E5E95_RS02155	MYF_RS01415
