Orthogroup	MHP_ES2_genes	MHP_Ue273_genes
OG0000069	E5E95_RS03015	VQY17_RS02795
OG0000070	E5E95_RS02685	VQY17_RS02475
OG0000071	E5E95_RS03485	VQY17_RS03260
OG0000072	E5E95_RS03490	VQY17_RS03265
OG0000073	E5E95_RS00705	VQY17_RS00705
OG0000074	E5E95_RS00900	VQY17_RS00910
OG0000075	E5E95_RS00340	VQY17_RS00345
OG0000077	E5E95_RS00445	VQY17_RS00445
OG0000078	E5E95_RS01790	VQY17_RS01715
OG0000079	E5E95_RS02760	VQY17_RS02550
OG0000080	E5E95_RS03935	VQY17_RS02595
OG0000081	E5E95_RS00335	VQY17_RS00340
OG0000082	E5E95_RS02605	VQY17_RS02400
OG0000083	E5E95_RS02140	VQY17_RS02095
OG0000084	E5E95_RS02165	VQY17_RS02125
OG0000085	E5E95_RS02170	VQY17_RS02135
OG0000086	E5E95_RS02180	VQY17_RS02145
OG0000087	E5E95_RS02195	VQY17_RS02160
OG0000088	E5E95_RS02200	VQY17_RS02165
OG0000089	E5E95_RS02210	VQY17_RS02175
OG0000090	E5E95_RS00070	VQY17_RS00070
OG0000091	E5E95_RS00055	VQY17_RS00055
OG0000092	E5E95_RS00040	VQY17_RS00040
OG0000093	E5E95_RS00035	VQY17_RS00035
OG0000094	E5E95_RS00030	VQY17_RS00030
OG0000095	E5E95_RS00005	VQY17_RS00005
OG0000096	E5E95_RS03840	VQY17_RS03620
OG0000097	E5E95_RS03820	VQY17_RS03600
OG0000098	E5E95_RS03810	VQY17_RS03590
OG0000099	E5E95_RS03760	VQY17_RS03540
OG0000100	E5E95_RS03740	VQY17_RS03525
OG0000101	E5E95_RS03735	VQY17_RS03520
OG0000102	E5E95_RS01815	VQY17_RS01750
OG0000103	E5E95_RS02330	VQY17_RS02220
OG0000104	E5E95_RS02335	VQY17_RS02225
OG0000105	E5E95_RS02350	VQY17_RS02240
OG0000106	E5E95_RS02360	VQY17_RS02250
OG0000107	E5E95_RS02370	VQY17_RS02260
OG0000108	E5E95_RS02375	VQY17_RS02265
OG0000109	E5E95_RS02380	VQY17_RS02270
OG0000110	E5E95_RS02595	VQY17_RS02390
OG0000111	E5E95_RS02590	VQY17_RS02385
OG0000112	E5E95_RS02580	VQY17_RS02375
OG0000113	E5E95_RS02560	VQY17_RS02355
OG0000114	E5E95_RS04300	VQY17_RS02345
OG0000115	E5E95_RS02535	VQY17_RS02335
OG0000116	E5E95_RS01315	VQY17_RS01315
OG0000117	E5E95_RS01320	VQY17_RS01320
OG0000118	E5E95_RS01355	VQY17_RS01355
OG0000119	E5E95_RS01360	VQY17_RS01360
OG0000120	E5E95_RS01375	VQY17_RS01375
OG0000121	E5E95_RS01400	VQY17_RS01405
OG0000122	E5E95_RS01405	VQY17_RS01410
OG0000123	E5E95_RS01425	VQY17_RS01430
OG0000124	E5E95_RS01430	VQY17_RS01435
OG0000125	E5E95_RS01435	VQY17_RS01440
OG0000126	E5E95_RS01445	VQY17_RS01455
OG0000127	E5E95_RS01455	VQY17_RS01460
OG0000128	E5E95_RS01470	VQY17_RS01475
OG0000129	E5E95_RS01475	VQY17_RS01480
OG0000130	E5E95_RS01485	VQY17_RS01490
OG0000131	E5E95_RS01515	VQY17_RS01520
OG0000132	E5E95_RS01530	VQY17_RS01535
OG0000133	E5E95_RS00530	VQY17_RS00530
OG0000134	E5E95_RS00535	VQY17_RS00535
OG0000135	E5E95_RS00550	VQY17_RS00550
OG0000136	E5E95_RS00555	VQY17_RS00555
OG0000137	E5E95_RS00585	VQY17_RS00595
OG0000138	E5E95_RS00620	VQY17_RS00620
OG0000139	E5E95_RS00650	VQY17_RS00650
OG0000140	E5E95_RS00655	VQY17_RS00655
OG0000141	E5E95_RS03135	VQY17_RS02915
OG0000142	E5E95_RS03130	VQY17_RS02910
OG0000143	E5E95_RS03105	VQY17_RS02885
OG0000144	E5E95_RS03095	VQY17_RS02875
OG0000145	E5E95_RS03085	VQY17_RS02865
OG0000146	E5E95_RS03075	VQY17_RS02855
OG0000147	E5E95_RS03070	VQY17_RS02850
OG0000148	E5E95_RS03055	VQY17_RS02835
OG0000149	E5E95_RS03045	VQY17_RS02825
OG0000150	E5E95_RS03030	VQY17_RS02810
OG0000151	E5E95_RS02985	VQY17_RS02760
OG0000152	E5E95_RS02980	VQY17_RS02755
OG0000153	E5E95_RS02975	VQY17_RS02750
OG0000154	E5E95_RS02965	VQY17_RS02740
OG0000155	E5E95_RS02925	VQY17_RS02705
OG0000156	E5E95_RS02915	VQY17_RS02695
OG0000157	E5E95_RS02910	VQY17_RS02690
OG0000158	E5E95_RS02905	VQY17_RS02680
OG0000159	E5E95_RS04310	VQY17_RS02460
OG0000160	E5E95_RS02665	VQY17_RS02455
OG0000161	E5E95_RS02660	VQY17_RS02450
OG0000162	E5E95_RS02650	VQY17_RS02440
OG0000163	E5E95_RS02645	VQY17_RS02435
OG0000164	E5E95_RS01630	VQY17_RS01640
OG0000165	E5E95_RS02055	VQY17_RS02015
OG0000166	E5E95_RS02080	VQY17_RS02035
OG0000167	E5E95_RS02095	VQY17_RS02050
OG0000168	E5E95_RS02100	VQY17_RS02055
OG0000169	E5E95_RS03255	VQY17_RS03035
OG0000170	E5E95_RS03270	VQY17_RS03050
OG0000171	E5E95_RS03280	VQY17_RS03060
OG0000172	E5E95_RS03285	VQY17_RS03065
OG0000173	E5E95_RS03290	VQY17_RS03070
OG0000174	E5E95_RS03295	VQY17_RS03075
OG0000175	E5E95_RS03310	VQY17_RS03090
OG0000176	E5E95_RS03360	VQY17_RS03135
OG0000177	E5E95_RS03365	VQY17_RS03140
OG0000178	E5E95_RS03370	VQY17_RS03145
OG0000179	E5E95_RS03380	VQY17_RS03155
OG0000180	E5E95_RS03385	VQY17_RS03160
OG0000181	E5E95_RS03435	VQY17_RS03210
OG0000182	E5E95_RS03445	VQY17_RS03220
OG0000183	E5E95_RS03480	VQY17_RS03255
OG0000184	E5E95_RS03525	VQY17_RS03305
OG0000185	E5E95_RS03510	VQY17_RS03290
OG0000186	E5E95_RS01540	VQY17_RS01545
OG0000187	E5E95_RS01555	VQY17_RS01560
OG0000188	E5E95_RS01565	VQY17_RS01570
OG0000189	E5E95_RS02415	VQY17_RS02305
OG0000190	E5E95_RS02410	VQY17_RS02300
OG0000191	E5E95_RS02390	VQY17_RS02280
OG0000192	E5E95_RS01235	VQY17_RS01240
OG0000193	E5E95_RS01225	VQY17_RS01230
OG0000194	E5E95_RS00690	VQY17_RS00690
OG0000195	E5E95_RS00695	VQY17_RS00695
OG0000196	E5E95_RS00715	VQY17_RS00715
OG0000197	E5E95_RS00720	VQY17_RS00720
OG0000198	E5E95_RS00735	VQY17_RS00735
OG0000199	E5E95_RS00740	VQY17_RS00740
OG0000200	E5E95_RS00755	VQY17_RS00755
OG0000201	E5E95_RS00765	VQY17_RS00765
OG0000202	E5E95_RS00820	VQY17_RS00825
OG0000203	E5E95_RS00825	VQY17_RS00830
OG0000204	E5E95_RS00830	VQY17_RS00835
OG0000205	E5E95_RS00835	VQY17_RS00840
OG0000206	E5E95_RS00855	VQY17_RS00860
OG0000207	E5E95_RS00870	VQY17_RS00875
OG0000208	E5E95_RS00875	VQY17_RS00880
OG0000209	E5E95_RS00880	VQY17_RS00885
OG0000210	E5E95_RS00925	VQY17_RS00935
OG0000211	E5E95_RS00955	VQY17_RS00970
OG0000212	E5E95_RS00965	VQY17_RS00980
OG0000213	E5E95_RS00970	VQY17_RS00985
OG0000214	E5E95_RS00975	VQY17_RS00990
OG0000215	E5E95_RS00980	VQY17_RS00995
OG0000216	E5E95_RS00985	VQY17_RS01000
OG0000217	E5E95_RS00995	VQY17_RS01005
OG0000218	E5E95_RS01000	VQY17_RS01015
OG0000219	E5E95_RS01005	VQY17_RS01020
OG0000220	E5E95_RS01010	VQY17_RS01025
OG0000221	E5E95_RS01015	VQY17_RS01030
OG0000222	E5E95_RS01020	VQY17_RS01035
OG0000223	E5E95_RS01025	VQY17_RS01040
OG0000224	E5E95_RS01035	VQY17_RS01050
OG0000225	E5E95_RS01045	VQY17_RS01060
OG0000226	E5E95_RS01050	VQY17_RS01065
OG0000227	E5E95_RS01055	VQY17_RS01070
OG0000228	E5E95_RS04285	VQY17_RS01075
OG0000229	E5E95_RS01065	VQY17_RS01080
OG0000230	E5E95_RS01070	VQY17_RS01085
OG0000231	E5E95_RS01080	VQY17_RS01095
OG0000232	E5E95_RS01090	VQY17_RS01105
OG0000233	E5E95_RS01110	VQY17_RS01125
OG0000234	E5E95_RS01145	VQY17_RS01165
OG0000235	E5E95_RS01155	VQY17_RS01175
OG0000236	E5E95_RS01160	VQY17_RS01180
OG0000237	E5E95_RS01165	VQY17_RS01185
OG0000238	E5E95_RS01175	VQY17_RS01190
OG0000239	E5E95_RS03145	VQY17_RS02930
OG0000240	E5E95_RS03150	VQY17_RS02935
OG0000241	E5E95_RS03160	VQY17_RS02945
OG0000242	E5E95_RS03165	VQY17_RS02950
OG0000243	E5E95_RS03170	VQY17_RS02955
OG0000244	E5E95_RS03180	VQY17_RS02965
OG0000245	E5E95_RS03190	VQY17_RS02970
OG0000246	E5E95_RS00130	VQY17_RS00140
OG0000247	E5E95_RS00140	VQY17_RS00150
OG0000248	E5E95_RS00150	VQY17_RS00160
OG0000249	E5E95_RS00155	VQY17_RS00165
OG0000250	E5E95_RS00170	VQY17_RS00180
OG0000251	E5E95_RS00205	VQY17_RS00210
OG0000252	E5E95_RS00215	VQY17_RS00220
OG0000253	E5E95_RS00220	VQY17_RS00225
OG0000254	E5E95_RS00230	VQY17_RS00235
OG0000255	E5E95_RS00240	VQY17_RS00245
OG0000256	E5E95_RS00245	VQY17_RS00250
OG0000257	E5E95_RS00270	VQY17_RS00275
OG0000258	E5E95_RS00280	VQY17_RS00285
OG0000259	E5E95_RS00310	VQY17_RS00315
OG0000260	E5E95_RS00320	VQY17_RS00325
OG0000261	E5E95_RS00330	VQY17_RS00335
OG0000262	E5E95_RS00350	VQY17_RS00350
OG0000263	E5E95_RS00360	VQY17_RS00365
OG0000264	E5E95_RS00375	VQY17_RS00380
OG0000265	E5E95_RS00385	VQY17_RS00390
OG0000266	E5E95_RS00400	VQY17_RS00405
OG0000267	E5E95_RS00415	VQY17_RS00420
OG0000268	E5E95_RS00420	VQY17_RS00425
OG0000269	E5E95_RS00435	VQY17_RS00440
OG0000270	E5E95_RS03710	VQY17_RS03495
OG0000271	E5E95_RS03705	VQY17_RS03490
OG0000272	E5E95_RS03700	VQY17_RS03485
OG0000273	E5E95_RS03695	VQY17_RS03480
OG0000274	E5E95_RS03675	VQY17_RS03460
OG0000275	E5E95_RS03670	VQY17_RS03455
OG0000276	E5E95_RS03665	VQY17_RS03450
OG0000277	E5E95_RS03655	VQY17_RS03435
OG0000278	E5E95_RS03650	VQY17_RS03430
OG0000279	E5E95_RS03640	VQY17_RS03420
OG0000280	E5E95_RS03635	VQY17_RS03415
OG0000281	E5E95_RS03630	VQY17_RS03410
OG0000282	E5E95_RS03605	VQY17_RS03380
OG0000283	E5E95_RS03600	VQY17_RS03375
OG0000284	E5E95_RS03595	VQY17_RS03370
OG0000285	E5E95_RS03590	VQY17_RS03365
OG0000286	E5E95_RS04305	VQY17_RS02420
OG0000287	E5E95_RS02720	VQY17_RS02510
OG0000288	E5E95_RS02730	VQY17_RS02520
OG0000289	E5E95_RS02735	VQY17_RS02525
OG0000290	E5E95_RS02845	VQY17_RS02635
OG0000291	E5E95_RS02835	VQY17_RS02625
OG0000292	E5E95_RS02830	VQY17_RS02620
OG0000293	E5E95_RS02825	VQY17_RS02615
OG0000294	E5E95_RS02815	VQY17_RS02605
OG0000295	E5E95_RS02810	VQY17_RS02600
OG0000296	E5E95_RS02770	VQY17_RS02560
OG0000297	E5E95_RS02765	VQY17_RS02555
OG0000298	E5E95_RS00165	VQY17_RS00175
OG0000299	E5E95_RS00190	VQY17_RS00195
OG0000300	E5E95_RS00370	VQY17_RS00375
OG0000301	E5E95_RS00405	VQY17_RS00410
OG0000302	E5E95_RS00410	VQY17_RS00415
OG0000303	E5E95_RS00560	VQY17_RS00560
OG0000304	E5E95_RS01095	VQY17_RS01110
OG0000305	E5E95_RS03080	VQY17_RS02860
OG0000306	E5E95_RS03005	VQY17_RS02785
OG0000307	E5E95_RS02970	VQY17_RS02745
OG0000308	E5E95_RS02875	VQY17_RS02655
OG0000309	E5E95_RS02800	VQY17_RS02590
OG0000310	E5E95_RS02725	VQY17_RS02515
OG0000311	E5E95_RS02690	VQY17_RS02480
OG0000312	E5E95_RS02675	VQY17_RS02465
OG0000313	E5E95_RS01620	VQY17_RS01630
OG0000314	E5E95_RS02075	VQY17_RS02030
OG0000315	E5E95_RS02105	VQY17_RS02060
OG0000316	E5E95_RS02115	VQY17_RS02070
OG0000317	E5E95_RS02205	VQY17_RS02170
OG0000318	E5E95_RS02120	VQY17_RS02075
OG0000319	E5E95_RS02345	VQY17_RS02235
OG0000320	E5E95_RS02570	VQY17_RS02365
OG0000321	E5E95_RS01350	VQY17_RS01350
OG0000322	E5E95_RS01395	VQY17_RS01400
OG0000323	E5E95_RS01525	VQY17_RS01530
OG0000324	E5E95_RS02385	VQY17_RS02275
OG0000325	E5E95_RS00700	VQY17_RS00700
OG0000326	E5E95_RS00795	VQY17_RS00800
OG0000327	E5E95_RS00800	VQY17_RS00805
OG0000328	E5E95_RS00885	VQY17_RS00890
OG0000329	E5E95_RS00905	VQY17_RS00915
OG0000330	E5E95_RS01120	VQY17_RS01135
OG0000331	E5E95_RS03175	VQY17_RS02960
OG0000332	E5E95_RS03320	VQY17_RS03100
OG0000333	E5E95_RS03330	VQY17_RS03110
OG0000334	E5E95_RS03440	VQY17_RS03215
OG0000335	E5E95_RS03450	VQY17_RS03225
OG0000336	E5E95_RS03620	VQY17_RS03400
OG0000337	E5E95_RS03795	VQY17_RS03575
OG0000338	E5E95_RS03835	VQY17_RS03615
OG0000339	E5E95_RS02540	VQY17_RS02340
OG0000340	E5E95_RS01330	VQY17_RS01330
OG0000341	E5E95_RS02405	VQY17_RS02295
OG0000342	E5E95_RS00730	VQY17_RS00730
OG0000343	E5E95_RS03340	VQY17_RS03120
OG0000344	E5E95_RS00575	VQY17_RS00575
OG0000345	E5E95_RS01040	VQY17_RS01055
OG0000346	E5E95_RS03625	VQY17_RS03405
OG0000347	E5E95_RS01420	VQY17_RS01425
OG0000348	E5E95_RS00805	VQY17_RS00810
OG0000349	E5E95_RS03685	VQY17_RS03470
OG0000350	E5E95_RS02960	VQY17_RS02735
OG0000351	E5E95_RS00495	VQY17_RS00495
OG0000352	E5E95_RS02050	VQY17_RS02010
OG0000353	E5E95_RS01390	VQY17_RS01390
OG0000354	E5E95_RS00635	VQY17_RS00635
OG0000355	E5E95_RS02020	VQY17_RS01985
OG0000356	E5E95_RS02110	VQY17_RS02065
OG0000357	E5E95_RS03300	VQY17_RS03080
OG0000358	E5E95_RS03305	VQY17_RS03085
OG0000359	E5E95_RS00775	VQY17_RS00780
OG0000360	E5E95_RS00275	VQY17_RS00280
OG0000361	E5E95_RS00305	VQY17_RS00310
OG0000362	E5E95_RS02745	VQY17_RS02535
OG0000363	E5E95_RS03985	VQY17_RS01465
OG0000364	E5E95_RS01995	VQY17_RS01955, VQY17_RS01960
OG0000365	E5E95_RS02150	VQY17_RS02110
OG0000366	E5E95_RS02175	VQY17_RS02140
OG0000367	E5E95_RS02185	VQY17_RS02150
OG0000368	E5E95_RS00060	VQY17_RS00060
OG0000369	E5E95_RS00025	VQY17_RS00025
OG0000370	E5E95_RS00020	VQY17_RS00020
OG0000371	E5E95_RS00015	VQY17_RS00015
OG0000372	E5E95_RS00010	VQY17_RS00010
OG0000373	E5E95_RS03825	VQY17_RS03605
OG0000374	E5E95_RS03815	VQY17_RS03595
OG0000375	E5E95_RS02340	VQY17_RS02230
OG0000376	E5E95_RS02585	VQY17_RS02380
OG0000377	E5E95_RS02575	VQY17_RS02370
OG0000378	E5E95_RS01310	VQY17_RS01310
OG0000379	E5E95_RS01385	VQY17_RS01385
OG0000380	E5E95_RS01410	VQY17_RS01415
OG0000382	E5E95_RS01480	VQY17_RS01485
OG0000383	E5E95_RS01520	VQY17_RS01525
OG0000384	E5E95_RS00515	VQY17_RS00515
OG0000385	E5E95_RS00520	VQY17_RS00520
OG0000386	E5E95_RS00540	VQY17_RS00540
OG0000387	E5E95_RS00565	VQY17_RS00565
OG0000388	E5E95_RS00570	VQY17_RS00570
OG0000389	E5E95_RS00615	VQY17_RS00615
OG0000390	E5E95_RS03100	VQY17_RS02880
OG0000391	E5E95_RS03090	VQY17_RS02870
OG0000392	E5E95_RS03065	VQY17_RS02845
OG0000393	E5E95_RS03010	VQY17_RS02790
OG0000394	E5E95_RS02940	VQY17_RS02715
OG0000395	E5E95_RS02930	VQY17_RS02710
OG0000397	E5E95_RS02035	VQY17_RS01995
OG0000398	E5E95_RS02040	VQY17_RS02000
OG0000399	E5E95_RS02090	VQY17_RS02045
OG0000400	E5E95_RS03265	VQY17_RS03045
OG0000401	E5E95_RS03325	VQY17_RS03105
OG0000402	E5E95_RS03335	VQY17_RS03115
OG0000403	E5E95_RS03345	VQY17_RS03125
OG0000404	E5E95_RS03375	VQY17_RS03150
OG0000405	E5E95_RS03390	VQY17_RS03165
OG0000406	E5E95_RS03455	VQY17_RS03230
OG0000407	E5E95_RS03460	VQY17_RS03235
OG0000408	E5E95_RS03465	VQY17_RS03240
OG0000409	E5E95_RS03470	VQY17_RS03245
OG0000410	E5E95_RS03530	VQY17_RS03310
OG0000411	E5E95_RS03520	VQY17_RS03300
OG0000412	E5E95_RS03515	VQY17_RS03295
OG0000413	E5E95_RS01535	VQY17_RS01540
OG0000414	E5E95_RS01545	VQY17_RS01550
OG0000415	E5E95_RS01550	VQY17_RS01555
OG0000416	E5E95_RS01560	VQY17_RS01565
OG0000417	E5E95_RS02400	VQY17_RS02290
OG0000418	E5E95_RS02395	VQY17_RS02285
OG0000419	E5E95_RS00710	VQY17_RS00710
OG0000420	E5E95_RS00745	VQY17_RS00745
OG0000421	E5E95_RS00780	VQY17_RS00785
OG0000422	E5E95_RS00790	VQY17_RS00795
OG0000423	E5E95_RS00845	VQY17_RS00850
OG0000424	E5E95_RS00850	VQY17_RS00855
OG0000425	E5E95_RS00860	VQY17_RS00865
OG0000426	E5E95_RS00865	VQY17_RS00870
OG0000427	E5E95_RS00890	VQY17_RS00900
OG0000428	E5E95_RS00915	VQY17_RS00925
OG0000429	E5E95_RS01030	VQY17_RS01045
OG0000430	E5E95_RS01075	VQY17_RS01090
OG0000431	E5E95_RS01085	VQY17_RS01100
OG0000432	E5E95_RS01115	VQY17_RS01130
OG0000433	E5E95_RS01130	VQY17_RS01145
OG0000434	E5E95_RS01135	VQY17_RS01150
OG0000435	E5E95_RS01150	VQY17_RS01170
OG0000436	E5E95_RS01180	VQY17_RS01195
OG0000438	E5E95_RS01195	VQY17_RS01210
OG0000439	E5E95_RS01200	VQY17_RS01215
OG0000440	E5E95_RS03155	VQY17_RS02940
OG0000441	E5E95_RS03195	VQY17_RS02975
OG0000442	E5E95_RS00135	VQY17_RS00145
OG0000443	E5E95_RS00185	VQY17_RS00190
OG0000444	E5E95_RS00200	VQY17_RS00205
OG0000445	E5E95_RS00225	VQY17_RS00230
OG0000446	E5E95_RS00255	VQY17_RS00260
OG0000447	E5E95_RS00260	VQY17_RS00265
OG0000448	E5E95_RS00290	VQY17_RS00295
OG0000449	E5E95_RS00315	VQY17_RS00320
OG0000450	E5E95_RS00325	VQY17_RS00330
OG0000451	E5E95_RS00365	VQY17_RS00370
OG0000452	E5E95_RS00390	VQY17_RS00395
OG0000453	E5E95_RS00425	VQY17_RS00430
OG0000454	E5E95_RS02455	VQY17_RS01595
OG0000455	E5E95_RS03730	VQY17_RS03515
OG0000456	E5E95_RS03610	VQY17_RS03390
OG0000458	E5E95_RS02715	VQY17_RS02505
OG0000459	E5E95_RS02740	VQY17_RS02530
OG0000460	E5E95_RS02750	VQY17_RS02540
OG0000461	E5E95_RS02795	VQY17_RS02585
OG0000462	E5E95_RS02790	VQY17_RS02580
OG0000463	E5E95_RS02785	VQY17_RS02575
OG0000464	E5E95_RS02780	VQY17_RS02570
OG0000465	E5E95_RS02775	VQY17_RS02565
OG0000466	E5E95_RS00395	VQY17_RS00400
OG0000467	E5E95_RS02880	VQY17_RS02665
OG0000468	E5E95_RS02085	VQY17_RS02040
OG0000469	E5E95_RS02145	VQY17_RS02100
OG0000470	E5E95_RS03895	VQY17_RS00845
OG0000471	E5E95_RS00920	VQY17_RS00930
OG0000472	E5E95_RS03540	VQY17_RS03320
OG0000473	E5E95_RS03715	VQY17_RS03500
OG0000474	E5E95_RS03720	VQY17_RS03505
OG0000475	E5E95_RS03725	VQY17_RS03510
OG0000476	E5E95_RS01570	VQY17_RS01575
OG0000477	E5E95_RS02820	VQY17_RS02610
OG0000478	E5E95_RS03660	VQY17_RS03445
OG0000479	E5E95_RS01345	VQY17_RS01345
OG0000480	E5E95_RS03865	VQY17_RS02105
OG0000481	E5E95_RS00815	VQY17_RS00820
OG0000482	E5E95_RS01230	VQY17_RS01235
OG0000483	E5E95_RS02190	VQY17_RS02155
OG0000484	E5E95_RS00195	VQY17_RS00200
OG0000485	E5E95_RS01185	VQY17_RS01205
OG0000486	E5E95_RS02420	VQY17_RS02310
OG0000487	E5E95_RS02125	VQY17_RS02080
OG0000488	E5E95_RS02160	VQY17_RS02120
OG0000489	E5E95_RS00050	VQY17_RS00050
OG0000490	E5E95_RS03830	VQY17_RS03610
OG0000491	E5E95_RS01365	VQY17_RS01365
OG0000492	E5E95_RS01440	VQY17_RS01445
OG0000493	E5E95_RS00580	VQY17_RS00580
OG0000494	E5E95_RS00640	VQY17_RS00640
OG0000495	E5E95_RS03035	VQY17_RS02815
OG0000496	E5E95_RS03025	VQY17_RS02805
OG0000497	E5E95_RS03020	VQY17_RS02800
OG0000500	E5E95_RS02045	VQY17_RS02005
OG0000501	E5E95_RS04280, E5E95_RS04275	VQY17_RS03055
OG0000502	E5E95_RS01220	VQY17_RS01225
OG0000503	E5E95_RS00760	VQY17_RS00760
OG0000504	E5E95_RS00895	VQY17_RS00905
OG0000506	E5E95_RS00960	VQY17_RS00975
OG0000508	E5E95_RS00250	VQY17_RS00255
OG0000509	E5E95_RS00285	VQY17_RS00290
OG0000510	E5E95_RS00295	VQY17_RS00305
OG0000511	E5E95_RS00430	VQY17_RS00435
OG0000512	E5E95_RS02755	VQY17_RS02545
OG0000513	E5E95_RS03645	VQY17_RS03425
OG0000514	E5E95_RS03060	VQY17_RS02840
