Orthogroup	MHP_ES2_genes	MHP_LH_genes
OG0000103	E5E95_RS02330	KUD10_RS02280
OG0000104	E5E95_RS02335	KUD10_RS02285
OG0000105	E5E95_RS02350	KUD10_RS02300
OG0000106	E5E95_RS02360	KUD10_RS02310
OG0000107	E5E95_RS02370	KUD10_RS02320
OG0000108	E5E95_RS02375	KUD10_RS02325
OG0000109	E5E95_RS02380	KUD10_RS02330
OG0000110	E5E95_RS02595	KUD10_RS02450
OG0000111	E5E95_RS02590	KUD10_RS02445
OG0000112	E5E95_RS02580	KUD10_RS02435
OG0000113	E5E95_RS02560	KUD10_RS02415
OG0000114	E5E95_RS04300	KUD10_RS02405
OG0000115	E5E95_RS02535	KUD10_RS02395
OG0000116	E5E95_RS01315	KUD10_RS01370
OG0000117	E5E95_RS01320	KUD10_RS01375
OG0000118	E5E95_RS01355	KUD10_RS01410
OG0000119	E5E95_RS01360	KUD10_RS01415
OG0000120	E5E95_RS01375	KUD10_RS01430
OG0000121	E5E95_RS01400	KUD10_RS01455
OG0000122	E5E95_RS01405	KUD10_RS01460
OG0000123	E5E95_RS01425	KUD10_RS01480
OG0000124	E5E95_RS01430	KUD10_RS01485
OG0000125	E5E95_RS01435	KUD10_RS01490
OG0000126	E5E95_RS01445	KUD10_RS01500
OG0000127	E5E95_RS01455	KUD10_RS01510
OG0000128	E5E95_RS01470	KUD10_RS01525
OG0000129	E5E95_RS01475	KUD10_RS01530
OG0000130	E5E95_RS01485	KUD10_RS01540
OG0000131	E5E95_RS01515	KUD10_RS01570
OG0000132	E5E95_RS01530	KUD10_RS01585
OG0000133	E5E95_RS00530	KUD10_RS00535
OG0000134	E5E95_RS00535	KUD10_RS00540
OG0000135	E5E95_RS00550	KUD10_RS00555
OG0000136	E5E95_RS00555	KUD10_RS00560
OG0000137	E5E95_RS00585	KUD10_RS00600
OG0000138	E5E95_RS00620	KUD10_RS00630
OG0000139	E5E95_RS00650	KUD10_RS00660
OG0000140	E5E95_RS00655	KUD10_RS00665
OG0000141	E5E95_RS03135	KUD10_RS03005
OG0000142	E5E95_RS03130	KUD10_RS03000
OG0000143	E5E95_RS03105	KUD10_RS02980
OG0000144	E5E95_RS03095	KUD10_RS02970
OG0000145	E5E95_RS03085	KUD10_RS02960
OG0000146	E5E95_RS03075	KUD10_RS02950
OG0000147	E5E95_RS03070	KUD10_RS02945
OG0000148	E5E95_RS03055	KUD10_RS02930
OG0000149	E5E95_RS03045	KUD10_RS02920
OG0000150	E5E95_RS03030	KUD10_RS02905
OG0000151	E5E95_RS02985	KUD10_RS02860
OG0000152	E5E95_RS02980	KUD10_RS02855
OG0000153	E5E95_RS02975	KUD10_RS02850
OG0000154	E5E95_RS02965	KUD10_RS02840
OG0000155	E5E95_RS02925	KUD10_RS02805
OG0000156	E5E95_RS02915	KUD10_RS02795
OG0000157	E5E95_RS02910	KUD10_RS02790
OG0000158	E5E95_RS02905	KUD10_RS03710
OG0000159	E5E95_RS04310	KUD10_RS02545
OG0000160	E5E95_RS02665	KUD10_RS02540
OG0000161	E5E95_RS02660	KUD10_RS02535
OG0000162	E5E95_RS02650	KUD10_RS02525
OG0000163	E5E95_RS02645	KUD10_RS02520
OG0000164	E5E95_RS01630	KUD10_RS01670
OG0000165	E5E95_RS02055	KUD10_RS01990
OG0000166	E5E95_RS02080	KUD10_RS02010
OG0000167	E5E95_RS02095	KUD10_RS02025
OG0000168	E5E95_RS02100	KUD10_RS02030
OG0000169	E5E95_RS03255	KUD10_RS03115
OG0000170	E5E95_RS03270	KUD10_RS03130
OG0000171	E5E95_RS03280	KUD10_RS03140
OG0000172	E5E95_RS03285	KUD10_RS03145
OG0000173	E5E95_RS03290	KUD10_RS03150
OG0000174	E5E95_RS03295	KUD10_RS03155
OG0000175	E5E95_RS03310	KUD10_RS03170
OG0000176	E5E95_RS03360	KUD10_RS03215
OG0000177	E5E95_RS03365	KUD10_RS03220
OG0000178	E5E95_RS03370	KUD10_RS03225
OG0000179	E5E95_RS03380	KUD10_RS03235
OG0000180	E5E95_RS03385	KUD10_RS03240
OG0000181	E5E95_RS03435	KUD10_RS03285
OG0000182	E5E95_RS03445	KUD10_RS03295
OG0000183	E5E95_RS03480	KUD10_RS03330
OG0000184	E5E95_RS03525	KUD10_RS03375
OG0000185	E5E95_RS03510	KUD10_RS03360
OG0000186	E5E95_RS01540	KUD10_RS01595
OG0000187	E5E95_RS01555	KUD10_RS01610
OG0000188	E5E95_RS01565	KUD10_RS01620
OG0000189	E5E95_RS02415	KUD10_RS02365
OG0000190	E5E95_RS02410	KUD10_RS02360
OG0000191	E5E95_RS02390	KUD10_RS02340
OG0000192	E5E95_RS01235	KUD10_RS01290
OG0000193	E5E95_RS01225	KUD10_RS01275
OG0000194	E5E95_RS00690	KUD10_RS00685
OG0000195	E5E95_RS00695	KUD10_RS00690
OG0000196	E5E95_RS00715	KUD10_RS00710
OG0000197	E5E95_RS00720	KUD10_RS00715
OG0000198	E5E95_RS00735	KUD10_RS00730
OG0000199	E5E95_RS00740	KUD10_RS00735
OG0000200	E5E95_RS00755	KUD10_RS00750
OG0000201	E5E95_RS00765	KUD10_RS00760
OG0000202	E5E95_RS00820	KUD10_RS00815
OG0000203	E5E95_RS00825	KUD10_RS00820
OG0000204	E5E95_RS00830	KUD10_RS00825
OG0000205	E5E95_RS00835	KUD10_RS00830
OG0000206	E5E95_RS00855	KUD10_RS00850
OG0000207	E5E95_RS00870	KUD10_RS00865
OG0000208	E5E95_RS00875	KUD10_RS00870
OG0000209	E5E95_RS00880	KUD10_RS00875
OG0000210	E5E95_RS00925	KUD10_RS00920
OG0000211	E5E95_RS00955	KUD10_RS00930
OG0000212	E5E95_RS00965	KUD10_RS00940
OG0000213	E5E95_RS00970	KUD10_RS00945
OG0000214	E5E95_RS00975	KUD10_RS00950
OG0000215	E5E95_RS00980	KUD10_RS00955
OG0000216	E5E95_RS00985	KUD10_RS00960
OG0000217	E5E95_RS00995	KUD10_RS00965
OG0000218	E5E95_RS01000	KUD10_RS00975
OG0000219	E5E95_RS01005	KUD10_RS00980
OG0000220	E5E95_RS01010	KUD10_RS00985
OG0000221	E5E95_RS01015	KUD10_RS00990
OG0000222	E5E95_RS01020	KUD10_RS00995
OG0000223	E5E95_RS01025	KUD10_RS01000
OG0000224	E5E95_RS01035	KUD10_RS01010
OG0000225	E5E95_RS01045	KUD10_RS01020
OG0000226	E5E95_RS01050	KUD10_RS01025
OG0000227	E5E95_RS01055	KUD10_RS01030
OG0000228	E5E95_RS04285	KUD10_RS03740
OG0000229	E5E95_RS01065	KUD10_RS01040
OG0000230	E5E95_RS01070	KUD10_RS01045
OG0000231	E5E95_RS01080	KUD10_RS01055
OG0000232	E5E95_RS01090	KUD10_RS01065
OG0000233	E5E95_RS01110	KUD10_RS01090
OG0000234	E5E95_RS01145	KUD10_RS01125
OG0000235	E5E95_RS01155	KUD10_RS01135
OG0000236	E5E95_RS01160	KUD10_RS01140
OG0000237	E5E95_RS01165	KUD10_RS01230
OG0000238	E5E95_RS01175	KUD10_RS01235
OG0000239	E5E95_RS03145	KUD10_RS03015
OG0000240	E5E95_RS03150	KUD10_RS03020
OG0000241	E5E95_RS03160	KUD10_RS03030
OG0000242	E5E95_RS03165	KUD10_RS03035
OG0000243	E5E95_RS03170	KUD10_RS03040
OG0000244	E5E95_RS03180	KUD10_RS03050
OG0000245	E5E95_RS03190	KUD10_RS03055
OG0000246	E5E95_RS00130	KUD10_RS00140
OG0000247	E5E95_RS00140	KUD10_RS00150
OG0000248	E5E95_RS00150	KUD10_RS00160
OG0000249	E5E95_RS00155	KUD10_RS00165
OG0000250	E5E95_RS00170	KUD10_RS00180
OG0000251	E5E95_RS00205	KUD10_RS00210
OG0000252	E5E95_RS00215	KUD10_RS00220
OG0000253	E5E95_RS00220	KUD10_RS00225
OG0000254	E5E95_RS00230	KUD10_RS00235
OG0000255	E5E95_RS00240	KUD10_RS00240
OG0000256	E5E95_RS00245	KUD10_RS00245
OG0000257	E5E95_RS00270	KUD10_RS00270
OG0000258	E5E95_RS00280	KUD10_RS00280
OG0000259	E5E95_RS00310	KUD10_RS00310
OG0000260	E5E95_RS00320	KUD10_RS00320
OG0000261	E5E95_RS00330	KUD10_RS00330
OG0000262	E5E95_RS00350	KUD10_RS00345
OG0000263	E5E95_RS00360	KUD10_RS00360
OG0000264	E5E95_RS00375	KUD10_RS00375
OG0000265	E5E95_RS00385	KUD10_RS00385
OG0000266	E5E95_RS00400	KUD10_RS00400
OG0000267	E5E95_RS00415	KUD10_RS00415
OG0000268	E5E95_RS00420	KUD10_RS00420
OG0000269	E5E95_RS00435	KUD10_RS00435
OG0000270	E5E95_RS03710	KUD10_RS03560
OG0000271	E5E95_RS03705	KUD10_RS03555
OG0000272	E5E95_RS03700	KUD10_RS03550
OG0000273	E5E95_RS03695	KUD10_RS03545
OG0000274	E5E95_RS03675	KUD10_RS03525
OG0000275	E5E95_RS03670	KUD10_RS03520
OG0000276	E5E95_RS03665	KUD10_RS03515
OG0000277	E5E95_RS03655	KUD10_RS03505
OG0000278	E5E95_RS03650	KUD10_RS03500
OG0000279	E5E95_RS03640	KUD10_RS03490
OG0000280	E5E95_RS03635	KUD10_RS03485
OG0000281	E5E95_RS03630	KUD10_RS03480
OG0000282	E5E95_RS03605	KUD10_RS03455
OG0000283	E5E95_RS03600	KUD10_RS03450
OG0000284	E5E95_RS03595	KUD10_RS03445
OG0000285	E5E95_RS03590	KUD10_RS03440
OG0000286	E5E95_RS04305	KUD10_RS02505
OG0000287	E5E95_RS02720	KUD10_RS02600
OG0000288	E5E95_RS02730	KUD10_RS02610
OG0000289	E5E95_RS02735	KUD10_RS02615
OG0000290	E5E95_RS02845	KUD10_RS02730
OG0000291	E5E95_RS02835	KUD10_RS02720
OG0000292	E5E95_RS02830	KUD10_RS02715
OG0000293	E5E95_RS02825	KUD10_RS02710
OG0000294	E5E95_RS02815	KUD10_RS02700
OG0000295	E5E95_RS02810	KUD10_RS02695
OG0000296	E5E95_RS02770	KUD10_RS02650
OG0000297	E5E95_RS02765	KUD10_RS02645
OG0000298	E5E95_RS00165	KUD10_RS00175
OG0000299	E5E95_RS00190	KUD10_RS00195
OG0000300	E5E95_RS00370	KUD10_RS00370
OG0000301	E5E95_RS00405	KUD10_RS00405
OG0000302	E5E95_RS00410	KUD10_RS00410
OG0000303	E5E95_RS00560	KUD10_RS00565
OG0000304	E5E95_RS01095	KUD10_RS01070
OG0000305	E5E95_RS03080	KUD10_RS02955
OG0000306	E5E95_RS03005	KUD10_RS02880
OG0000307	E5E95_RS02970	KUD10_RS02845
OG0000308	E5E95_RS02875	KUD10_RS02750
OG0000309	E5E95_RS02800	KUD10_RS02685
OG0000310	E5E95_RS02725	KUD10_RS02605
OG0000311	E5E95_RS02690	KUD10_RS02565
OG0000312	E5E95_RS02675	KUD10_RS02550
OG0000313	E5E95_RS01620	KUD10_RS01660
OG0000314	E5E95_RS02075	KUD10_RS02005
OG0000315	E5E95_RS02105	KUD10_RS02035
OG0000316	E5E95_RS02115	KUD10_RS02045
OG0000317	E5E95_RS02205	KUD10_RS02140
OG0000318	E5E95_RS02120	KUD10_RS02050
OG0000319	E5E95_RS02345	KUD10_RS02295
OG0000320	E5E95_RS02570	KUD10_RS02425
OG0000321	E5E95_RS01350	KUD10_RS01405
OG0000322	E5E95_RS01395	KUD10_RS01450
OG0000323	E5E95_RS01525	KUD10_RS01580
OG0000324	E5E95_RS02385	KUD10_RS02335
OG0000325	E5E95_RS00700	KUD10_RS00695
OG0000326	E5E95_RS00795	KUD10_RS00790
OG0000327	E5E95_RS00800	KUD10_RS00795
OG0000328	E5E95_RS00885	KUD10_RS00880
OG0000329	E5E95_RS00905	KUD10_RS00900
OG0000330	E5E95_RS01120	KUD10_RS01100
OG0000331	E5E95_RS03175	KUD10_RS03045
OG0000332	E5E95_RS03320	KUD10_RS03180
OG0000333	E5E95_RS03330	KUD10_RS03190
OG0000334	E5E95_RS03440	KUD10_RS03290
OG0000335	E5E95_RS03450	KUD10_RS03300
OG0000336	E5E95_RS03620	KUD10_RS03470
OG0000337	E5E95_RS03795	KUD10_RS03645
OG0000338	E5E95_RS03835	KUD10_RS03685
OG0000339	E5E95_RS02540	KUD10_RS02400
OG0000340	E5E95_RS01330	KUD10_RS01385
OG0000341	E5E95_RS02405	KUD10_RS02355
OG0000342	E5E95_RS00730	KUD10_RS00725
OG0000343	E5E95_RS03340	KUD10_RS03200
OG0000344	E5E95_RS00575	KUD10_RS00580
OG0000345	E5E95_RS01040	KUD10_RS01015
OG0000346	E5E95_RS03625	KUD10_RS03475
OG0000347	E5E95_RS01420	KUD10_RS01475
OG0000348	E5E95_RS00805	KUD10_RS00800
OG0000349	E5E95_RS03685	KUD10_RS03535
OG0000350	E5E95_RS02960	KUD10_RS02835
OG0000351	E5E95_RS00495	KUD10_RS00490
OG0000352	E5E95_RS02050	KUD10_RS01985
OG0000353	E5E95_RS01390	KUD10_RS01445
OG0000354	E5E95_RS00635	KUD10_RS00645
OG0000355	E5E95_RS02020	KUD10_RS01960
OG0000356	E5E95_RS02110	KUD10_RS02040
OG0000357	E5E95_RS03300	KUD10_RS03160
OG0000358	E5E95_RS03305	KUD10_RS03165
OG0000359	E5E95_RS00775	KUD10_RS00770
OG0000360	E5E95_RS00275	KUD10_RS00275
OG0000361	E5E95_RS00305	KUD10_RS00305
OG0000362	E5E95_RS02745	KUD10_RS02625
OG0000363	E5E95_RS03985	KUD10_RS01515
OG0000364	E5E95_RS01995	KUD10_RS01940
OG0000365	E5E95_RS02150	KUD10_RS02085
OG0000366	E5E95_RS02175	KUD10_RS02110
OG0000367	E5E95_RS02185	KUD10_RS02120
OG0000368	E5E95_RS00060	KUD10_RS00060
OG0000369	E5E95_RS00025	KUD10_RS00025
OG0000370	E5E95_RS00020	KUD10_RS00020
OG0000371	E5E95_RS00015	KUD10_RS00015
OG0000372	E5E95_RS00010	KUD10_RS00010
OG0000373	E5E95_RS03825	KUD10_RS03675
OG0000374	E5E95_RS03815	KUD10_RS03665
OG0000375	E5E95_RS02340	KUD10_RS02290
OG0000376	E5E95_RS02585	KUD10_RS02440
OG0000377	E5E95_RS02575	KUD10_RS02430
OG0000378	E5E95_RS01310	KUD10_RS01365
OG0000379	E5E95_RS01385	KUD10_RS01440
OG0000380	E5E95_RS01410	KUD10_RS01465
OG0000381	E5E95_RS01450	KUD10_RS01505
OG0000382	E5E95_RS01480	KUD10_RS01535
OG0000383	E5E95_RS01520	KUD10_RS01575
OG0000384	E5E95_RS00515	KUD10_RS00520
OG0000385	E5E95_RS00520	KUD10_RS00525
OG0000386	E5E95_RS00540	KUD10_RS00545
OG0000387	E5E95_RS00565	KUD10_RS00570
OG0000388	E5E95_RS00570	KUD10_RS00575
OG0000389	E5E95_RS00615	KUD10_RS00625
OG0000390	E5E95_RS03100	KUD10_RS02975
OG0000391	E5E95_RS03090	KUD10_RS02965
OG0000392	E5E95_RS03065	KUD10_RS02940
OG0000393	E5E95_RS03010	KUD10_RS02885
OG0000394	E5E95_RS02940	KUD10_RS02815
OG0000395	E5E95_RS02930	KUD10_RS02810
OG0000397	E5E95_RS02035	KUD10_RS01970
OG0000398	E5E95_RS02040	KUD10_RS01975
OG0000399	E5E95_RS02090	KUD10_RS02020
OG0000400	E5E95_RS03265	KUD10_RS03125
OG0000401	E5E95_RS03325	KUD10_RS03185
OG0000402	E5E95_RS03335	KUD10_RS03195
OG0000403	E5E95_RS03345	KUD10_RS03205
OG0000404	E5E95_RS03375	KUD10_RS03230
OG0000405	E5E95_RS03390	KUD10_RS03245
OG0000406	E5E95_RS03455	KUD10_RS03305
OG0000407	E5E95_RS03460	KUD10_RS03310
OG0000408	E5E95_RS03465	KUD10_RS03315
OG0000409	E5E95_RS03470	KUD10_RS03320
OG0000410	E5E95_RS03530	KUD10_RS03380
OG0000411	E5E95_RS03520	KUD10_RS03370
OG0000412	E5E95_RS03515	KUD10_RS03365
OG0000413	E5E95_RS01535	KUD10_RS01590
OG0000414	E5E95_RS01545	KUD10_RS01600
OG0000415	E5E95_RS01550	KUD10_RS01605
OG0000416	E5E95_RS01560	KUD10_RS01615
OG0000417	E5E95_RS02400	KUD10_RS02350
OG0000418	E5E95_RS02395	KUD10_RS02345
OG0000419	E5E95_RS00710	KUD10_RS00705
OG0000420	E5E95_RS00745	KUD10_RS00740
OG0000421	E5E95_RS00780	KUD10_RS00775
OG0000422	E5E95_RS00790	KUD10_RS00785
OG0000423	E5E95_RS00845	KUD10_RS00840
OG0000424	E5E95_RS00850	KUD10_RS00845
OG0000425	E5E95_RS00860	KUD10_RS00855
OG0000426	E5E95_RS00865	KUD10_RS00860
OG0000427	E5E95_RS00890	KUD10_RS00885
OG0000428	E5E95_RS00915	KUD10_RS00910
OG0000429	E5E95_RS01030	KUD10_RS01005
OG0000430	E5E95_RS01075	KUD10_RS01050
OG0000431	E5E95_RS01085	KUD10_RS01060
OG0000432	E5E95_RS01115	KUD10_RS01095
OG0000433	E5E95_RS01130	KUD10_RS01110
OG0000434	E5E95_RS01135	KUD10_RS01115
OG0000435	E5E95_RS01150	KUD10_RS01130
OG0000436	E5E95_RS01180	KUD10_RS01240
OG0000437	E5E95_RS01190	KUD10_RS01250
OG0000438	E5E95_RS01195	KUD10_RS01255
OG0000439	E5E95_RS01200	KUD10_RS01260
OG0000440	E5E95_RS03155	KUD10_RS03025
OG0000441	E5E95_RS03195	KUD10_RS03060
OG0000442	E5E95_RS00135	KUD10_RS00145
OG0000443	E5E95_RS00185	KUD10_RS00190
OG0000444	E5E95_RS00200	KUD10_RS00205
OG0000445	E5E95_RS00225	KUD10_RS00230
OG0000446	E5E95_RS00255	KUD10_RS00255
OG0000447	E5E95_RS00260	KUD10_RS00260
OG0000448	E5E95_RS00290	KUD10_RS00290
OG0000449	E5E95_RS00315	KUD10_RS00315
OG0000450	E5E95_RS00325	KUD10_RS00325
OG0000451	E5E95_RS00365	KUD10_RS00365
OG0000452	E5E95_RS00390	KUD10_RS00390
OG0000453	E5E95_RS00425	KUD10_RS00425
OG0000454	E5E95_RS02455	KUD10_RS01220
OG0000455	E5E95_RS03730	KUD10_RS03580
OG0000456	E5E95_RS03610	KUD10_RS03460
OG0000457	E5E95_RS03585	KUD10_RS03435
OG0000458	E5E95_RS02715	KUD10_RS02595
OG0000459	E5E95_RS02740	KUD10_RS02620
OG0000460	E5E95_RS02750	KUD10_RS02630
OG0000461	E5E95_RS02795	KUD10_RS02680
OG0000462	E5E95_RS02790	KUD10_RS02670
OG0000463	E5E95_RS02785	KUD10_RS02665
OG0000464	E5E95_RS02780	KUD10_RS02660
OG0000465	E5E95_RS02775	KUD10_RS02655
OG0000466	E5E95_RS00395	KUD10_RS00395
OG0000467	E5E95_RS02880	KUD10_RS02760
OG0000468	E5E95_RS02085	KUD10_RS02015
OG0000469	E5E95_RS02145	KUD10_RS02075
OG0000470	E5E95_RS03895	KUD10_RS00835
OG0000471	E5E95_RS00920	KUD10_RS00915
OG0000472	E5E95_RS03540	KUD10_RS03390
OG0000473	E5E95_RS03715	KUD10_RS03565
OG0000474	E5E95_RS03720	KUD10_RS03570
OG0000475	E5E95_RS03725	KUD10_RS03575
OG0000476	E5E95_RS01570	KUD10_RS01625
OG0000477	E5E95_RS02820	KUD10_RS02705
OG0000478	E5E95_RS03660	KUD10_RS03510
OG0000479	E5E95_RS01345	KUD10_RS01400
OG0000480	E5E95_RS03865	KUD10_RS02080
OG0000481	E5E95_RS00815	KUD10_RS00810
OG0000482	E5E95_RS01230	KUD10_RS01280
OG0000483	E5E95_RS02190	KUD10_RS02125
OG0000484	E5E95_RS00195	KUD10_RS00200
OG0000485	E5E95_RS01185	KUD10_RS01245
OG0000486	E5E95_RS02420	KUD10_RS02370
OG0000487	E5E95_RS02125	KUD10_RS02055
OG0000488	E5E95_RS02160	KUD10_RS02095
OG0000489	E5E95_RS00050	KUD10_RS00050
OG0000490	E5E95_RS03830	KUD10_RS03680
OG0000491	E5E95_RS01365	KUD10_RS01420
OG0000492	E5E95_RS01440	KUD10_RS01495
OG0000493	E5E95_RS00580	KUD10_RS00585
OG0000494	E5E95_RS00640	KUD10_RS00650
OG0000495	E5E95_RS03035	KUD10_RS02910
