Orthogroup	MHP_ES2_genes	MHP_111A_genes
OG0000037	E5E95_RS04000	NB623_RS01700
OG0000038	E5E95_RS00500	NB623_RS00485
OG0000039	E5E95_RS01650, E5E95_RS01645	NB623_RS01730
OG0000040	E5E95_RS03495	NB623_RS03445, NB623_RS03440, NB623_RS03435
OG0000041	E5E95_RS00670	NB623_RS00670
OG0000042	E5E95_RS03140	NB623_RS03100
OG0000043	E5E95_RS02030	NB623_RS02180
OG0000044	E5E95_RS04290	NB623_RS01800
OG0000045	E5E95_RS01655	NB623_RS01740
OG0000046	E5E95_RS03505	NB623_RS03460
OG0000047	E5E95_RS01725	NB623_RS01935
OG0000048	E5E95_RS02215	NB623_RS01920
OG0000049	E5E95_RS03260	NB623_RS03205
OG0000050	E5E95_RS02655	NB623_RS02600
OG0000051	E5E95_RS02855	NB623_RS02820
OG0000052	E5E95_RS00075	NB623_RS00080
OG0000053	E5E95_RS01465	NB623_RS01570
OG0000054	E5E95_RS02680	NB623_RS02625
OG0000055	E5E95_RS00125	NB623_RS00125
OG0000056	E5E95_RS03750	NB623_RS03725
OG0000057	E5E95_RS03125	NB623_RS03085
OG0000058	E5E95_RS01660, E5E95_RS02525, E5E95_RS02530	NB623_RS01995
OG0000060	E5E95_RS00080	NB623_RS00085
OG0000061	E5E95_RS01980	NB623_RS02235
OG0000062	E5E95_RS03805	NB623_RS03775
OG0000063	E5E95_RS03800	NB623_RS03770
OG0000064	E5E95_RS03790	NB623_RS03760
OG0000065	E5E95_RS02365	NB623_RS02390
OG0000066	E5E95_RS01370	NB623_RS01470
OG0000068	E5E95_RS00645	NB623_RS00640
OG0000069	E5E95_RS03015	NB623_RS02980
OG0000070	E5E95_RS02685	NB623_RS02630
OG0000071	E5E95_RS03485	NB623_RS03425
OG0000072	E5E95_RS03490	NB623_RS03430
OG0000073	E5E95_RS00705	NB623_RS00710
OG0000074	E5E95_RS00900	NB623_RS00910
OG0000075	E5E95_RS00340	NB623_RS00330
OG0000077	E5E95_RS00445	NB623_RS00430
OG0000079	E5E95_RS02760	NB623_RS02720
OG0000080	E5E95_RS03935	NB623_RS02770
OG0000081	E5E95_RS00335	NB623_RS00325
OG0000083	E5E95_RS02140	NB623_RS02075
OG0000084	E5E95_RS02165	NB623_RS02045
OG0000085	E5E95_RS02170	NB623_RS02040
OG0000086	E5E95_RS02180	NB623_RS02030
OG0000087	E5E95_RS02195	NB623_RS02015
OG0000088	E5E95_RS02200	NB623_RS02010
OG0000089	E5E95_RS02210	NB623_RS02000
OG0000090	E5E95_RS00070	NB623_RS00070
OG0000091	E5E95_RS00055	NB623_RS00055
OG0000092	E5E95_RS00040	NB623_RS00050
OG0000093	E5E95_RS00035	NB623_RS00035
OG0000094	E5E95_RS00030	NB623_RS00030
OG0000095	E5E95_RS00005	NB623_RS00005
OG0000096	E5E95_RS03840	NB623_RS03810
OG0000097	E5E95_RS03820	NB623_RS03790
OG0000098	E5E95_RS03810	NB623_RS03780
OG0000099	E5E95_RS03760	NB623_RS03730
OG0000100	E5E95_RS03740	NB623_RS03715
OG0000101	E5E95_RS03735	NB623_RS03710
OG0000102	E5E95_RS01815	NB623_RS01830
OG0000103	E5E95_RS02330	NB623_RS02355
OG0000104	E5E95_RS02335	NB623_RS02360
OG0000105	E5E95_RS02350	NB623_RS02380
OG0000106	E5E95_RS02360	NB623_RS02385
OG0000107	E5E95_RS02370	NB623_RS02395
OG0000108	E5E95_RS02375	NB623_RS02400
OG0000109	E5E95_RS02380	NB623_RS02405
OG0000110	E5E95_RS02595	NB623_RS02525
OG0000111	E5E95_RS02590	NB623_RS02520
OG0000112	E5E95_RS02580	NB623_RS02510
OG0000113	E5E95_RS02560	NB623_RS02490
OG0000114	E5E95_RS04300	NB623_RS02485
OG0000115	E5E95_RS02535	NB623_RS02470
OG0000116	E5E95_RS01315	NB623_RS01415
OG0000117	E5E95_RS01320	NB623_RS01420
OG0000118	E5E95_RS01355	NB623_RS01455
OG0000119	E5E95_RS01360	NB623_RS01465
OG0000120	E5E95_RS01375	NB623_RS01475
OG0000121	E5E95_RS01400	NB623_RS01505
OG0000122	E5E95_RS01405	NB623_RS01510
OG0000123	E5E95_RS01425	NB623_RS01530
OG0000124	E5E95_RS01430	NB623_RS01535
OG0000125	E5E95_RS01435	NB623_RS01545
OG0000126	E5E95_RS01445	NB623_RS01550
OG0000127	E5E95_RS01455	NB623_RS01560
OG0000128	E5E95_RS01470	NB623_RS01575
OG0000129	E5E95_RS01475	NB623_RS01580
OG0000130	E5E95_RS01485	NB623_RS01590
OG0000131	E5E95_RS01515	NB623_RS01620
OG0000132	E5E95_RS01530	NB623_RS01635
OG0000133	E5E95_RS00530	NB623_RS00525
OG0000134	E5E95_RS00535	NB623_RS00530
OG0000135	E5E95_RS00550	NB623_RS00545
OG0000136	E5E95_RS00555	NB623_RS00550
OG0000137	E5E95_RS00585	NB623_RS00590
OG0000138	E5E95_RS00620	NB623_RS00615
OG0000139	E5E95_RS00650	NB623_RS00645
OG0000140	E5E95_RS00655	NB623_RS00650
OG0000141	E5E95_RS03135	NB623_RS03095
OG0000142	E5E95_RS03130	NB623_RS03090
OG0000143	E5E95_RS03105	NB623_RS03075
OG0000144	E5E95_RS03095	NB623_RS03060
OG0000145	E5E95_RS03085	NB623_RS03050
OG0000146	E5E95_RS03075	NB623_RS03040
OG0000147	E5E95_RS03070	NB623_RS03035
OG0000148	E5E95_RS03055	NB623_RS03020
OG0000149	E5E95_RS03045	NB623_RS03010
OG0000150	E5E95_RS03030	NB623_RS02995
OG0000151	E5E95_RS02985	NB623_RS02945
OG0000152	E5E95_RS02980	NB623_RS02940
OG0000153	E5E95_RS02975	NB623_RS02935
OG0000154	E5E95_RS02965	NB623_RS02925
OG0000155	E5E95_RS02925	NB623_RS02885
OG0000156	E5E95_RS02915	NB623_RS02875
OG0000157	E5E95_RS02910	NB623_RS02870
OG0000158	E5E95_RS02905	NB623_RS02860
OG0000159	E5E95_RS04310	NB623_RS02615
OG0000160	E5E95_RS02665	NB623_RS02610
OG0000161	E5E95_RS02660	NB623_RS02605
OG0000162	E5E95_RS02650	NB623_RS02595
OG0000163	E5E95_RS02645	NB623_RS02590
OG0000164	E5E95_RS01630	NB623_RS01725
OG0000165	E5E95_RS02055	NB623_RS02155
OG0000166	E5E95_RS02080	NB623_RS02135
OG0000167	E5E95_RS02095	NB623_RS02120
OG0000168	E5E95_RS02100	NB623_RS02115
OG0000169	E5E95_RS03255	NB623_RS03200
OG0000170	E5E95_RS03270	NB623_RS03215
OG0000171	E5E95_RS03280	NB623_RS03225
OG0000172	E5E95_RS03285	NB623_RS03230
OG0000173	E5E95_RS03290	NB623_RS03235
OG0000174	E5E95_RS03295	NB623_RS03240
OG0000175	E5E95_RS03310	NB623_RS03265
OG0000176	E5E95_RS03360	NB623_RS03310
OG0000177	E5E95_RS03365	NB623_RS03315
OG0000178	E5E95_RS03370	NB623_RS03320
OG0000179	E5E95_RS03380	NB623_RS03330
OG0000180	E5E95_RS03385	NB623_RS03335
OG0000181	E5E95_RS03435	NB623_RS03375
OG0000182	E5E95_RS03445	NB623_RS03385
OG0000183	E5E95_RS03480	NB623_RS03420
OG0000184	E5E95_RS03525	NB623_RS03485
OG0000185	E5E95_RS03510	NB623_RS03475
OG0000186	E5E95_RS01540	NB623_RS01645
OG0000187	E5E95_RS01555	NB623_RS01660
OG0000188	E5E95_RS01565	NB623_RS01670
OG0000189	E5E95_RS02415	NB623_RS02445
OG0000190	E5E95_RS02410	NB623_RS02440
OG0000191	E5E95_RS02390	NB623_RS02415
OG0000192	E5E95_RS01235	NB623_RS01340
OG0000193	E5E95_RS01225	NB623_RS01325
OG0000194	E5E95_RS00690	NB623_RS00690
OG0000195	E5E95_RS00695	NB623_RS00695
OG0000196	E5E95_RS00715	NB623_RS00720
OG0000197	E5E95_RS00720	NB623_RS00730
OG0000198	E5E95_RS00735	NB623_RS00740
OG0000199	E5E95_RS00740	NB623_RS00745
OG0000200	E5E95_RS00755	NB623_RS00760
OG0000201	E5E95_RS00765	NB623_RS00770
OG0000202	E5E95_RS00820	NB623_RS00830
OG0000203	E5E95_RS00825	NB623_RS00835
OG0000204	E5E95_RS00830	NB623_RS00840
OG0000205	E5E95_RS00835	NB623_RS00845
OG0000206	E5E95_RS00855	NB623_RS00865
OG0000207	E5E95_RS00870	NB623_RS00880
OG0000208	E5E95_RS00875	NB623_RS00885
OG0000209	E5E95_RS00880	NB623_RS00890
OG0000210	E5E95_RS00925	NB623_RS00935
OG0000211	E5E95_RS00955	NB623_RS01070
OG0000212	E5E95_RS00965	NB623_RS01080
OG0000213	E5E95_RS00970	NB623_RS01085
OG0000214	E5E95_RS00975	NB623_RS01090
OG0000215	E5E95_RS00980	NB623_RS01095
OG0000216	E5E95_RS00985	NB623_RS01100
OG0000217	E5E95_RS00995	NB623_RS01105
OG0000218	E5E95_RS01000	NB623_RS01115
OG0000219	E5E95_RS01005	NB623_RS01120
OG0000220	E5E95_RS01010	NB623_RS01125
OG0000221	E5E95_RS01015	NB623_RS01130
OG0000222	E5E95_RS01020	NB623_RS01135
OG0000223	E5E95_RS01025	NB623_RS01140
OG0000224	E5E95_RS01035	NB623_RS01150
OG0000225	E5E95_RS01045	NB623_RS01160
OG0000226	E5E95_RS01050	NB623_RS01165
OG0000227	E5E95_RS01055	NB623_RS01170
OG0000228	E5E95_RS04285	NB623_RS01175
OG0000229	E5E95_RS01065	NB623_RS01180
OG0000230	E5E95_RS01070	NB623_RS01185
OG0000231	E5E95_RS01080	NB623_RS01195
OG0000232	E5E95_RS01090	NB623_RS01205
OG0000233	E5E95_RS01110	NB623_RS01225
OG0000234	E5E95_RS01145	NB623_RS01260
OG0000235	E5E95_RS01155	NB623_RS01270
OG0000236	E5E95_RS01160	NB623_RS01275
OG0000237	E5E95_RS01165	NB623_RS01280
OG0000238	E5E95_RS01175	NB623_RS01285
OG0000239	E5E95_RS03145	NB623_RS03105
OG0000240	E5E95_RS03150	NB623_RS03110
OG0000241	E5E95_RS03160	NB623_RS03120
OG0000242	E5E95_RS03165	NB623_RS03125
OG0000243	E5E95_RS03170	NB623_RS03130
OG0000244	E5E95_RS03180	NB623_RS03140
OG0000245	E5E95_RS03190	NB623_RS03145
OG0000246	E5E95_RS00130	NB623_RS00130
OG0000247	E5E95_RS00140	NB623_RS00140
OG0000248	E5E95_RS00150	NB623_RS00150
OG0000249	E5E95_RS00155	NB623_RS00155
OG0000250	E5E95_RS00170	NB623_RS00175
OG0000251	E5E95_RS00205	NB623_RS00205
OG0000252	E5E95_RS00215	NB623_RS00210
OG0000253	E5E95_RS00220	NB623_RS00215
OG0000254	E5E95_RS00230	NB623_RS00225
OG0000255	E5E95_RS00240	NB623_RS00230
OG0000256	E5E95_RS00245	NB623_RS00240
OG0000257	E5E95_RS00270	NB623_RS00260
OG0000258	E5E95_RS00280	NB623_RS00270
OG0000259	E5E95_RS00310	NB623_RS00300
OG0000260	E5E95_RS00320	NB623_RS00310
OG0000261	E5E95_RS00330	NB623_RS00320
OG0000262	E5E95_RS00350	NB623_RS00340
OG0000263	E5E95_RS00360	NB623_RS00350
OG0000264	E5E95_RS00375	NB623_RS00365
OG0000265	E5E95_RS00385	NB623_RS00375
OG0000266	E5E95_RS00400	NB623_RS00390
OG0000267	E5E95_RS00415	NB623_RS00405
OG0000268	E5E95_RS00420	NB623_RS00410
OG0000269	E5E95_RS00435	NB623_RS00425
OG0000270	E5E95_RS03710	NB623_RS03685
OG0000271	E5E95_RS03705	NB623_RS03675
OG0000272	E5E95_RS03700	NB623_RS03670
OG0000273	E5E95_RS03695	NB623_RS03665
OG0000274	E5E95_RS03675	NB623_RS03650
OG0000275	E5E95_RS03670	NB623_RS03640
OG0000276	E5E95_RS03665	NB623_RS03635
OG0000277	E5E95_RS03655	NB623_RS03625
OG0000278	E5E95_RS03650	NB623_RS03620
OG0000279	E5E95_RS03640	NB623_RS03615
OG0000280	E5E95_RS03635	NB623_RS03605
OG0000281	E5E95_RS03630	NB623_RS03600
OG0000282	E5E95_RS03605	NB623_RS03570, NB623_RS03575
OG0000283	E5E95_RS03600	NB623_RS03565
OG0000284	E5E95_RS03595	NB623_RS03560
OG0000285	E5E95_RS03590	NB623_RS03555
OG0000286	E5E95_RS04305	NB623_RS02575
OG0000287	E5E95_RS02720	NB623_RS02675
OG0000288	E5E95_RS02730	NB623_RS02685
OG0000289	E5E95_RS02735	NB623_RS02690
OG0000290	E5E95_RS02845	NB623_RS02810
OG0000291	E5E95_RS02835	NB623_RS02800
OG0000292	E5E95_RS02830	NB623_RS02795
OG0000293	E5E95_RS02825	NB623_RS02790
OG0000294	E5E95_RS02815	NB623_RS02780
OG0000295	E5E95_RS02810	NB623_RS02775
OG0000296	E5E95_RS02770	NB623_RS02730
OG0000297	E5E95_RS02765	NB623_RS02725
OG0000298	E5E95_RS00165	NB623_RS00165
OG0000299	E5E95_RS00190	NB623_RS00185
OG0000300	E5E95_RS00370	NB623_RS00360
OG0000301	E5E95_RS00405	NB623_RS00395
OG0000302	E5E95_RS00410	NB623_RS00400
OG0000303	E5E95_RS00560	NB623_RS00555
OG0000304	E5E95_RS01095	NB623_RS01210
OG0000305	E5E95_RS03080	NB623_RS03045
OG0000306	E5E95_RS03005	NB623_RS02970
OG0000307	E5E95_RS02970	NB623_RS02930
OG0000308	E5E95_RS02875	NB623_RS02835
OG0000309	E5E95_RS02800	NB623_RS02765
OG0000310	E5E95_RS02725	NB623_RS02680
OG0000311	E5E95_RS02690	NB623_RS02635
OG0000312	E5E95_RS02675	NB623_RS02620
OG0000313	E5E95_RS01620	NB623_RS01715
OG0000314	E5E95_RS02075	NB623_RS02140
OG0000315	E5E95_RS02105	NB623_RS02110
OG0000316	E5E95_RS02115	NB623_RS02100
OG0000317	E5E95_RS02205	NB623_RS02005
OG0000318	E5E95_RS02120	NB623_RS02095
OG0000319	E5E95_RS02345	NB623_RS02370
OG0000320	E5E95_RS02570	NB623_RS02500
OG0000321	E5E95_RS01350	NB623_RS01450
OG0000322	E5E95_RS01395	NB623_RS01500
OG0000323	E5E95_RS01525	NB623_RS01630
OG0000324	E5E95_RS02385	NB623_RS02410
OG0000325	E5E95_RS00700	NB623_RS00705
OG0000326	E5E95_RS00795	NB623_RS00805
OG0000327	E5E95_RS00800	NB623_RS00810
OG0000328	E5E95_RS00885	NB623_RS00895
OG0000329	E5E95_RS00905	NB623_RS00915
OG0000330	E5E95_RS01120	NB623_RS01235
OG0000331	E5E95_RS03175	NB623_RS03135
OG0000332	E5E95_RS03320	NB623_RS03270
OG0000333	E5E95_RS03330	NB623_RS03280
OG0000334	E5E95_RS03440	NB623_RS03380
OG0000335	E5E95_RS03450	NB623_RS03390
OG0000336	E5E95_RS03620	NB623_RS03590
OG0000337	E5E95_RS03795	NB623_RS03765
OG0000338	E5E95_RS03835	NB623_RS03805
OG0000339	E5E95_RS02540	NB623_RS02475
OG0000340	E5E95_RS01330	NB623_RS01430
OG0000341	E5E95_RS02405	NB623_RS02435
OG0000342	E5E95_RS00730	NB623_RS00735
OG0000343	E5E95_RS03340	NB623_RS03290
OG0000344	E5E95_RS00575	NB623_RS00570
OG0000345	E5E95_RS01040	NB623_RS01155
OG0000346	E5E95_RS03625	NB623_RS03595
OG0000347	E5E95_RS01420	NB623_RS01525
OG0000348	E5E95_RS00805	NB623_RS00815
OG0000349	E5E95_RS03685	NB623_RS03655
OG0000350	E5E95_RS02960	NB623_RS02920
OG0000351	E5E95_RS00495	NB623_RS00480
OG0000352	E5E95_RS02050	NB623_RS02160
OG0000353	E5E95_RS01390	NB623_RS01490
OG0000354	E5E95_RS00635	NB623_RS00630
OG0000355	E5E95_RS02020	NB623_RS02185
OG0000356	E5E95_RS02110	NB623_RS02105
OG0000357	E5E95_RS03300	NB623_RS03245
OG0000358	E5E95_RS03305	NB623_RS03250
OG0000359	E5E95_RS00775	NB623_RS00780
OG0000360	E5E95_RS00275	NB623_RS00265
OG0000361	E5E95_RS00305	NB623_RS00295
OG0000362	E5E95_RS02745	NB623_RS02705
OG0000363	E5E95_RS03985	NB623_RS01565
OG0000364	E5E95_RS01995	NB623_RS02210
OG0000365	E5E95_RS02150	NB623_RS02060
OG0000366	E5E95_RS02175	NB623_RS02035
OG0000367	E5E95_RS02185	NB623_RS02025
OG0000368	E5E95_RS00060	NB623_RS00060
OG0000369	E5E95_RS00025	NB623_RS00025
OG0000370	E5E95_RS00020	NB623_RS00020
OG0000371	E5E95_RS00015	NB623_RS00015
OG0000372	E5E95_RS00010	NB623_RS00010
OG0000373	E5E95_RS03825	NB623_RS03795
OG0000374	E5E95_RS03815	NB623_RS03785
OG0000375	E5E95_RS02340	NB623_RS02365
OG0000376	E5E95_RS02585	NB623_RS02515
OG0000377	E5E95_RS02575	NB623_RS02505
OG0000378	E5E95_RS01310	NB623_RS01410
OG0000379	E5E95_RS01385	NB623_RS01485
OG0000380	E5E95_RS01410	NB623_RS01515
OG0000381	E5E95_RS01450	NB623_RS01555
OG0000382	E5E95_RS01480	NB623_RS01585
OG0000383	E5E95_RS01520	NB623_RS01625
OG0000384	E5E95_RS00515	NB623_RS00510
OG0000385	E5E95_RS00520	NB623_RS00520
OG0000386	E5E95_RS00540	NB623_RS00535
OG0000387	E5E95_RS00565	NB623_RS00560
OG0000388	E5E95_RS00570	NB623_RS00565
OG0000389	E5E95_RS00615	NB623_RS00610
OG0000390	E5E95_RS03100	NB623_RS03065
OG0000391	E5E95_RS03090	NB623_RS03055
OG0000392	E5E95_RS03065	NB623_RS03030
OG0000393	E5E95_RS03010	NB623_RS02975
OG0000394	E5E95_RS02940	NB623_RS02895
OG0000395	E5E95_RS02930	NB623_RS02890
OG0000397	E5E95_RS02035	NB623_RS02175
OG0000398	E5E95_RS02040	NB623_RS02170
OG0000399	E5E95_RS02090	NB623_RS02125
OG0000400	E5E95_RS03265	NB623_RS03210
OG0000401	E5E95_RS03325	NB623_RS03275
OG0000402	E5E95_RS03335	NB623_RS03285
OG0000403	E5E95_RS03345	NB623_RS03295
OG0000404	E5E95_RS03375	NB623_RS03325
OG0000405	E5E95_RS03390	NB623_RS03340
OG0000406	E5E95_RS03455	NB623_RS03395
OG0000407	E5E95_RS03460	NB623_RS03400
OG0000408	E5E95_RS03465	NB623_RS03405
OG0000409	E5E95_RS03470	NB623_RS03410
OG0000410	E5E95_RS03530	NB623_RS03495
OG0000411	E5E95_RS03520	NB623_RS03480
OG0000413	E5E95_RS01535	NB623_RS01640
OG0000414	E5E95_RS01545	NB623_RS01650
OG0000415	E5E95_RS01550	NB623_RS01655
OG0000416	E5E95_RS01560	NB623_RS01665
OG0000417	E5E95_RS02400	NB623_RS02430
OG0000418	E5E95_RS02395	NB623_RS02420
OG0000419	E5E95_RS00710	NB623_RS00715
OG0000420	E5E95_RS00745	NB623_RS00750
OG0000421	E5E95_RS00780	NB623_RS00790
OG0000422	E5E95_RS00790	NB623_RS00800
OG0000423	E5E95_RS00845	NB623_RS00855
OG0000424	E5E95_RS00850	NB623_RS00860
OG0000425	E5E95_RS00860	NB623_RS00870
OG0000426	E5E95_RS00865	NB623_RS00875
OG0000427	E5E95_RS00890	NB623_RS00900
OG0000428	E5E95_RS00915	NB623_RS00925
OG0000429	E5E95_RS01030	NB623_RS01145
OG0000430	E5E95_RS01075	NB623_RS01190
OG0000431	E5E95_RS01085	NB623_RS01200
OG0000432	E5E95_RS01115	NB623_RS01230
OG0000433	E5E95_RS01130	NB623_RS01245
OG0000434	E5E95_RS01135	NB623_RS01255
OG0000435	E5E95_RS01150	NB623_RS01265
OG0000436	E5E95_RS01180	NB623_RS01290
OG0000437	E5E95_RS01190	NB623_RS01300
OG0000438	E5E95_RS01195	NB623_RS01305
OG0000439	E5E95_RS01200	NB623_RS01310
OG0000440	E5E95_RS03155	NB623_RS03115
OG0000441	E5E95_RS03195	NB623_RS03150
OG0000442	E5E95_RS00135	NB623_RS00135
OG0000443	E5E95_RS00185	NB623_RS00180
OG0000444	E5E95_RS00200	NB623_RS00195
OG0000445	E5E95_RS00225	NB623_RS00220
OG0000446	E5E95_RS00255	NB623_RS00245
OG0000447	E5E95_RS00260	NB623_RS00255
OG0000448	E5E95_RS00290	NB623_RS00280
OG0000449	E5E95_RS00315	NB623_RS00305
OG0000450	E5E95_RS00325	NB623_RS00315
OG0000451	E5E95_RS00365	NB623_RS00355
OG0000452	E5E95_RS00390	NB623_RS00380
OG0000453	E5E95_RS00425	NB623_RS00415
OG0000455	E5E95_RS03730	NB623_RS03705
OG0000456	E5E95_RS03610	NB623_RS03580
OG0000457	E5E95_RS03585	NB623_RS03545
OG0000458	E5E95_RS02715	NB623_RS02670
OG0000459	E5E95_RS02740	NB623_RS02700
OG0000460	E5E95_RS02750	NB623_RS02710
OG0000461	E5E95_RS02795	NB623_RS02755
OG0000462	E5E95_RS02790	NB623_RS02750
OG0000463	E5E95_RS02785	NB623_RS02745
OG0000464	E5E95_RS02780	NB623_RS02740
OG0000465	E5E95_RS02775	NB623_RS02735
OG0000466	E5E95_RS00395	NB623_RS00385
OG0000467	E5E95_RS02880	NB623_RS02845
OG0000468	E5E95_RS02085	NB623_RS02130
OG0000469	E5E95_RS02145	NB623_RS02070
OG0000470	E5E95_RS03895	NB623_RS00850
OG0000471	E5E95_RS00920	NB623_RS00930
OG0000472	E5E95_RS03540	NB623_RS03500
OG0000473	E5E95_RS03715	NB623_RS03690
OG0000474	E5E95_RS03720	NB623_RS03695
OG0000475	E5E95_RS03725	NB623_RS03700
OG0000476	E5E95_RS01570	NB623_RS01675
OG0000477	E5E95_RS02820	NB623_RS02785
OG0000478	E5E95_RS03660	NB623_RS03630
OG0000479	E5E95_RS01345	NB623_RS01445
OG0000480	E5E95_RS03865	NB623_RS02065
OG0000481	E5E95_RS00815	NB623_RS00825
OG0000482	E5E95_RS01230	NB623_RS01330
OG0000483	E5E95_RS02190	NB623_RS02020
OG0000484	E5E95_RS00195	NB623_RS00190
OG0000485	E5E95_RS01185	NB623_RS01295
OG0000486	E5E95_RS02420	NB623_RS02450
OG0000488	E5E95_RS02160	NB623_RS02055
OG0000490	E5E95_RS03830	NB623_RS03800
OG0000493	E5E95_RS00580	NB623_RS00575
OG0000494	E5E95_RS00640	NB623_RS00635
OG0000495	E5E95_RS03035	NB623_RS03005
OG0000496	E5E95_RS03025	NB623_RS02990
OG0000497	E5E95_RS03020	NB623_RS02985
OG0000500	E5E95_RS02045	NB623_RS02165
OG0000501	E5E95_RS04280, E5E95_RS04275	NB623_RS03220
OG0000502	E5E95_RS01220	NB623_RS01320
OG0000503	E5E95_RS00760	NB623_RS00765
OG0000504	E5E95_RS00895	NB623_RS00905
OG0000506	E5E95_RS00960	NB623_RS01075
OG0000509	E5E95_RS00285	NB623_RS00275
OG0000510	E5E95_RS00295	NB623_RS00285
OG0000511	E5E95_RS00430	NB623_RS00420
OG0000512	E5E95_RS02755	NB623_RS02715
OG0000514	E5E95_RS03060	NB623_RS03025
OG0000516	E5E95_RS02130	NB623_RS02090
OG0000517	E5E95_RS00065	NB623_RS00065
OG0000519	E5E95_RS00785	NB623_RS00795
OG0000520	E5E95_RS00910	NB623_RS00920
OG0000522	E5E95_RS00300	NB623_RS00290
OG0000523	E5E95_RS03580	NB623_RS03540
OG0000525	E5E95_RS03545	NB623_RS03505
OG0000526	E5E95_RS04020	NB623_RS02260
OG0000527	E5E95_RS01880	NB623_RS02315
OG0000528	E5E95_RS02135	NB623_RS02080
OG0000531	E5E95_RS01415	NB623_RS01520
OG0000532	E5E95_RS01740	NB623_RS01745
OG0000533	E5E95_RS00600	NB623_RS00595
OG0000534	E5E95_RS00380	NB623_RS00370
OG0000536	E5E95_RS03765	NB623_RS03735
OG0000540	E5E95_RS02840	NB623_RS02805
OG0000541	E5E95_RS02920	NB623_RS02880
OG0000543	E5E95_RS02460	NB623_RS01930
OG0000544	E5E95_RS01270	NB623_RS01375
OG0000545	E5E95_RS01945	NB623_RS02270
OG0000546	E5E95_RS02990	NB623_RS02950
OG0000552	E5E95_RS03350	NB623_RS03300
OG0000553	E5E95_RS02890	NB623_RS02855
