Orthogroup	MHP_133A_proteins	MHP_MHP691_proteins
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011290347.1
OG0000240	WP_020835851.1	WP_020835851.1
OG0000241	WP_135619036.1	WP_160585231.1
OG0000242	WP_020835854.1	WP_160608088.1
OG0000243	WP_011290352.1	WP_160608089.1
OG0000244	WP_041361690.1	WP_160608092.1
OG0000245	WP_404924288.1	WP_011206408.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_404924356.1	WP_160607991.1
OG0000248	WP_146379774.1	WP_160585552.1
OG0000249	WP_404924357.1	WP_160607989.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_347952354.1	WP_160607985.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_160606527.1	WP_135618489.1
OG0000254	WP_160584767.1	WP_160607983.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_404924364.1	WP_020835520.1
OG0000260	WP_404924365.1	WP_160607902.1
OG0000261	WP_404924366.1	WP_160607906.1
OG0000262	WP_135618519.1	WP_135618519.1
OG0000263	WP_011283885.1	WP_160585532.1
OG0000264	WP_404924371.1	WP_011283887.1
OG0000265	WP_404924372.1	WP_160607914.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_146379477.1	WP_146379477.1
OG0000268	WP_404924385.1	WP_160584745.1
OG0000269	WP_011206134.1	WP_160608050.1
OG0000270	WP_404924335.1	WP_020835916.1
OG0000271	WP_404924334.1	WP_020835915.1
OG0000272	WP_011284373.1	WP_011284373.1
OG0000273	WP_404924333.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_011290423.1
OG0000275	WP_228366117.1	WP_228366117.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_160588182.1	WP_011206493.1
OG0000279	WP_404924330.1	WP_011290418.1
OG0000280	WP_011206490.1	WP_160607742.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_404924327.1	WP_160607738.1
OG0000283	WP_160584907.1	WP_014580009.1
OG0000284	WP_404924501.1	WP_011206484.1
OG0000285	WP_404924325.1	WP_160585586.1
OG0000286	WP_146379652.1	WP_146379652.1
OG0000287	WP_011206297.1	WP_146379659.1
OG0000288	WP_011206299.1	WP_160585009.1
OG0000289	WP_404924251.1	WP_160608040.1
OG0000290	WP_011290297.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_404924261.1	WP_020835806.1
OG0000293	WP_404924260.1	WP_020835805.1
OG0000294	WP_404924259.1	WP_160607832.1
OG0000295	WP_404924258.1	WP_011206315.1
OG0000296	WP_404924255.1	WP_044272552.1
OG0000297	WP_146379664.1	WP_160608046.1
OG0000298	WP_160606533.1	WP_160584774.1
OG0000299	WP_094521545.1	WP_094521545.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_135618529.1	WP_135618529.1
OG0000302	WP_011205925.1	WP_011205925.1
OG0000303	WP_146379484.1	WP_011206118.1
OG0000304	WP_220190741.1	WP_011283978.1
OG0000305	WP_404924282.1	WP_160607854.1
OG0000306	WP_146379686.1	WP_160607838.1
OG0000307	WP_404924275.1	WP_160608072.1
OG0000308	WP_404911934.1	WP_160607822.1
OG0000309	WP_011206313.1	WP_146379668.1
OG0000310	WP_011206298.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_160608002.1
OG0000312	WP_041361671.1	WP_160585159.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_404924483.1	WP_160607866.1
OG0000315	WP_011290197.1	WP_160585171.1
OG0000316	WP_404924204.1	WP_160590036.1
OG0000317	WP_135618864.1	WP_146379589.1
OG0000318	WP_404924205.1	WP_220200601.1
OG0000319	WP_135618880.1	WP_160607674.1
OG0000320	WP_404924234.1	WP_160607890.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_160588227.1	WP_258555552.1
OG0000324	WP_011290222.1	WP_160607680.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_404924411.1	WP_160588270.1
OG0000327	WP_160584807.1	WP_146379506.1
OG0000328	WP_041361583.1	WP_041361583.1
OG0000329	WP_225973017.1	WP_160585607.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_160608090.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_020835889.1	WP_160607767.1
OG0000335	WP_041361699.1	WP_160585799.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_050195472.1	WP_011290441.1
OG0000338	WP_014580051.1	WP_011284394.1
OG0000339	WP_404924230.1	WP_160607894.1
OG0000340	WP_146379551.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_011290226.1
OG0000342	WP_011290029.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_404924394.1	WP_160590335.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_041361706.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_404924412.1	WP_225973015.1
OG0000349	WP_404924332.1	WP_160607746.1
OG0000350	WP_404924274.1	WP_258555623.1
OG0000351	WP_011206131.1	WP_160608052.1
OG0000352	WP_404924481.1	WP_160585020.1
OG0000353	WP_404924440.1	WP_160607804.1
OG0000354	WP_404924402.1	WP_308507053.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_308507057.1	WP_308506994.1
OG0000357	WP_228366113.1	WP_228366113.1
OG0000358	WP_404924299.1	WP_160607785.1
OG0000359	WP_404924408.1	WP_308704683.1
OG0000360	WP_404924361.1	WP_225973008.1
OG0000361	WP_011289979.1	WP_011289979.1
OG0000362	WP_094521719.1	WP_011290282.1
OG0000363	WP_233417364.1	WP_308704679.1
OG0000364	WP_044272453.1	WP_160607872.1
OG0000365	WP_404924207.1	WP_160590046.1
OG0000366	WP_146379594.1	WP_146379594.1
OG0000367	WP_404924210.1	WP_220200603.1
OG0000368	WP_011289935.1	WP_011289935.1
OG0000369	WP_404924349.1	WP_011289930.1
OG0000371	WP_044272256.1	WP_146379443.1
OG0000372	WP_135618439.1	WP_160584860.1
OG0000373	WP_404924348.1	WP_160585758.1
OG0000374	WP_404924346.1	WP_160607712.1
OG0000375	WP_146379628.1	WP_011284163.1
OG0000376	WP_404924237.1	WP_146379646.1
OG0000377	WP_404924235.1	WP_160590444.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_404924442.1	WP_160588252.1
OG0000381	WP_404924443.1	WP_160607800.1
OG0000382	WP_404924447.1	WP_160607793.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_404924391.1	WP_014579586.1
OG0000385	WP_044272311.1	WP_044272311.1
OG0000386	WP_011290004.1	WP_011206121.1
OG0000387	WP_404924392.1	WP_160608032.1
OG0000388	WP_404924393.1	WP_160585142.1
OG0000389	WP_020835565.1	WP_160608060.1
OG0000390	WP_011290340.1	WP_160590163.1
OG0000391	WP_404924283.1	WP_020835843.1
OG0000392	WP_404924281.1	WP_160607852.1
OG0000393	WP_404924279.1	WP_160607840.1
OG0000394	WP_011284253.1	WP_160608116.1
OG0000395	WP_404924270.1	WP_160608114.1
OG0000396	WP_020835781.1	WP_020835781.1
OG0000397	WP_011206196.1	WP_160585022.1
OG0000398	WP_146379611.1	WP_020835709.1
OG0000399	WP_348571612.1	WP_160590031.1
OG0000400	WP_243216310.1	WP_044272610.1
OG0000401	WP_404924302.1	WP_135619070.1
OG0000402	WP_404924303.1	WP_160607781.1
OG0000403	WP_404924022.1	WP_220191162.1
OG0000404	WP_146379727.1	WP_160607775.1
OG0000405	WP_160585278.1	WP_160585278.1
OG0000406	WP_404924308.1	WP_160585802.1
OG0000407	WP_404924309.1	WP_160607764.1
OG0000408	WP_404924310.1	WP_160607762.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_404924318.1	WP_160607965.1
OG0000411	WP_404924317.1	WP_146379742.1
OG0000412	WP_404924316.1	WP_160607967.1
OG0000413	WP_146379568.1	WP_160608098.1
OG0000414	WP_011290131.1	WP_011290131.1
OG0000415	WP_404924448.1	WP_020835657.1
OG0000416	WP_404924449.1	WP_011284056.1
OG0000417	WP_404924226.1	WP_160607684.1
OG0000418	WP_348571647.1	WP_258555520.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_160607977.1
OG0000421	WP_011290034.1	WP_011206080.1
OG0000422	WP_020835580.1	WP_146379504.1
OG0000423	WP_404924415.1	WP_020835585.1
OG0000424	WP_135618587.1	WP_011290043.1
OG0000425	WP_011283949.1	WP_011206065.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_135618593.1	WP_160608008.1
OG0000428	WP_011206054.1	WP_160608006.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000431	WP_146379524.1	WP_146379524.1
OG0000432	WP_404924424.1	WP_160585570.1
OG0000433	WP_160606761.1	WP_011206014.1
OG0000434	WP_160606763.1	WP_160607932.1
OG0000435	WP_011290077.1	WP_011290077.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_020835616.1	WP_160584684.1
OG0000438	WP_404924427.1	WP_160607920.1
OG0000439	WP_404924428.1	WP_160607918.1
OG0000440	WP_020835852.1	WP_160608084.1
OG0000441	WP_404924290.1	WP_011284299.1
OG0000442	WP_404924355.1	WP_160607726.1
OG0000443	WP_044272282.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_404924360.1	WP_160585544.1
OG0000446	WP_135618497.1	WP_135618497.1
OG0000447	WP_044284573.1	WP_014579553.1
OG0000448	WP_404924362.1	WP_011205897.1
OG0000449	WP_348571941.1	WP_160607900.1
OG0000450	WP_404924074.1	WP_160607904.1
OG0000451	WP_404924370.1	WP_160607910.1
OG0000452	WP_011205921.1	WP_258555618.1
OG0000453	WP_404924386.1	WP_160608048.1
OG0000454	WP_225973031.1	WP_160607934.1
OG0000455	WP_404924337.1	WP_160607751.1
OG0000456	WP_011206487.1	WP_160607740.1
OG0000457	WP_404924500.1	WP_160607736.1
OG0000458	WP_020835790.1	WP_160608038.1
OG0000459	WP_404924252.1	WP_160608042.1
OG0000460	WP_404924253.1	WP_044272549.1
OG0000461	WP_404924496.1	WP_220200620.1
OG0000462	WP_011206311.1	WP_160607834.1
OG0000463	WP_011206310.1	WP_011206310.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_404924256.1	WP_160585762.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_404924266.1	WP_160607818.1
OG0000468	WP_404924484.1	WP_160607658.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_044272348.1	WP_135618603.1
OG0000472	WP_404924319.1	WP_160607961.1
OG0000473	WP_020835917.1	WP_044272671.1
OG0000474	WP_404924336.1	WP_160585578.1
OG0000475	WP_160584892.1	WP_160607749.1
OG0000476	WP_011205931.1	WP_011205931.1
OG0000477	WP_135618962.1	WP_160607830.1
OG0000478	WP_404924331.1	WP_146379753.1
OG0000479	WP_404924439.1	WP_160607806.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_308704684.1
OG0000482	WP_404924431.1	WP_160585562.1
OG0000483	WP_404924211.1	WP_160590070.1
OG0000484	WP_404924359.1	WP_225973007.1
OG0000485	WP_020835615.1	WP_160607922.1
OG0000486	WP_011290228.1	WP_160585249.1
OG0000487	WP_404924490.1	WP_220200602.1
OG0000488	WP_020835728.1	WP_011206221.1
OG0000489	WP_404924350.1	WP_160607714.1
OG0000490	WP_011206527.1	WP_146379773.1
OG0000491	WP_160588241.1	WP_160588241.1
OG0000492	WP_146379559.1	WP_160607802.1
OG0000493	WP_404924395.1	WP_160608034.1
OG0000494	WP_404924403.1	WP_052259108.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_014579936.1	WP_160607842.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_020835817.1	WP_011206333.1
OG0000501	WP_404924297.1	WP_220190663.1
OG0000502	WP_404924430.1	WP_094521609.1
OG0000503	WP_404924406.1	WP_016340193.1
OG0000504	WP_404924485.1	WP_011283955.1
OG0000505	WP_146379519.1	WP_011290053.1
OG0000507	WP_020835590.1	WP_020835590.1
OG0000509	WP_020835518.1	WP_220200635.1
OG0000510	WP_404924363.1	WP_011289977.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_404924254.1	WP_160585006.1
OG0000513	WP_160585582.1	WP_146379751.1
OG0000514	WP_404924280.1	WP_160607850.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_404924301.1	WP_160607783.1
OG0000519	WP_020835579.1	WP_020835579.1
OG0000522	WP_135618505.1	WP_135618505.1
OG0000523	WP_404924324.1	WP_160607734.1
OG0000524	WP_404924265.1	WP_160607820.1
OG0000525	WP_404924320.1	WP_160607959.1
OG0000526	WP_404924477.1, WP_011290177.1	WP_225972970.1
OG0000530	WP_011284186.1	WP_160585298.1
OG0000532	WP_404924453.1, WP_404924454.1	WP_160590479.1
OG0000533	WP_404924398.1	WP_011206110.1
OG0000534	WP_014579573.1	WP_160607912.1
OG0000540	WP_404924262.1	WP_160607828.1
OG0000541	WP_404924269.1	WP_160590426.1
OG0000543	WP_044889050.1	WP_160585706.1
OG0000544	WP_308507042.1	WP_014579703.1
OG0000545	WP_404924475.1	WP_160590087.1
OG0000546	WP_160585684.1	WP_258555624.1
OG0000551	WP_404924287.1	WP_160608094.1
OG0000553	WP_404924267.1	WP_160607814.1
OG0000554	WP_404924240.1	WP_160607886.1
OG0000555	WP_308507032.1	WP_308507032.1
OG0000556	WP_404924376.1	WP_160607692.1
OG0000557	WP_146379545.1	WP_011205983.1
OG0000558	WP_404924432.1	WP_160608026.1
OG0000559	WP_011206161.1	WP_014579758.1
OG0000560	WP_011284100.1	WP_160607878.1
OG0000561	WP_011290073.1	WP_160584672.1
OG0000562	WP_146379618.1	WP_160585755.1
OG0000563	WP_160587877.1	WP_160607880.1
OG0000564	WP_041361605.1	WP_252862181.1
OG0000565	WP_011290181.1	WP_160607874.1
OG0000566	WP_404924480.1	WP_225972969.1
OG0000567	WP_404924476.1	WP_258555574.1
OG0000568	WP_044272325.1	WP_160607975.1
OG0000569	WP_404924433.1	WP_160601085.1
OG0000570	WP_011290093.1	WP_308704687.1
OG0000571	WP_011205986.1	WP_014579702.1
OG0000572	WP_160585558.1	WP_160608028.1
OG0000573	WP_404924463.1	WP_160590232.1
OG0000574	WP_014579714.1	WP_014579714.1
OG0000575	WP_146379542.1	WP_146379542.1
OG0000576	WP_011290145.1	WP_160607939.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_160585659.1	WP_160607816.1
OG0000580	WP_041361798.1	WP_258555565.1
OG0000582	WP_404924434.1	WP_308704689.1
OG0000583	WP_404924462.1	WP_160607949.1
OG0000584	WP_160584947.1	WP_160607694.1
OG0000585	WP_146379626.1	WP_160607668.1
OG0000586	WP_404924460.1	WP_258555590.1
OG0000587	WP_258555257.1	WP_240536501.1
OG0000588	WP_404924457.1	WP_308704681.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000590	WP_404924380.1	WP_160585709.1
