Orthogroup	MHP_133A_proteins	MHP_ES2_proteins
OG0000127	WP_404924444.1	WP_135618701.1
OG0000128	WP_404924446.1	WP_135618707.1
OG0000129	WP_014579732.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160588225.1	WP_135618710.1
OG0000132	WP_011205939.1	WP_135618714.1
OG0000133	WP_094521764.1	WP_014579589.1
OG0000134	WP_308507044.1	WP_233688635.1
OG0000135	WP_160585148.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_135618546.1
OG0000137	WP_404924396.1	WP_011206113.1
OG0000138	WP_404924401.1	WP_135618563.1
OG0000139	WP_011290017.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_146379698.1	WP_011284290.1
OG0000142	WP_011284289.1	WP_135619030.1
OG0000143	WP_011206391.1	WP_135619026.1
OG0000144	WP_404924284.1	WP_135619022.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_135619018.1
OG0000148	WP_041361684.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_135619006.1
OG0000151	WP_404924277.1	WP_135618994.1
OG0000152	WP_404924276.1	WP_020835827.1
OG0000153	WP_233688497.1	WP_135618992.1
OG0000154	WP_160587842.1	WP_094521730.1
OG0000155	WP_020835820.1	WP_135618984.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_014579918.1
OG0000158	WP_404924268.1	WP_135618980.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_011284209.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000162	WP_135619210.1	WP_135619210.1
OG0000163	WP_404924246.1	WP_135618936.1
OG0000164	WP_348572081.1	WP_135618732.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_160590029.1	WP_135618840.1
OG0000167	WP_011206207.1	WP_135618846.1
OG0000168	WP_404924203.1	WP_135618848.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_011206420.1
OG0000171	WP_404924298.1	WP_011206422.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011206425.1	WP_135619059.1
OG0000174	WP_160600929.1	WP_011290369.1
OG0000175	WP_404924300.1	WP_135619064.1
OG0000176	WP_160585271.1	WP_135619075.1
OG0000177	WP_160585273.1	WP_135619077.1
OG0000178	WP_160585275.1	WP_011206441.1
OG0000179	WP_020835880.1	WP_011206444.1
OG0000180	WP_081642895.1	WP_011206445.1
OG0000181	WP_020835888.1	WP_135619094.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_135619099.1
OG0000184	WP_160585238.1	WP_135619119.1
OG0000185	WP_146379740.1	WP_135619116.1
OG0000186	WP_020835656.1	WP_135618718.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_160607686.1	WP_135618893.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_020835755.1	WP_135619204.1
OG0000192	WP_160587990.1	WP_011205992.1
OG0000193	WP_094521610.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_011283923.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_020835573.1	WP_228729168.1
OG0000197	WP_404924405.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160588272.1	WP_014579644.1
OG0000201	WP_404924407.1	WP_011283934.1
OG0000202	WP_011290039.1	WP_011290039.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_011206071.1	WP_011206071.1
OG0000205	WP_404924414.1	WP_135618583.1
OG0000206	WP_011290044.1	WP_135618589.1
OG0000207	WP_011206063.1	WP_011206063.1
OG0000208	WP_011290046.1	WP_135618591.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_404924418.1	WP_135618604.1
OG0000211	WP_011290054.1	WP_135618610.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011290055.1	WP_011206046.1
OG0000216	WP_014579616.1	WP_011283965.1
OG0000217	WP_404924419.1	WP_135618612.1
OG0000218	WP_011290058.1	WP_011206042.1
OG0000219	WP_011206041.1	WP_228729170.1
OG0000220	WP_020835592.1	WP_135618616.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_404924420.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_020835596.1	WP_135618620.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011290064.1
OG0000228	WP_404924421.1	WP_135618622.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_011206027.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_233688672.1	WP_011290071.1
OG0000234	WP_404924425.1	WP_135618635.1
OG0000235	WP_011290078.1	WP_135618637.1
OG0000236	WP_011283989.1	WP_135618639.1
OG0000237	WP_404924426.1	WP_135618641.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011206399.1
OG0000240	WP_020835851.1	WP_135619034.1
OG0000241	WP_135619036.1	WP_135619036.1
OG0000242	WP_020835854.1	WP_135619038.1
OG0000243	WP_011290352.1	WP_011290352.1
OG0000244	WP_041361690.1	WP_011206406.1
OG0000245	WP_404924288.1	WP_135619044.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_404924356.1	WP_135618468.1
OG0000248	WP_146379774.1	WP_052259122.1
OG0000249	WP_404924357.1	WP_135618470.1
OG0000250	WP_011289957.1	WP_135618476.1
OG0000251	WP_347952354.1	WP_014579544.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_160606527.1	WP_135618489.1
OG0000254	WP_160584767.1	WP_020835510.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_135618501.1
OG0000258	WP_011283871.1	WP_135618503.1
OG0000259	WP_404924364.1	WP_020835520.1
OG0000260	WP_404924365.1	WP_135618509.1
OG0000261	WP_404924366.1	WP_135618513.1
OG0000262	WP_135618519.1	WP_135618519.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_404924371.1	WP_011283887.1
OG0000265	WP_404924372.1	WP_135618527.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_146379477.1	WP_014579577.1
OG0000268	WP_404924385.1	WP_011283894.1
OG0000269	WP_011206134.1	WP_014579579.1
OG0000270	WP_404924335.1	WP_011206505.1
OG0000271	WP_404924334.1	WP_135619152.1
OG0000272	WP_011284373.1	WP_011206503.1
OG0000273	WP_404924333.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_135619148.1
OG0000275	WP_228366117.1	WP_238374142.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_160588182.1	WP_135619144.1
OG0000279	WP_404924330.1	WP_014580014.1
OG0000280	WP_011206490.1	WP_135619140.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_404924327.1	WP_240536356.1
OG0000283	WP_160584907.1	WP_044272663.1
OG0000284	WP_404924501.1	WP_011206484.1
OG0000285	WP_404924325.1	WP_011290413.1
OG0000286	WP_146379652.1	WP_135618934.1
OG0000287	WP_011206297.1	WP_135618946.1
OG0000288	WP_011206299.1	WP_011284218.1
OG0000289	WP_404924251.1	WP_020835793.1
OG0000290	WP_011290297.1	WP_135618967.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_404924261.1	WP_011206319.1
OG0000293	WP_404924260.1	WP_135618964.1
OG0000294	WP_404924259.1	WP_135618960.1
OG0000295	WP_404924258.1	WP_011206315.1
OG0000296	WP_404924255.1	WP_041361673.1
OG0000297	WP_146379664.1	WP_020835798.1
OG0000298	WP_160606533.1	WP_135618474.1
OG0000299	WP_094521545.1	WP_135618482.1
OG0000300	WP_041361533.1	WP_014579572.1
OG0000301	WP_135618529.1	WP_135618529.1
OG0000302	WP_011205925.1	WP_011205925.1
OG0000303	WP_146379484.1	WP_011206118.1
OG0000304	WP_220190741.1	WP_011283978.1
OG0000305	WP_404924282.1	WP_135619020.1
OG0000306	WP_146379686.1	WP_135618998.1
OG0000307	WP_404924275.1	WP_135618990.1
OG0000308	WP_404911934.1	WP_020835811.1
OG0000309	WP_011206313.1	WP_135618958.1
OG0000310	WP_011206298.1	WP_135618948.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_041361671.1	WP_014579882.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_404924483.1	WP_135618838.1
OG0000315	WP_011290197.1	WP_135618850.1
OG0000316	WP_404924204.1	WP_014579818.1
OG0000317	WP_135618864.1	WP_135618864.1
OG0000318	WP_404924205.1	WP_240536307.1
OG0000319	WP_135618880.1	WP_135618880.1
OG0000320	WP_404924234.1	WP_135618919.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_160588227.1	WP_135618712.1
OG0000324	WP_011290222.1	WP_135618886.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_404924411.1	WP_135618577.1
OG0000327	WP_160584807.1	WP_135618579.1
OG0000328	WP_041361583.1	WP_041361583.1
OG0000329	WP_225973017.1	WP_135618597.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_135619040.1
OG0000332	WP_011290372.1	WP_135619068.1
OG0000333	WP_011206433.1	WP_135619072.1
OG0000334	WP_020835889.1	WP_135619225.1
OG0000335	WP_041361699.1	WP_135619096.1
OG0000336	WP_011206488.1	WP_135619138.1
OG0000337	WP_050195472.1	WP_050195472.1
OG0000338	WP_014580051.1	WP_011284394.1
OG0000339	WP_404924230.1	WP_135618913.1
OG0000340	WP_146379551.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_135618892.1
OG0000342	WP_011290029.1	WP_135618571.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_404924394.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_014580011.1
OG0000347	WP_011205955.1	WP_135618695.1
OG0000348	WP_404924412.1	WP_240536364.1
OG0000349	WP_404924332.1	WP_135619151.1
OG0000350	WP_404924274.1	WP_044284839.1
OG0000351	WP_011206131.1	WP_240536362.1
OG0000352	WP_404924481.1	WP_135618830.1
OG0000353	WP_404924440.1	WP_135618688.1
OG0000354	WP_404924402.1	WP_233417361.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_308507057.1	WP_240536306.1
OG0000357	WP_228366113.1	WP_240536352.1
OG0000358	WP_404924299.1	WP_135619062.1
OG0000359	WP_404924408.1	WP_240536363.1
OG0000360	WP_404924361.1	WP_225973008.1
OG0000361	WP_011289979.1	WP_011289979.1
OG0000362	WP_094521719.1	WP_094521719.1
OG0000363	WP_233417364.1	WP_276310470.1
OG0000364	WP_044272453.1	WP_135618822.1
OG0000365	WP_404924207.1	WP_135618854.1
OG0000366	WP_146379594.1	WP_135618858.1
OG0000367	WP_404924210.1	WP_220190703.1
OG0000368	WP_011289935.1	WP_135618446.1
OG0000369	WP_404924349.1	WP_011205844.1
OG0000370	WP_044272260.1	WP_135618444.1
OG0000371	WP_044272256.1	WP_135618442.1
OG0000372	WP_135618439.1	WP_135618439.1
OG0000373	WP_404924348.1	WP_135619174.1
OG0000374	WP_404924346.1	WP_014580047.1
OG0000375	WP_146379628.1	WP_135618878.1
OG0000376	WP_404924237.1	WP_011206273.1
OG0000377	WP_404924235.1	WP_135618921.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_404924442.1	WP_135618693.1
OG0000381	WP_404924443.1	WP_135618699.1
OG0000382	WP_404924447.1	WP_135618709.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_404924391.1	WP_014579586.1
OG0000385	WP_044272311.1	WP_135618542.1
OG0000386	WP_011290004.1	WP_011206121.1
OG0000387	WP_404924392.1	WP_135618548.1
OG0000388	WP_404924393.1	WP_135618550.1
OG0000389	WP_020835565.1	WP_135618561.1
OG0000390	WP_011290340.1	WP_135619024.1
OG0000391	WP_404924283.1	WP_240536347.1
OG0000392	WP_404924281.1	WP_135619016.1
OG0000393	WP_404924279.1	WP_135619000.1
OG0000394	WP_011284253.1	WP_011290313.1
OG0000395	WP_404924270.1	WP_135618986.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_146379611.1	WP_011290187.1
OG0000399	WP_348571612.1	WP_135618843.1
OG0000400	WP_243216310.1	WP_135619057.1
OG0000401	WP_404924302.1	WP_135619070.1
OG0000402	WP_404924303.1	WP_135619073.1
OG0000403	WP_404924022.1	WP_187145658.1
OG0000404	WP_146379727.1	WP_135619079.1
OG0000405	WP_160585278.1	WP_135619081.1
OG0000406	WP_404924308.1	WP_135619227.1
OG0000407	WP_404924309.1	WP_135619098.1
OG0000408	WP_404924310.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_404924318.1	WP_011206469.1
OG0000411	WP_404924317.1	WP_011290400.1
OG0000412	WP_404924316.1	WP_135619118.1
OG0000413	WP_146379568.1	WP_135618716.1
OG0000414	WP_011290131.1	WP_011290131.1
OG0000415	WP_404924448.1	WP_135618720.1
OG0000416	WP_404924449.1	WP_011284056.1
OG0000417	WP_404924226.1	WP_135618890.1
OG0000418	WP_348571647.1	WP_240536314.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_011290034.1
OG0000422	WP_020835580.1	WP_135618575.1
OG0000423	WP_404924415.1	WP_135618585.1
OG0000424	WP_135618587.1	WP_135618587.1
OG0000425	WP_011283949.1	WP_011206065.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_135618593.1	WP_135618593.1
OG0000428	WP_011206054.1	WP_135618601.1
OG0000429	WP_011206036.1	WP_135618618.1
OG0000431	WP_146379524.1	WP_011290067.1
OG0000432	WP_404924424.1	WP_135618631.1
OG0000433	WP_160606761.1	WP_011206014.1
OG0000434	WP_160606763.1	WP_020835607.1
OG0000435	WP_011290077.1	WP_020835610.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_020835616.1	WP_014579672.1
OG0000438	WP_404924427.1	WP_135618644.1
OG0000439	WP_404924428.1	WP_020835619.1
OG0000440	WP_020835852.1	WP_020835852.1
OG0000441	WP_404924290.1	WP_135619046.1
OG0000442	WP_404924355.1	WP_135618466.1
OG0000443	WP_044272282.1	WP_135618480.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_404924360.1	WP_135618491.1
OG0000446	WP_135618497.1	WP_135618497.1
OG0000447	WP_044284573.1	WP_014579553.1
OG0000448	WP_404924362.1	WP_011289976.1
OG0000449	WP_348571941.1	WP_135618507.1
OG0000450	WP_404924074.1	WP_135618511.1
OG0000451	WP_404924370.1	WP_135618523.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_404924386.1	WP_135618531.1
OG0000454	WP_225973031.1	WP_135618759.1, WP_135618904.1
OG0000455	WP_404924337.1	WP_135619156.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_404924500.1	WP_135619136.1
OG0000458	WP_020835790.1	WP_135618944.1
OG0000459	WP_404924252.1	WP_011206301.1
OG0000460	WP_404924253.1	WP_011206303.1
OG0000461	WP_404924496.1	WP_135618956.1
OG0000462	WP_011206311.1	WP_011284228.1
OG0000463	WP_011206310.1	WP_135618955.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_404924256.1	WP_135618953.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_404924266.1	WP_135618974.1
OG0000468	WP_404924484.1	WP_135618841.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_044272348.1	WP_135618603.1
OG0000472	WP_404924319.1	WP_135619124.1
OG0000473	WP_020835917.1	WP_011206506.1
OG0000474	WP_404924336.1	WP_011284377.1
OG0000475	WP_160584892.1	WP_135619154.1
OG0000476	WP_011205931.1	WP_135618722.1
OG0000477	WP_135618962.1	WP_135618962.1
OG0000478	WP_404924331.1	WP_135619146.1
OG0000479	WP_404924439.1	WP_135618682.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_228729169.1
OG0000482	WP_404924431.1	WP_014579695.1
OG0000483	WP_404924211.1	WP_011206227.1
OG0000484	WP_404924359.1	WP_225973007.1
OG0000485	WP_020835615.1	WP_135618643.1
OG0000486	WP_011290228.1	WP_135618895.1
OG0000487	WP_404924490.1	WP_220200502.1
OG0000488	WP_020835728.1	WP_135618856.1
OG0000489	WP_404924350.1	WP_011205849.1
OG0000490	WP_011206527.1	WP_011206527.1
OG0000491	WP_160588241.1	WP_011205966.1
OG0000492	WP_146379559.1	WP_135618697.1
OG0000493	WP_404924395.1	WP_135618552.1
OG0000494	WP_404924403.1	WP_052259108.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_014579936.1	WP_135619004.1
OG0000501	WP_404924297.1	WP_318026019.1, WP_318026018.1
OG0000502	WP_404924430.1	WP_135618652.1
OG0000503	WP_404924406.1	WP_020835576.1
OG0000504	WP_404924485.1	WP_135618595.1
OG0000509	WP_020835518.1	WP_020835518.1
OG0000510	WP_404924363.1	WP_011289977.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_404924254.1	WP_135618950.1
OG0000513	WP_160585582.1	WP_135619142.1
OG0000514	WP_404924280.1	WP_135619014.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_404924301.1	WP_135619066.1
OG0000519	WP_020835579.1	WP_135618573.1
OG0000522	WP_135618505.1	WP_135618505.1
OG0000523	WP_404924324.1	WP_240536355.1
OG0000525	WP_404924320.1	WP_135619126.1
OG0000526	WP_404924477.1	WP_240536396.1
OG0000527	WP_404924472.1	WP_240536391.1
OG0000532	WP_404924454.1	WP_135618761.1
OG0000533	WP_404924398.1	WP_011206110.1
OG0000534	WP_014579573.1	WP_135618525.1
OG0000536	WP_404924342.1	WP_135619166.1
OG0000540	WP_404924262.1	WP_135618965.1
OG0000541	WP_404924269.1	WP_135618982.1
OG0000543	WP_044889050.1	WP_135618906.1
OG0000544	WP_308507042.1	WP_240536368.1
OG0000545	WP_404924475.1	WP_014579790.1
OG0000546	WP_160585684.1	WP_240536343.1
OG0000552	WP_404924304.1	WP_094521504.1
OG0000553	WP_404924267.1	WP_135618976.1
OG0000554	WP_404924240.1	WP_135618928.1
OG0000555	WP_308507032.1	WP_228366107.1
OG0000556	WP_404924376.1	WP_135618743.1
OG0000557	WP_146379545.1	WP_011205983.1
OG0000558	WP_404924432.1	WP_135618658.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011206182.1
OG0000561	WP_011290073.1	WP_240536365.1
OG0000562	WP_146379618.1	WP_135618812.1
OG0000563	WP_160587877.1	WP_135618808.1
OG0000564	WP_041361605.1	WP_240536375.1
OG0000565	WP_011290181.1	WP_135618820.1
OG0000566	WP_404924480.1	WP_094521668.1
OG0000567	WP_404924476.1	WP_240536393.1
OG0000568	WP_044272325.1	WP_135618569.1
OG0000569	WP_404924433.1	WP_135618660.1
