Orthogroup	MHP_133A_proteins	MHP_112B_proteins
OG0000096	WP_011206529.1	WP_404912113.1
OG0000097	WP_404924347.1	WP_404912105.1
OG0000098	WP_404924345.1	WP_011290444.1
OG0000099	WP_404924341.1	WP_404912092.1
OG0000100	WP_404924338.1	WP_011290432.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_404924487.1	WP_404912445.1
OG0000103	WP_404924223.1	WP_146379627.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_146379630.1
OG0000106	WP_146379631.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_404911836.1
OG0000109	WP_404924224.1	WP_146379632.1
OG0000110	WP_404924239.1	WP_020835772.1
OG0000111	WP_404924238.1	WP_020835771.1
OG0000112	WP_404924236.1	WP_404911866.1
OG0000113	WP_404924231.1	WP_404911858.1
OG0000114	WP_404923958.1	WP_404911856.1
OG0000115	WP_011290245.1	WP_011290245.1
OG0000116	WP_404924436.1	WP_404912315.1
OG0000117	WP_160590503.1	WP_160615714.1
OG0000118	WP_011290108.1	WP_404912325.1
OG0000119	WP_135618686.1	WP_160585678.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160585089.1	WP_160606641.1
OG0000127	WP_404924444.1	WP_011290122.1
OG0000128	WP_404924446.1	WP_404912339.1
OG0000129	WP_014579732.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160588225.1	WP_094521635.1
OG0000132	WP_011205939.1	WP_404912347.1
OG0000133	WP_094521764.1	WP_014579589.1
OG0000134	WP_308507044.1	WP_404912178.1
OG0000135	WP_160585148.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_179695961.1
OG0000137	WP_404924396.1	WP_011206113.1
OG0000138	WP_404924401.1	WP_160584793.1
OG0000139	WP_011290017.1	WP_011290017.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_146379698.1	WP_011284290.1
OG0000142	WP_011284289.1	WP_160607860.1
OG0000143	WP_011206391.1	WP_404913770.1
OG0000144	WP_404924284.1	WP_404911973.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_041361684.1	WP_404911967.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_011206376.1
OG0000151	WP_404924277.1	WP_020835828.1
OG0000152	WP_404924276.1	WP_020835827.1
OG0000153	WP_233688497.1	WP_011206347.1
OG0000154	WP_160587842.1	WP_160587842.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_011290309.1
OG0000158	WP_404924268.1	WP_404911941.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_014579880.1
OG0000162	WP_135619210.1	WP_044272532.1
OG0000163	WP_404924246.1	WP_404911888.1
OG0000164	WP_348572081.1	WP_160601269.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_160590029.1	WP_404911786.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_404924203.1	WP_404911779.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_404924298.1	WP_404911998.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011206425.1	WP_011206425.1
OG0000174	WP_160600929.1	WP_404912001.1
OG0000175	WP_404924300.1	WP_404913662.1
OG0000176	WP_160585271.1	WP_160607777.1
OG0000177	WP_160585273.1	WP_160585273.1
OG0000178	WP_160585275.1	WP_020835878.1
OG0000179	WP_020835880.1	WP_160585639.1
OG0000180	WP_081642895.1	WP_160585638.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011284337.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_011206468.1
OG0000185	WP_146379740.1	WP_020835897.1
OG0000186	WP_020835656.1	WP_404912349.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_160607686.1	WP_404911845.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_020835755.1	WP_146379633.1
OG0000192	WP_160587990.1	WP_404912441.1
OG0000193	WP_094521610.1	WP_404912294.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_020835573.1	WP_179221025.1
OG0000197	WP_404924405.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160588272.1	WP_020835575.1
OG0000201	WP_404924407.1	WP_011283934.1
OG0000202	WP_011290039.1	WP_011290039.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_011206071.1	WP_146379508.1
OG0000205	WP_404924414.1	WP_160606691.1
OG0000206	WP_011290044.1	WP_011290044.1
OG0000207	WP_011206063.1	WP_011206063.1
OG0000208	WP_011290046.1	WP_135618591.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_404924418.1	WP_146379515.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_160585195.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011290055.1	WP_020835589.1
OG0000216	WP_014579616.1	WP_160585193.1
OG0000217	WP_404924419.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_404912251.1
OG0000219	WP_011206041.1	WP_220190714.1
OG0000220	WP_020835592.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_404924420.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_020835596.1	WP_404912259.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011206031.1
OG0000228	WP_404924421.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_011206027.1	WP_404912263.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_233688672.1	WP_011290071.1
OG0000234	WP_404924425.1	WP_404912276.1
OG0000235	WP_011290078.1	WP_094521605.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_404924426.1	WP_404912280.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011290347.1
OG0000240	WP_020835851.1	WP_404911978.1
OG0000241	WP_135619036.1	WP_044272588.1
OG0000242	WP_020835854.1	WP_404911981.1
OG0000243	WP_011290352.1	WP_146379703.1
OG0000244	WP_041361690.1	WP_041361690.1
OG0000245	WP_404924288.1	WP_146379707.1
OG0000246	WP_050195463.1	WP_404912139.1
OG0000247	WP_404924356.1	WP_404912141.1
OG0000248	WP_146379774.1	WP_052259122.1
OG0000249	WP_404924357.1	WP_160588044.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_347952354.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_160606527.1	WP_011289964.1
OG0000254	WP_160584767.1	WP_160584767.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_404924364.1	WP_041361723.1
OG0000260	WP_404924365.1	WP_094521550.1
OG0000261	WP_404924366.1	WP_044272293.1
OG0000262	WP_135618519.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_404924371.1	WP_011283887.1
OG0000265	WP_404924372.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_146379477.1	WP_020835532.1
OG0000268	WP_404924385.1	WP_011289993.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_404924335.1	WP_404912080.1
OG0000271	WP_404924334.1	WP_404913687.1
OG0000272	WP_011284373.1	WP_404912074.1
OG0000273	WP_404924333.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_011290423.1
OG0000275	WP_228366117.1	WP_404912071.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_160588182.1	WP_011206493.1
OG0000279	WP_404924330.1	WP_011290418.1
OG0000280	WP_011206490.1	WP_404912067.1
OG0000281	WP_014580012.1	WP_011290416.1
OG0000282	WP_404924327.1	WP_160590212.1
OG0000283	WP_160584907.1	WP_044272663.1
OG0000284	WP_404924501.1	WP_160585585.1
OG0000285	WP_404924325.1	WP_404912060.1
OG0000286	WP_146379652.1	WP_160615969.1
OG0000287	WP_011206297.1	WP_404911902.1
OG0000288	WP_011206299.1	WP_404911904.1
OG0000289	WP_404924251.1	WP_020835793.1
OG0000290	WP_011290297.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_404924261.1	WP_044272553.1
OG0000293	WP_404924260.1	WP_404913649.1
OG0000294	WP_404924259.1	WP_404911922.1
OG0000295	WP_404924258.1	WP_011206315.1
OG0000296	WP_404924255.1	WP_041361673.1
OG0000297	WP_146379664.1	WP_146379664.1
OG0000298	WP_160606533.1	WP_404912146.1
OG0000299	WP_094521545.1	WP_160606529.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_135618529.1	WP_011289991.1
OG0000302	WP_011205925.1	WP_014579576.1
OG0000303	WP_146379484.1	WP_404912180.1
OG0000304	WP_220190741.1	WP_220190741.1
OG0000305	WP_404924282.1	WP_020835841.1
OG0000306	WP_146379686.1	WP_044272563.1
OG0000307	WP_404924275.1	WP_160585265.1
OG0000308	WP_404911934.1	WP_404911934.1
OG0000309	WP_011206313.1	WP_146379668.1
OG0000310	WP_011206298.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_041361671.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_404924483.1	WP_404911788.1
OG0000315	WP_011290197.1	WP_014579816.1
OG0000316	WP_404924204.1	WP_404911774.1
OG0000317	WP_135618864.1	WP_404912423.1
OG0000318	WP_404924205.1	WP_404911772.1
OG0000319	WP_135618880.1	WP_404913631.1
OG0000320	WP_404924234.1	WP_404911862.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_160588227.1	WP_011290127.1
OG0000324	WP_011290222.1	WP_011290222.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_404924411.1	WP_404913712.1
OG0000327	WP_160584807.1	WP_146379506.1
OG0000328	WP_041361583.1	WP_041361583.1
OG0000329	WP_225973017.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_020835889.1	WP_020835889.1
OG0000335	WP_041361699.1	WP_160606864.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_050195472.1	WP_011284387.1
OG0000338	WP_014580051.1	WP_404912111.1
OG0000339	WP_404924230.1	WP_404911854.1
OG0000340	WP_146379551.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_011290226.1
OG0000342	WP_011290029.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_404924394.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_404924412.1	WP_014579636.1
OG0000349	WP_404924332.1	WP_094521522.1
OG0000350	WP_404924274.1	WP_404911952.1
OG0000351	WP_011206131.1	WP_404912171.1
OG0000352	WP_404924481.1	WP_404911795.1
OG0000353	WP_404924440.1	WP_404912328.1
OG0000354	WP_404924402.1	WP_404912194.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_308507057.1	WP_404913621.1
OG0000357	WP_228366113.1	WP_228366113.1
OG0000358	WP_404924299.1	WP_404913660.1
OG0000359	WP_404924408.1	WP_404913710.1
OG0000360	WP_404924361.1	WP_404912153.1
OG0000361	WP_011289979.1	WP_011289979.1
OG0000362	WP_094521719.1	WP_160600961.1
OG0000363	WP_233417364.1	WP_404913764.1
OG0000364	WP_044272453.1	WP_404913625.1
OG0000365	WP_404924207.1	WP_404912433.1
OG0000366	WP_146379594.1	WP_404912430.1
OG0000367	WP_404924210.1	WP_225973040.1
OG0000368	WP_011289935.1	WP_404912121.1
OG0000369	WP_404924349.1	WP_011205844.1
OG0000370	WP_044272260.1	WP_044272260.1
OG0000371	WP_044272256.1	WP_044272256.1
OG0000372	WP_135618439.1	WP_404912115.1
OG0000373	WP_404924348.1	WP_404912107.1
OG0000374	WP_404924346.1	WP_404912104.1
OG0000375	WP_146379628.1	WP_404911831.1
OG0000376	WP_404924237.1	WP_404911868.1
OG0000377	WP_404924235.1	WP_404913636.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_404924442.1	WP_160588252.1
OG0000381	WP_404924443.1	WP_404913736.1
OG0000382	WP_404924447.1	WP_404912342.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_404924391.1	WP_041361727.1
OG0000385	WP_044272311.1	WP_044272311.1
OG0000386	WP_011290004.1	WP_011290004.1
OG0000387	WP_404924392.1	WP_404913705.1
OG0000388	WP_404924393.1	WP_179221014.1
OG0000389	WP_020835565.1	WP_404912192.1
OG0000390	WP_011290340.1	WP_011290340.1
OG0000391	WP_404924283.1	WP_020835843.1
OG0000392	WP_404924281.1	WP_160607852.1
OG0000393	WP_404924279.1	WP_404911961.1
OG0000394	WP_011284253.1	WP_011290313.1
OG0000395	WP_404924270.1	WP_404911946.1
OG0000396	WP_020835781.1	WP_020835781.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_146379611.1	WP_020835709.1
OG0000399	WP_348571612.1	WP_404911782.1
OG0000400	WP_243216310.1	WP_044272610.1
OG0000401	WP_404924302.1	WP_135619070.1
OG0000402	WP_404924303.1	WP_020835872.1
OG0000403	WP_404924022.1	WP_404913666.1
OG0000404	WP_146379727.1	WP_404912014.1
OG0000405	WP_160585278.1	WP_404913670.1
OG0000406	WP_404924308.1	WP_404912025.1
OG0000407	WP_404924309.1	WP_404912027.1
OG0000408	WP_404924310.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_404924318.1	WP_011206469.1
OG0000411	WP_404924317.1	WP_146379742.1
OG0000412	WP_404924316.1	WP_146379741.1
OG0000413	WP_146379568.1	WP_146379568.1
OG0000414	WP_011290131.1	WP_011290131.1
OG0000415	WP_404924448.1	WP_404912351.1
OG0000416	WP_404924449.1	WP_011284056.1
OG0000417	WP_404924226.1	WP_404911842.1
OG0000418	WP_348571647.1	WP_160588285.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_011206080.1
OG0000422	WP_020835580.1	WP_146379504.1
OG0000423	WP_404924415.1	WP_404912224.1
OG0000424	WP_135618587.1	WP_011290043.1
OG0000425	WP_011283949.1	WP_044277967.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_135618593.1	WP_135618593.1
OG0000428	WP_011206054.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_404912257.1
OG0000431	WP_146379524.1	WP_011290067.1
OG0000432	WP_404924424.1	WP_404912272.1
OG0000433	WP_160606761.1	WP_011206014.1
OG0000435	WP_011290077.1	WP_404912278.1
OG0000437	WP_020835616.1	WP_404912284.1
OG0000438	WP_404924427.1	WP_404912286.1
OG0000439	WP_404924428.1	WP_404912288.1
OG0000440	WP_020835852.1	WP_011290349.1
OG0000441	WP_404924290.1	WP_011284299.1
OG0000442	WP_404924355.1	WP_160607726.1
OG0000443	WP_044272282.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_404924360.1	WP_160585544.1
OG0000446	WP_135618497.1	WP_348602689.1
OG0000447	WP_044284573.1	WP_014579553.1
OG0000448	WP_404924362.1	WP_011289976.1
OG0000449	WP_348571941.1	WP_348571941.1
OG0000450	WP_404924074.1	WP_160588027.1
OG0000451	WP_404924370.1	WP_160585531.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_404924386.1	WP_011283895.1
OG0000454	WP_225973031.1	WP_404913738.1
OG0000455	WP_404924337.1	WP_404912085.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_404924500.1	WP_404913684.1
OG0000458	WP_020835790.1	WP_020835790.1
OG0000459	WP_404924252.1	WP_014579890.1
OG0000460	WP_404924253.1	WP_044272549.1
OG0000461	WP_404924496.1	WP_404913647.1
OG0000462	WP_011206311.1	WP_404911917.1
OG0000463	WP_011206310.1	WP_011206310.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_404924256.1	WP_135618953.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_404924266.1	WP_404911938.1
OG0000468	WP_404924484.1	WP_404911784.1
OG0000469	WP_014579824.1	WP_011290203.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_044272348.1	WP_044272348.1
OG0000472	WP_404924319.1	WP_404913678.1
OG0000473	WP_020835917.1	WP_020835917.1
OG0000474	WP_404924336.1	WP_041361711.1
OG0000475	WP_160584892.1	WP_404912083.1
OG0000476	WP_011205931.1	WP_011205931.1
OG0000477	WP_135618962.1	WP_011206317.1
OG0000478	WP_404924331.1	WP_011284367.1
OG0000479	WP_404924439.1	WP_404912322.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_044272343.1
OG0000482	WP_404924431.1	WP_404913728.1
OG0000483	WP_404924211.1	WP_347952210.1
OG0000484	WP_404924359.1	WP_135618485.1
OG0000485	WP_020835615.1	WP_020835615.1
OG0000486	WP_011290228.1	WP_011290228.1
OG0000487	WP_404924490.1	WP_404913760.1
OG0000488	WP_020835728.1	WP_146379596.1
OG0000489	WP_404924350.1	WP_404913695.1
OG0000490	WP_011206527.1	WP_404912109.1
OG0000492	WP_146379559.1	WP_404913734.1
OG0000493	WP_404924395.1	WP_404912185.1
OG0000494	WP_404924403.1	WP_404913707.1
OG0000496	WP_011206375.1	WP_011290327.1
OG0000497	WP_014579936.1	WP_135619004.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_020835817.1	WP_020835817.1
OG0000501	WP_404924297.1	WP_404911996.1
OG0000502	WP_404924430.1	WP_404912292.1
OG0000503	WP_404924406.1	WP_404912212.1
OG0000504	WP_404924485.1	WP_011283955.1
OG0000505	WP_146379519.1	WP_146379519.1
OG0000507	WP_020835590.1	WP_020835590.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_404924254.1	WP_404911911.1
OG0000513	WP_160585582.1	WP_041361708.1
OG0000514	WP_404924280.1	WP_404911969.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_404924301.1	WP_404913772.1
OG0000522	WP_135618505.1	WP_135618505.1
OG0000523	WP_404924324.1	WP_258555910.1
OG0000525	WP_404924320.1	WP_404912046.1
OG0000526	WP_404924477.1	WP_404911812.1
OG0000527	WP_404924472.1	WP_404911823.1
OG0000530	WP_011284186.1	WP_011284186.1
OG0000532	WP_404924453.1, WP_404924454.1	WP_404913740.1
OG0000534	WP_014579573.1	WP_404912163.1
OG0000536	WP_404924342.1	WP_404913689.1
OG0000540	WP_404924262.1	WP_404913653.1
OG0000543	WP_044889050.1	WP_160585706.1
OG0000544	WP_308507042.1	WP_308507042.1
OG0000545	WP_404924475.1	WP_404911816.1
OG0000546	WP_160585684.1	WP_404911955.1
OG0000551	WP_404924287.1	WP_404913658.1
OG0000552	WP_404924304.1	WP_044284704.1
OG0000553	WP_404924267.1	WP_347952255.1
OG0000554	WP_404924240.1	WP_404911871.1
OG0000555	WP_308507032.1	WP_308507032.1
OG0000556	WP_404924376.1	WP_404912412.1
OG0000557	WP_146379545.1	WP_011205983.1
OG0000558	WP_404924432.1	WP_011205989.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_011290073.1	WP_094521603.1
OG0000562	WP_146379618.1	WP_160585755.1
OG0000563	WP_160587877.1	WP_160587877.1
OG0000564	WP_041361605.1	WP_252862181.1
OG0000565	WP_011290181.1	WP_404911804.1
OG0000566	WP_404924480.1	WP_404911808.1
OG0000567	WP_404924476.1	WP_404911814.1
OG0000568	WP_044272325.1	WP_404912204.1
OG0000569	WP_404924433.1	WP_404912299.1
OG0000570	WP_011290093.1	WP_404912300.1
OG0000571	WP_011205986.1	WP_404912302.1
OG0000572	WP_160585558.1	WP_404912308.1
OG0000573	WP_404924463.1	WP_404912382.1
OG0000574	WP_014579714.1	WP_011284018.1
OG0000575	WP_146379542.1	WP_011290089.1
OG0000576	WP_011290145.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_160585659.1	WP_041361678.1
OG0000579	WP_146379623.1	WP_146379623.1
OG0000580	WP_041361798.1	WP_236607953.1
OG0000581	WP_404924473.1	WP_404911821.1
