Orthogroup	MHP_133A_proteins	MHP_KM014_proteins
OG0000072	WP_404924312.1	WP_094521513.1
OG0000073	WP_404912207.1	WP_011206093.1
OG0000075	WP_404924368.1	WP_094521552.1
OG0000077	WP_135618533.1	WP_094521763.1
OG0000078	WP_404924461.1	WP_094521645.1
OG0000079	WP_020835797.1	WP_011206305.1
OG0000080	WP_192894279.1	WP_014579900.1
OG0000081	WP_404924367.1	WP_094521551.1
OG0000083	WP_014579823.1	WP_094521681.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000086	WP_404924209.1	WP_094521683.1
OG0000087	WP_020835732.1	WP_094521684.1
OG0000088	WP_020835733.1	WP_044272480.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_404924351.1	WP_094521535.1
OG0000091	WP_020835487.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_160584856.1	WP_011205846.1
OG0000094	WP_160606485.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_094521532.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_404924347.1	WP_094521757.1
OG0000100	WP_404924338.1	WP_094521527.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_404924487.1	WP_094521648.1
OG0000103	WP_404924223.1	WP_011206238.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_094521691.1
OG0000106	WP_146379631.1	WP_011290218.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_014579827.1
OG0000109	WP_404924224.1	WP_094521692.1
OG0000110	WP_404924239.1	WP_094521705.1
OG0000111	WP_404924238.1	WP_094521704.1
OG0000112	WP_404924236.1	WP_094521703.1
OG0000113	WP_404924231.1	WP_094521701.1
OG0000114	WP_404923958.1	WP_094521777.1
OG0000115	WP_011290245.1	WP_094521698.1
OG0000116	WP_404924436.1	WP_094521621.1
OG0000117	WP_160590503.1	WP_094521622.1
OG0000118	WP_011290108.1	WP_094521624.1
OG0000119	WP_135618686.1	WP_094521625.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011205959.1
OG0000122	WP_020835643.1	WP_094521627.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160585089.1	WP_094521629.1
OG0000127	WP_404924444.1	WP_094521631.1
OG0000128	WP_404924446.1	WP_094521634.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160588225.1	WP_094521635.1
OG0000132	WP_011205939.1	WP_094521636.1
OG0000133	WP_094521764.1	WP_094521764.1
OG0000134	WP_308507044.1	WP_094521765.1
OG0000135	WP_160585148.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_094521576.1
OG0000137	WP_404924396.1	WP_011206113.1
OG0000138	WP_404924401.1	WP_011206106.1
OG0000139	WP_011290017.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_146379698.1	WP_011290345.1
OG0000142	WP_011284289.1	WP_094521740.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_404924284.1	WP_094521739.1
OG0000145	WP_225972996.1	WP_011290337.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_041361684.1	WP_094521737.1
OG0000149	WP_011290331.1	WP_011206379.1
OG0000150	WP_135619006.1	WP_011206376.1
OG0000151	WP_404924277.1	WP_094521732.1
OG0000152	WP_404924276.1	WP_094521731.1
OG0000153	WP_233688497.1	WP_011206347.1
OG0000154	WP_160587842.1	WP_094521730.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_011206334.1
OG0000158	WP_404924268.1	WP_094521727.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_081430769.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000163	WP_404924246.1	WP_094521716.1
OG0000164	WP_348572081.1	WP_094521642.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_160590029.1	WP_094521676.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_404924203.1	WP_044284793.1
OG0000169	WP_002557698.1	WP_094521497.1
OG0000171	WP_404924298.1	WP_011206422.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011206425.1	WP_094521499.1
OG0000174	WP_160600929.1	WP_094521500.1
OG0000175	WP_404924300.1	WP_094521754.1
OG0000176	WP_160585271.1	WP_094521505.1
OG0000177	WP_160585273.1	WP_094521506.1
OG0000178	WP_160585275.1	WP_020835878.1
OG0000179	WP_020835880.1	WP_014579979.1
OG0000180	WP_081642895.1	WP_011206445.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_011206468.1
OG0000185	WP_146379740.1	WP_094521514.1
OG0000186	WP_020835656.1	WP_094521637.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_160607686.1	WP_094521695.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_020835755.1	WP_011290223.1
OG0000192	WP_160587990.1	WP_011205992.1
OG0000193	WP_094521610.1	WP_094521610.1
OG0000194	WP_011290023.1	WP_094521582.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_020835573.1	WP_094521584.1
OG0000197	WP_404924405.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160588272.1	WP_094521587.1
OG0000201	WP_404924407.1	WP_094521588.1
OG0000202	WP_011290039.1	WP_011283943.1
OG0000203	WP_011206072.1	WP_094521591.1
OG0000204	WP_011206071.1	WP_014579633.1
OG0000205	WP_404924414.1	WP_094521592.1
OG0000206	WP_011290044.1	WP_011290044.1
OG0000207	WP_011206063.1	WP_094521594.1
OG0000208	WP_011290046.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_404924418.1	WP_094521596.1
OG0000211	WP_011290054.1	WP_011206050.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011290055.1	WP_011206046.1
OG0000216	WP_014579616.1	WP_011283965.1
OG0000217	WP_404924419.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_094521597.1
OG0000219	WP_011206041.1	WP_051129924.1
OG0000220	WP_020835592.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_404924420.1	WP_041361589.1
OG0000225	WP_020835596.1	WP_094521598.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011206031.1
OG0000228	WP_404924421.1	WP_094521599.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_011206027.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_233688672.1	WP_011290071.1
OG0000234	WP_404924425.1	WP_044284822.1
OG0000235	WP_011290078.1	WP_094521605.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_404924426.1	WP_094521606.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011206399.1
OG0000240	WP_020835851.1	WP_011206400.1
OG0000241	WP_135619036.1	WP_011206402.1
OG0000242	WP_020835854.1	WP_094521742.1
OG0000243	WP_011290352.1	WP_014579955.1
OG0000244	WP_041361690.1	WP_094521744.1
OG0000245	WP_404924288.1	WP_011206408.1
OG0000246	WP_050195463.1	WP_094521541.1
OG0000247	WP_404924356.1	WP_094521542.1
OG0000248	WP_146379774.1	WP_052259122.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_347952354.1	WP_094521546.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_160606527.1	WP_094521547.1
OG0000254	WP_160584767.1	WP_050195453.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_404924364.1	WP_094521759.1
OG0000260	WP_404924365.1	WP_094521550.1
OG0000262	WP_135618519.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_404924371.1	WP_011283887.1
OG0000265	WP_404924372.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_146379477.1	WP_094521554.1
OG0000268	WP_404924385.1	WP_011283894.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_404924335.1	WP_094521524.1
OG0000271	WP_404924334.1	WP_094521523.1
OG0000272	WP_011284373.1	WP_011284373.1
OG0000273	WP_404924333.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_094521521.1
OG0000275	WP_228366117.1	WP_011290422.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_160588182.1	WP_011206493.1
OG0000279	WP_404924330.1	WP_011290418.1
OG0000280	WP_011206490.1	WP_094521520.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000283	WP_160584907.1	WP_014580009.1
OG0000284	WP_404924501.1	WP_094521519.1
OG0000285	WP_404924325.1	WP_094521518.1
OG0000286	WP_146379652.1	WP_094521714.1
OG0000287	WP_011206297.1	WP_011206297.1
OG0000288	WP_011206299.1	WP_094521779.1
OG0000289	WP_404924251.1	WP_020835793.1
OG0000290	WP_011290297.1	WP_094521724.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_404924261.1	WP_044284681.1
OG0000293	WP_404924260.1	WP_094521723.1
OG0000294	WP_404924259.1	WP_094521780.1
OG0000295	WP_404924258.1	WP_094521722.1
OG0000296	WP_404924255.1	WP_044272552.1
OG0000297	WP_146379664.1	WP_011284225.1
OG0000298	WP_160606533.1	WP_094521544.1
OG0000299	WP_094521545.1	WP_094521545.1
OG0000300	WP_041361533.1	WP_011205915.1
OG0000301	WP_135618529.1	WP_011283891.1
OG0000302	WP_011205925.1	WP_014579576.1
OG0000303	WP_146379484.1	WP_011206118.1
OG0000304	WP_220190741.1	WP_094521601.1
OG0000305	WP_404924282.1	WP_094521738.1
OG0000306	WP_146379686.1	WP_094521734.1
OG0000307	WP_404924275.1	WP_011206346.1
OG0000308	WP_404911934.1	WP_157696721.1
OG0000309	WP_011206313.1	WP_011206313.1
OG0000310	WP_011206298.1	WP_094521718.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_041361671.1	WP_094521778.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_404924483.1	WP_094521675.1
OG0000315	WP_011290197.1	WP_011206209.1
OG0000316	WP_404924204.1	WP_094521679.1
OG0000317	WP_135618864.1	WP_094521685.1
OG0000318	WP_404924205.1	WP_094521775.1
OG0000319	WP_135618880.1	WP_094521690.1
OG0000320	WP_404924234.1	WP_094521702.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_011205960.1
OG0000323	WP_160588227.1	WP_094521770.1
OG0000324	WP_011290222.1	WP_094521693.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_404924411.1	WP_094521590.1
OG0000327	WP_160584807.1	WP_011206076.1
OG0000328	WP_041361583.1	WP_011290047.1
OG0000329	WP_225973017.1	WP_044284742.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_094521743.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_020835889.1	WP_094521511.1
OG0000335	WP_041361699.1	WP_041361699.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_050195472.1	WP_094521528.1
OG0000338	WP_014580051.1	WP_094521531.1
OG0000339	WP_404924230.1	WP_094521699.1
OG0000340	WP_146379551.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_011284176.1
OG0000342	WP_011290029.1	WP_094521586.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_404924394.1	WP_094521577.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_041361706.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_404924412.1	WP_014579636.1
OG0000349	WP_404924332.1	WP_094521522.1
OG0000350	WP_404924274.1	WP_094521782.1
OG0000351	WP_011206131.1	WP_094521571.1
OG0000352	WP_404924481.1	WP_094521673.1
OG0000353	WP_404924440.1	WP_094521626.1
OG0000354	WP_404924402.1	WP_094521580.1
OG0000355	WP_011206194.1	WP_011284115.1
OG0000356	WP_308507057.1	WP_094521678.1
OG0000357	WP_228366113.1	WP_094521501.1
OG0000358	WP_404924299.1	WP_094521502.1
OG0000359	WP_404924408.1	WP_094521589.1
OG0000360	WP_404924361.1	WP_094521548.1
OG0000361	WP_011289979.1	WP_094521549.1
OG0000362	WP_094521719.1	WP_094521719.1
OG0000363	WP_233417364.1	WP_094521632.1
OG0000364	WP_044272453.1	WP_094521773.1
OG0000369	WP_404924349.1	WP_094521533.1
OG0000370	WP_044272260.1	WP_044272260.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_404924442.1	WP_094521769.1
OG0000381	WP_404924443.1	WP_094521630.1
OG0000385	WP_044272311.1	WP_094521574.1
OG0000389	WP_020835565.1	WP_094521579.1
OG0000394	WP_011284253.1	WP_094521728.1
OG0000396	WP_020835781.1	WP_094521715.1
OG0000403	WP_404924022.1	WP_094521503.1
OG0000404	WP_146379727.1	WP_094521507.1
OG0000405	WP_160585278.1	WP_094521755.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000412	WP_404924316.1	WP_011290399.1
OG0000417	WP_404924226.1	WP_094521694.1
OG0000428	WP_011206054.1	WP_011283958.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000434	WP_160606763.1	WP_157696710.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_020835616.1	WP_011206003.1
OG0000441	WP_404924290.1	WP_094521745.1
OG0000451	WP_404924370.1	WP_094521553.1
OG0000453	WP_404924386.1	WP_011283895.1
OG0000457	WP_404924500.1	WP_094521517.1
OG0000459	WP_404924252.1	WP_014579890.1
OG0000463	WP_011206310.1	WP_094521721.1
OG0000464	WP_011206309.1	WP_094521720.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000468	WP_404924484.1	WP_094521677.1
OG0000471	WP_044272348.1	WP_094521595.1
OG0000473	WP_020835917.1	WP_094521525.1
OG0000474	WP_404924336.1	WP_011284377.1
OG0000475	WP_160584892.1	WP_094521526.1
OG0000482	WP_404924431.1	WP_094521611.1
OG0000485	WP_020835615.1	WP_094521607.1
OG0000486	WP_011290228.1	WP_094521696.1
OG0000487	WP_404924490.1	WP_157696720.1
OG0000488	WP_020835728.1	WP_094521682.1
OG0000489	WP_404924350.1	WP_094521534.1
OG0000491	WP_160588241.1	WP_011205966.1
OG0000492	WP_146379559.1	WP_094521628.1
OG0000502	WP_404924430.1	WP_094521609.1
OG0000504	WP_404924485.1	WP_094521766.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000519	WP_020835579.1	WP_020835579.1
OG0000523	WP_404924324.1	WP_094521516.1
OG0000526	WP_404924477.1, WP_011290177.1	WP_041361763.1
OG0000527	WP_404924472.1	WP_094521656.1
OG0000530	WP_011284186.1	WP_011284186.1
OG0000543	WP_044889050.1	WP_094521762.1
OG0000544	WP_308507042.1	WP_011284008.1
OG0000545	WP_404924475.1	WP_094521665.1
OG0000546	WP_160585684.1	WP_094521733.1
OG0000552	WP_404924304.1	WP_094521504.1
OG0000553	WP_404924267.1	WP_094521781.1
OG0000554	WP_404924240.1	WP_094521706.1
OG0000557	WP_146379545.1	WP_011205983.1
OG0000558	WP_404924432.1	WP_094521614.1
OG0000559	WP_011206161.1	WP_014579758.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_011290073.1	WP_094521603.1
OG0000562	WP_146379618.1	WP_094521660.1
OG0000563	WP_160587877.1	WP_094521772.1
OG0000564	WP_041361605.1	WP_094521768.1
OG0000565	WP_011290181.1	WP_094521671.1
OG0000566	WP_404924480.1	WP_094521668.1
OG0000568	WP_044272325.1	WP_011206097.1
OG0000569	WP_404924433.1	WP_094521615.1
OG0000570	WP_011290093.1	WP_094521616.1
OG0000571	WP_011205986.1	WP_094521617.1
OG0000572	WP_160585558.1	WP_094521618.1
OG0000573	WP_404924463.1	WP_094521647.1
OG0000574	WP_014579714.1	WP_014579714.1
OG0000575	WP_146379542.1	WP_094521612.1
OG0000576	WP_011290145.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011206325.1
OG0000579	WP_146379623.1	WP_094521659.1
OG0000580	WP_041361798.1	WP_041361798.1
OG0000581	WP_404924473.1	WP_094521657.1
OG0000584	WP_160584947.1	WP_094521568.1
OG0000585	WP_146379626.1	WP_094521689.1
OG0000588	WP_404924457.1	WP_094521644.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000590	WP_404924380.1	WP_094521561.1
OG0000595	WP_404924292.1	WP_094521746.1
OG0000597	WP_404924291.1	WP_094521784.1
OG0000600	WP_160584945.1	WP_094521558.1, WP_094521490.1
OG0000603	WP_135618745.1	WP_014579683.1, WP_011206361.1, WP_094521557.1
OG0000608	WP_404924474.1	WP_157696716.1, WP_157696715.1, WP_094521664.1, WP_094521661.1
OG0000613	WP_225972966.1	WP_094521672.1
OG0000616	WP_011206358.1	WP_011206358.1
OG0000620	WP_143826160.1	WP_143826160.1
OG0000624	WP_041361696.1	WP_041361696.1
OG0000642	WP_160584953.1	WP_157696709.1
