Orthogroup	MFC_MF30_proteins	MHP_Ue273_proteins
OG0000113	WP_002557528.1	WP_347952226.1
OG0000114	WP_002557530.1	WP_347952224.1
OG0000115	WP_160583957.1	WP_011284183.1
OG0000116	WP_002557534.1	WP_347952415.1
OG0000117	WP_002557535.1	WP_347952416.1
OG0000118	WP_160605524.1	WP_179696056.1
OG0000119	WP_160605526.1	WP_135618686.1
OG0000120	WP_160581189.1	WP_011284027.1
OG0000121	WP_002557548.1	WP_011284032.1
OG0000122	WP_002557549.1	WP_020835643.1
OG0000123	WP_160581199.1	WP_011205954.1
OG0000124	WP_002557554.1	WP_347952423.1
OG0000125	WP_002557555.1	WP_347952424.1
OG0000126	WP_160605532.1	WP_011290120.1
OG0000127	WP_160583976.1	WP_011290122.1
OG0000128	WP_160605625.1	WP_347952426.1
OG0000129	WP_002557563.1	WP_014579732.1
OG0000130	WP_160593526.1	WP_011284046.1
OG0000131	WP_002557566.1	WP_146379566.1
OG0000132	WP_002557569.1	WP_011205939.1
OG0000133	WP_002557574.1	WP_014579589.1
OG0000134	WP_160605314.1	WP_347952377.1
OG0000135	WP_002557577.1	WP_347952378.1
OG0000136	WP_160605316.1	WP_347952379.1
OG0000137	WP_160583687.1	WP_011206113.1
OG0000138	WP_002557590.1	WP_160584793.1
OG0000139	WP_002557594.1	WP_011290017.1
OG0000140	WP_002557595.1	WP_011206101.1
OG0000141	WP_002557602.1	WP_146379698.1
OG0000142	WP_002557603.1	WP_011284289.1
OG0000143	WP_160580880.1	WP_011206391.1
OG0000144	WP_160605328.1	WP_020835844.1
OG0000145	WP_002557611.1	WP_228365394.1
OG0000146	WP_002557613.1	WP_011206385.1
OG0000147	WP_002557614.1	WP_011206384.1
OG0000148	WP_160583667.1	WP_135619012.1
OG0000149	WP_002557620.1	WP_011290331.1
OG0000150	WP_002557623.1	WP_011206376.1
OG0000151	WP_160580918.1	WP_020835828.1
OG0000152	WP_160605342.1	WP_280996773.1
OG0000153	WP_160605344.1	WP_160615699.1
OG0000154	WP_160580926.1	WP_011206345.1
OG0000155	WP_160605350.1	WP_020835820.1
OG0000156	WP_160583648.1	WP_179221181.1
OG0000157	WP_160583646.1	WP_011206334.1
OG0000158	WP_160605356.1	WP_347952256.1
OG0000159	WP_002557667.1	WP_011206289.1
OG0000160	WP_002557668.1	WP_179221158.1
OG0000161	WP_160603116.1	WP_014579880.1
OG0000162	WP_160605651.1, WP_160581406.1	WP_347952489.1
OG0000163	WP_160581408.1	WP_347952237.1
OG0000164	WP_160581414.1	WP_347952440.1
OG0000165	WP_002557684.1	WP_011206200.1
OG0000166	WP_160605426.1	WP_347952199.1
OG0000167	WP_160581429.1	WP_011206207.1
OG0000168	WP_160605430.1	WP_160606591.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_160603210.1	WP_020835862.1
OG0000171	WP_002557706.1	WP_146379717.1
OG0000172	WP_002557707.1	WP_347952285.1
OG0000173	WP_002557708.1	WP_347952286.1
OG0000174	WP_160605538.1	WP_160600929.1
OG0000175	WP_160605541.1	WP_160585645.1
OG0000176	WP_160593449.1	WP_347952289.1
OG0000177	WP_160581270.1	WP_347952290.1
OG0000178	WP_002557721.1	WP_044272620.1
OG0000179	WP_002557724.1	WP_160585639.1
OG0000180	WP_002557725.1	WP_160585638.1
OG0000181	WP_039387691.1	WP_020835888.1
OG0000182	WP_002557729.1	WP_011206453.1
OG0000183	WP_002557735.1	WP_011206459.1
OG0000184	WP_160605633.1	WP_011290401.1
OG0000185	WP_002557743.1	WP_347952304.1
OG0000186	WP_160603234.1	WP_347952429.1
OG0000187	WP_002557753.1	WP_011284055.1
OG0000188	WP_002557755.1	WP_011205932.1
OG0000189	WP_160605456.1	WP_347952219.1
OG0000190	WP_160605458.1	WP_011206256.1
OG0000191	WP_255454511.1	WP_020835755.1
OG0000192	WP_160605464.1	WP_347952483.1
OG0000193	WP_002557766.1	WP_094521610.1
OG0000194	WP_002557768.1	WP_011283923.1
OG0000195	WP_002557769.1	WP_011290024.1
OG0000196	WP_160581303.1	WP_347952385.1
OG0000197	WP_160605466.1	WP_041361572.1
OG0000198	WP_160605468.1	WP_011283930.1
OG0000199	WP_002557779.1	WP_011206086.1
OG0000200	WP_002557781.1	WP_020835575.1
OG0000201	WP_160605470.1	WP_011283934.1
OG0000202	WP_160605476.1	WP_011283943.1
OG0000203	WP_160583979.1	WP_011206072.1
OG0000204	WP_160605479.1	WP_146379508.1
OG0000205	WP_002557794.1	WP_014579632.1
OG0000206	WP_002557798.1	WP_011206066.1
OG0000207	WP_002557801.1	WP_011283951.1
OG0000208	WP_002557802.1	WP_011283952.1
OG0000209	WP_002557803.1	WP_011206061.1
OG0000210	WP_160581347.1	WP_135618604.1
OG0000211	WP_002557813.1	WP_011290054.1
OG0000212	WP_002557815.1	WP_011206048.1
OG0000213	WP_002557816.1	WP_011283963.1
OG0000214	WP_002557817.1	WP_011206047.1
OG0000215	WP_002557818.1	WP_011206046.1
OG0000216	WP_160581343.1	WP_011283965.1
OG0000217	WP_160605481.1	WP_160585731.1
OG0000218	WP_160605485.1	WP_011290058.1
OG0000219	WP_160603160.1	WP_011206041.1
OG0000220	WP_002557824.1	WP_020835592.1
OG0000221	WP_002557825.1	WP_011206039.1
OG0000222	WP_002557826.1	WP_011206038.1
OG0000223	WP_002557827.1	WP_041361589.1
OG0000224	WP_002557829.1	WP_011206035.1
OG0000225	WP_002557831.1	WP_160585734.1
OG0000226	WP_002557832.1	WP_011206032.1
OG0000227	WP_002557833.1	WP_011206031.1
OG0000228	WP_002557834.1	WP_041361593.1
OG0000229	WP_002557835.1	WP_011206028.1
OG0000230	WP_002557836.1	WP_011206027.1
OG0000231	WP_002557838.1	WP_011206025.1
OG0000232	WP_002557840.1	WP_014579601.1
OG0000233	WP_160605487.1	WP_011290071.1
OG0000234	WP_002557848.1	WP_347952402.1
OG0000235	WP_002557850.1	WP_243216014.1
OG0000236	WP_160581215.1	WP_011283989.1
OG0000237	WP_160583882.1	WP_347952403.1
OG0000238	WP_160605501.1	WP_011206006.1
OG0000239	WP_160583887.1	WP_011290347.1
OG0000240	WP_002557864.1	WP_160585227.1
OG0000241	WP_002557866.1	WP_044284696.1
OG0000242	WP_002557867.1	WP_347952271.1
OG0000243	WP_002557868.1	WP_160585630.1
OG0000244	WP_002557870.1	WP_011206406.1
OG0000245	WP_002557872.1	WP_347952272.1
OG0000246	WP_002557875.1	WP_050195463.1
OG0000247	WP_160593344.1	WP_347952349.1
OG0000248	WP_160583743.1	WP_014579535.1
OG0000249	WP_160605570.1	WP_347952350.1
OG0000250	WP_002557886.1	WP_011289957.1
OG0000251	WP_002557891.1	WP_347952354.1
OG0000252	WP_160581051.1	WP_011205883.1
OG0000253	WP_160605282.1	WP_347952355.1
OG0000254	WP_160605284.1	WP_347952356.1
OG0000255	WP_002557898.1	WP_014579550.1
OG0000256	WP_002557899.1	WP_011205889.1
OG0000257	WP_002557904.1	WP_011289973.1
OG0000258	WP_160605290.1	WP_011289974.1
OG0000259	WP_160581036.1	WP_347952363.1
OG0000260	WP_160605298.1	WP_347952364.1
OG0000261	WP_160605302.1	WP_347952366.1
OG0000262	WP_002557919.1	WP_135618519.1
OG0000263	WP_002557922.1	WP_011283885.1
OG0000264	WP_160581017.1	WP_011283887.1
OG0000265	WP_002557927.1	WP_146379476.1
OG0000266	WP_002557930.1	WP_347952368.1
OG0000267	WP_160581015.1	WP_347952369.1
OG0000268	WP_160583705.1	WP_146379478.1
OG0000269	WP_160583703.1	WP_160608050.1
OG0000270	WP_160605574.1	WP_347952322.1
OG0000271	WP_002557946.1	WP_160588152.1
OG0000272	WP_002557947.1	WP_146379758.1
OG0000273	WP_002557948.1	WP_011206502.1
OG0000274	WP_160605591.1	WP_347952320.1
OG0000275	WP_039387710.1	WP_228366117.1
OG0000276	WP_002557954.1	WP_011290421.1
OG0000277	WP_160581382.1	WP_347952317.1
OG0000278	WP_160581384.1	WP_011206493.1
OG0000279	WP_002557959.1	WP_011290418.1
OG0000280	WP_002557960.1	WP_094521520.1
OG0000281	WP_002557961.1	WP_014580012.1
OG0000282	WP_160605597.1	WP_347952314.1
OG0000283	WP_002557965.1	WP_014580009.1
OG0000284	WP_002557966.1	WP_347952313.1
OG0000285	WP_002557967.1	WP_347952312.1
OG0000286	WP_160605389.1	WP_347952236.1
OG0000287	WP_160605383.1	WP_347952242.1
OG0000288	WP_002557980.1	WP_011206299.1
OG0000289	WP_160605379.1	WP_347952244.1
OG0000290	WP_160605363.1	WP_011290297.1
OG0000291	WP_002558005.1	WP_011206320.1
OG0000292	WP_002558006.1	WP_044284681.1
OG0000293	WP_002558007.1	WP_020835805.1
OG0000294	WP_160605367.1	WP_146379669.1
OG0000295	WP_160580958.1	WP_011206315.1
OG0000296	WP_160580964.1	WP_044272552.1
OG0000297	WP_160580966.1	WP_020835798.1
OG0000298	WP_160605278.1	WP_347952352.1
OG0000299	WP_039387487.1	WP_094521545.1
OG0000300	WP_039387496.1	WP_041361533.1
OG0000301	WP_039387501.1	WP_011283891.1
OG0000302	WP_039387504.1	WP_014579576.1
OG0000303	WP_160580856.1	WP_146379484.1
OG0000304	WP_160580864.1	WP_347952395.1
OG0000305	WP_160605330.1	WP_020835841.1
OG0000306	WP_160583660.1	WP_044272563.1
OG0000307	WP_160580924.1	WP_044284687.1
OG0000308	WP_160605361.1	WP_020835811.1
OG0000309	WP_039387539.1	WP_011206313.1
OG0000310	WP_160605381.1	WP_347952243.1
OG0000311	WP_039387548.1	WP_011206293.1
OG0000312	WP_160605402.1	WP_347952239.1
OG0000313	WP_039387554.1	WP_011206141.1
OG0000314	WP_160605424.1	WP_347952198.1
OG0000315	WP_160581431.1	WP_160606593.1
OG0000316	WP_160605432.1	WP_347952202.1
OG0000317	WP_160605615.1	WP_135618864.1
OG0000318	WP_160605629.1	WP_347952203.1
OG0000319	WP_039387606.1	WP_044272490.1
OG0000320	WP_160605516.1	WP_347952228.1
OG0000321	WP_039387610.1	WP_011205969.1
OG0000322	WP_039387613.1	WP_020835642.1
OG0000323	WP_039387619.1	WP_347952484.1
OG0000324	WP_160605462.1	WP_094521693.1
OG0000325	WP_039387628.1	WP_011206094.1
OG0000326	WP_039387636.1	WP_160600880.1
OG0000327	WP_039387638.1	WP_011206076.1
OG0000328	WP_039387644.1	WP_220200845.1
OG0000329	WP_039387648.1	WP_347952392.1
OG0000330	WP_160605489.1	WP_347952399.1
OG0000331	WP_039387665.1	WP_135619040.1
OG0000332	WP_160605543.1	WP_011290372.1
OG0000333	WP_160605544.1	WP_011206433.1
OG0000334	WP_039387693.1	WP_020835889.1
OG0000335	WP_160605548.1	WP_041361699.1
OG0000336	WP_039387704.1	WP_011206488.1
OG0000337	WP_160581112.1	WP_011284387.1
OG0000338	WP_039387723.1	WP_347952338.1
OG0000339	WP_160605518.1	WP_347952223.1
OG0000340	WP_039387777.1	WP_146379551.1
OG0000341	WP_039387782.1	WP_160590303.1
OG0000342	WP_039387785.1	WP_011290029.1
OG0000343	WP_039387808.1	WP_011206435.1
OG0000344	WP_051054279.1	WP_052269168.1
OG0000345	WP_051054304.1	WP_014579611.1
OG0000346	WP_081605287.1	WP_232039558.1
OG0000347	WP_081605280.1	WP_011205955.1
OG0000348	WP_160605474.1	WP_347952390.1
OG0000349	WP_155897264.1	WP_160588173.1
OG0000350	WP_201771011.1	WP_347952261.1
OG0000351	WP_220190748.1	WP_347952371.1
OG0000352	WP_220190755.1	WP_347952480.1
OG0000353	WP_308705452.1	WP_347952420.1
OG0000354	WP_220190750.1	WP_308507047.1
OG0000355	WP_231237866.1	WP_347952478.1
OG0000356	WP_308705446.1	WP_347952201.1
OG0000357	WP_160605540.1	WP_228366113.1
OG0000358	WP_002557711.1	WP_347952287.1
OG0000359	WP_308705450.1	WP_347952388.1
OG0000360	WP_231237879.1	WP_225973008.1
OG0000361	WP_258555097.1	WP_347952362.1
OG0000362	WP_255454460.1	WP_160600961.1
OG0000363	WP_334199004.1	WP_232039606.1
OG0000365	WP_160605631.1	WP_347952205.1
OG0000366	WP_160581449.1	WP_011206224.1
OG0000367	WP_160605613.1	WP_225973040.1
OG0000368	WP_160605564.1	WP_011289935.1
OG0000369	WP_039387473.1	WP_011289930.1
OG0000370	WP_002557476.1	WP_044272260.1
OG0000371	WP_002557477.1	WP_044272256.1
OG0000372	WP_002557478.1	WP_160588106.1
OG0000373	WP_160605556.1	WP_347952336.1
OG0000374	WP_160605554.1	WP_347952334.1
OG0000375	WP_002557511.1	WP_011284163.1
OG0000376	WP_160605512.1	WP_146379646.1
OG0000377	WP_160581167.1	WP_041361661.1
OG0000378	WP_160605520.1	WP_347952414.1
OG0000379	WP_002557546.1	WP_347952419.1
OG0000380	WP_002557550.1	WP_347952422.1
OG0000382	WP_160605627.1	WP_347952427.1
OG0000383	WP_002557567.1	WP_014579735.1
OG0000384	WP_160605310.1	WP_041361727.1
OG0000385	WP_160605312.1	WP_347952375.1
OG0000386	WP_002557576.1	WP_011206121.1
OG0000387	WP_160605318.1	WP_347952380.1
OG0000388	WP_160605320.1	WP_347952381.1
OG0000389	WP_002557589.1	WP_135618561.1
OG0000390	WP_160580882.1	WP_011206390.1
OG0000391	WP_002557610.1	WP_020835843.1
OG0000392	WP_160580892.1	WP_160584971.1
OG0000393	WP_160605338.1	WP_347952264.1
OG0000394	WP_160605346.1	WP_347952259.1
OG0000395	WP_160605348.1	WP_347952258.1
OG0000396	WP_002557673.1	WP_020835781.1
OG0000397	WP_160605412.1	WP_011206196.1
OG0000398	WP_160605414.1	WP_146379611.1
OG0000399	WP_220190081.1	WP_347952200.1
OG0000400	WP_160603208.1	WP_347952283.1
OG0000401	WP_160581263.1	WP_011206432.1
OG0000402	WP_002557715.1	WP_020835872.1
OG0000403	WP_160605545.1	WP_187145658.1
OG0000404	WP_160605546.1	WP_160585640.1
OG0000405	WP_160605547.1	WP_347952291.1
OG0000406	WP_002557731.1	WP_020835892.1
OG0000407	WP_160583916.1	WP_347952298.1
OG0000408	WP_160605549.1	WP_011206457.1
OG0000409	WP_002557734.1	WP_011206458.1
OG0000410	WP_002557739.1	WP_011206469.1
OG0000411	WP_160605635.1	WP_146379742.1
OG0000412	WP_002557742.1	WP_011290399.1
OG0000413	WP_002557749.1	WP_347952428.1
OG0000414	WP_002557751.1	WP_011284053.1
OG0000415	WP_160603232.1	WP_347952430.1
OG0000416	WP_002557754.1	WP_160601243.1
OG0000417	WP_160605460.1	WP_347952218.1
OG0000418	WP_002557760.1	WP_347952217.1
OG0000419	WP_002557773.1	WP_020835572.1
OG0000420	WP_002557780.1	WP_347952386.1
OG0000421	WP_002557784.1	WP_011290034.1
OG0000422	WP_160581307.1	WP_347952389.1
OG0000423	WP_002557796.1	WP_011206068.1
OG0000424	WP_160581357.1	WP_011206067.1
OG0000425	WP_002557799.1	WP_011283949.1
OG0000426	WP_002557800.1	WP_011283950.1
OG0000427	WP_002557805.1	WP_347952391.1
OG0000428	WP_160581348.1	WP_135618601.1
OG0000429	WP_160581337.1	WP_011206036.1
OG0000430	WP_002557837.1	WP_347952394.1
OG0000431	WP_002557839.1	WP_011290067.1
OG0000432	WP_160603164.1	WP_347952398.1
OG0000433	WP_002557845.1	WP_011206014.1
OG0000434	WP_160583871.1	WP_044284602.1
OG0000435	WP_002557849.1	WP_011290077.1
OG0000436	WP_002557857.1	WP_011206005.1
OG0000438	WP_160605495.1	WP_347952404.1
OG0000439	WP_160603176.1	WP_020835619.1
OG0000440	WP_160583891.1	WP_160585229.1
OG0000441	WP_002557873.1	WP_347952273.1
OG0000442	WP_002557876.1	WP_347952348.1
OG0000443	WP_160581057.1	WP_044272282.1
OG0000444	WP_002557890.1	WP_011205880.1
OG0000445	WP_002557895.1	WP_044284571.1
OG0000446	WP_002557901.1	WP_347952358.1
OG0000447	WP_160605288.1	WP_347952359.1
OG0000448	WP_160605292.1	WP_011289976.1
OG0000449	WP_002557912.1	WP_011289981.1
OG0000450	WP_160605300.1	WP_347952365.1
OG0000451	WP_002557923.1	WP_160584753.1
OG0000452	WP_002557928.1	WP_011205921.1
OG0000453	WP_002557934.1	WP_011283895.1
OG0000455	WP_160583788.1	WP_347952324.1
OG0000456	WP_160605595.1	WP_347952315.1
OG0000458	WP_002557977.1	WP_020835790.1
OG0000459	WP_002557982.1	WP_014579890.1
OG0000460	WP_160605377.1	WP_347952245.1
OG0000461	WP_160605369.1	WP_347952248.1
OG0000462	WP_160603085.1	WP_011284228.1
OG0000463	WP_002558014.1	WP_011206310.1
OG0000464	WP_160605371.1	WP_011206309.1
OG0000465	WP_160605373.1	WP_347952247.1
OG0000466	WP_039387498.1	WP_011205922.1
OG0000467	WP_220190751.1	WP_347952254.1
OG0000468	WP_160605428.1	WP_011290194.1
OG0000469	WP_039387592.1	WP_014579824.1
OG0000470	WP_039387641.1	WP_011206069.1
OG0000471	WP_039387651.1	WP_135618603.1
OG0000472	WP_160605607.1	WP_347952306.1
OG0000473	WP_039387713.1	WP_160588156.1
OG0000474	WP_039387714.1	WP_041361711.1
OG0000475	WP_220190796.1	WP_347952323.1
OG0000476	WP_039387719.1	WP_347952431.1
OG0000477	WP_039387750.1	WP_347952249.1
OG0000478	WP_160603144.1	WP_347952319.1
OG0000479	WP_160583965.1	WP_146379554.1
OG0000480	WP_169742226.1	WP_011206218.1
OG0000481	WP_308507115.1	WP_044272343.1
OG0000482	WP_334296058.1	WP_347952406.1
OG0000483	WP_236681784.1	WP_347952210.1
OG0000484	WP_308705441.1	WP_347952353.1
OG0000485	WP_039387661.1	WP_020835615.1
OG0000486	WP_258555124.1	WP_160585249.1
OG0000487	WP_052234586.1	WP_220191052.1
OG0000488	WP_160581452.1	WP_347952207.1
OG0000489	WP_160581091.1	WP_011205849.1
OG0000490	WP_002557481.1	WP_347952337.1
OG0000491	WP_002557542.1	WP_020835639.1
OG0000492	WP_160605530.1	WP_094521628.1
OG0000493	WP_160580862.1	WP_146379488.1
OG0000494	WP_160580870.1	WP_052269169.1
OG0000495	WP_002557622.1	WP_011284272.1
OG0000496	WP_160605336.1	WP_011206375.1
OG0000497	WP_002557625.1	WP_011206374.1
OG0000498	WP_002557639.1	WP_011290314.1
OG0000499	WP_160605354.1	WP_020835817.1
OG0000500	WP_160605416.1	WP_347952479.1
OG0000501	WP_160605536.1	WP_347952284.1
OG0000502	WP_160583987.1	WP_347952405.1
OG0000503	WP_002557782.1	WP_020835576.1
OG0000504	WP_160583855.1	WP_011283955.1
OG0000505	WP_160581345.1	WP_011290053.1
OG0000506	WP_002557814.1	WP_011206049.1
OG0000507	WP_160605483.1	WP_020835590.1
OG0000508	WP_160605286.1	WP_044272682.1
OG0000509	WP_220190747.1	WP_020835518.1
OG0000510	WP_160605294.1	WP_347952361.1
OG0000511	WP_002557935.1	WP_011206135.1
OG0000512	WP_160605375.1	WP_347952246.1
OG0000513	WP_160605593.1	WP_347952316.1
OG0000514	WP_160605332.1	WP_347952266.1
OG0000516	WP_308705462.1, WP_258555149.1	WP_146379601.1
OG0000517	WP_160581087.1	WP_011283834.1
OG0000518	WP_160605542.1	WP_160585644.1
OG0000519	WP_160605472.1	WP_020835579.1
OG0000520	WP_002557809.1	WP_135618599.1
OG0000521	WP_002557903.1	WP_347952360.1
OG0000523	WP_160605601.1	WP_347952311.1
OG0000524	WP_220190752.1	WP_347952253.1
OG0000525	WP_308705459.1	WP_347952307.1
OG0000528	WP_160581474.1	WP_347952204.1
OG0000529	WP_160583937.1	WP_014579831.1
OG0000530	WP_002557529.1	WP_347952225.1
OG0000531	WP_002557551.1	WP_020835645.1
OG0000533	WP_002557841.1	WP_011206110.1
OG0000534	WP_002557926.1	WP_160615517.1
OG0000535	WP_160605560.1	WP_347952340.1
OG0000536	WP_160605588.1	WP_347952329.1
OG0000537	WP_002557776.1	WP_011290028.1
OG0000538	WP_160605491.1	WP_347952401.1
OG0000539	WP_002557892.1	WP_160585545.1
OG0000540	WP_160605365.1	WP_347952250.1
OG0000541	WP_160603067.1	WP_347952257.1
OG0000542	WP_160581026.1	WP_011289986.1
OG0000547	WP_160580878.1	WP_011290341.1
OG0000548	WP_160605406.1	WP_347952439.1
OG0000549	WP_160605609.1	WP_347952305.1
OG0000550	WP_160603142.1	WP_347952321.1
OG0000596	WP_160605568.1	WP_014579752.1
OG0000598	WP_160605566.1	WP_347952458.1
OG0000599	WP_039387482.1	WP_011206170.1
OG0000602	WP_220190799.1	WP_347952206.1
