Orthogroup	MFC_MF30_proteins	MHP_TB1_proteins
OG0000445	WP_002557895.1	WP_014579547.1
OG0000446	WP_002557901.1	WP_014579552.1
OG0000447	WP_160605288.1	WP_014579553.1
OG0000448	WP_160605292.1	WP_044277955.1
OG0000449	WP_002557912.1	WP_014579563.1
OG0000450	WP_160605300.1	WP_044277956.1
OG0000451	WP_002557923.1	WP_088764576.1
OG0000452	WP_002557928.1	WP_011205921.1
OG0000453	WP_002557934.1	WP_252862127.1
OG0000455	WP_160583788.1	WP_088764580.1
OG0000456	WP_160605595.1	WP_011206487.1
OG0000457	WP_160605599.1	WP_014580006.1
OG0000458	WP_002557977.1	WP_014579888.1
OG0000459	WP_002557982.1	WP_014579890.1
OG0000460	WP_160605377.1	WP_014579891.1
OG0000461	WP_160605369.1	WP_016340234.1
OG0000462	WP_160603085.1	WP_014579898.1
OG0000463	WP_002558014.1	WP_252862140.1
OG0000464	WP_160605371.1	WP_044278026.1
OG0000465	WP_160605373.1	WP_014579895.1
OG0000467	WP_220190751.1	WP_088764589.1
OG0000468	WP_160605428.1	WP_014579812.1
OG0000469	WP_039387592.1	WP_014579824.1
OG0000470	WP_039387641.1	WP_011206069.1
OG0000471	WP_039387651.1	WP_014579622.1
OG0000472	WP_160605607.1	WP_044278039.1
OG0000473	WP_039387713.1	WP_014580023.1
OG0000474	WP_039387714.1	WP_252862132.1
OG0000475	WP_220190796.1	WP_044889046.1
OG0000476	WP_039387719.1	WP_014579742.1
OG0000477	WP_039387750.1	WP_014579903.1
OG0000478	WP_160603144.1	WP_011284367.1
OG0000479	WP_160583965.1	WP_014579718.1
OG0000480	WP_169742226.1	WP_011206218.1
OG0000481	WP_308507115.1	WP_044277969.1
OG0000482	WP_334296058.1	WP_088764624.1
OG0000483	WP_236681784.1	WP_014579841.1
OG0000484	WP_308705441.1	WP_228365405.1
OG0000485	WP_039387661.1	WP_014579671.1
OG0000486	WP_258555124.1	WP_044278009.1
OG0000487	WP_052234586.1	WP_233417346.1
OG0000488	WP_160581452.1	WP_014579846.1
OG0000489	WP_160581091.1	WP_011205849.1
OG0000490	WP_002557481.1	WP_014580050.1
OG0000491	WP_002557542.1	WP_014579721.1
OG0000492	WP_160605530.1	WP_252862143.1
OG0000493	WP_160580862.1	WP_044277961.1
OG0000494	WP_160580870.1	WP_252862194.1
OG0000495	WP_002557622.1	WP_011284272.1
OG0000497	WP_002557625.1	WP_252862148.1
OG0000498	WP_002557639.1	WP_011290314.1
OG0000499	WP_160605354.1	WP_011206333.1
OG0000500	WP_160605416.1	WP_014579806.1
OG0000501	WP_160605536.1	WP_014579965.1
OG0000502	WP_160583987.1	WP_014579694.1
OG0000503	WP_002557782.1	WP_252862154.1
OG0000504	WP_160583855.1	WP_088764595.1
OG0000505	WP_160581345.1	WP_044277964.1
OG0000506	WP_002557814.1	WP_088764615.1
OG0000507	WP_160605483.1	WP_011206043.1
OG0000508	WP_160605286.1	WP_044277952.1
OG0000509	WP_220190747.1	WP_252862123.1
OG0000510	WP_160605294.1	WP_014579560.1
OG0000511	WP_002557935.1	WP_011206135.1
OG0000512	WP_160605375.1	WP_014579892.1
OG0000513	WP_160605593.1	WP_014580015.1
OG0000514	WP_160605332.1	WP_014579941.1
OG0000516	WP_308705462.1, WP_258555149.1	WP_014579821.1
OG0000517	WP_160581087.1	WP_011283834.1
OG0000518	WP_160605542.1	WP_014579970.1
OG0000519	WP_160605472.1	WP_014579639.1
OG0000520	WP_002557809.1	WP_011283957.1
OG0000521	WP_002557903.1	WP_014579554.1
OG0000522	WP_160605296.1	WP_011205899.1
OG0000523	WP_160605601.1	WP_088764582.1
OG0000524	WP_220190752.1	WP_252862136.1
OG0000525	WP_308705459.1	WP_014579999.1
OG0000528	WP_160581474.1	WP_014579822.1
OG0000529	WP_160583937.1	WP_014579831.1
OG0000530	WP_002557529.1	WP_011284186.1
OG0000531	WP_002557551.1	WP_011205956.1
OG0000533	WP_002557841.1	WP_011206110.1
OG0000535	WP_160605560.1	WP_252862157.1
OG0000536	WP_160605588.1	WP_088764579.1
OG0000537	WP_002557776.1	WP_011206089.1
OG0000538	WP_160605491.1	WP_252862167.1
OG0000539	WP_002557892.1	WP_011205882.1
OG0000540	WP_160605365.1	WP_252862139.1
OG0000541	WP_160603067.1	WP_088764588.1
OG0000542	WP_160581026.1	WP_011289986.1
OG0000547	WP_160580878.1	WP_014579948.1
OG0000548	WP_160605406.1	WP_014579777.1
OG0000549	WP_160605609.1	WP_088764583.1
OG0000550	WP_160603142.1	WP_252862133.1
OG0000551	WP_231237875.1	WP_011206407.1
OG0000555	WP_258555108.1	WP_014579949.1
OG0000596	WP_160605568.1	WP_014579752.1
OG0000598	WP_160605566.1	WP_020835684.1
OG0000599	WP_039387482.1	WP_014579750.1
