Orthogroup	MHP_154B_genes	MHP_NCTC10127_genes
OG0000041	NB624_RS01010	EXC50_RS03415
OG0000042	NB624_RS03095	EXC50_RS01780
OG0000043	NB624_RS01920	EXC50_RS00860
OG0000044	NB624_RS01675	EXC50_RS04255
OG0000044	NB624_RS01795	EXC50_RS00745
OG0000045	NB624_RS01610	EXC50_RS00570
OG0000046	NB624_RS03445, NB624_RS03450	EXC50_RS02130
OG0000047	NB624_RS02085	EXC50_RS00500
OG0000048	NB624_RS02205	EXC50_RS01040
OG0000049	NB624_RS03210	EXC50_RS01890
OG0000050	NB624_RS02595	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295
OG0000051	NB624_RS02825	EXC50_RS01500
OG0000052	NB624_RS00075	EXC50_RS00075
OG0000053	NB624_RS01440	EXC50_RS02640
OG0000054	NB624_RS02620	EXC50_RS03835, EXC50_RS01320, EXC50_RS04250
OG0000055	NB624_RS00130	EXC50_RS00135
OG0000056	NB624_RS03675	EXC50_RS02375
OG0000057	NB624_RS03080	EXC50_RS01765
OG0000058	NB624_RS02155	EXC50_RS03810
OG0000059	NB624_RS02140, NB624_RS02130, NB624_RS02145	EXC50_RS02510
OG0000061	NB624_RS01865	EXC50_RS00525
OG0000062	NB624_RS03725	EXC50_RS02425
OG0000063	NB624_RS03720	EXC50_RS02420
OG0000064	NB624_RS03710	EXC50_RS02410
OG0000065	NB624_RS02385	EXC50_RS01100
OG0000066	NB624_RS01345	EXC50_RS02735
OG0000067	NB624_RS00520	EXC50_RS03560
OG0000068	NB624_RS01035	EXC50_RS03440
OG0000069	NB624_RS02975	EXC50_RS01655
OG0000070	NB624_RS02625	EXC50_RS03840, EXC50_RS01325
OG0000071	NB624_RS03430	EXC50_RS02110
OG0000072	NB624_RS03435	EXC50_RS02115
OG0000073	NB624_RS00975	EXC50_RS03380
OG0000074	NB624_RS00775	EXC50_RS03185
OG0000075	NB624_RS00340	EXC50_RS00355
OG0000076	NB624_RS00355	EXC50_RS00370
OG0000077	NB624_RS00440	EXC50_RS03640
OG0000079	NB624_RS02715	EXC50_RS01405
OG0000080	NB624_RS02770	EXC50_RS03930
OG0000081	NB624_RS00335	EXC50_RS00350
OG0000083	NB624_RS02025	EXC50_RS00965
OG0000084	NB624_RS02055	EXC50_RS00990
OG0000085	NB624_RS02060	EXC50_RS00995
OG0000086	NB624_RS02170	EXC50_RS01005
OG0000087	NB624_RS02185	EXC50_RS01020
OG0000088	NB624_RS02190	EXC50_RS01025
OG0000089	NB624_RS02200	EXC50_RS01035
OG0000090	NB624_RS00070	EXC50_RS00070
OG0000091	NB624_RS00055	EXC50_RS00055
OG0000092	NB624_RS00045	EXC50_RS00040
OG0000093	NB624_RS00035	EXC50_RS00035
OG0000094	NB624_RS00030	EXC50_RS00030
OG0000095	NB624_RS00005	EXC50_RS00005
OG0000096	NB624_RS03760	EXC50_RS02460
OG0000097	NB624_RS03740	EXC50_RS02440
OG0000098	NB624_RS03730	EXC50_RS02430
OG0000099	NB624_RS03680	EXC50_RS02380
OG0000100	NB624_RS03670	EXC50_RS02365
OG0000101	NB624_RS03660	EXC50_RS02360
OG0000102	NB624_RS01705	EXC50_RS00660
OG0000103	NB624_RS02350	EXC50_RS01065
OG0000104	NB624_RS02355	EXC50_RS01070
OG0000105	NB624_RS02370	EXC50_RS01085
OG0000106	NB624_RS02380	EXC50_RS01095
OG0000107	NB624_RS02390	EXC50_RS01105
OG0000108	NB624_RS02395	EXC50_RS01110
OG0000109	NB624_RS02400	EXC50_RS01115
OG0000110	NB624_RS02525	EXC50_RS01240
OG0000111	NB624_RS02520	EXC50_RS01235
OG0000112	NB624_RS02510	EXC50_RS01225
OG0000113	NB624_RS02490	EXC50_RS01205
OG0000114	NB624_RS02485	EXC50_RS01195
OG0000115	NB624_RS02470	EXC50_RS01180
OG0000116	NB624_RS01290	EXC50_RS02790
OG0000117	NB624_RS01295	EXC50_RS02785
OG0000118	NB624_RS01330	EXC50_RS02750
OG0000119	NB624_RS01335	EXC50_RS02745
OG0000120	NB624_RS01350	EXC50_RS02730
OG0000121	NB624_RS01375	EXC50_RS02705
OG0000122	NB624_RS01380	EXC50_RS02700
OG0000123	NB624_RS01400	EXC50_RS02680
OG0000124	NB624_RS01405	EXC50_RS02675
OG0000125	NB624_RS01410	EXC50_RS02670
OG0000126	NB624_RS01420	EXC50_RS02660
OG0000127	NB624_RS01430	EXC50_RS02650
OG0000128	NB624_RS01445	EXC50_RS02635
OG0000129	NB624_RS01450	EXC50_RS02630
OG0000130	NB624_RS01460	EXC50_RS02620
OG0000131	NB624_RS01490	EXC50_RS02590
OG0000132	NB624_RS01505	EXC50_RS02575
OG0000133	NB624_RS00525	EXC50_RS03555
OG0000134	NB624_RS00530	EXC50_RS03550
OG0000135	NB624_RS00545	EXC50_RS03535
OG0000136	NB624_RS00550	EXC50_RS03530
OG0000137	NB624_RS00580	EXC50_RS03500
OG0000138	NB624_RS01060	EXC50_RS03465
OG0000139	NB624_RS01030	EXC50_RS03435
OG0000140	NB624_RS01025	EXC50_RS03430
OG0000141	NB624_RS03090	EXC50_RS01775
OG0000142	NB624_RS03085	EXC50_RS01770
OG0000143	NB624_RS03070	EXC50_RS01745
OG0000144	NB624_RS03055	EXC50_RS01735
OG0000145	NB624_RS03045	EXC50_RS01725
OG0000146	NB624_RS03035	EXC50_RS01715
OG0000147	NB624_RS03030	EXC50_RS01710
OG0000148	NB624_RS03015	EXC50_RS01695
OG0000149	NB624_RS03005	EXC50_RS01685
OG0000150	NB624_RS02990	EXC50_RS01670
OG0000151	NB624_RS02945	EXC50_RS01625
OG0000152	NB624_RS02940	EXC50_RS01620
OG0000153	NB624_RS02935	EXC50_RS01615
OG0000154	NB624_RS02925	EXC50_RS01605
OG0000155	NB624_RS02885	EXC50_RS01565
OG0000156	NB624_RS02880	EXC50_RS01555
OG0000157	NB624_RS02870	EXC50_RS01550
OG0000158	NB624_RS02860	EXC50_RS04235
OG0000159	NB624_RS02610	EXC50_RS03825
OG0000160	NB624_RS02605	EXC50_RS03820
OG0000161	NB624_RS02600	EXC50_RS03815
OG0000162	NB624_RS02590	EXC50_RS01290
OG0000163	NB624_RS02585	EXC50_RS01285
OG0000164	NB624_RS01600	EXC50_RS00550
OG0000165	NB624_RS01945	EXC50_RS00885
OG0000166	NB624_RS01965	EXC50_RS00905
OG0000167	NB624_RS01980	EXC50_RS00920
OG0000168	NB624_RS01985	EXC50_RS00925
OG0000169	NB624_RS03205	EXC50_RS01885
OG0000170	NB624_RS03220	EXC50_RS01900
OG0000171	NB624_RS03230	EXC50_RS01910
OG0000172	NB624_RS03235	EXC50_RS01915
OG0000173	NB624_RS03240	EXC50_RS01920
OG0000174	NB624_RS03245	EXC50_RS01925
OG0000175	NB624_RS03265	EXC50_RS01940
OG0000176	NB624_RS03315	EXC50_RS01990
OG0000177	NB624_RS03320	EXC50_RS01995
OG0000178	NB624_RS03325	EXC50_RS02000
OG0000179	NB624_RS03335	EXC50_RS02010
OG0000180	NB624_RS03340	EXC50_RS02015
OG0000181	NB624_RS03380	EXC50_RS02060
OG0000182	NB624_RS03390	EXC50_RS02070
OG0000183	NB624_RS03425	EXC50_RS02105
OG0000184	NB624_RS03470	EXC50_RS02150
OG0000185	NB624_RS03455	EXC50_RS02135
OG0000186	NB624_RS01515	EXC50_RS02565
OG0000187	NB624_RS01530	EXC50_RS02550
OG0000188	NB624_RS01540	EXC50_RS02540
OG0000189	NB624_RS02440	EXC50_RS01150
OG0000190	NB624_RS02435	EXC50_RS01145
OG0000191	NB624_RS02410	EXC50_RS01125
OG0000192	NB624_RS01205	EXC50_RS02870
OG0000193	NB624_RS01195	EXC50_RS02880
OG0000194	NB624_RS00990	EXC50_RS03395
OG0000195	NB624_RS00985	EXC50_RS03390
OG0000196	NB624_RS00960	EXC50_RS03370
OG0000197	NB624_RS00955	EXC50_RS03365
OG0000198	NB624_RS00940	EXC50_RS03350
OG0000199	NB624_RS00935	EXC50_RS03345
OG0000200	NB624_RS00920	EXC50_RS03330
OG0000201	NB624_RS00910	EXC50_RS03320
OG0000202	NB624_RS00855	EXC50_RS03265
OG0000203	NB624_RS00850	EXC50_RS03260
OG0000204	NB624_RS00845	EXC50_RS03255
OG0000205	NB624_RS00840	EXC50_RS03250
OG0000206	NB624_RS00820	EXC50_RS03230
OG0000207	NB624_RS00805	EXC50_RS03215
OG0000208	NB624_RS00800	EXC50_RS03210
OG0000209	NB624_RS00795	EXC50_RS03205
OG0000210	NB624_RS00750	EXC50_RS03160
OG0000211	NB624_RS00740	EXC50_RS03150
OG0000212	NB624_RS00730	EXC50_RS03140
OG0000213	NB624_RS00725	EXC50_RS03135
OG0000214	NB624_RS00720	EXC50_RS03130
OG0000215	NB624_RS00715	EXC50_RS03125
OG0000216	NB624_RS00710	EXC50_RS03120
OG0000217	NB624_RS00705	EXC50_RS03115
OG0000218	NB624_RS00695	EXC50_RS03105
OG0000219	NB624_RS00690	EXC50_RS03100
OG0000220	NB624_RS00685	EXC50_RS03095
OG0000221	NB624_RS00680	EXC50_RS03090
OG0000222	NB624_RS00675	EXC50_RS03085
OG0000223	NB624_RS00670	EXC50_RS03080
OG0000224	NB624_RS00660	EXC50_RS03070
OG0000225	NB624_RS00650	EXC50_RS03060
OG0000226	NB624_RS00645	EXC50_RS03055
OG0000227	NB624_RS00640	EXC50_RS03050
OG0000228	NB624_RS00635	EXC50_RS03045
OG0000229	NB624_RS00630	EXC50_RS03040
OG0000230	NB624_RS00625	EXC50_RS03035
OG0000231	NB624_RS00615	EXC50_RS03025
OG0000232	NB624_RS00605	EXC50_RS03015
OG0000233	NB624_RS01095	EXC50_RS02995
OG0000234	NB624_RS01130	EXC50_RS02960
OG0000235	NB624_RS01140	EXC50_RS02950
OG0000236	NB624_RS01145	EXC50_RS02945
OG0000237	NB624_RS01150	EXC50_RS02940
OG0000238	NB624_RS01155	EXC50_RS02930
OG0000239	NB624_RS03100	EXC50_RS01785
OG0000240	NB624_RS03105	EXC50_RS01790
OG0000241	NB624_RS03115	EXC50_RS01800
OG0000242	NB624_RS03120	EXC50_RS01805
OG0000243	NB624_RS03125	EXC50_RS01810
OG0000244	NB624_RS03135	EXC50_RS01820
OG0000245	NB624_RS03145	EXC50_RS01830
OG0000246	NB624_RS00140	EXC50_RS00140
OG0000247	NB624_RS00150	EXC50_RS00150
OG0000248	NB624_RS00160	EXC50_RS00160
OG0000249	NB624_RS00165	EXC50_RS00165
OG0000250	NB624_RS00180	EXC50_RS00180
OG0000251	NB624_RS00210	EXC50_RS00215
OG0000252	NB624_RS00220	EXC50_RS00225
OG0000253	NB624_RS00225	EXC50_RS00230
OG0000254	NB624_RS00235	EXC50_RS00240
OG0000255	NB624_RS00240	EXC50_RS00250
OG0000256	NB624_RS00245	EXC50_RS00255
OG0000257	NB624_RS00270	EXC50_RS00280
OG0000258	NB624_RS00280	EXC50_RS00290
OG0000259	NB624_RS00310	EXC50_RS00320
OG0000260	NB624_RS00320	EXC50_RS00330
OG0000261	NB624_RS00330	EXC50_RS00340
OG0000262	NB624_RS00350	EXC50_RS00360
OG0000263	NB624_RS00360	EXC50_RS00375
OG0000264	NB624_RS00375	EXC50_RS00390
OG0000265	NB624_RS00385	EXC50_RS00400
OG0000266	NB624_RS00400	EXC50_RS00420
OG0000267	NB624_RS00415	EXC50_RS00435
OG0000268	NB624_RS00420	EXC50_RS03665
OG0000269	NB624_RS00435	EXC50_RS03650
OG0000270	NB624_RS03635	EXC50_RS02335
OG0000271	NB624_RS03630	EXC50_RS02330
OG0000272	NB624_RS03625	EXC50_RS02325
OG0000273	NB624_RS03620	EXC50_RS02320
OG0000274	NB624_RS03605	EXC50_RS02300
OG0000275	NB624_RS03595	EXC50_RS02295
OG0000276	NB624_RS03590	EXC50_RS02290
OG0000277	NB624_RS03580	EXC50_RS02280
OG0000278	NB624_RS03575	EXC50_RS02275
OG0000279	NB624_RS03565	EXC50_RS02265
OG0000280	NB624_RS03560	EXC50_RS02260
OG0000281	NB624_RS03555	EXC50_RS02255
OG0000282	NB624_RS03530	EXC50_RS02230
OG0000283	NB624_RS03525	EXC50_RS02225
OG0000284	NB624_RS03520	EXC50_RS02220
OG0000285	NB624_RS03515	EXC50_RS02215
OG0000286	NB624_RS02570	EXC50_RS01270
OG0000287	NB624_RS02675	EXC50_RS01365
OG0000288	NB624_RS02685	EXC50_RS01375
OG0000289	NB624_RS02690	EXC50_RS01380
OG0000290	NB624_RS02815	EXC50_RS01490
OG0000291	NB624_RS02800	EXC50_RS01480
OG0000292	NB624_RS02795	EXC50_RS01475
OG0000293	NB624_RS02790	EXC50_RS01470
OG0000294	NB624_RS02780	EXC50_RS01460
OG0000295	NB624_RS02775	EXC50_RS01455
OG0000296	NB624_RS02725	EXC50_RS01415
OG0000297	NB624_RS02720	EXC50_RS01410
OG0000298	NB624_RS00175	EXC50_RS00175
OG0000299	NB624_RS00195	EXC50_RS00200
OG0000300	NB624_RS00370	EXC50_RS00385
OG0000301	NB624_RS00405	EXC50_RS00425
OG0000302	NB624_RS00410	EXC50_RS00430
OG0000303	NB624_RS00555	EXC50_RS03525
OG0000304	NB624_RS00600	EXC50_RS03010
OG0000305	NB624_RS03040	EXC50_RS01720
OG0000306	NB624_RS02965	EXC50_RS01645
OG0000307	NB624_RS02930	EXC50_RS01610
OG0000308	NB624_RS02835	EXC50_RS01510
OG0000309	NB624_RS02765	EXC50_RS01445
OG0000310	NB624_RS02680	EXC50_RS01370
OG0000311	NB624_RS02630	EXC50_RS01330
OG0000312	NB624_RS02615	EXC50_RS01315
OG0000313	NB624_RS01590	EXC50_RS00540
OG0000314	NB624_RS01960	EXC50_RS00900
OG0000315	NB624_RS01990	EXC50_RS00930
OG0000316	NB624_RS02000	EXC50_RS00940
OG0000317	NB624_RS02195	EXC50_RS01030
OG0000318	NB624_RS02005	EXC50_RS00945
OG0000319	NB624_RS02365	EXC50_RS01080
OG0000320	NB624_RS02500	EXC50_RS01215
OG0000321	NB624_RS01325	EXC50_RS02755
OG0000322	NB624_RS01370	EXC50_RS02710
OG0000323	NB624_RS01500	EXC50_RS02580
OG0000324	NB624_RS02405	EXC50_RS01120
OG0000325	NB624_RS00980	EXC50_RS03385
OG0000326	NB624_RS00880	EXC50_RS03290
OG0000327	NB624_RS00875	EXC50_RS03285
OG0000328	NB624_RS00790	EXC50_RS03200
OG0000329	NB624_RS00770	EXC50_RS03180
OG0000330	NB624_RS01105	EXC50_RS02985
OG0000331	NB624_RS03130	EXC50_RS01815
OG0000332	NB624_RS03270	EXC50_RS01950
OG0000333	NB624_RS03280	EXC50_RS01960
OG0000334	NB624_RS03385	EXC50_RS02065
OG0000335	NB624_RS03395	EXC50_RS02075
OG0000336	NB624_RS03545	EXC50_RS02245
OG0000337	NB624_RS03715	EXC50_RS02415
OG0000338	NB624_RS03755	EXC50_RS02455
OG0000339	NB624_RS02475	EXC50_RS01185
OG0000340	NB624_RS01305	EXC50_RS02775
OG0000341	NB624_RS02430	EXC50_RS01140
OG0000342	NB624_RS00945	EXC50_RS03355
OG0000343	NB624_RS03290	EXC50_RS01970
OG0000344	NB624_RS00570	EXC50_RS03510
OG0000345	NB624_RS00655	EXC50_RS03065
OG0000346	NB624_RS03550	EXC50_RS02250
OG0000347	NB624_RS01395	EXC50_RS02685
OG0000348	NB624_RS00870	EXC50_RS03280
OG0000349	NB624_RS03610	EXC50_RS02310
OG0000350	NB624_RS02920	EXC50_RS01600
OG0000351	NB624_RS00490	EXC50_RS03590
OG0000352	NB624_RS01940	EXC50_RS00880
OG0000353	NB624_RS01365	EXC50_RS02715
OG0000354	NB624_RS01045	EXC50_RS03450
OG0000355	NB624_RS01915	EXC50_RS00850
OG0000356	NB624_RS01995	EXC50_RS00935
OG0000357	NB624_RS03250	EXC50_RS01930
OG0000358	NB624_RS03255	EXC50_RS01935
OG0000359	NB624_RS00900	EXC50_RS03310
OG0000360	NB624_RS00275	EXC50_RS00285
OG0000361	NB624_RS00305	EXC50_RS00315
OG0000362	NB624_RS02700	EXC50_RS01390
OG0000363	NB624_RS01435	EXC50_RS02645
OG0000364	NB624_RS01890	EXC50_RS03915
OG0000365	NB624_RS02040	EXC50_RS00975
OG0000366	NB624_RS02065	EXC50_RS01000
OG0000367	NB624_RS02175	EXC50_RS01010
OG0000368	NB624_RS00060	EXC50_RS00060
OG0000369	NB624_RS00025	EXC50_RS00025
OG0000370	NB624_RS00020	EXC50_RS00020
OG0000371	NB624_RS00015	EXC50_RS00015
OG0000372	NB624_RS00010	EXC50_RS00010
OG0000373	NB624_RS03745	EXC50_RS02445
OG0000374	NB624_RS03735	EXC50_RS02435
OG0000375	NB624_RS02360	EXC50_RS01075
OG0000376	NB624_RS02515	EXC50_RS01230
OG0000377	NB624_RS02505	EXC50_RS01220
OG0000378	NB624_RS01285	EXC50_RS02795
OG0000379	NB624_RS01360	EXC50_RS02720
OG0000380	NB624_RS01390	EXC50_RS02695
OG0000381	NB624_RS01425	EXC50_RS02655
OG0000382	NB624_RS01455	EXC50_RS02625
OG0000383	NB624_RS01495	EXC50_RS02585
OG0000384	NB624_RS00510	EXC50_RS03570
OG0000385	NB624_RS00515	EXC50_RS03565
OG0000386	NB624_RS00535	EXC50_RS03545
OG0000387	NB624_RS00560	EXC50_RS03520
OG0000388	NB624_RS00565	EXC50_RS03515
OG0000389	NB624_RS01065	EXC50_RS03470
OG0000390	NB624_RS03060	EXC50_RS01740
OG0000391	NB624_RS03050	EXC50_RS01730
OG0000392	NB624_RS03025	EXC50_RS01705
OG0000393	NB624_RS02970	EXC50_RS01650
OG0000394	NB624_RS02900	EXC50_RS01575
OG0000395	NB624_RS02890	EXC50_RS01570
OG0000396	NB624_RS02575	EXC50_RS01275
OG0000397	NB624_RS01925	EXC50_RS00865
OG0000398	NB624_RS01930	EXC50_RS00870
OG0000399	NB624_RS01975	EXC50_RS00915
OG0000400	NB624_RS03215	EXC50_RS01895
OG0000401	NB624_RS03275	EXC50_RS01955
OG0000402	NB624_RS03285	EXC50_RS01965
OG0000403	NB624_RS03295	EXC50_RS01975
OG0000404	NB624_RS03330	EXC50_RS02005
OG0000405	NB624_RS03350	EXC50_RS02020
OG0000406	NB624_RS03400	EXC50_RS02080
OG0000407	NB624_RS03405	EXC50_RS02085
OG0000408	NB624_RS03410	EXC50_RS02090
OG0000409	NB624_RS03415	EXC50_RS02095
OG0000410	NB624_RS03480	EXC50_RS02155
OG0000411	NB624_RS03465	EXC50_RS02145
OG0000412	NB624_RS03460	EXC50_RS02140
OG0000413	NB624_RS01510	EXC50_RS02570
OG0000414	NB624_RS01520	EXC50_RS02560
OG0000415	NB624_RS01525	EXC50_RS02555
OG0000416	NB624_RS01535	EXC50_RS02545
OG0000417	NB624_RS02425	EXC50_RS01135
OG0000418	NB624_RS02415	EXC50_RS01130
OG0000419	NB624_RS00965	EXC50_RS03375
OG0000420	NB624_RS00930	EXC50_RS03340
OG0000421	NB624_RS00895	EXC50_RS03305
OG0000422	NB624_RS00885	EXC50_RS03295
OG0000423	NB624_RS00830	EXC50_RS03240
OG0000424	NB624_RS00825	EXC50_RS03235
OG0000425	NB624_RS00815	EXC50_RS03225
OG0000426	NB624_RS00810	EXC50_RS03220
OG0000427	NB624_RS00785	EXC50_RS03195
OG0000428	NB624_RS00760	EXC50_RS03170
OG0000429	NB624_RS00665	EXC50_RS03075
OG0000430	NB624_RS00620	EXC50_RS03030
OG0000431	NB624_RS00610	EXC50_RS03020
OG0000432	NB624_RS01100	EXC50_RS02990
OG0000433	NB624_RS01115	EXC50_RS02975
OG0000434	NB624_RS01125	EXC50_RS02970
OG0000435	NB624_RS01135	EXC50_RS02955
OG0000436	NB624_RS01160	EXC50_RS02925
OG0000437	NB624_RS01170	EXC50_RS02915
OG0000438	NB624_RS01175	EXC50_RS02910
OG0000439	NB624_RS01180	EXC50_RS02905
OG0000440	NB624_RS03110	EXC50_RS01795
OG0000441	NB624_RS03150	EXC50_RS01835
OG0000442	NB624_RS00145	EXC50_RS00145
OG0000443	NB624_RS00190	EXC50_RS00195
OG0000444	NB624_RS00205	EXC50_RS00210
OG0000445	NB624_RS00230	EXC50_RS00235
OG0000446	NB624_RS00255	EXC50_RS00265
OG0000447	NB624_RS00260	EXC50_RS00270
OG0000448	NB624_RS00290	EXC50_RS00300
OG0000449	NB624_RS00315	EXC50_RS00325
OG0000450	NB624_RS00325	EXC50_RS00335
OG0000451	NB624_RS00365	EXC50_RS00380
OG0000452	NB624_RS00390	EXC50_RS00410
OG0000453	NB624_RS00425	EXC50_RS03660
OG0000455	NB624_RS03655	EXC50_RS02355
OG0000456	NB624_RS03535	EXC50_RS02235
OG0000457	NB624_RS03510	EXC50_RS02210
OG0000458	NB624_RS02670	EXC50_RS01360
OG0000459	NB624_RS02695	EXC50_RS01385
OG0000460	NB624_RS02705	EXC50_RS01395
OG0000461	NB624_RS02755	EXC50_RS01440
OG0000462	NB624_RS02750	EXC50_RS01435
OG0000463	NB624_RS02745	EXC50_RS01430
OG0000464	NB624_RS02740	EXC50_RS01425
OG0000465	NB624_RS02735	EXC50_RS01420
OG0000466	NB624_RS00395	EXC50_RS00415
OG0000467	NB624_RS02845	EXC50_RS01520
OG0000468	NB624_RS01970	EXC50_RS00910
OG0000469	NB624_RS02030	EXC50_RS00970
OG0000470	NB624_RS00835	EXC50_RS03950
OG0000471	NB624_RS00755	EXC50_RS03165
OG0000472	NB624_RS03485	EXC50_RS02165
OG0000473	NB624_RS03640	EXC50_RS02340
OG0000474	NB624_RS03645	EXC50_RS02345
OG0000475	NB624_RS03650	EXC50_RS02350
OG0000476	NB624_RS01550	EXC50_RS02535
OG0000477	NB624_RS02785	EXC50_RS01465
OG0000478	NB624_RS03585	EXC50_RS02285
OG0000479	NB624_RS01320	EXC50_RS02760
OG0000480	NB624_RS02035	EXC50_RS03895
OG0000481	NB624_RS00860	EXC50_RS03270
OG0000482	NB624_RS01200	EXC50_RS02875
OG0000483	NB624_RS02180	EXC50_RS01015
OG0000484	NB624_RS00200	EXC50_RS00205
OG0000485	NB624_RS01165	EXC50_RS02920
OG0000486	NB624_RS02445	EXC50_RS01155
OG0000487	NB624_RS02015	EXC50_RS00950
OG0000488	NB624_RS02050	EXC50_RS00985
OG0000489	NB624_RS00050	EXC50_RS00050
OG0000490	NB624_RS03750	EXC50_RS02450
OG0000491	NB624_RS01340	EXC50_RS02740
OG0000492	NB624_RS01415	EXC50_RS02665
OG0000493	NB624_RS00575	EXC50_RS03505
OG0000494	NB624_RS01040	EXC50_RS03445
OG0000495	NB624_RS02995	EXC50_RS01675
OG0000496	NB624_RS02985	EXC50_RS01665
OG0000497	NB624_RS02980	EXC50_RS01660
OG0000498	NB624_RS02905	EXC50_RS01580
OG0000499	NB624_RS02865	EXC50_RS01545
OG0000500	NB624_RS01935	EXC50_RS00875
OG0000501	NB624_RS03225	EXC50_RS01905
OG0000502	NB624_RS01190	EXC50_RS02885
OG0000503	NB624_RS00915	EXC50_RS03325
OG0000504	NB624_RS00780	EXC50_RS03190
OG0000505	NB624_RS00745	EXC50_RS03155
OG0000506	NB624_RS00735	EXC50_RS03145
OG0000507	NB624_RS00700	EXC50_RS03110
OG0000508	NB624_RS00250	EXC50_RS00260
OG0000509	NB624_RS00285	EXC50_RS00295
OG0000510	NB624_RS00295	EXC50_RS00305
OG0000511	NB624_RS00430	EXC50_RS03655
OG0000512	NB624_RS02710	EXC50_RS01400
OG0000513	NB624_RS03570	EXC50_RS02270
OG0000514	NB624_RS03020	EXC50_RS01700
OG0000515	NB624_RS01555	EXC50_RS02525
OG0000517	NB624_RS00065	EXC50_RS00065
OG0000519	NB624_RS00890	EXC50_RS03300
OG0000520	NB624_RS00765	EXC50_RS03175
OG0000521	NB624_RS00265	EXC50_RS00275
OG0000522	NB624_RS00300	EXC50_RS00310
OG0000524	NB624_RS02840	EXC50_RS01515
OG0000525	NB624_RS03490	EXC50_RS02170
OG0000526	NB624_RS01830	EXC50_RS04005
OG0000527	NB624_RS01770	EXC50_RS00720
OG0000528	NB624_RS02020	EXC50_RS00960
OG0000529	NB624_RS02375	EXC50_RS01090
OG0000532	NB624_RS01615	EXC50_RS00575
OG0000533	NB624_RS01085	EXC50_RS03490
OG0000534	NB624_RS00380	EXC50_RS00395
OG0000536	NB624_RS03685	EXC50_RS02385
OG0000537	NB624_RS00950	EXC50_RS03360
