Orthogroup	MHP_154B_genes	MFC_Ms42_genes
OG0000169	NB624_RS03205	MYF_RS02560
OG0000170	NB624_RS03220	MYF_RS02585
OG0000171	NB624_RS03230	MYF_RS02595
OG0000172	NB624_RS03235	MYF_RS02600
OG0000173	NB624_RS03240	MYF_RS02605
OG0000174	NB624_RS03245	MYF_RS02610
OG0000175	NB624_RS03265	MYF_RS02625
OG0000176	NB624_RS03315	MYF_RS02670
OG0000177	NB624_RS03320	MYF_RS02675
OG0000178	NB624_RS03325	MYF_RS02680
OG0000179	NB624_RS03335	MYF_RS02690
OG0000180	NB624_RS03340	MYF_RS02695
OG0000181	NB624_RS03380	MYF_RS02710
OG0000182	NB624_RS03390	MYF_RS02720
OG0000183	NB624_RS03425	MYF_RS02755
OG0000184	NB624_RS03470	MYF_RS02785
OG0000185	NB624_RS03455	MYF_RS02800
OG0000186	NB624_RS01515	MYF_RS01895
OG0000187	NB624_RS01530	MYF_RS01910
OG0000188	NB624_RS01540	MYF_RS01920
OG0000189	NB624_RS02440	MYF_RS01930
OG0000190	NB624_RS02435	MYF_RS01935
OG0000191	NB624_RS02410	MYF_RS01955
OG0000192	NB624_RS01205	MYF_RS01965
OG0000193	NB624_RS01195	MYF_RS01980
OG0000194	NB624_RS00990	MYF_RS01990
OG0000195	NB624_RS00985	MYF_RS01995
OG0000196	NB624_RS00960	MYF_RS02015
OG0000197	NB624_RS00955	MYF_RS02020
OG0000198	NB624_RS00940	MYF_RS02035
OG0000199	NB624_RS00935	MYF_RS02040
OG0000200	NB624_RS00920	MYF_RS02050
OG0000201	NB624_RS00910	MYF_RS02060
OG0000202	NB624_RS00855	MYF_RS02115
OG0000203	NB624_RS00850	MYF_RS02120
OG0000204	NB624_RS00845	MYF_RS02125
OG0000205	NB624_RS00840	MYF_RS02130
OG0000206	NB624_RS00820	MYF_RS02150
OG0000207	NB624_RS00805	MYF_RS02165
OG0000208	NB624_RS00800	MYF_RS02170
OG0000209	NB624_RS00795	MYF_RS02175
OG0000210	NB624_RS00750	MYF_RS02220
OG0000211	NB624_RS00740	MYF_RS02230
OG0000212	NB624_RS00730	MYF_RS02240
OG0000213	NB624_RS00725	MYF_RS02245
OG0000214	NB624_RS00720	MYF_RS02250
OG0000215	NB624_RS00715	MYF_RS02255
OG0000216	NB624_RS00710	MYF_RS02260
OG0000217	NB624_RS00705	MYF_RS02265
OG0000218	NB624_RS00695	MYF_RS02275
OG0000219	NB624_RS00690	MYF_RS02280
OG0000220	NB624_RS00685	MYF_RS02285
OG0000221	NB624_RS00680	MYF_RS02290
OG0000222	NB624_RS00675	MYF_RS03240
OG0000223	NB624_RS00670	MYF_RS02295
OG0000224	NB624_RS00660	MYF_RS02305
OG0000225	NB624_RS00650	MYF_RS02315
OG0000226	NB624_RS00645	MYF_RS02320
OG0000227	NB624_RS00640	MYF_RS02325
OG0000228	NB624_RS00635	MYF_RS03530
OG0000229	NB624_RS00630	MYF_RS02335
OG0000230	NB624_RS00625	MYF_RS02340
OG0000231	NB624_RS00615	MYF_RS02350
OG0000232	NB624_RS00605	MYF_RS02360
OG0000233	NB624_RS01095	MYF_RS02370
OG0000234	NB624_RS01130	MYF_RS02400
OG0000235	NB624_RS01140	MYF_RS02410
OG0000236	NB624_RS01145	MYF_RS02415
OG0000237	NB624_RS01150	MYF_RS02430
OG0000238	NB624_RS01155	MYF_RS02435
OG0000239	NB624_RS03100	MYF_RS02465
OG0000240	NB624_RS03105	MYF_RS02470
OG0000241	NB624_RS03115	MYF_RS02480
OG0000242	NB624_RS03120	MYF_RS02485
OG0000243	NB624_RS03125	MYF_RS02490
OG0000244	NB624_RS03135	MYF_RS02500
OG0000245	NB624_RS03145	MYF_RS02510
OG0000246	NB624_RS00140	MYF_RS00085
OG0000247	NB624_RS00150	MYF_RS00095
OG0000248	NB624_RS00160	MYF_RS00120
OG0000249	NB624_RS00165	MYF_RS00125
OG0000250	NB624_RS00180	MYF_RS00140
OG0000251	NB624_RS00210	MYF_RS00170
OG0000252	NB624_RS00220	MYF_RS00180
OG0000253	NB624_RS00225	MYF_RS00185
OG0000254	NB624_RS00235	MYF_RS00195
OG0000255	NB624_RS00240	MYF_RS00205
OG0000256	NB624_RS00245	MYF_RS00210
OG0000257	NB624_RS00270	MYF_RS00235
OG0000258	NB624_RS00280	MYF_RS00245
OG0000259	NB624_RS00310	MYF_RS00275
OG0000260	NB624_RS00320	MYF_RS00285
OG0000261	NB624_RS00330	MYF_RS00295
OG0000262	NB624_RS00350	MYF_RS00310
OG0000263	NB624_RS00360	MYF_RS00325
OG0000264	NB624_RS00375	MYF_RS00340
OG0000265	NB624_RS00385	MYF_RS00350
OG0000266	NB624_RS00400	MYF_RS00365
OG0000267	NB624_RS00415	MYF_RS00380
OG0000268	NB624_RS00420	MYF_RS00385
OG0000269	NB624_RS00435	MYF_RS00400
OG0000270	NB624_RS03635	MYF_RS02955
OG0000271	NB624_RS03630	MYF_RS02950
OG0000272	NB624_RS03625	MYF_RS02945
OG0000273	NB624_RS03620	MYF_RS02940
OG0000274	NB624_RS03605	MYF_RS02920
OG0000275	NB624_RS03595	MYF_RS02915
OG0000276	NB624_RS03590	MYF_RS02910
OG0000277	NB624_RS03580	MYF_RS02900
OG0000278	NB624_RS03575	MYF_RS02895
OG0000279	NB624_RS03565	MYF_RS02885
OG0000280	NB624_RS03560	MYF_RS02880
OG0000281	NB624_RS03555	MYF_RS03275
OG0000282	NB624_RS03530	MYF_RS02855
OG0000283	NB624_RS03525	MYF_RS02850
OG0000284	NB624_RS03520	MYF_RS02845
OG0000285	NB624_RS03515	MYF_RS02840
OG0000286	NB624_RS02570	MYF_RS01115
OG0000287	NB624_RS02675	MYF_RS01090
OG0000288	NB624_RS02685	MYF_RS01080
OG0000289	NB624_RS02690	MYF_RS01075
OG0000290	NB624_RS02815	MYF_RS00905
OG0000291	NB624_RS02800	MYF_RS00915
OG0000292	NB624_RS02795	MYF_RS00920
OG0000293	NB624_RS02790	MYF_RS00925
OG0000294	NB624_RS02780	MYF_RS00935
OG0000295	NB624_RS02775	MYF_RS00940
OG0000296	NB624_RS02725	MYF_RS01040
OG0000297	NB624_RS02720	MYF_RS01045
OG0000298	NB624_RS00175	MYF_RS00135
OG0000299	NB624_RS00195	MYF_RS00155
OG0000300	NB624_RS00370	MYF_RS00335
OG0000301	NB624_RS00405	MYF_RS00370
OG0000302	NB624_RS00410	MYF_RS00375
OG0000303	NB624_RS00555	MYF_RS00515
OG0000304	NB624_RS00600	MYF_RS00545
OG0000305	NB624_RS03040	MYF_RS00690
OG0000306	NB624_RS02965	MYF_RS00770
OG0000307	NB624_RS02930	MYF_RS00810
OG0000308	NB624_RS02835	MYF_RS00895
OG0000309	NB624_RS02765	MYF_RS01005
OG0000310	NB624_RS02680	MYF_RS01085
OG0000311	NB624_RS02630	MYF_RS01140
OG0000312	NB624_RS02615	MYF_RS01160
OG0000313	NB624_RS01590	MYF_RS01210
OG0000314	NB624_RS01960	MYF_RS01280
OG0000315	NB624_RS01990	MYF_RS01310
OG0000316	NB624_RS02000	MYF_RS01320
OG0000317	NB624_RS02195	MYF_RS01360
OG0000318	NB624_RS02005	MYF_RS01450
OG0000319	NB624_RS02365	MYF_RS01555
OG0000320	NB624_RS02500	MYF_RS01620
OG0000321	NB624_RS01325	MYF_RS01685
OG0000322	NB624_RS01370	MYF_RS01730
OG0000323	NB624_RS01500	MYF_RS01860
OG0000324	NB624_RS02405	MYF_RS01960
OG0000325	NB624_RS00980	MYF_RS02000
OG0000326	NB624_RS00880	MYF_RS02090
OG0000327	NB624_RS00875	MYF_RS02095
OG0000328	NB624_RS00790	MYF_RS02180
OG0000329	NB624_RS00770	MYF_RS02200
OG0000330	NB624_RS01105	MYF_RS02380
OG0000331	NB624_RS03130	MYF_RS02495
OG0000332	NB624_RS03270	MYF_RS02635
OG0000333	NB624_RS03280	MYF_RS02645
OG0000334	NB624_RS03385	MYF_RS02715
OG0000335	NB624_RS03395	MYF_RS02725
OG0000336	NB624_RS03545	MYF_RS02870
OG0000337	NB624_RS03715	MYF_RS03105
OG0000338	NB624_RS03755	MYF_RS03145
OG0000339	NB624_RS02475	MYF_RS01640
OG0000340	NB624_RS01305	MYF_RS01665
OG0000341	NB624_RS02430	MYF_RS01940
OG0000342	NB624_RS00945	MYF_RS02030
OG0000343	NB624_RS03290	MYF_RS02655
OG0000344	NB624_RS00570	MYF_RS00530
OG0000345	NB624_RS00655	MYF_RS02310
OG0000346	NB624_RS03550	MYF_RS02875
OG0000347	NB624_RS01395	MYF_RS01755
OG0000348	NB624_RS00870	MYF_RS02100
OG0000349	NB624_RS03610	MYF_RS02930
OG0000350	NB624_RS02920	MYF_RS03360
OG0000351	NB624_RS00490	MYF_RS00465
OG0000352	NB624_RS01940	MYF_RS01260
OG0000353	NB624_RS01365	MYF_RS01725
OG0000354	NB624_RS01045	MYF_RS00580
OG0000355	NB624_RS01915	MYF_RS01235
OG0000356	NB624_RS01995	MYF_RS01315
OG0000357	NB624_RS03250	MYF_RS02615
OG0000358	NB624_RS03255	MYF_RS02620
OG0000359	NB624_RS00900	MYF_RS02070
OG0000360	NB624_RS00275	MYF_RS00240
OG0000361	NB624_RS00305	MYF_RS00270
OG0000362	NB624_RS02700	MYF_RS01065
OG0000363	NB624_RS01435	MYF_RS01795
OG0000365	NB624_RS02040	MYF_RS01420
OG0000366	NB624_RS02065	MYF_RS01390
OG0000367	NB624_RS02175	MYF_RS01380
OG0000368	NB624_RS00060	MYF_RS00060
OG0000369	NB624_RS00025	MYF_RS00025
OG0000370	NB624_RS00020	MYF_RS00020
OG0000371	NB624_RS00015	MYF_RS00015
OG0000372	NB624_RS00010	MYF_RS00010
OG0000373	NB624_RS03745	MYF_RS03135
OG0000374	NB624_RS03735	MYF_RS03125
OG0000375	NB624_RS02360	MYF_RS01550
OG0000376	NB624_RS02515	MYF_RS01605
OG0000377	NB624_RS02505	MYF_RS01615
OG0000378	NB624_RS01285	MYF_RS01650
OG0000379	NB624_RS01360	MYF_RS01720
OG0000380	NB624_RS01390	MYF_RS01745
OG0000381	NB624_RS01425	MYF_RS01785
OG0000382	NB624_RS01455	MYF_RS01815
OG0000383	NB624_RS01495	MYF_RS01855
OG0000384	NB624_RS00510	MYF_RS00470
OG0000385	NB624_RS00515	MYF_RS00475
OG0000386	NB624_RS00535	MYF_RS00495
OG0000387	NB624_RS00560	MYF_RS00520
OG0000388	NB624_RS00565	MYF_RS00525
OG0000389	NB624_RS01065	MYF_RS00560
OG0000390	NB624_RS03060	MYF_RS00670
OG0000391	NB624_RS03050	MYF_RS00680
OG0000392	NB624_RS03025	MYF_RS00705
OG0000393	NB624_RS02970	MYF_RS00760
OG0000394	NB624_RS02900	MYF_RS00825
OG0000395	NB624_RS02890	MYF_RS00830
OG0000396	NB624_RS02575	MYF_RS01200
OG0000397	NB624_RS01925	MYF_RS01245
OG0000398	NB624_RS01930	MYF_RS01250
OG0000399	NB624_RS01975	MYF_RS01295
OG0000400	NB624_RS03215	MYF_RS02580
OG0000401	NB624_RS03275	MYF_RS02640
OG0000402	NB624_RS03285	MYF_RS02650
OG0000403	NB624_RS03295	MYF_RS02660
OG0000404	NB624_RS03330	MYF_RS02685
OG0000405	NB624_RS03350	MYF_RS02700
OG0000406	NB624_RS03400	MYF_RS02730
OG0000407	NB624_RS03405	MYF_RS02735
OG0000408	NB624_RS03410	MYF_RS02740
OG0000409	NB624_RS03415	MYF_RS02745
OG0000410	NB624_RS03480	MYF_RS02780
OG0000411	NB624_RS03465	MYF_RS02790
OG0000412	NB624_RS03460	MYF_RS02795
OG0000413	NB624_RS01510	MYF_RS01890
OG0000414	NB624_RS01520	MYF_RS01900
OG0000415	NB624_RS01525	MYF_RS01905
OG0000416	NB624_RS01535	MYF_RS01915
OG0000417	NB624_RS02425	MYF_RS01945
OG0000418	NB624_RS02415	MYF_RS01950
OG0000419	NB624_RS00965	MYF_RS02010
OG0000420	NB624_RS00930	MYF_RS02045
OG0000421	NB624_RS00895	MYF_RS02075
OG0000422	NB624_RS00885	MYF_RS02085
OG0000423	NB624_RS00830	MYF_RS02140
OG0000424	NB624_RS00825	MYF_RS02145
OG0000425	NB624_RS00815	MYF_RS02155
OG0000426	NB624_RS00810	MYF_RS02160
OG0000427	NB624_RS00785	MYF_RS02185
OG0000428	NB624_RS00760	MYF_RS02210
OG0000429	NB624_RS00665	MYF_RS02300
OG0000430	NB624_RS00620	MYF_RS02345
OG0000431	NB624_RS00610	MYF_RS02355
OG0000432	NB624_RS01100	MYF_RS02375
OG0000433	NB624_RS01115	MYF_RS02385
OG0000434	NB624_RS01125	MYF_RS02390
OG0000435	NB624_RS01135	MYF_RS02405
OG0000436	NB624_RS01160	MYF_RS02440
OG0000437	NB624_RS01170	MYF_RS02450
OG0000438	NB624_RS01175	MYF_RS02455
OG0000439	NB624_RS01180	MYF_RS02460
OG0000440	NB624_RS03110	MYF_RS02475
OG0000441	NB624_RS03150	MYF_RS02515
OG0000442	NB624_RS00145	MYF_RS00090
OG0000443	NB624_RS00190	MYF_RS00150
OG0000444	NB624_RS00205	MYF_RS00165
OG0000445	NB624_RS00230	MYF_RS00190
OG0000446	NB624_RS00255	MYF_RS00220
OG0000447	NB624_RS00260	MYF_RS00225
OG0000448	NB624_RS00290	MYF_RS00255
OG0000449	NB624_RS00315	MYF_RS00280
OG0000450	NB624_RS00325	MYF_RS00290
OG0000451	NB624_RS00365	MYF_RS00330
OG0000452	NB624_RS00390	MYF_RS00355
OG0000453	NB624_RS00425	MYF_RS00390
OG0000455	NB624_RS03655	MYF_RS02975
OG0000456	NB624_RS03535	MYF_RS02860
OG0000457	NB624_RS03510	MYF_RS02835
OG0000458	NB624_RS02670	MYF_RS01095
OG0000459	NB624_RS02695	MYF_RS01070
OG0000460	NB624_RS02705	MYF_RS01060
OG0000461	NB624_RS02755	MYF_RS01010
OG0000462	NB624_RS02750	MYF_RS01015
OG0000463	NB624_RS02745	MYF_RS01020
OG0000464	NB624_RS02740	MYF_RS01030
OG0000465	NB624_RS02735	MYF_RS01035
OG0000466	NB624_RS00395	MYF_RS00360
OG0000467	NB624_RS02845	MYF_RS03505
OG0000468	NB624_RS01970	MYF_RS01290
OG0000469	NB624_RS02030	MYF_RS01425
OG0000470	NB624_RS00835	MYF_RS02135
OG0000471	NB624_RS00755	MYF_RS02215
OG0000472	NB624_RS03485	MYF_RS03535
OG0000473	NB624_RS03640	MYF_RS02960
OG0000474	NB624_RS03645	MYF_RS02965
OG0000475	NB624_RS03650	MYF_RS02970
OG0000476	NB624_RS01550	MYF_RS03040
OG0000477	NB624_RS02785	MYF_RS00930
OG0000478	NB624_RS03585	MYF_RS02905
OG0000479	NB624_RS01320	MYF_RS01680
OG0000480	NB624_RS02035	MYF_RS03350
OG0000481	NB624_RS00860	MYF_RS02110
OG0000482	NB624_RS01200	MYF_RS01975
OG0000483	NB624_RS02180	MYF_RS01375
OG0000484	NB624_RS00200	MYF_RS00160
OG0000485	NB624_RS01165	MYF_RS02445
OG0000486	NB624_RS02445	MYF_RS01925
OG0000487	NB624_RS02015	MYF_RS01445
OG0000488	NB624_RS02050	MYF_RS01405
OG0000489	NB624_RS00050	MYF_RS00050
OG0000490	NB624_RS03750	MYF_RS03140
OG0000491	NB624_RS01340	MYF_RS01700
OG0000492	NB624_RS01415	MYF_RS01775
OG0000493	NB624_RS00575	MYF_RS00535
OG0000494	NB624_RS01040	MYF_RS00585
OG0000495	NB624_RS02995	MYF_RS00735
OG0000496	NB624_RS02985	MYF_RS00745
OG0000497	NB624_RS02980	MYF_RS00750
OG0000498	NB624_RS02905	MYF_RS00820
OG0000499	NB624_RS02865	MYF_RS00865
OG0000500	NB624_RS01935	MYF_RS01255
OG0000501	NB624_RS03225	MYF_RS02590
OG0000502	NB624_RS01190	MYF_RS01985
OG0000503	NB624_RS00915	MYF_RS02055
OG0000504	NB624_RS00780	MYF_RS02190
OG0000505	NB624_RS00745	MYF_RS02225
OG0000506	NB624_RS00735	MYF_RS02235
OG0000507	NB624_RS00700	MYF_RS02270
OG0000508	NB624_RS00250	MYF_RS00215
OG0000509	NB624_RS00285	MYF_RS00250
OG0000510	NB624_RS00295	MYF_RS00260
OG0000511	NB624_RS00430	MYF_RS00395
OG0000512	NB624_RS02710	MYF_RS01055
OG0000513	NB624_RS03570	MYF_RS02890
OG0000514	NB624_RS03020	MYF_RS00710
OG0000517	NB624_RS00065	MYF_RS00065
OG0000519	NB624_RS00890	MYF_RS02080
OG0000520	NB624_RS00765	MYF_RS02205
OG0000521	NB624_RS00265	MYF_RS00230
OG0000522	NB624_RS00300	MYF_RS00265
OG0000524	NB624_RS02840	MYF_RS00890
OG0000528	NB624_RS02020	MYF_RS01435
OG0000529	NB624_RS02375	MYF_RS01565
OG0000532	NB624_RS01615	MYF_RS00620
OG0000533	NB624_RS01085	MYF_RS02365
OG0000534	NB624_RS00380	MYF_RS00345
OG0000536	NB624_RS03685	MYF_RS03070
OG0000537	NB624_RS00950	MYF_RS02025
OG0000539	NB624_RS00215	MYF_RS00175
OG0000540	NB624_RS02810, NB624_RS02805	MYF_RS00910
OG0000551	NB624_RS03140	MYF_RS02505
OG0000555	NB624_RS03075	MYF_RS03410
OG0000589	NB624_RS02255	MYF_RS03220
OG0000597	NB624_RS03160	MYF_RS02565
OG0000602	NB624_RS02045	MYF_RS01415
