Orthogroup	MHP_154B_genes	MHP_ES2_genes
OG0000102	NB624_RS01705	E5E95_RS01815
OG0000103	NB624_RS02350	E5E95_RS02330
OG0000104	NB624_RS02355	E5E95_RS02335
OG0000105	NB624_RS02370	E5E95_RS02350
OG0000106	NB624_RS02380	E5E95_RS02360
OG0000107	NB624_RS02390	E5E95_RS02370
OG0000108	NB624_RS02395	E5E95_RS02375
OG0000109	NB624_RS02400	E5E95_RS02380
OG0000110	NB624_RS02525	E5E95_RS02595
OG0000111	NB624_RS02520	E5E95_RS02590
OG0000112	NB624_RS02510	E5E95_RS02580
OG0000113	NB624_RS02490	E5E95_RS02560
OG0000114	NB624_RS02485	E5E95_RS04300
OG0000115	NB624_RS02470	E5E95_RS02535
OG0000116	NB624_RS01290	E5E95_RS01315
OG0000117	NB624_RS01295	E5E95_RS01320
OG0000118	NB624_RS01330	E5E95_RS01355
OG0000119	NB624_RS01335	E5E95_RS01360
OG0000120	NB624_RS01350	E5E95_RS01375
OG0000121	NB624_RS01375	E5E95_RS01400
OG0000122	NB624_RS01380	E5E95_RS01405
OG0000123	NB624_RS01400	E5E95_RS01425
OG0000124	NB624_RS01405	E5E95_RS01430
OG0000125	NB624_RS01410	E5E95_RS01435
OG0000126	NB624_RS01420	E5E95_RS01445
OG0000127	NB624_RS01430	E5E95_RS01455
OG0000128	NB624_RS01445	E5E95_RS01470
OG0000129	NB624_RS01450	E5E95_RS01475
OG0000130	NB624_RS01460	E5E95_RS01485
OG0000131	NB624_RS01490	E5E95_RS01515
OG0000132	NB624_RS01505	E5E95_RS01530
OG0000133	NB624_RS00525	E5E95_RS00530
OG0000134	NB624_RS00530	E5E95_RS00535
OG0000135	NB624_RS00545	E5E95_RS00550
OG0000136	NB624_RS00550	E5E95_RS00555
OG0000137	NB624_RS00580	E5E95_RS00585
OG0000138	NB624_RS01060	E5E95_RS00620
OG0000139	NB624_RS01030	E5E95_RS00650
OG0000140	NB624_RS01025	E5E95_RS00655
OG0000141	NB624_RS03090	E5E95_RS03135
OG0000142	NB624_RS03085	E5E95_RS03130
OG0000143	NB624_RS03070	E5E95_RS03105
OG0000144	NB624_RS03055	E5E95_RS03095
OG0000145	NB624_RS03045	E5E95_RS03085
OG0000146	NB624_RS03035	E5E95_RS03075
OG0000147	NB624_RS03030	E5E95_RS03070
OG0000148	NB624_RS03015	E5E95_RS03055
OG0000149	NB624_RS03005	E5E95_RS03045
OG0000150	NB624_RS02990	E5E95_RS03030
OG0000151	NB624_RS02945	E5E95_RS02985
OG0000152	NB624_RS02940	E5E95_RS02980
OG0000153	NB624_RS02935	E5E95_RS02975
OG0000154	NB624_RS02925	E5E95_RS02965
OG0000155	NB624_RS02885	E5E95_RS02925
OG0000156	NB624_RS02880	E5E95_RS02915
OG0000157	NB624_RS02870	E5E95_RS02910
OG0000158	NB624_RS02860	E5E95_RS02905
OG0000159	NB624_RS02610	E5E95_RS04310
OG0000160	NB624_RS02605	E5E95_RS02665
OG0000161	NB624_RS02600	E5E95_RS02660
OG0000162	NB624_RS02590	E5E95_RS02650
OG0000163	NB624_RS02585	E5E95_RS02645
OG0000164	NB624_RS01600	E5E95_RS01630
OG0000165	NB624_RS01945	E5E95_RS02055
OG0000166	NB624_RS01965	E5E95_RS02080
OG0000167	NB624_RS01980	E5E95_RS02095
OG0000168	NB624_RS01985	E5E95_RS02100
OG0000169	NB624_RS03205	E5E95_RS03255
OG0000170	NB624_RS03220	E5E95_RS03270
OG0000171	NB624_RS03230	E5E95_RS03280
OG0000172	NB624_RS03235	E5E95_RS03285
OG0000173	NB624_RS03240	E5E95_RS03290
OG0000174	NB624_RS03245	E5E95_RS03295
OG0000175	NB624_RS03265	E5E95_RS03310
OG0000176	NB624_RS03315	E5E95_RS03360
OG0000177	NB624_RS03320	E5E95_RS03365
OG0000178	NB624_RS03325	E5E95_RS03370
OG0000179	NB624_RS03335	E5E95_RS03380
OG0000180	NB624_RS03340	E5E95_RS03385
OG0000181	NB624_RS03380	E5E95_RS03435
OG0000182	NB624_RS03390	E5E95_RS03445
OG0000183	NB624_RS03425	E5E95_RS03480
OG0000184	NB624_RS03470	E5E95_RS03525
OG0000185	NB624_RS03455	E5E95_RS03510
OG0000186	NB624_RS01515	E5E95_RS01540
OG0000187	NB624_RS01530	E5E95_RS01555
OG0000188	NB624_RS01540	E5E95_RS01565
OG0000189	NB624_RS02440	E5E95_RS02415
OG0000190	NB624_RS02435	E5E95_RS02410
OG0000191	NB624_RS02410	E5E95_RS02390
OG0000192	NB624_RS01205	E5E95_RS01235
OG0000193	NB624_RS01195	E5E95_RS01225
OG0000194	NB624_RS00990	E5E95_RS00690
OG0000195	NB624_RS00985	E5E95_RS00695
OG0000196	NB624_RS00960	E5E95_RS00715
OG0000197	NB624_RS00955	E5E95_RS00720
OG0000198	NB624_RS00940	E5E95_RS00735
OG0000199	NB624_RS00935	E5E95_RS00740
OG0000200	NB624_RS00920	E5E95_RS00755
OG0000201	NB624_RS00910	E5E95_RS00765
OG0000202	NB624_RS00855	E5E95_RS00820
OG0000203	NB624_RS00850	E5E95_RS00825
OG0000204	NB624_RS00845	E5E95_RS00830
OG0000205	NB624_RS00840	E5E95_RS00835
OG0000206	NB624_RS00820	E5E95_RS00855
OG0000207	NB624_RS00805	E5E95_RS00870
OG0000208	NB624_RS00800	E5E95_RS00875
OG0000209	NB624_RS00795	E5E95_RS00880
OG0000210	NB624_RS00750	E5E95_RS00925
OG0000211	NB624_RS00740	E5E95_RS00955
OG0000212	NB624_RS00730	E5E95_RS00965
OG0000213	NB624_RS00725	E5E95_RS00970
OG0000214	NB624_RS00720	E5E95_RS00975
OG0000215	NB624_RS00715	E5E95_RS00980
OG0000216	NB624_RS00710	E5E95_RS00985
OG0000217	NB624_RS00705	E5E95_RS00995
OG0000218	NB624_RS00695	E5E95_RS01000
OG0000219	NB624_RS00690	E5E95_RS01005
OG0000220	NB624_RS00685	E5E95_RS01010
OG0000221	NB624_RS00680	E5E95_RS01015
OG0000222	NB624_RS00675	E5E95_RS01020
OG0000223	NB624_RS00670	E5E95_RS01025
OG0000224	NB624_RS00660	E5E95_RS01035
OG0000225	NB624_RS00650	E5E95_RS01045
OG0000226	NB624_RS00645	E5E95_RS01050
OG0000227	NB624_RS00640	E5E95_RS01055
OG0000228	NB624_RS00635	E5E95_RS04285
OG0000229	NB624_RS00630	E5E95_RS01065
OG0000230	NB624_RS00625	E5E95_RS01070
OG0000231	NB624_RS00615	E5E95_RS01080
OG0000232	NB624_RS00605	E5E95_RS01090
OG0000233	NB624_RS01095	E5E95_RS01110
OG0000234	NB624_RS01130	E5E95_RS01145
OG0000235	NB624_RS01140	E5E95_RS01155
OG0000236	NB624_RS01145	E5E95_RS01160
OG0000237	NB624_RS01150	E5E95_RS01165
OG0000238	NB624_RS01155	E5E95_RS01175
OG0000239	NB624_RS03100	E5E95_RS03145
OG0000240	NB624_RS03105	E5E95_RS03150
OG0000241	NB624_RS03115	E5E95_RS03160
OG0000242	NB624_RS03120	E5E95_RS03165
OG0000243	NB624_RS03125	E5E95_RS03170
OG0000244	NB624_RS03135	E5E95_RS03180
OG0000245	NB624_RS03145	E5E95_RS03190
OG0000246	NB624_RS00140	E5E95_RS00130
OG0000247	NB624_RS00150	E5E95_RS00140
OG0000248	NB624_RS00160	E5E95_RS00150
OG0000249	NB624_RS00165	E5E95_RS00155
OG0000250	NB624_RS00180	E5E95_RS00170
OG0000251	NB624_RS00210	E5E95_RS00205
OG0000252	NB624_RS00220	E5E95_RS00215
OG0000253	NB624_RS00225	E5E95_RS00220
OG0000254	NB624_RS00235	E5E95_RS00230
OG0000255	NB624_RS00240	E5E95_RS00240
OG0000256	NB624_RS00245	E5E95_RS00245
OG0000257	NB624_RS00270	E5E95_RS00270
OG0000258	NB624_RS00280	E5E95_RS00280
OG0000259	NB624_RS00310	E5E95_RS00310
OG0000260	NB624_RS00320	E5E95_RS00320
OG0000261	NB624_RS00330	E5E95_RS00330
OG0000262	NB624_RS00350	E5E95_RS00350
OG0000263	NB624_RS00360	E5E95_RS00360
OG0000264	NB624_RS00375	E5E95_RS00375
OG0000265	NB624_RS00385	E5E95_RS00385
OG0000266	NB624_RS00400	E5E95_RS00400
OG0000267	NB624_RS00415	E5E95_RS00415
OG0000268	NB624_RS00420	E5E95_RS00420
OG0000269	NB624_RS00435	E5E95_RS00435
OG0000270	NB624_RS03635	E5E95_RS03710
OG0000271	NB624_RS03630	E5E95_RS03705
OG0000272	NB624_RS03625	E5E95_RS03700
OG0000273	NB624_RS03620	E5E95_RS03695
OG0000274	NB624_RS03605	E5E95_RS03675
OG0000275	NB624_RS03595	E5E95_RS03670
OG0000276	NB624_RS03590	E5E95_RS03665
OG0000277	NB624_RS03580	E5E95_RS03655
OG0000278	NB624_RS03575	E5E95_RS03650
OG0000279	NB624_RS03565	E5E95_RS03640
OG0000280	NB624_RS03560	E5E95_RS03635
OG0000281	NB624_RS03555	E5E95_RS03630
OG0000282	NB624_RS03530	E5E95_RS03605
OG0000283	NB624_RS03525	E5E95_RS03600
OG0000284	NB624_RS03520	E5E95_RS03595
OG0000285	NB624_RS03515	E5E95_RS03590
OG0000286	NB624_RS02570	E5E95_RS04305
OG0000287	NB624_RS02675	E5E95_RS02720
OG0000288	NB624_RS02685	E5E95_RS02730
OG0000289	NB624_RS02690	E5E95_RS02735
OG0000290	NB624_RS02815	E5E95_RS02845
OG0000291	NB624_RS02800	E5E95_RS02835
OG0000292	NB624_RS02795	E5E95_RS02830
OG0000293	NB624_RS02790	E5E95_RS02825
OG0000294	NB624_RS02780	E5E95_RS02815
OG0000295	NB624_RS02775	E5E95_RS02810
OG0000296	NB624_RS02725	E5E95_RS02770
OG0000297	NB624_RS02720	E5E95_RS02765
OG0000298	NB624_RS00175	E5E95_RS00165
OG0000299	NB624_RS00195	E5E95_RS00190
OG0000300	NB624_RS00370	E5E95_RS00370
OG0000301	NB624_RS00405	E5E95_RS00405
OG0000302	NB624_RS00410	E5E95_RS00410
OG0000303	NB624_RS00555	E5E95_RS00560
OG0000304	NB624_RS00600	E5E95_RS01095
OG0000305	NB624_RS03040	E5E95_RS03080
OG0000306	NB624_RS02965	E5E95_RS03005
OG0000307	NB624_RS02930	E5E95_RS02970
OG0000308	NB624_RS02835	E5E95_RS02875
OG0000309	NB624_RS02765	E5E95_RS02800
OG0000310	NB624_RS02680	E5E95_RS02725
OG0000311	NB624_RS02630	E5E95_RS02690
OG0000312	NB624_RS02615	E5E95_RS02675
OG0000313	NB624_RS01590	E5E95_RS01620
OG0000314	NB624_RS01960	E5E95_RS02075
OG0000315	NB624_RS01990	E5E95_RS02105
OG0000316	NB624_RS02000	E5E95_RS02115
OG0000317	NB624_RS02195	E5E95_RS02205
OG0000318	NB624_RS02005	E5E95_RS02120
OG0000319	NB624_RS02365	E5E95_RS02345
OG0000320	NB624_RS02500	E5E95_RS02570
OG0000321	NB624_RS01325	E5E95_RS01350
OG0000322	NB624_RS01370	E5E95_RS01395
OG0000323	NB624_RS01500	E5E95_RS01525
OG0000324	NB624_RS02405	E5E95_RS02385
OG0000325	NB624_RS00980	E5E95_RS00700
OG0000326	NB624_RS00880	E5E95_RS00795
OG0000327	NB624_RS00875	E5E95_RS00800
OG0000328	NB624_RS00790	E5E95_RS00885
OG0000329	NB624_RS00770	E5E95_RS00905
OG0000330	NB624_RS01105	E5E95_RS01120
OG0000331	NB624_RS03130	E5E95_RS03175
OG0000332	NB624_RS03270	E5E95_RS03320
OG0000333	NB624_RS03280	E5E95_RS03330
OG0000334	NB624_RS03385	E5E95_RS03440
OG0000335	NB624_RS03395	E5E95_RS03450
OG0000336	NB624_RS03545	E5E95_RS03620
OG0000337	NB624_RS03715	E5E95_RS03795
OG0000338	NB624_RS03755	E5E95_RS03835
OG0000339	NB624_RS02475	E5E95_RS02540
OG0000340	NB624_RS01305	E5E95_RS01330
OG0000341	NB624_RS02430	E5E95_RS02405
OG0000342	NB624_RS00945	E5E95_RS00730
OG0000343	NB624_RS03290	E5E95_RS03340
OG0000344	NB624_RS00570	E5E95_RS00575
OG0000345	NB624_RS00655	E5E95_RS01040
OG0000346	NB624_RS03550	E5E95_RS03625
OG0000347	NB624_RS01395	E5E95_RS01420
OG0000348	NB624_RS00870	E5E95_RS00805
OG0000349	NB624_RS03610	E5E95_RS03685
OG0000350	NB624_RS02920	E5E95_RS02960
OG0000351	NB624_RS00490	E5E95_RS00495
OG0000352	NB624_RS01940	E5E95_RS02050
OG0000353	NB624_RS01365	E5E95_RS01390
OG0000354	NB624_RS01045	E5E95_RS00635
OG0000355	NB624_RS01915	E5E95_RS02020
OG0000356	NB624_RS01995	E5E95_RS02110
OG0000357	NB624_RS03250	E5E95_RS03300
OG0000358	NB624_RS03255	E5E95_RS03305
OG0000359	NB624_RS00900	E5E95_RS00775
OG0000360	NB624_RS00275	E5E95_RS00275
OG0000361	NB624_RS00305	E5E95_RS00305
OG0000362	NB624_RS02700	E5E95_RS02745
OG0000363	NB624_RS01435	E5E95_RS03985
OG0000364	NB624_RS01890	E5E95_RS01995
OG0000365	NB624_RS02040	E5E95_RS02150
OG0000366	NB624_RS02065	E5E95_RS02175
OG0000367	NB624_RS02175	E5E95_RS02185
OG0000368	NB624_RS00060	E5E95_RS00060
OG0000369	NB624_RS00025	E5E95_RS00025
OG0000370	NB624_RS00020	E5E95_RS00020
OG0000371	NB624_RS00015	E5E95_RS00015
OG0000372	NB624_RS00010	E5E95_RS00010
OG0000373	NB624_RS03745	E5E95_RS03825
OG0000374	NB624_RS03735	E5E95_RS03815
OG0000375	NB624_RS02360	E5E95_RS02340
OG0000376	NB624_RS02515	E5E95_RS02585
OG0000377	NB624_RS02505	E5E95_RS02575
OG0000378	NB624_RS01285	E5E95_RS01310
OG0000379	NB624_RS01360	E5E95_RS01385
OG0000380	NB624_RS01390	E5E95_RS01410
OG0000381	NB624_RS01425	E5E95_RS01450
OG0000382	NB624_RS01455	E5E95_RS01480
OG0000383	NB624_RS01495	E5E95_RS01520
OG0000384	NB624_RS00510	E5E95_RS00515
OG0000385	NB624_RS00515	E5E95_RS00520
OG0000386	NB624_RS00535	E5E95_RS00540
OG0000387	NB624_RS00560	E5E95_RS00565
OG0000388	NB624_RS00565	E5E95_RS00570
OG0000389	NB624_RS01065	E5E95_RS00615
OG0000390	NB624_RS03060	E5E95_RS03100
OG0000391	NB624_RS03050	E5E95_RS03090
OG0000392	NB624_RS03025	E5E95_RS03065
OG0000393	NB624_RS02970	E5E95_RS03010
OG0000394	NB624_RS02900	E5E95_RS02940
OG0000395	NB624_RS02890	E5E95_RS02930
OG0000397	NB624_RS01925	E5E95_RS02035
OG0000398	NB624_RS01930	E5E95_RS02040
OG0000399	NB624_RS01975	E5E95_RS02090
OG0000400	NB624_RS03215	E5E95_RS03265
OG0000401	NB624_RS03275	E5E95_RS03325
OG0000402	NB624_RS03285	E5E95_RS03335
OG0000403	NB624_RS03295	E5E95_RS03345
OG0000404	NB624_RS03330	E5E95_RS03375
OG0000405	NB624_RS03350	E5E95_RS03390
OG0000406	NB624_RS03400	E5E95_RS03455
OG0000407	NB624_RS03405	E5E95_RS03460
OG0000408	NB624_RS03410	E5E95_RS03465
OG0000409	NB624_RS03415	E5E95_RS03470
OG0000410	NB624_RS03480	E5E95_RS03530
OG0000411	NB624_RS03465	E5E95_RS03520
OG0000412	NB624_RS03460	E5E95_RS03515
OG0000413	NB624_RS01510	E5E95_RS01535
OG0000414	NB624_RS01520	E5E95_RS01545
OG0000415	NB624_RS01525	E5E95_RS01550
OG0000416	NB624_RS01535	E5E95_RS01560
OG0000417	NB624_RS02425	E5E95_RS02400
OG0000418	NB624_RS02415	E5E95_RS02395
OG0000419	NB624_RS00965	E5E95_RS00710
OG0000420	NB624_RS00930	E5E95_RS00745
OG0000421	NB624_RS00895	E5E95_RS00780
OG0000422	NB624_RS00885	E5E95_RS00790
OG0000423	NB624_RS00830	E5E95_RS00845
OG0000424	NB624_RS00825	E5E95_RS00850
OG0000425	NB624_RS00815	E5E95_RS00860
OG0000426	NB624_RS00810	E5E95_RS00865
OG0000427	NB624_RS00785	E5E95_RS00890
OG0000428	NB624_RS00760	E5E95_RS00915
OG0000429	NB624_RS00665	E5E95_RS01030
OG0000430	NB624_RS00620	E5E95_RS01075
OG0000431	NB624_RS00610	E5E95_RS01085
OG0000432	NB624_RS01100	E5E95_RS01115
OG0000433	NB624_RS01115	E5E95_RS01130
OG0000434	NB624_RS01125	E5E95_RS01135
OG0000435	NB624_RS01135	E5E95_RS01150
OG0000436	NB624_RS01160	E5E95_RS01180
OG0000437	NB624_RS01170	E5E95_RS01190
OG0000438	NB624_RS01175	E5E95_RS01195
OG0000439	NB624_RS01180	E5E95_RS01200
OG0000440	NB624_RS03110	E5E95_RS03155
OG0000441	NB624_RS03150	E5E95_RS03195
OG0000442	NB624_RS00145	E5E95_RS00135
OG0000443	NB624_RS00190	E5E95_RS00185
OG0000444	NB624_RS00205	E5E95_RS00200
OG0000445	NB624_RS00230	E5E95_RS00225
OG0000446	NB624_RS00255	E5E95_RS00255
OG0000447	NB624_RS00260	E5E95_RS00260
OG0000448	NB624_RS00290	E5E95_RS00290
OG0000449	NB624_RS00315	E5E95_RS00315
OG0000450	NB624_RS00325	E5E95_RS00325
OG0000451	NB624_RS00365	E5E95_RS00365
OG0000452	NB624_RS00390	E5E95_RS00390
OG0000453	NB624_RS00425	E5E95_RS00425
OG0000455	NB624_RS03655	E5E95_RS03730
OG0000456	NB624_RS03535	E5E95_RS03610
OG0000457	NB624_RS03510	E5E95_RS03585
OG0000458	NB624_RS02670	E5E95_RS02715
OG0000459	NB624_RS02695	E5E95_RS02740
OG0000460	NB624_RS02705	E5E95_RS02750
OG0000461	NB624_RS02755	E5E95_RS02795
OG0000462	NB624_RS02750	E5E95_RS02790
OG0000463	NB624_RS02745	E5E95_RS02785
OG0000464	NB624_RS02740	E5E95_RS02780
OG0000465	NB624_RS02735	E5E95_RS02775
OG0000466	NB624_RS00395	E5E95_RS00395
OG0000467	NB624_RS02845	E5E95_RS02880
OG0000468	NB624_RS01970	E5E95_RS02085
OG0000469	NB624_RS02030	E5E95_RS02145
OG0000470	NB624_RS00835	E5E95_RS03895
OG0000471	NB624_RS00755	E5E95_RS00920
OG0000472	NB624_RS03485	E5E95_RS03540
OG0000473	NB624_RS03640	E5E95_RS03715
OG0000474	NB624_RS03645	E5E95_RS03720
OG0000475	NB624_RS03650	E5E95_RS03725
OG0000476	NB624_RS01550	E5E95_RS01570
OG0000477	NB624_RS02785	E5E95_RS02820
OG0000478	NB624_RS03585	E5E95_RS03660
OG0000479	NB624_RS01320	E5E95_RS01345
OG0000480	NB624_RS02035	E5E95_RS03865
OG0000481	NB624_RS00860	E5E95_RS00815
OG0000482	NB624_RS01200	E5E95_RS01230
OG0000483	NB624_RS02180	E5E95_RS02190
OG0000484	NB624_RS00200	E5E95_RS00195
OG0000485	NB624_RS01165	E5E95_RS01185
OG0000486	NB624_RS02445	E5E95_RS02420
OG0000487	NB624_RS02015	E5E95_RS02125
OG0000488	NB624_RS02050	E5E95_RS02160
OG0000489	NB624_RS00050	E5E95_RS00050
OG0000490	NB624_RS03750	E5E95_RS03830
OG0000491	NB624_RS01340	E5E95_RS01365
OG0000492	NB624_RS01415	E5E95_RS01440
OG0000493	NB624_RS00575	E5E95_RS00580
OG0000494	NB624_RS01040	E5E95_RS00640
OG0000495	NB624_RS02995	E5E95_RS03035
OG0000496	NB624_RS02985	E5E95_RS03025
OG0000497	NB624_RS02980	E5E95_RS03020
OG0000500	NB624_RS01935	E5E95_RS02045
OG0000501	NB624_RS03225	E5E95_RS04280, E5E95_RS04275
OG0000502	NB624_RS01190	E5E95_RS01220
OG0000503	NB624_RS00915	E5E95_RS00760
OG0000504	NB624_RS00780	E5E95_RS00895
OG0000506	NB624_RS00735	E5E95_RS00960
OG0000508	NB624_RS00250	E5E95_RS00250
OG0000509	NB624_RS00285	E5E95_RS00285
OG0000510	NB624_RS00295	E5E95_RS00295
OG0000511	NB624_RS00430	E5E95_RS00430
OG0000512	NB624_RS02710	E5E95_RS02755
OG0000513	NB624_RS03570	E5E95_RS03645
OG0000514	NB624_RS03020	E5E95_RS03060
OG0000517	NB624_RS00065	E5E95_RS00065
OG0000519	NB624_RS00890	E5E95_RS00785
OG0000520	NB624_RS00765	E5E95_RS00910
OG0000521	NB624_RS00265	E5E95_RS00265
OG0000522	NB624_RS00300	E5E95_RS00300
OG0000525	NB624_RS03490	E5E95_RS03545
OG0000526	NB624_RS01830	E5E95_RS04020
OG0000527	NB624_RS01770	E5E95_RS01880
OG0000528	NB624_RS02020	E5E95_RS02135
OG0000529	NB624_RS02375	E5E95_RS02355
OG0000532	NB624_RS01615	E5E95_RS01740
OG0000533	NB624_RS01085	E5E95_RS00600
OG0000534	NB624_RS00380	E5E95_RS00380
