Orthogroup	MHP_154B_genes	MHP_UFV02_genes
OG0000276	NB624_RS03590	FEF31_RS03120
OG0000277	NB624_RS03580	FEF31_RS03110
OG0000278	NB624_RS03575	FEF31_RS03105
OG0000279	NB624_RS03565	FEF31_RS03095
OG0000280	NB624_RS03560	FEF31_RS03090
OG0000281	NB624_RS03555	FEF31_RS03085
OG0000282	NB624_RS03530	FEF31_RS04615
OG0000283	NB624_RS03525	FEF31_RS03055
OG0000284	NB624_RS03520	FEF31_RS03050
OG0000285	NB624_RS03515	FEF31_RS04610
OG0000286	NB624_RS02570	FEF31_RS02155
OG0000287	NB624_RS02675	FEF31_RS02260
OG0000288	NB624_RS02685	FEF31_RS02270
OG0000289	NB624_RS02690	FEF31_RS02275
OG0000290	NB624_RS02815	FEF31_RS02385
OG0000291	NB624_RS02800	FEF31_RS02375
OG0000292	NB624_RS02795	FEF31_RS02370
OG0000293	NB624_RS02790	FEF31_RS02365
OG0000294	NB624_RS02780	FEF31_RS02355
OG0000295	NB624_RS02775	FEF31_RS02350
OG0000296	NB624_RS02725	FEF31_RS02310
OG0000297	NB624_RS02720	FEF31_RS02305
OG0000298	NB624_RS00175	FEF31_RS03445
OG0000299	NB624_RS00195	FEF31_RS03465
OG0000300	NB624_RS00370	FEF31_RS00035
OG0000301	NB624_RS00405	FEF31_RS00070
OG0000302	NB624_RS00410	FEF31_RS00075
OG0000303	NB624_RS00555	FEF31_RS00220
OG0000304	NB624_RS00600	FEF31_RS00730
OG0000305	NB624_RS03040	FEF31_RS02620
OG0000306	NB624_RS02965	FEF31_RS02545
OG0000307	NB624_RS02930	FEF31_RS02510
OG0000308	NB624_RS02835	FEF31_RS02405
OG0000309	NB624_RS02765	FEF31_RS02340
OG0000310	NB624_RS02680	FEF31_RS02265
OG0000311	NB624_RS02630	FEF31_RS02215
OG0000312	NB624_RS02615	FEF31_RS02200
OG0000313	NB624_RS01590	FEF31_RS01260
OG0000314	NB624_RS01960	FEF31_RS01700
OG0000315	NB624_RS01990	FEF31_RS01730
OG0000316	NB624_RS02000	FEF31_RS01740
OG0000317	NB624_RS02195	FEF31_RS01835
OG0000318	NB624_RS02005	FEF31_RS04480
OG0000319	NB624_RS02365	FEF31_RS01970
OG0000320	NB624_RS02500	FEF31_RS02095
OG0000321	NB624_RS01325	FEF31_RS00990
OG0000322	NB624_RS01370	FEF31_RS01040
OG0000323	NB624_RS01500	FEF31_RS01170
OG0000324	NB624_RS02405	FEF31_RS02010
OG0000325	NB624_RS00980	FEF31_RS00355
OG0000326	NB624_RS00880	FEF31_RS00450
OG0000327	NB624_RS00875	FEF31_RS00455
OG0000328	NB624_RS00790	FEF31_RS00540
OG0000329	NB624_RS00770	FEF31_RS00560
OG0000330	NB624_RS01105	FEF31_RS00760
OG0000331	NB624_RS03130	FEF31_RS02710
OG0000332	NB624_RS03270	FEF31_RS03680
OG0000333	NB624_RS03280	FEF31_RS03690
OG0000334	NB624_RS03385	FEF31_RS03790
OG0000335	NB624_RS03395	FEF31_RS03800
OG0000336	NB624_RS03545	FEF31_RS04620
OG0000337	NB624_RS03715	FEF31_RS03240
OG0000338	NB624_RS03755	FEF31_RS03280
OG0000339	NB624_RS02475	FEF31_RS02070
OG0000340	NB624_RS01305	FEF31_RS00970
OG0000341	NB624_RS02430	FEF31_RS02030
OG0000342	NB624_RS00945	FEF31_RS00385
OG0000343	NB624_RS03290	FEF31_RS03700
OG0000344	NB624_RS00570	FEF31_RS00235
OG0000345	NB624_RS00655	FEF31_RS00675
OG0000346	NB624_RS03550	FEF31_RS03080
OG0000347	NB624_RS01395	FEF31_RS01065
OG0000348	NB624_RS00870	FEF31_RS00460
OG0000349	NB624_RS03610	FEF31_RS04630
OG0000350	NB624_RS02920	FEF31_RS02500
OG0000351	NB624_RS00490	FEF31_RS00155
OG0000352	NB624_RS01940	FEF31_RS01680
OG0000353	NB624_RS01365	FEF31_RS01035
OG0000354	NB624_RS01045	FEF31_RS00295
OG0000355	NB624_RS01915	FEF31_RS04470
OG0000356	NB624_RS01995	FEF31_RS04475
OG0000357	NB624_RS03250	FEF31_RS04685
OG0000358	NB624_RS03255	FEF31_RS03665
OG0000359	NB624_RS00900	FEF31_RS04380
OG0000360	NB624_RS00275	FEF31_RS03545
OG0000361	NB624_RS00305	FEF31_RS03575
OG0000362	NB624_RS02700	FEF31_RS02285
OG0000363	NB624_RS01435	FEF31_RS01105
OG0000365	NB624_RS02040	FEF31_RS01785
OG0000366	NB624_RS02065	FEF31_RS01805
OG0000367	NB624_RS02175	FEF31_RS01815
OG0000368	NB624_RS00060	FEF31_RS03345
OG0000369	NB624_RS00025	FEF31_RS04650
OG0000370	NB624_RS00020	FEF31_RS03305
OG0000371	NB624_RS00015	FEF31_RS03300
OG0000372	NB624_RS00010	FEF31_RS03295
OG0000373	NB624_RS03745	FEF31_RS03270
OG0000374	NB624_RS03735	FEF31_RS03260
OG0000375	NB624_RS02360	FEF31_RS01965
OG0000376	NB624_RS02515	FEF31_RS02110
OG0000377	NB624_RS02505	FEF31_RS02100
OG0000378	NB624_RS01285	FEF31_RS00950
OG0000379	NB624_RS01360	FEF31_RS01030
OG0000380	NB624_RS01390	FEF31_RS01055
OG0000381	NB624_RS01425	FEF31_RS01095
OG0000382	NB624_RS01455	FEF31_RS01125
OG0000383	NB624_RS01495	FEF31_RS01165
OG0000384	NB624_RS00510	FEF31_RS00175
OG0000385	NB624_RS00515	FEF31_RS00180
OG0000386	NB624_RS00535	FEF31_RS00200
OG0000387	NB624_RS00560	FEF31_RS00225
OG0000388	NB624_RS00565	FEF31_RS04370
OG0000389	NB624_RS01065	FEF31_RS00275
OG0000390	NB624_RS03060	FEF31_RS02640
OG0000391	NB624_RS03050	FEF31_RS02630
OG0000392	NB624_RS03025	FEF31_RS02605
OG0000393	NB624_RS02970	FEF31_RS04550
OG0000394	NB624_RS02900	FEF31_RS02475
OG0000395	NB624_RS02890	FEF31_RS02470
OG0000396	NB624_RS02575	FEF31_RS02160
OG0000397	NB624_RS01925	FEF31_RS01665
OG0000398	NB624_RS01930	FEF31_RS01670
OG0000399	NB624_RS01975	FEF31_RS01715
OG0000400	NB624_RS03215	FEF31_RS03625
OG0000401	NB624_RS03275	FEF31_RS03685
OG0000402	NB624_RS03285	FEF31_RS03695
OG0000403	NB624_RS03295	FEF31_RS03705
OG0000404	NB624_RS03330	FEF31_RS03730
OG0000405	NB624_RS03350	FEF31_RS04800
OG0000406	NB624_RS03400	FEF31_RS03805
OG0000407	NB624_RS03405	FEF31_RS04695
OG0000408	NB624_RS03410	FEF31_RS03815
OG0000409	NB624_RS03415	FEF31_RS03820
OG0000410	NB624_RS03480	FEF31_RS02985
OG0000411	NB624_RS03465	FEF31_RS02975
OG0000412	NB624_RS03460	FEF31_RS02970
OG0000413	NB624_RS01510	FEF31_RS01180
OG0000414	NB624_RS01520	FEF31_RS01190
OG0000415	NB624_RS01525	FEF31_RS01195
OG0000416	NB624_RS01535	FEF31_RS01205
OG0000417	NB624_RS02425	FEF31_RS02025
OG0000418	NB624_RS02415	FEF31_RS02020
OG0000419	NB624_RS00965	FEF31_RS00365
OG0000420	NB624_RS00930	FEF31_RS00400
OG0000421	NB624_RS00895	FEF31_RS00435
OG0000422	NB624_RS00885	FEF31_RS00445
OG0000423	NB624_RS00830	FEF31_RS00500
OG0000424	NB624_RS00825	FEF31_RS00505
OG0000425	NB624_RS00815	FEF31_RS00515
OG0000426	NB624_RS00810	FEF31_RS04385
OG0000427	NB624_RS00785	FEF31_RS04390
OG0000428	NB624_RS00760	FEF31_RS00570
OG0000429	NB624_RS00665	FEF31_RS00665
OG0000430	NB624_RS00620	FEF31_RS00710
OG0000431	NB624_RS00610	FEF31_RS00720
OG0000432	NB624_RS01100	FEF31_RS00755
OG0000433	NB624_RS01115	FEF31_RS00770
OG0000434	NB624_RS01125	FEF31_RS00775
OG0000435	NB624_RS01135	FEF31_RS00790
OG0000436	NB624_RS01160	FEF31_RS00815
OG0000437	NB624_RS01170	FEF31_RS00825
OG0000438	NB624_RS01175	FEF31_RS00830
OG0000439	NB624_RS01180	FEF31_RS04400
OG0000440	NB624_RS03110	FEF31_RS02690
OG0000441	NB624_RS03150	FEF31_RS02725
OG0000442	NB624_RS00145	FEF31_RS03415
OG0000443	NB624_RS00190	FEF31_RS03460
OG0000444	NB624_RS00205	FEF31_RS03475
OG0000445	NB624_RS00230	FEF31_RS03500
OG0000446	NB624_RS00255	FEF31_RS03525
OG0000447	NB624_RS00260	FEF31_RS03530
OG0000448	NB624_RS00290	FEF31_RS03560
OG0000449	NB624_RS00315	FEF31_RS03585
OG0000450	NB624_RS00325	FEF31_RS03595
OG0000451	NB624_RS00365	FEF31_RS00030
OG0000452	NB624_RS00390	FEF31_RS00055
OG0000453	NB624_RS00425	FEF31_RS00090
OG0000455	NB624_RS03655	FEF31_RS03185
OG0000456	NB624_RS03535	FEF31_RS03065
OG0000457	NB624_RS03510	FEF31_RS03040
OG0000458	NB624_RS02670	FEF31_RS02255
OG0000459	NB624_RS02695	FEF31_RS02280
OG0000460	NB624_RS02705	FEF31_RS02290
OG0000461	NB624_RS02755	FEF31_RS02335
OG0000462	NB624_RS02750	FEF31_RS02330
OG0000463	NB624_RS02745	FEF31_RS02325
OG0000464	NB624_RS02740	FEF31_RS02320
OG0000465	NB624_RS02735	FEF31_RS02315
OG0000466	NB624_RS00395	FEF31_RS00060
OG0000467	NB624_RS02845	FEF31_RS04530
OG0000468	NB624_RS01970	FEF31_RS01710
OG0000469	NB624_RS02030	FEF31_RS01770
OG0000470	NB624_RS00835	FEF31_RS00495
OG0000471	NB624_RS00755	FEF31_RS00575
OG0000472	NB624_RS03485	FEF31_RS02995
OG0000473	NB624_RS03640	FEF31_RS03170
OG0000474	NB624_RS03645	FEF31_RS03175
OG0000475	NB624_RS03650	FEF31_RS03180
OG0000476	NB624_RS01550	FEF31_RS01215
OG0000477	NB624_RS02785	FEF31_RS02360
OG0000478	NB624_RS03585	FEF31_RS03115
OG0000479	NB624_RS01320	FEF31_RS00985
OG0000480	NB624_RS02035	FEF31_RS01775
OG0000481	NB624_RS00860	FEF31_RS00470
OG0000482	NB624_RS01200	FEF31_RS00865
OG0000483	NB624_RS02180	FEF31_RS01820
OG0000484	NB624_RS00200	FEF31_RS04675
OG0000485	NB624_RS01165	FEF31_RS00820
OG0000486	NB624_RS02445	FEF31_RS02045
OG0000487	NB624_RS02015	FEF31_RS04485
OG0000488	NB624_RS02050	FEF31_RS01790
OG0000489	NB624_RS00050	FEF31_RS03335
OG0000490	NB624_RS03750	FEF31_RS03275
OG0000491	NB624_RS01340	FEF31_RS01005
OG0000492	NB624_RS01415	FEF31_RS01085
OG0000493	NB624_RS00575	FEF31_RS00240
OG0000494	NB624_RS01040	FEF31_RS00300
OG0000495	NB624_RS02995	FEF31_RS02575
OG0000496	NB624_RS02985	FEF31_RS02565
OG0000497	NB624_RS02980	FEF31_RS02560
OG0000498	NB624_RS02905	FEF31_RS02480
OG0000499	NB624_RS02865	FEF31_RS02445
OG0000500	NB624_RS01935	FEF31_RS01675
OG0000502	NB624_RS01190	FEF31_RS00855
OG0000503	NB624_RS00915	FEF31_RS00415
OG0000504	NB624_RS00780	FEF31_RS00550
OG0000505	NB624_RS00745	FEF31_RS00585
OG0000506	NB624_RS00735	FEF31_RS00595
OG0000507	NB624_RS00700	FEF31_RS00630
OG0000508	NB624_RS00250	FEF31_RS03520
OG0000509	NB624_RS00285	FEF31_RS03555
OG0000510	NB624_RS00295	FEF31_RS03565
OG0000511	NB624_RS00430	FEF31_RS00095
OG0000512	NB624_RS02710	FEF31_RS02295
OG0000513	NB624_RS03570	FEF31_RS03100
OG0000514	NB624_RS03020	FEF31_RS02600
OG0000515	NB624_RS01555	FEF31_RS01230
OG0000517	NB624_RS00065	FEF31_RS03350
OG0000519	NB624_RS00890	FEF31_RS00440
OG0000520	NB624_RS00765	FEF31_RS00565
OG0000521	NB624_RS00265	FEF31_RS03535
OG0000522	NB624_RS00300	FEF31_RS03570
OG0000524	NB624_RS02840	FEF31_RS02410
OG0000525	NB624_RS03490	FEF31_RS04585
OG0000526	NB624_RS01830	FEF31_RS01585
OG0000527	NB624_RS01770	FEF31_RS01525
OG0000528	NB624_RS02020	FEF31_RS01760
OG0000529	NB624_RS02375	FEF31_RS01980
OG0000532	NB624_RS01615	FEF31_RS01290
OG0000533	NB624_RS01085	FEF31_RS00260
OG0000534	NB624_RS00380	FEF31_RS00045
OG0000536	NB624_RS03685	FEF31_RS03215
OG0000537	NB624_RS00950	FEF31_RS00380
OG0000539	NB624_RS00215	FEF31_RS03485
OG0000540	NB624_RS02810, NB624_RS02805	FEF31_RS02380
OG0000544	NB624_RS01240	FEF31_RS04410
OG0000545	NB624_RS01820	FEF31_RS01575, FEF31_RS01570
OG0000546	NB624_RS02950	FEF31_RS02530
OG0000552	NB624_RS03305	FEF31_RS03710
OG0000553	NB624_RS02855	FEF31_RS04535
OG0000554	NB624_RS02535	FEF31_RS02125
OG0000555	NB624_RS03075	FEF31_RS02655
OG0000556	NB624_RS02135	FEF31_RS04460
