Orthogroup	MHP_MHP679_genes	MFC_Ms42_genes
OG0000173	DR086_RS01400	MYF_RS02605
OG0000174	DR086_RS01395	MYF_RS02610
OG0000175	DR086_RS01380	MYF_RS02625
OG0000176	DR086_RS01330	MYF_RS02670
OG0000177	DR086_RS01325	MYF_RS02675
OG0000178	DR086_RS01320	MYF_RS02680
OG0000179	DR086_RS01310	MYF_RS02690
OG0000180	DR086_RS01305	MYF_RS02695
OG0000181	DR086_RS05065	MYF_RS02710
OG0000182	DR086_RS03535	MYF_RS02720
OG0000183	DR086_RS02345	MYF_RS02755
OG0000184	DR086_RS02390	MYF_RS02785
OG0000185	DR086_RS02375	MYF_RS02800
OG0000186	DR086_RS04895	MYF_RS01895
OG0000187	DR086_RS01790	MYF_RS01910
OG0000188	DR086_RS01780	MYF_RS01920
OG0000189	DR086_RS04920	MYF_RS01930
OG0000190	DR086_RS02035	MYF_RS01935
OG0000191	DR086_RS02055	MYF_RS01955
OG0000192	DR086_RS02515	MYF_RS01965
OG0000193	DR086_RS02500	MYF_RS01980
OG0000194	DR086_RS03025	MYF_RS01990
OG0000195	DR086_RS03030	MYF_RS01995
OG0000196	DR086_RS03050	MYF_RS02015
OG0000197	DR086_RS03055	MYF_RS02020
OG0000198	DR086_RS03070	MYF_RS02035
OG0000199	DR086_RS03075	MYF_RS02040
OG0000200	DR086_RS03090	MYF_RS02050
OG0000201	DR086_RS03100	MYF_RS02060
OG0000202	DR086_RS03345	MYF_RS02115
OG0000203	DR086_RS03340	MYF_RS02120
OG0000204	DR086_RS04975	MYF_RS02125
OG0000205	DR086_RS02805	MYF_RS02130
OG0000206	DR086_RS02825	MYF_RS02150
OG0000207	DR086_RS02840	MYF_RS02165
OG0000208	DR086_RS02845	MYF_RS02170
OG0000209	DR086_RS02850	MYF_RS02175
OG0000210	DR086_RS02895	MYF_RS02220
OG0000211	DR086_RS02580	MYF_RS02230
OG0000212	DR086_RS02590	MYF_RS02240
OG0000213	DR086_RS02595	MYF_RS02245
OG0000214	DR086_RS02600	MYF_RS02250
OG0000215	DR086_RS02605	MYF_RS02255
OG0000216	DR086_RS02610	MYF_RS02260
OG0000217	DR086_RS02615	MYF_RS02265
OG0000218	DR086_RS02625	MYF_RS02275
OG0000219	DR086_RS02630	MYF_RS02280
OG0000220	DR086_RS02635	MYF_RS02285
OG0000221	DR086_RS02640	MYF_RS02290
OG0000222	DR086_RS02645	MYF_RS03240
OG0000223	DR086_RS02650	MYF_RS02295
OG0000224	DR086_RS02660	MYF_RS02305
OG0000225	DR086_RS02670	MYF_RS02315
OG0000226	DR086_RS02675	MYF_RS02320
OG0000227	DR086_RS02680	MYF_RS02325
OG0000228	DR086_RS05105	MYF_RS03530
OG0000229	DR086_RS02690	MYF_RS02335
OG0000230	DR086_RS02695	MYF_RS02340
OG0000231	DR086_RS02705	MYF_RS02350
OG0000232	DR086_RS02715	MYF_RS02360
OG0000233	DR086_RS01680	MYF_RS02370
OG0000234	DR086_RS01715	MYF_RS02400
OG0000235	DR086_RS01725	MYF_RS02410
OG0000236	DR086_RS01730	MYF_RS02415
OG0000237	DR086_RS01735	MYF_RS02430
OG0000238	DR086_RS01745	MYF_RS02435
OG0000239	DR086_RS02960	MYF_RS02465
OG0000240	DR086_RS02955	MYF_RS02470
OG0000241	DR086_RS02945	MYF_RS02480
OG0000242	DR086_RS02940	MYF_RS02485
OG0000243	DR086_RS02935	MYF_RS02490
OG0000244	DR086_RS02925	MYF_RS02500
OG0000245	DR086_RS02915	MYF_RS02510
OG0000246	DR086_RS03275	MYF_RS00085
OG0000247	DR086_RS00010	MYF_RS00095
OG0000248	DR086_RS00020	MYF_RS00120
OG0000249	DR086_RS00025	MYF_RS00125
OG0000250	DR086_RS00040	MYF_RS00140
OG0000251	DR086_RS00075	MYF_RS00170
OG0000252	DR086_RS00085	MYF_RS00180
OG0000253	DR086_RS00090	MYF_RS00185
OG0000254	DR086_RS00100	MYF_RS00195
OG0000255	DR086_RS00110	MYF_RS00205
OG0000256	DR086_RS00115	MYF_RS00210
OG0000257	DR086_RS00140	MYF_RS00235
OG0000258	DR086_RS00150	MYF_RS00245
OG0000259	DR086_RS00180	MYF_RS00275
OG0000260	DR086_RS00190	MYF_RS00285
OG0000261	DR086_RS04745	MYF_RS00295
OG0000262	DR086_RS00215	MYF_RS00310
OG0000263	DR086_RS00230	MYF_RS00325
OG0000264	DR086_RS00245	MYF_RS00340
OG0000265	DR086_RS00255	MYF_RS00350
OG0000266	DR086_RS00270	MYF_RS00365
OG0000267	DR086_RS00285	MYF_RS00380
OG0000268	DR086_RS00290	MYF_RS00385
OG0000269	DR086_RS00305	MYF_RS00400
OG0000270	DR086_RS04945	MYF_RS02955
OG0000271	DR086_RS02410	MYF_RS02950
OG0000272	DR086_RS02405	MYF_RS02945
OG0000273	DR086_RS02400	MYF_RS02940
OG0000274	DR086_RS01450	MYF_RS02920
OG0000275	DR086_RS04850	MYF_RS02915
OG0000276	DR086_RS01460	MYF_RS02910
OG0000277	DR086_RS01470	MYF_RS02900
OG0000278	DR086_RS01475	MYF_RS02895
OG0000279	DR086_RS01485	MYF_RS02885
OG0000280	DR086_RS01490	MYF_RS02880
OG0000281	DR086_RS01495	MYF_RS03275
OG0000282	DR086_RS04860	MYF_RS02855
OG0000283	DR086_RS01525	MYF_RS02850
OG0000284	DR086_RS01530	MYF_RS02845
OG0000285	DR086_RS04865	MYF_RS02840
OG0000286	DR086_RS02220	MYF_RS01115
OG0000287	DR086_RS00990	MYF_RS01090
OG0000288	DR086_RS00980	MYF_RS01080
OG0000289	DR086_RS00975	MYF_RS01075
OG0000290	DR086_RS00865	MYF_RS00905
OG0000291	DR086_RS00875	MYF_RS00915
OG0000292	DR086_RS00880	MYF_RS00920
OG0000293	DR086_RS00885	MYF_RS00925
OG0000294	DR086_RS00895	MYF_RS00935
OG0000295	DR086_RS00900	MYF_RS00940
OG0000296	DR086_RS00940	MYF_RS01040
OG0000297	DR086_RS00945	MYF_RS01045
OG0000298	DR086_RS00035	MYF_RS00135
OG0000299	DR086_RS00060	MYF_RS00155
OG0000300	DR086_RS00240	MYF_RS00335
OG0000301	DR086_RS00275	MYF_RS00370
OG0000302	DR086_RS00280	MYF_RS00375
OG0000303	DR086_RS02275	MYF_RS00515
OG0000304	DR086_RS02725	MYF_RS00545
OG0000305	DR086_RS01090	MYF_RS00690
OG0000306	DR086_RS01015	MYF_RS00770
OG0000307	DR086_RS03215	MYF_RS00810
OG0000308	DR086_RS00845	MYF_RS00895
OG0000309	DR086_RS00910	MYF_RS01005
OG0000310	DR086_RS00985	MYF_RS01085
OG0000311	DR086_RS02160	MYF_RS01140
OG0000312	DR086_RS02175	MYF_RS01160
OG0000313	DR086_RS03315	MYF_RS01210
OG0000314	DR086_RS00455	MYF_RS01280
OG0000315	DR086_RS00485	MYF_RS01310
OG0000316	DR086_RS00495	MYF_RS01320
OG0000317	DR086_RS00585	MYF_RS01360
OG0000318	DR086_RS04760	MYF_RS01450
OG0000319	DR086_RS02100	MYF_RS01555
OG0000320	DR086_RS03145	MYF_RS01620
OG0000321	DR086_RS02000	MYF_RS01685
OG0000322	DR086_RS01955	MYF_RS01730
OG0000323	DR086_RS01820	MYF_RS01860
OG0000324	DR086_RS02060	MYF_RS01960
OG0000325	DR086_RS03035	MYF_RS02000
OG0000326	DR086_RS03370	MYF_RS02090
OG0000327	DR086_RS03365	MYF_RS02095
OG0000328	DR086_RS02855	MYF_RS02180
OG0000329	DR086_RS02875	MYF_RS02200
OG0000330	DR086_RS01690	MYF_RS02380
OG0000331	DR086_RS02930	MYF_RS02495
OG0000332	DR086_RS01370	MYF_RS02635
OG0000333	DR086_RS01360	MYF_RS02645
OG0000334	DR086_RS03540	MYF_RS02715
OG0000335	DR086_RS02315	MYF_RS02725
OG0000336	DR086_RS04855	MYF_RS02870
OG0000337	DR086_RS01270	MYF_RS03105
OG0000338	DR086_RS01230	MYF_RS03145
OG0000339	DR086_RS03465	MYF_RS01640
OG0000340	DR086_RS02020	MYF_RS01665
OG0000341	DR086_RS02040	MYF_RS01940
OG0000342	DR086_RS03065	MYF_RS02030
OG0000343	DR086_RS01350	MYF_RS02655
OG0000344	DR086_RS02290	MYF_RS00530
OG0000345	DR086_RS02665	MYF_RS02310
OG0000346	DR086_RS05090	MYF_RS02875
OG0000347	DR086_RS01930	MYF_RS01755
OG0000348	DR086_RS03360	MYF_RS02100
OG0000349	DR086_RS04845	MYF_RS02930
OG0000350	DR086_RS03205	MYF_RS03360
OG0000351	DR086_RS00370	MYF_RS00465
OG0000352	DR086_RS00435	MYF_RS01260
OG0000353	DR086_RS01960	MYF_RS01725
OG0000354	DR086_RS02760	MYF_RS00580
OG0000355	DR086_RS04750	MYF_RS01235
OG0000356	DR086_RS04755	MYF_RS01315
OG0000357	DR086_RS04840	MYF_RS02615
OG0000358	DR086_RS01385	MYF_RS02620
OG0000359	DR086_RS05045	MYF_RS02070
OG0000360	DR086_RS00145	MYF_RS00240
OG0000361	DR086_RS00175	MYF_RS00270
OG0000362	DR086_RS00965	MYF_RS01065
OG0000363	DR086_RS04910	MYF_RS01795
OG0000365	DR086_RS00535	MYF_RS01420
OG0000366	DR086_RS00555	MYF_RS01390
OG0000367	DR086_RS00565	MYF_RS01380
OG0000368	DR086_RS01165	MYF_RS00060
OG0000369	DR086_RS04830	MYF_RS00025
OG0000370	DR086_RS01205	MYF_RS00020
OG0000371	DR086_RS01210	MYF_RS00015
OG0000372	DR086_RS01215	MYF_RS00010
OG0000373	DR086_RS01240	MYF_RS03135
OG0000374	DR086_RS01250	MYF_RS03125
OG0000375	DR086_RS02105	MYF_RS01550
OG0000376	DR086_RS03130	MYF_RS01605
OG0000377	DR086_RS03140	MYF_RS01615
OG0000378	DR086_RS03415	MYF_RS01650
OG0000379	DR086_RS01965	MYF_RS01720
OG0000380	DR086_RS01940	MYF_RS01745
OG0000381	DR086_RS01895	MYF_RS01785
OG0000382	DR086_RS01865	MYF_RS01815
OG0000383	DR086_RS01825	MYF_RS01855
OG0000384	DR086_RS02230	MYF_RS00470
OG0000385	DR086_RS02235	MYF_RS00475
OG0000386	DR086_RS02255	MYF_RS00495
OG0000387	DR086_RS02280	MYF_RS00520
OG0000388	DR086_RS04925	MYF_RS00525
OG0000389	DR086_RS02785	MYF_RS00560
OG0000390	DR086_RS01110	MYF_RS00670
OG0000391	DR086_RS01100	MYF_RS00680
OG0000392	DR086_RS01075	MYF_RS00705
OG0000393	DR086_RS04815	MYF_RS00760
OG0000394	DR086_RS03645	MYF_RS00825
OG0000395	DR086_RS03015	MYF_RS00830
OG0000396	DR086_RS02215	MYF_RS01200
OG0000397	DR086_RS00420	MYF_RS01245
OG0000398	DR086_RS00425	MYF_RS01250
OG0000399	DR086_RS00470	MYF_RS01295
OG0000400	DR086_RS01425	MYF_RS02580
OG0000401	DR086_RS01365	MYF_RS02640
OG0000402	DR086_RS01355	MYF_RS02650
OG0000403	DR086_RS01345	MYF_RS02660
OG0000404	DR086_RS01315	MYF_RS02685
OG0000405	DR086_RS01300	MYF_RS02700
OG0000406	DR086_RS02320	MYF_RS02730
OG0000407	DR086_RS04930	MYF_RS02735
OG0000408	DR086_RS02330	MYF_RS02740
OG0000409	DR086_RS02335	MYF_RS02745
OG0000410	DR086_RS02395	MYF_RS02780
OG0000411	DR086_RS02385	MYF_RS02790
OG0000412	DR086_RS02380	MYF_RS02795
OG0000413	DR086_RS01810	MYF_RS01890
OG0000414	DR086_RS01800	MYF_RS01900
OG0000415	DR086_RS01795	MYF_RS01905
OG0000416	DR086_RS01785	MYF_RS01915
OG0000417	DR086_RS02045	MYF_RS01945
OG0000418	DR086_RS02050	MYF_RS01950
OG0000419	DR086_RS03045	MYF_RS02010
OG0000420	DR086_RS03080	MYF_RS02045
OG0000421	DR086_RS03385	MYF_RS02075
OG0000422	DR086_RS03375	MYF_RS02085
OG0000423	DR086_RS02815	MYF_RS02140
OG0000424	DR086_RS02820	MYF_RS02145
OG0000425	DR086_RS02830	MYF_RS02155
OG0000426	DR086_RS04980	MYF_RS02160
OG0000427	DR086_RS04985	MYF_RS02185
OG0000428	DR086_RS02885	MYF_RS02210
OG0000429	DR086_RS02655	MYF_RS02300
OG0000430	DR086_RS02700	MYF_RS02345
OG0000431	DR086_RS02710	MYF_RS02355
OG0000432	DR086_RS01685	MYF_RS02375
OG0000433	DR086_RS01700	MYF_RS02385
OG0000434	DR086_RS01705	MYF_RS02390
OG0000435	DR086_RS01720	MYF_RS02405
OG0000436	DR086_RS01750	MYF_RS02440
OG0000437	DR086_RS01760	MYF_RS02450
OG0000438	DR086_RS01765	MYF_RS02455
OG0000439	DR086_RS01770	MYF_RS02460
OG0000440	DR086_RS02950	MYF_RS02475
OG0000441	DR086_RS02910	MYF_RS02515
OG0000442	DR086_RS03280	MYF_RS00090
OG0000443	DR086_RS00055	MYF_RS00150
OG0000444	DR086_RS00070	MYF_RS00165
OG0000445	DR086_RS00095	MYF_RS00190
OG0000446	DR086_RS00125	MYF_RS00220
OG0000447	DR086_RS00130	MYF_RS00225
OG0000448	DR086_RS00160	MYF_RS00255
OG0000449	DR086_RS00185	MYF_RS00280
OG0000450	DR086_RS00195	MYF_RS00290
OG0000451	DR086_RS00235	MYF_RS00330
OG0000452	DR086_RS00260	MYF_RS00355
OG0000453	DR086_RS00295	MYF_RS00390
OG0000455	DR086_RS02435	MYF_RS02975
OG0000456	DR086_RS01515	MYF_RS02860
OG0000457	DR086_RS01540	MYF_RS02835
OG0000458	DR086_RS03680	MYF_RS01095
OG0000459	DR086_RS00970	MYF_RS01070
OG0000460	DR086_RS00960	MYF_RS01060
OG0000461	DR086_RS00915	MYF_RS01010
OG0000462	DR086_RS00920	MYF_RS01015
OG0000463	DR086_RS00925	MYF_RS01020
OG0000464	DR086_RS00930	MYF_RS01030
OG0000465	DR086_RS00935	MYF_RS01035
OG0000466	DR086_RS00265	MYF_RS00360
OG0000467	DR086_RS04810	MYF_RS03505
OG0000468	DR086_RS00465	MYF_RS01290
OG0000469	DR086_RS00525	MYF_RS01425
OG0000470	DR086_RS03975	MYF_RS02135
OG0000471	DR086_RS02890	MYF_RS02215
OG0000472	DR086_RS03165	MYF_RS03535
OG0000473	DR086_RS02420	MYF_RS02960
OG0000474	DR086_RS02425	MYF_RS02965
OG0000475	DR086_RS02430	MYF_RS02970
OG0000476	DR086_RS01775	MYF_RS03040
OG0000477	DR086_RS00890	MYF_RS00930
OG0000478	DR086_RS01465	MYF_RS02905
OG0000479	DR086_RS02005	MYF_RS01680
OG0000480	DR086_RS03935	MYF_RS03350
OG0000481	DR086_RS03350	MYF_RS02110
OG0000482	DR086_RS02505	MYF_RS01975
OG0000483	DR086_RS00570	MYF_RS01375
OG0000484	DR086_RS04740	MYF_RS00160
OG0000485	DR086_RS01755	MYF_RS02445
OG0000486	DR086_RS02025	MYF_RS01925
OG0000487	DR086_RS04765	MYF_RS01445
OG0000488	DR086_RS00540	MYF_RS01405
OG0000489	DR086_RS01175	MYF_RS00050
OG0000490	DR086_RS01235	MYF_RS03140
OG0000491	DR086_RS01985	MYF_RS01700
OG0000492	DR086_RS01910	MYF_RS01775
OG0000493	DR086_RS02295	MYF_RS00535
OG0000494	DR086_RS02755	MYF_RS00585
OG0000495	DR086_RS01045	MYF_RS00735
OG0000496	DR086_RS01035	MYF_RS00745
OG0000497	DR086_RS01030	MYF_RS00750
OG0000498	DR086_RS03185	MYF_RS00820
OG0000499	DR086_RS02985	MYF_RS00865
OG0000500	DR086_RS00430	MYF_RS01255
OG0000501	DR086_RS01415	MYF_RS02590
OG0000502	DR086_RS02495	MYF_RS01985
OG0000503	DR086_RS03095	MYF_RS02055
OG0000504	DR086_RS02865	MYF_RS02190
OG0000505	DR086_RS02575	MYF_RS02225
OG0000506	DR086_RS02585	MYF_RS02235
OG0000507	DR086_RS02620	MYF_RS02270
OG0000508	DR086_RS00120	MYF_RS00215
OG0000509	DR086_RS00155	MYF_RS00250
OG0000510	DR086_RS00165	MYF_RS00260
OG0000511	DR086_RS00300	MYF_RS00395
OG0000512	DR086_RS00955	MYF_RS01055
OG0000513	DR086_RS01480	MYF_RS02890
OG0000514	DR086_RS01070	MYF_RS00710
OG0000516	DR086_RS04770	MYF_RS01440
OG0000517	DR086_RS01160	MYF_RS00065
OG0000518	DR086_RS01375	MYF_RS02630
OG0000519	DR086_RS03380	MYF_RS02080
OG0000520	DR086_RS02880	MYF_RS02205
OG0000521	DR086_RS00135	MYF_RS00230
OG0000522	DR086_RS00170	MYF_RS00265
OG0000523	DR086_RS01545	MYF_RS02830
OG0000524	DR086_RS00840	MYF_RS00890
OG0000528	DR086_RS04775	MYF_RS01435
OG0000529	DR086_RS02090	MYF_RS01565
OG0000530	DR086_RS03450	MYF_RS01630
OG0000531	DR086_RS01935	MYF_RS01750
OG0000532	DR086_RS03285	MYF_RS00620
OG0000533	DR086_RS02795	MYF_RS02365
OG0000534	DR086_RS00250	MYF_RS00345
OG0000535	DR086_RS04825	MYF_RS00045
OG0000536	DR086_RS02465	MYF_RS03070
OG0000537	DR086_RS03060	MYF_RS02025
OG0000538	DR086_RS01710	MYF_RS02395
OG0000539	DR086_RS00080	MYF_RS00175
OG0000540	DR086_RS00870	MYF_RS00910
OG0000541	DR086_RS03000	MYF_RS00850
OG0000542	DR086_RS00220	MYF_RS00315
OG0000547	DR086_RS01120	MYF_RS00660
OG0000548	DR086_RS03320	MYF_RS01205
OG0000549	DR086_RS05015	MYF_RS02805
OG0000550	DR086_RS01445	MYF_RS02925
OG0000551	DR086_RS02920	MYF_RS02505
OG0000589	DR086_RS03515	MYF_RS03220
OG0000595	DR086_RS02900	MYF_RS02570
OG0000597	DR086_RS02905	MYF_RS02565
