Orthogroup	MHP_TB1_proteins	MHP_MHP709_proteins
OG0000037	WP_252862199.1, WP_088764614.1	WP_308507101.1
OG0000039	WP_187286318.1	WP_160588346.1
OG0000040	WP_088764609.1	WP_160588136.1
OG0000041	WP_014579652.1, WP_228365413.1	WP_258555272.1
OG0000042	WP_014579952.1	WP_160588323.1
OG0000043	WP_014579804.1, WP_014579681.1	WP_014579804.1
OG0000044	WP_044277998.1	WP_011206179.1
OG0000045	WP_014579772.1	WP_225973032.1
OG0000046	WP_014579994.1	WP_308507097.1
OG0000048	WP_014579838.1	WP_011284150.1
OG0000049	WP_014579961.1	WP_020835860.1
OG0000050	WP_014579879.1	WP_160588301.1
OG0000051	WP_044278027.1, WP_014579910.1	WP_160587825.1
OG0000052	WP_088764574.1	WP_146379447.1
OG0000053	WP_014579730.1	WP_160588221.1
OG0000054	WP_014579883.1	WP_160588303.1
OG0000055	WP_014579531.1	WP_146379455.1
OG0000056	WP_143826159.1	WP_160588161.1
OG0000057	WP_228365395.1	WP_160587863.1
OG0000060	WP_252862172.1, WP_252862118.1	WP_225973002.1
OG0000061	WP_014579796.1, WP_014579745.1	WP_160587888.1
OG0000062	WP_252862161.1	WP_160588098.1
OG0000063	WP_252862162.1	WP_146379768.1
OG0000064	WP_014580043.1	WP_160588095.1
OG0000065	WP_252862189.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_160588243.1
OG0000067	WP_014579588.1	WP_160588342.1
OG0000068	WP_011206103.1	WP_160587949.1
OG0000069	WP_011284269.1	WP_011284269.1
OG0000070	WP_014579884.1	WP_146379657.1
OG0000071	WP_014579991.1	WP_160585219.1
OG0000072	WP_014579992.1	WP_160588134.1
OG0000073	WP_088764597.1	WP_011206093.1
OG0000074	WP_014579624.1	WP_044284596.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_011289987.1	WP_160584756.1
OG0000077	WP_088764617.1	WP_160588013.1
OG0000078	WP_014579762.1	WP_160588203.1
OG0000079	WP_011206305.1	WP_011206305.1
OG0000080	WP_179695988.1	WP_179695988.1
OG0000081	WP_252862124.1	WP_160588023.1
OG0000082	WP_228365387.1	WP_258555343.1
OG0000083	WP_014579823.1	WP_160587917.1
OG0000084	WP_014579845.1	WP_011284142.1
OG0000085	WP_014579844.1	WP_011206223.1
OG0000086	WP_014579843.1	WP_160587925.1
OG0000087	WP_014579840.1	WP_160587927.1
OG0000088	WP_014579839.1	WP_044272480.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_088764627.1	WP_160588122.1
OG0000091	WP_252862156.1	WP_160588118.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_252862158.1	WP_160588114.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_252862160.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_228365398.1	WP_258555298.1
OG0000098	WP_014580046.1	WP_160588100.1
OG0000099	WP_014580030.1	WP_160588163.1
OG0000100	WP_014580027.1	WP_160585575.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_044277991.1	WP_160588213.1
OG0000103	WP_252862190.1	WP_160588278.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_014579832.1	WP_160588282.1
OG0000106	WP_014579830.1	WP_135618884.1
OG0000107	WP_252862188.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_308507065.1
OG0000109	WP_014579826.1	WP_146379632.1
OG0000110	WP_014579870.1	WP_160585726.1
OG0000111	WP_044278012.1	WP_258555345.1
OG0000112	WP_228365385.1	WP_237697204.1
OG0000113	WP_014579864.1	WP_160585296.1
OG0000114	WP_044278010.1	WP_258555347.1
OG0000115	WP_014579859.1	WP_160585718.1
OG0000116	WP_014579712.1	WP_146379549.1
OG0000117	WP_014579713.1	WP_160588005.1
OG0000118	WP_011284023.1	WP_179221071.1
OG0000119	WP_044277984.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011290114.1	WP_011284032.1
OG0000122	WP_014579725.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_014579726.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_160588259.1
OG0000126	WP_011290120.1	WP_146379560.1
OG0000127	WP_011284040.1	WP_011290122.1
OG0000128	WP_014579731.1	WP_160585095.1
OG0000129	WP_014579732.1	WP_020835651.1
OG0000130	WP_088764591.1	WP_011284046.1
OG0000131	WP_252862142.1	WP_160588225.1
OG0000132	WP_014579737.1	WP_160588229.1
OG0000133	WP_014579589.1	WP_094521764.1
OG0000134	WP_228365407.1	WP_228365407.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_014579592.1	WP_011206119.1
OG0000137	WP_014579598.1	WP_160588305.1
OG0000138	WP_014579656.1	WP_160587956.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_160584795.1
OG0000141	WP_088764593.1	WP_146379698.1
OG0000142	WP_011206395.1	WP_160587865.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_014579946.1	WP_160587861.1
OG0000145	WP_044278029.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_016340240.1	WP_160587854.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_135619006.1
OG0000151	WP_014579931.1	WP_020835828.1
OG0000152	WP_014579930.1	WP_020835827.1
OG0000153	WP_014579929.1	WP_011206347.1
OG0000154	WP_044278028.1	WP_160587842.1
OG0000155	WP_011206337.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_160587838.1
OG0000157	WP_252862135.1	WP_160587836.1
OG0000158	WP_014579917.1	WP_160587834.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_044278019.1	WP_179221158.1
OG0000161	WP_014579880.1	WP_146379654.1
OG0000162	WP_081450704.1	WP_135619210.1
OG0000163	WP_014579877.1	WP_160588299.1
OG0000164	WP_014579775.1	WP_146379571.1
OG0000165	WP_014579808.1	WP_011206200.1
OG0000166	WP_014579811.1	WP_011206204.1
OG0000167	WP_088764587.1	WP_011206207.1
OG0000168	WP_014579815.1	WP_160587908.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_014579964.1	WP_160588047.1
OG0000171	WP_014579966.1	WP_146379717.1
OG0000172	WP_088764594.1	WP_011206424.1
OG0000173	WP_011206425.1	WP_160588049.1
OG0000174	WP_014579967.1	WP_160588051.1
OG0000175	WP_014579969.1	WP_160588054.1
OG0000176	WP_014579976.1	WP_160588062.1
OG0000177	WP_014579977.1	WP_160585273.1
OG0000178	WP_011206441.1	WP_160585275.1
OG0000179	WP_252862150.1	WP_020835880.1
OG0000180	WP_011206445.1	WP_081642895.1
OG0000181	WP_014579985.1	WP_020835888.1
OG0000182	WP_014579987.1	WP_011284337.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_160588140.1
OG0000185	WP_011206465.1	WP_160588138.1
OG0000186	WP_014579739.1	WP_020835656.1
OG0000187	WP_014579741.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_014579854.1	WP_160588291.1
OG0000190	WP_011206256.1	WP_146379637.1
OG0000191	WP_014579850.1	WP_020835755.1
OG0000192	WP_088764622.1	WP_160587990.1
OG0000193	WP_011283999.1	WP_094521610.1
OG0000194	WP_011283923.1	WP_011290023.1
OG0000195	WP_011283924.1	WP_094521583.1
OG0000196	WP_014579648.1	WP_179695841.1
OG0000197	WP_014579647.1	WP_041361572.1
OG0000198	WP_014579645.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_088764596.1	WP_160588272.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_014579634.1	WP_160588267.1
OG0000203	WP_011206072.1	WP_160588265.1
OG0000204	WP_252862153.1	WP_160588089.1
OG0000205	WP_014579632.1	WP_160588086.1
OG0000206	WP_011206066.1	WP_011290044.1
OG0000207	WP_014579629.1	WP_094521594.1
OG0000208	WP_011206062.1	WP_011290046.1
OG0000209	WP_014579628.1	WP_011206061.1
OG0000210	WP_014579621.1	WP_011206052.1
OG0000211	WP_088764616.1	WP_011290054.1
OG0000212	WP_014579618.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_160588083.1
OG0000215	WP_014579617.1	WP_011290055.1
OG0000216	WP_014579616.1	WP_014579616.1
OG0000217	WP_011206044.1	WP_160588081.1
OG0000218	WP_014579615.1	WP_011290058.1
OG0000219	WP_020835591.1	WP_020835591.1
OG0000220	WP_011206040.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_160588076.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_014579610.1	WP_160588073.1
OG0000226	WP_014579609.1	WP_011206032.1
OG0000227	WP_088764611.1	WP_011206031.1
OG0000228	WP_014579607.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_014579605.1
OG0000231	WP_014579603.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_252862166.1	WP_160587977.1
OG0000235	WP_014579665.1	WP_160587980.1
OG0000236	WP_014579666.1	WP_011283989.1
OG0000237	WP_014579667.1	WP_160587982.1
OG0000238	WP_011206006.1	WP_011283991.1
OG0000239	WP_011206399.1	WP_011290347.1
OG0000240	WP_011206400.1	WP_020835851.1
OG0000241	WP_011206402.1	WP_044272588.1
OG0000242	WP_290124226.1	WP_160588327.1
OG0000243	WP_014579955.1	WP_146379703.1
OG0000244	WP_014579956.1	WP_041361690.1
OG0000245	WP_011206408.1	WP_146379707.1
OG0000246	WP_014579532.1	WP_050195463.1
OG0000247	WP_014579534.1	WP_308507094.1
OG0000248	WP_014579535.1	WP_052259122.1
OG0000249	WP_014579536.1	WP_160588044.1
OG0000250	WP_011289957.1	WP_160588038.1
OG0000251	WP_014579544.1	WP_020835507.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_014579546.1	WP_160588034.1
OG0000254	WP_014579548.1	WP_160588032.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011283865.1	WP_011205889.1
OG0000257	WP_014579555.1	WP_160588029.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_014579562.1	WP_041361723.1
OG0000260	WP_011205903.1	WP_011289982.1
OG0000261	WP_014579565.1	WP_160588025.1
OG0000262	WP_014579569.1	WP_041361531.1
OG0000263	WP_088764575.1	WP_160585532.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_088764577.1	WP_146379476.1
OG0000266	WP_044277957.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_014579577.1
OG0000268	WP_252862126.1	WP_160588019.1
OG0000269	WP_014579579.1	WP_160584741.1
OG0000270	WP_252862128.1	WP_160588154.1
OG0000271	WP_014580021.1	WP_160588152.1
OG0000272	WP_011284373.1	WP_160588150.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_014580018.1	WP_160588177.1
OG0000275	WP_044278043.1	WP_160588179.1
OG0000276	WP_011284368.1	WP_011290421.1
OG0000277	WP_088764581.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_258555327.1
OG0000279	WP_014580014.1	WP_160588183.1
OG0000280	WP_014580013.1	WP_094521520.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_014580010.1	WP_160588184.1
OG0000283	WP_014580009.1	WP_011206485.1
OG0000284	WP_014580008.1	WP_011206484.1
OG0000285	WP_014580007.1	WP_160584909.1
OG0000286	WP_014579875.1	WP_146379652.1
OG0000287	WP_011206297.1	WP_011284216.1
OG0000288	WP_011284218.1	WP_011206299.1
OG0000289	WP_252862141.1	WP_020835793.1
OG0000290	WP_014579908.1	WP_011284237.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_014579905.1	WP_160587820.1
OG0000293	WP_014579904.1	WP_160587817.1
OG0000294	WP_014579902.1	WP_160587813.1
OG0000295	WP_014579901.1	WP_011206315.1
OG0000296	WP_014579894.1	WP_044272552.1
OG0000297	WP_014579893.1	WP_160588315.1
OG0000298	WP_014579538.1	WP_160588040.1
OG0000299	WP_011205878.1	WP_094521545.1
OG0000300	WP_014579572.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_014579576.1
OG0000303	WP_014579593.1	WP_146379484.1
OG0000304	WP_044277963.1	WP_011283978.1
OG0000305	WP_014579943.1	WP_160587859.1
OG0000306	WP_014579934.1	WP_044272563.1
OG0000307	WP_014579928.1	WP_160587844.1
OG0000308	WP_014579911.1	WP_044284683.1
OG0000309	WP_011206313.1	WP_011206313.1
OG0000310	WP_011206298.1	WP_160588319.1
OG0000311	WP_014579885.1	WP_011206293.1
OG0000312	WP_014579882.1	WP_041361671.1
OG0000313	WP_014579776.1	WP_011206141.1
OG0000314	WP_014579810.1	WP_160587902.1
OG0000315	WP_014579816.1	WP_011290197.1
OG0000316	WP_014579818.1	WP_160587912.1
OG0000317	WP_011290211.1	WP_160585126.1
OG0000318	WP_228365380.1	WP_220191051.1
OG0000319	WP_014579833.1	WP_160588280.1
OG0000320	WP_252862186.1	WP_160588217.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_014579724.1	WP_020835642.1
OG0000323	WP_014579736.1	WP_160588227.1
OG0000324	WP_014579849.1	WP_160588283.1
OG0000325	WP_088764598.1	WP_011206094.1
OG0000326	WP_014579637.1	WP_160588270.1
OG0000327	WP_011206076.1	WP_146379506.1
OG0000328	WP_014579627.1	WP_041361583.1
OG0000329	WP_011206056.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_014579986.1	WP_044272637.1
OG0000335	WP_088764610.1	WP_160588128.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011206520.1	WP_011290441.1
OG0000338	WP_014580051.1	WP_160584861.1
OG0000339	WP_014579860.1	WP_160585719.1
OG0000340	WP_011205973.1	WP_160588380.1
OG0000341	WP_014579853.1	WP_160588289.1
OG0000342	WP_014579646.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_014579596.1	WP_160588307.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_225973015.1	WP_225973015.1
OG0000349	WP_014580020.1	WP_160588173.1
OG0000350	WP_228365390.1	WP_258555238.1
OG0000351	WP_044277958.1	WP_160588011.1
OG0000352	WP_014579807.1	WP_160587896.1
OG0000353	WP_014579723.1	WP_160588248.1
OG0000354	WP_233417361.1	WP_308507053.1
OG0000355	WP_011206194.1	WP_020835708.1
OG0000356	WP_228365379.1	WP_308507057.1
OG0000357	WP_011206427.1	WP_011206427.1
OG0000358	WP_014579968.1	WP_160588052.1
OG0000359	WP_228365410.1	WP_308507100.1
OG0000360	WP_228365406.1	WP_225973008.1
OG0000361	WP_014579561.1	WP_011289979.1
OG0000362	WP_011206302.1	WP_160588317.1
OG0000363	WP_088764590.1	WP_233417364.1
OG0000364	WP_014579799.1	WP_160587890.1
OG0000365	WP_014579848.1	WP_160587919.1
OG0000366	WP_011206224.1	WP_011206224.1
OG0000367	WP_044278006.1	WP_220190703.1
OG0000368	WP_252862155.1	WP_160588120.1
OG0000369	WP_011205844.1	WP_160588112.1
OG0000370	WP_011205843.1	WP_160588110.1
OG0000371	WP_014579518.1	WP_160588108.1
OG0000372	WP_252862159.1	WP_160588106.1
OG0000373	WP_014580049.1	WP_160588104.1
OG0000374	WP_014580047.1	WP_160588102.1
OG0000375	WP_014579834.1	WP_146379628.1
OG0000376	WP_014579868.1	WP_160585724.1
OG0000377	WP_011206271.1	WP_011206271.1
OG0000378	WP_014579711.1	WP_146379548.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_011205957.1	WP_160588252.1
OG0000381	WP_014579728.1	WP_160588219.1
OG0000382	WP_014579733.1	WP_160588223.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_014579586.1	WP_041361727.1
OG0000385	WP_014579587.1	WP_044272311.1
OG0000386	WP_014579591.1	WP_011290004.1
OG0000387	WP_014579594.1	WP_160588311.1
OG0000388	WP_014579595.1	WP_160588309.1
OG0000389	WP_014579657.1	WP_160587959.1
OG0000390	WP_011206390.1	WP_011284284.1
OG0000391	WP_014579945.1	WP_020835843.1
OG0000392	WP_014579942.1	WP_020835840.1
OG0000393	WP_252862206.1	WP_160587848.1
OG0000394	WP_014579921.1	WP_011290313.1
OG0000395	WP_014579920.1	WP_146379682.1
OG0000396	WP_014579876.1	WP_160585153.1
OG0000397	WP_014579805.1	WP_011206196.1
OG0000398	WP_011206197.1	WP_160587892.1
OG0000399	WP_014579813.1	WP_160587906.1
OG0000400	WP_014579962.1	WP_044272610.1
OG0000401	WP_014579971.1	WP_135619070.1
OG0000402	WP_014579972.1	WP_160588059.1
OG0000404	WP_252862149.1	WP_160588064.1
OG0000405	WP_014579980.1	WP_160585278.1
OG0000406	WP_014579989.1	WP_160588130.1
OG0000407	WP_014579990.1	WP_160588132.1
OG0000408	WP_011206457.1	WP_044284717.1
OG0000409	WP_252862192.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_014579996.1	WP_146379742.1
OG0000412	WP_014579995.1	WP_011290399.1
OG0000413	WP_014579738.1	WP_011290129.1
OG0000414	WP_011284053.1	WP_011290131.1
OG0000415	WP_014579740.1	WP_020835657.1
OG0000416	WP_011284056.1	WP_160588231.1
OG0000417	WP_044889038.1	WP_160588287.1
OG0000418	WP_228365384.1	WP_160588285.1
OG0000419	WP_014579649.1	WP_160588274.1
OG0000420	WP_011206085.1	WP_020835574.1
OG0000421	WP_044277971.1	WP_011206080.1
OG0000422	WP_014579638.1	WP_146379504.1
OG0000423	WP_014579631.1	WP_135618585.1
OG0000424	WP_011206067.1	WP_135618587.1
OG0000425	WP_044277967.1	WP_011206065.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_014579626.1	WP_135618593.1
OG0000428	WP_014579623.1	WP_011206054.1
OG0000430	WP_014579604.1	WP_014579604.1
OG0000431	WP_014579602.1	WP_011290067.1
OG0000432	WP_252862168.1	WP_160587974.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_011206013.1	WP_160585569.1
OG0000435	WP_011283987.1	WP_011283987.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_014579672.1	WP_044272373.1
OG0000438	WP_014579673.1	WP_160587984.1
OG0000439	WP_088764600.1	WP_020835619.1
OG0000440	WP_252862146.1	WP_160588325.1
OG0000441	WP_252862145.1	WP_011284299.1
OG0000442	WP_014579533.1	WP_258555380.1
OG0000443	WP_014579542.1	WP_160588036.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_014579547.1	WP_044284571.1
OG0000446	WP_014579552.1	WP_135618497.1
OG0000447	WP_014579553.1	WP_160588031.1
OG0000448	WP_044277955.1	WP_146379469.1
OG0000449	WP_014579563.1	WP_011289981.1
OG0000450	WP_044277956.1	WP_160588027.1
OG0000451	WP_088764576.1	WP_160585531.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_252862127.1	WP_011206136.1
OG0000455	WP_088764580.1	WP_146379761.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_014580006.1	WP_160588187.1
OG0000458	WP_014579888.1	WP_160588321.1
OG0000459	WP_014579890.1	WP_011206301.1
OG0000460	WP_014579891.1	WP_044272549.1
OG0000461	WP_016340234.1	WP_160587811.1
OG0000462	WP_014579898.1	WP_160587809.1
OG0000463	WP_252862140.1	WP_160587807.1
OG0000464	WP_044278026.1	WP_011206309.1
OG0000465	WP_014579895.1	WP_160585762.1
OG0000467	WP_088764589.1	WP_160587829.1
OG0000468	WP_014579812.1	WP_160587904.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_014579622.1	WP_044272348.1
OG0000472	WP_044278039.1	WP_160588144.1
OG0000473	WP_014580023.1	WP_160588156.1
OG0000474	WP_252862132.1	WP_160588158.1
OG0000475	WP_044889046.1	WP_160588160.1
OG0000476	WP_014579742.1	WP_011205931.1
OG0000477	WP_014579903.1	WP_160587815.1
OG0000478	WP_011284367.1	WP_146379753.1
OG0000479	WP_014579718.1	WP_160588237.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044277969.1	WP_308507052.1
OG0000482	WP_088764624.1	WP_160587986.1
OG0000483	WP_014579841.1	WP_160587946.1
OG0000484	WP_228365405.1	WP_225973007.1
OG0000485	WP_014579671.1	WP_020835615.1
OG0000486	WP_044278009.1	WP_160588293.1
OG0000487	WP_233417346.1	WP_220191052.1
OG0000488	WP_014579846.1	WP_160587923.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_014580050.1	WP_160584863.1
OG0000491	WP_014579721.1	WP_160588241.1
OG0000492	WP_252862143.1	WP_160588262.1
OG0000493	WP_044277961.1	WP_146379488.1
OG0000494	WP_252862194.1	WP_052269169.1
OG0000495	WP_011284272.1	WP_146379689.1
OG0000497	WP_252862148.1	WP_160587850.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_011206333.1
OG0000500	WP_014579806.1	WP_160587894.1
OG0000501	WP_014579965.1	WP_220190663.1
OG0000502	WP_014579694.1	WP_094521609.1
OG0000503	WP_252862154.1	WP_016340193.1
OG0000504	WP_088764595.1	WP_146379513.1
OG0000505	WP_044277964.1	WP_011290053.1
OG0000506	WP_088764615.1	WP_011206049.1
OG0000507	WP_011206043.1	WP_160588078.1
OG0000508	WP_044277952.1	WP_044272682.1
OG0000509	WP_252862123.1	WP_020835518.1
OG0000510	WP_014579560.1	WP_011289977.1
OG0000511	WP_011206135.1	WP_160588017.1
OG0000512	WP_014579892.1	WP_160585006.1
OG0000513	WP_014580015.1	WP_160585582.1
OG0000514	WP_014579941.1	WP_160587856.1
OG0000515	WP_014579793.1, WP_252862198.1	WP_014579793.1
OG0000516	WP_014579821.1	WP_160587914.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_014579970.1	WP_160588057.1
OG0000519	WP_014579639.1	WP_020835579.1
OG0000520	WP_011283957.1	WP_146379514.1
OG0000521	WP_014579554.1	WP_020835515.1
OG0000522	WP_011205899.1	WP_135618505.1
OG0000523	WP_088764582.1	WP_020835906.1
OG0000524	WP_252862136.1	WP_160587827.1
OG0000525	WP_014579999.1	WP_160588146.1
OG0000526	WP_228365426.1	WP_225972970.1
OG0000527	WP_228365424.1, WP_228365423.1	WP_258555253.1
OG0000528	WP_014579822.1	WP_160587916.1
OG0000529	WP_014579831.1	WP_014579831.1
OG0000530	WP_011284186.1	WP_160585722.1
OG0000531	WP_011205956.1	WP_160588256.1
OG0000532	WP_014579771.1	WP_308507102.1
OG0000533	WP_011206110.1	WP_011206110.1
OG0000535	WP_252862157.1	WP_160588116.1
OG0000536	WP_088764579.1	WP_160588166.1
OG0000537	WP_011206089.1	WP_011290028.1
OG0000538	WP_252862167.1	WP_146379532.1
OG0000539	WP_011205882.1	WP_011289963.1
OG0000540	WP_252862139.1	WP_160587822.1
OG0000541	WP_088764588.1	WP_160587840.1
OG0000542	WP_011289986.1	WP_011289986.1
OG0000544	WP_252862183.1, WP_252862182.1	WP_308507054.1
OG0000545	WP_014579790.1	WP_160587882.1
OG0000546	WP_143826165.1	WP_258555239.1
OG0000547	WP_014579948.1	WP_011290341.1
OG0000548	WP_014579777.1	WP_135618730.1
OG0000549	WP_088764583.1	WP_160588142.1
OG0000550	WP_252862133.1	WP_160588175.1
OG0000551	WP_011206407.1	WP_011206407.1
OG0000552	WP_016340246.1	WP_044284704.1
OG0000553	WP_014579915.1	WP_160587832.1
OG0000554	WP_252862185.1	WP_160585727.1
OG0000555	WP_014579949.1	WP_228366107.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_014579699.1	WP_160587995.1
OG0000559	WP_014579758.1	WP_011206161.1
OG0000560	WP_011206182.1	WP_011284100.1
OG0000561	WP_011206015.1	WP_160584672.1
OG0000562	WP_014579789.1	WP_146379618.1
OG0000563	WP_014579786.1	WP_160587877.1
